date,STUSPS,positiveIncreaseRate
2020-01-22,CA,0.0
2020-01-23,CA,0.0
2020-01-24,CA,0.0
2020-01-25,CA,0.0
2020-01-26,CA,0.0
2020-01-27,CA,0.0
2020-01-28,CA,0.0
2020-01-29,CA,0.0
2020-01-30,CA,0.0
2020-01-31,CA,0.0
2020-02-01,CA,0.0
2020-02-02,CA,0.0
2020-02-03,CA,0.0
2020-02-04,CA,0.0
2020-02-05,CA,0.0
2020-02-06,CA,0.0
2020-02-07,CA,0.0
2020-02-08,CA,0.0
2020-02-09,CA,0.0
2020-02-10,CA,0.0
2020-02-11,CA,0.0
2020-02-12,CA,0.0
2020-02-13,CA,0.0
2020-02-14,CA,0.0
2020-02-15,CA,0.0
2020-02-16,CA,0.0
2020-02-17,CA,0.0
2020-02-18,CA,0.0
2020-02-19,CA,0.0
2020-02-20,CA,0.0
2020-02-21,CA,0.0
2020-02-22,CA,0.0
2020-02-23,CA,0.0
2020-02-24,CA,0.0
2020-02-25,CA,0.0
2020-02-26,CA,0.0
2020-02-27,CA,0.0
2020-02-28,CA,0.0
2020-02-29,CA,0.0
2020-03-01,CA,0.0
2020-03-02,CA,0.0
2020-03-03,CA,0.0
2020-03-04,CA,0.13413570782894196
2020-03-05,CA,0.0
2020-03-06,CA,0.017716036883067804
2020-03-07,CA,0.022777761706801458
2020-03-08,CA,0.04808638582546975
2020-03-09,CA,0.06580242270853756
2020-03-10,CA,0.04808638582546975
2020-03-11,CA,0.0607406978848039
2020-03-12,CA,0.1138888085340073
2020-03-13,CA,0.0
2020-03-14,CA,0.12654312059334147
2020-03-15,CA,0.10376535888654
2020-03-16,CA,0.10629622129840682
2020-03-17,CA,0.3745676369562908
2020-03-18,CA,0.3239503887189541
2020-03-19,CA,0.7921599349143176
2020-03-20,CA,0.35178987524948924
2020-03-21,CA,0.5466662809632351
2020-03-22,CA,0.650431639849775
2020-03-23,CA,0.4985798951377654
2020-03-24,CA,0.93388822997886
2020-03-25,CA,0.6403081902023078
2020-03-26,CA,1.6475914301253058
2020-03-27,CA,2.2094428855597417
2020-03-28,CA,1.9335788826662568
2020-03-29,CA,2.6953684686381734
2020-03-30,CA,1.8703073223695867
2020-03-31,CA,2.6194425962821684
2020-04-01,CA,1.703270403186376
2020-04-02,CA,2.6219734586940353
2020-04-03,CA,3.821602241918912
2020-04-04,CA,3.3533926957235485
2020-04-05,CA,3.573577725555962
2020-04-06,CA,2.272714445856413
2020-04-07,CA,3.869688627744382
2020-04-08,CA,2.763701753758577
2020-04-09,CA,3.4217259808439526
2020-04-10,CA,2.9433929850011222
2020-04-11,CA,2.8927757367637854
2020-04-12,CA,2.983886783590992
2020-04-13,CA,1.4020977761742237
2020-04-14,CA,2.5055537877481613
2020-04-15,CA,2.7485165792873767
2020-04-16,CA,4.449256120061884
2020-04-17,CA,3.4065408063727523
2020-04-18,CA,3.6317875610289003
2020-04-19,CA,3.467281504257556
2020-04-20,CA,1.6324062556541048
2020-04-21,CA,5.777958886291971
2020-04-22,CA,5.40339124933568
2020-04-23,CA,4.9933915386132535
2020-04-24,CA,4.770675646368972
2020-04-25,CA,4.765613921545238
2020-04-26,CA,2.5991956969872336
2020-04-27,CA,3.290121135426878
2020-04-28,CA,3.965861399395321
2020-04-29,CA,3.717836883032372
2020-04-30,CA,6.117094449482126
2020-05-01,CA,3.859565178096915
2020-05-02,CA,4.4416635328262855
2020-05-03,CA,3.5912937624390304
2020-05-04,CA,3.3432692460760807
2020-05-05,CA,3.2268495751302075
2020-05-06,CA,6.587834858089358
2020-05-07,CA,4.553021478948426
2020-05-08,CA,4.803576857723242
2020-05-09,CA,5.185737081915133
2020-05-10,CA,5.362897450745812
2020-05-11,CA,3.1863557765403376
2020-05-12,CA,3.6520344603238337
2020-05-13,CA,4.4517869824737515
2020-05-14,CA,5.119934659206597
2020-05-15,CA,4.484688193828021
2020-05-16,CA,4.699811498836702
2020-05-17,CA,5.1781444946795325
2020-05-18,CA,4.026602097280125
2020-05-19,CA,3.4546271921982217
2020-05-20,CA,5.724810775642768
2020-05-21,CA,5.416045561395015
2020-05-22,CA,5.6868478394647655
2020-05-23,CA,5.5349960947527554
2020-05-24,CA,5.261662954271138
2020-05-25,CA,4.677033737129901
2020-05-26,CA,5.504625745810354
2020-05-27,CA,5.6868478394647655
2020-05-28,CA,6.876353173042173
2020-05-29,CA,5.5400578195764885
2020-05-30,CA,7.572340336305553
2020-05-31,CA,9.376845235966602
2020-06-01,CA,6.132279623953327
2020-06-02,CA,5.831106996941174
2020-06-03,CA,6.015859953007452
2020-06-04,CA,5.365428313157677
2020-06-05,CA,7.8304883023159695
2020-06-06,CA,7.883636412965172
2020-06-07,CA,7.076291303579653
2020-06-08,CA,6.344872066550139
2020-06-09,CA,5.49197143375102
2020-06-10,CA,6.838390236864173
2020-06-11,CA,7.8203648526685035
2020-06-12,CA,6.838390236864173
2020-06-13,CA,9.262956427432595
2020-06-14,CA,8.129130066916254
2020-06-15,CA,6.572649683618156
2020-06-16,CA,5.3350579642152764
2020-06-17,CA,8.744129632999892
2020-06-18,CA,10.336042090064131
2020-06-19,CA,10.925733032029102
2020-06-20,CA,9.852647369397566
2020-06-21,CA,11.426843789578733
2020-06-22,CA,10.705548002196688
2020-06-23,CA,12.702398445159615
2020-06-24,CA,18.093135382435964
2020-06-25,CA,13.53758304107567
2020-06-26,CA,12.375917194028794
2020-06-27,CA,15.114310323668704
2020-06-28,CA,12.173448201079447
2020-06-29,CA,20.269677056641434
2020-06-30,CA,23.992575664497537
2020-07-01,CA,18.74609788469761
2020-07-02,CA,16.21776633524264
2020-07-03,CA,14.395545398698525
2020-07-04,CA,23.16498365581709
2020-07-05,CA,21.75782415481913
2020-07-06,CA,14.423384885229057
2020-07-07,CA,15.412952088268991
2020-07-08,CA,29.5959050443707
2020-07-09,CA,17.794493617835677
2020-07-10,CA,19.73566508773753
2020-07-11,CA,20.365849828292376
2020-07-12,CA,21.41109600439337
2020-07-13,CA,21.152948038382963
2020-07-14,CA,18.591715277573726
2020-07-15,CA,28.158375194430338
2020-07-16,CA,21.62368844699019
2020-07-17,CA,25.273192044902157
2020-07-18,CA,23.281403326762966
2020-07-19,CA,23.610415440305648
2020-07-20,CA,17.326284071640313
2020-07-21,CA,23.362390923942694
2020-07-22,CA,32.41275490877848
2020-07-23,CA,30.471583438876625
2020-07-24,CA,24.594920918521844
2020-07-25,CA,25.475661037851506
2020-07-26,CA,20.902392659608143
2020-07-27,CA,17.44017288017432
2020-07-28,CA,15.185174471200973
2020-07-29,CA,22.157700415894084
2020-07-30,CA,25.807204013806054
2020-07-31,CA,20.46455346235518
2020-08-01,CA,16.556901898432795
2020-08-02,CA,22.8587493039812
2020-08-03,CA,14.524619381703731
2020-08-04,CA,11.454683276109268
2020-08-05,CA,13.400916470834858
2020-08-06,CA,13.307274561595786
2020-08-07,CA,21.35035530650857
2020-08-08,CA,18.654986837870396
2020-08-09,CA,21.19091097456096
2020-08-10,CA,19.616714554379797
2020-08-11,CA,31.63578014833537
2020-08-12,CA,29.471892786189226
2020-08-13,CA,17.931160188076483
2020-08-14,CA,20.07986237575142
2020-08-15,CA,31.924298463288178
2020-08-16,CA,19.925479768627547
2020-08-17,CA,16.37214894236652
2020-08-18,CA,11.733078141414618
2020-08-19,CA,15.600235906747134
2020-08-20,CA,14.982705478251626
2020-08-21,CA,14.134866570276241
2020-08-22,CA,16.592333972198933
2020-08-23,CA,17.151654565221502
2020-08-24,CA,12.517645489093336
2020-08-25,CA,11.338263605163396
2020-08-26,CA,15.19529792084844
2020-08-27,CA,11.211720484570053
2020-08-28,CA,13.486965792838333
2020-08-29,CA,12.606225673508675
2020-08-30,CA,15.362334840031652
2020-08-31,CA,10.568881431955878
2020-09-01,CA,9.39456127284967
