date,STUSPS,positiveIncreaseRate
2020-01-22,CO,0.0
2020-01-23,CO,0.0
2020-01-24,CO,0.0
2020-01-25,CO,0.0
2020-01-26,CO,0.0
2020-01-27,CO,0.0
2020-01-28,CO,0.0
2020-01-29,CO,0.0
2020-01-30,CO,0.0
2020-01-31,CO,0.0
2020-02-01,CO,0.0
2020-02-02,CO,0.0
2020-02-03,CO,0.0
2020-02-04,CO,0.0
2020-02-05,CO,0.0
2020-02-06,CO,0.0
2020-02-07,CO,0.0
2020-02-08,CO,0.0
2020-02-09,CO,0.0
2020-02-10,CO,0.0
2020-02-11,CO,0.0
2020-02-12,CO,0.0
2020-02-13,CO,0.0
2020-02-14,CO,0.0
2020-02-15,CO,0.0
2020-02-16,CO,0.0
2020-02-17,CO,0.0
2020-02-18,CO,0.0
2020-02-19,CO,0.0
2020-02-20,CO,0.0
2020-02-21,CO,0.0
2020-02-22,CO,0.0
2020-02-23,CO,0.0
2020-02-24,CO,0.0
2020-02-25,CO,0.0
2020-02-26,CO,0.0
2020-02-27,CO,0.0
2020-02-28,CO,0.0
2020-02-29,CO,0.0
2020-03-01,CO,0.0
2020-03-02,CO,0.0
2020-03-03,CO,0.0
2020-03-04,CO,0.034729843493433284
2020-03-05,CO,0.0
2020-03-06,CO,0.10418953048029984
2020-03-07,CO,0.0
2020-03-08,CO,0.017364921746716642
2020-03-09,CO,0.05209476524014992
2020-03-10,CO,0.2778387479474662
2020-03-11,CO,0.2952036696941829
2020-03-12,CO,0.4688528871613493
2020-03-13,CO,0.5035827306547827
2020-03-14,CO,0.5209476524014992
2020-03-15,CO,0.0
2020-03-16,CO,0.5035827306547827
2020-03-17,CO,0.3993932001744827
2020-03-18,CO,0.5730424176416491
2020-03-19,CO,1.0592602265497149
2020-03-20,CO,1.4933832702176308
2020-03-21,CO,1.9448712356322635
2020-03-22,CO,2.0143309226191306
2020-03-23,CO,2.2400749053264466
2020-03-24,CO,3.3340649753695955
2020-03-25,CO,3.0214963839286955
2020-03-26,CO,5.973533080870523
2020-03-27,CO,5.2789362110018585
2020-03-28,CO,5.678329411176343
2020-03-29,CO,4.271770749692293
2020-03-30,CO,5.556774958949325
2020-03-31,CO,5.886708472136941
2020-04-01,CO,6.529210576765458
2020-04-02,CO,6.702859794232624
2020-04-03,CO,7.727390177288903
2020-04-04,CO,6.8070493247129225
2020-04-05,CO,6.685494872485907
2020-04-06,CO,3.8550126277710937
2020-04-07,CO,4.462784888906175
2020-04-08,CO,3.9244723147579617
2020-04-09,CO,9.498612195454005
2020-04-10,CO,5.348395897988726
2020-04-11,CO,6.650765028992474
2020-04-12,CO,7.119617916153822
2020-04-13,CO,6.737589637726058
2020-04-14,CO,4.34123043667916
2020-04-15,CO,5.886708472136941
2020-04-16,CO,6.859144089953072
2020-04-17,CO,6.459750889778592
2020-04-18,CO,6.702859794232624
2020-04-19,CO,5.157381758774842
2020-04-20,CO,6.529210576765458
2020-04-21,CO,5.921438315630375
2020-04-22,CO,7.48428127283487
2020-04-23,CO,6.668129950739191
2020-04-24,CO,17.243367294489627
2020-04-25,CO,12.381189205408964
2020-04-26,CO,8.213607986196969
2020-04-27,CO,7.605835725061888
2020-04-28,CO,7.5884708033151735
2020-04-29,CO,7.6752954120487535
2020-04-30,CO,9.133948838772952
2020-05-01,CO,8.404622125410857
2020-05-02,CO,7.935769238249504
2020-05-03,CO,7.119617916153822
2020-05-04,CO,4.723258715106926
2020-05-05,CO,7.935769238249504
2020-05-06,CO,8.092053533969954
2020-05-07,CO,9.394422664973703
2020-05-08,CO,7.918404316502789
2020-05-09,CO,9.51597711720072
2020-05-10,CO,5.6956943329230585
2020-05-11,CO,3.0562262274221283
2020-05-12,CO,4.8274482455872265
2020-05-13,CO,5.522045115455892
2020-05-14,CO,6.303466594058139
2020-05-15,CO,6.841779168206357
2020-05-16,CO,6.963333620433373
2020-05-17,CO,5.296301132748575
2020-05-18,CO,4.584339341133194
2020-05-19,CO,4.862178089080659
2020-05-20,CO,5.4699503502157425
2020-05-21,CO,6.841779168206357
2020-05-22,CO,5.140016837028125
2020-05-23,CO,8.283067673183838
2020-05-24,CO,3.646633566810495
2020-05-25,CO,1.649667565938081
2020-05-26,CO,5.140016837028125
2020-05-27,CO,3.507714192836761
2020-05-28,CO,6.1471822983376905
2020-05-29,CO,8.543541499384586
2020-05-30,CO,8.42198704715757
2020-05-31,CO,4.862178089080659
2020-06-01,CO,3.4556194275966114
2020-06-02,CO,3.663998488557211
2020-06-03,CO,4.723258715106926
2020-06-04,CO,5.209476524014992
2020-06-05,CO,4.428055045412743
2020-06-06,CO,4.046026766984977
2020-06-07,CO,2.6568330272476457
2020-06-08,CO,3.1604157579024283
2020-06-09,CO,2.847847166461529
2020-06-10,CO,2.6394681055009293
2020-06-11,CO,2.5700084185140626
2020-06-12,CO,3.0388613056754123
2020-06-13,CO,3.386159740609745
2020-06-14,CO,1.9622361573789808
2020-06-15,CO,2.9346717751951124
2020-06-16,CO,2.4831838097804795
2020-06-17,CO,4.011296923491544
2020-06-18,CO,3.9592021582513945
2020-06-19,CO,4.966367619560959
2020-06-20,CO,2.8131173229680955
2020-06-21,CO,3.299335131876162
2020-06-22,CO,2.882577009954962
2020-06-23,CO,3.264605288382729
2020-06-24,CO,4.54960949763976
2020-06-25,CO,5.626234645936191
2020-06-26,CO,5.5046801937091745
2020-06-27,CO,3.9244723147579617
2020-06-28,CO,4.949002697814244
2020-06-29,CO,3.5424440363301946
2020-06-30,CO,3.5424440363301946
2020-07-01,CO,5.4525854284690265
2020-07-02,CO,5.608869724189475
2020-07-03,CO,4.6364341063733425
2020-07-04,CO,4.28913567143901
2020-07-05,CO,3.4556194275966114
2020-07-06,CO,3.3340649753695955
2020-07-07,CO,7.067523150913672
2020-07-08,CO,7.848944629515923
2020-07-09,CO,7.102252994407107
2020-07-10,CO,11.565037883313284
2020-07-11,CO,6.945968698686657
2020-07-12,CO,5.591504802442758
2020-07-13,CO,5.713059254669775
2020-07-14,CO,7.710025255542187
2020-07-15,CO,8.144148299210105
2020-07-16,CO,9.9153703173752
2020-07-17,CO,10.731521639470882
2020-07-18,CO,7.710025255542187
2020-07-19,CO,6.1471822983376905
2020-07-20,CO,7.362726820607857
2020-07-21,CO,8.560906421131303
2020-07-22,CO,11.096184996151932
2020-07-23,CO,10.696791795977452
2020-07-24,CO,11.565037883313284
2020-07-25,CO,14.048221693093762
2020-07-26,CO,9.498612195454005
2020-07-27,CO,3.976567079998111
2020-07-28,CO,13.006326388290764
2020-07-29,CO,8.369892281917421
2020-07-30,CO,7.084888072660389
2020-07-31,CO,10.505777656763566
2020-08-01,CO,7.953134159996222
2020-08-02,CO,7.796849864275772
2020-08-03,CO,4.375960280172594
2020-08-04,CO,7.3974566641012895
2020-08-05,CO,10.314763517549684
2020-08-06,CO,7.779484942529054
2020-08-07,CO,7.935769238249504
2020-08-08,CO,7.48428127283487
2020-08-09,CO,5.834613706896792
2020-08-10,CO,6.5813053420056065
2020-08-11,CO,6.98069854218009
2020-08-12,CO,5.4699503502157425
2020-08-13,CO,8.039958768729807
2020-08-14,CO,5.539410037202608
2020-08-15,CO,5.209476524014992
2020-08-16,CO,5.869343550390225
2020-08-17,CO,3.3687948188630283
2020-08-18,CO,4.532244575893043
2020-08-19,CO,4.688528871613493
2020-08-20,CO,5.713059254669775
2020-08-21,CO,6.1819121418311225
2020-08-22,CO,5.157381758774842
2020-08-23,CO,4.514879654146326
2020-08-24,CO,3.438254505849895
2020-08-25,CO,7.970499081742939
2020-08-26,CO,3.351429897116312
2020-08-27,CO,6.077722611350825
2020-08-28,CO,7.466916351088155
2020-08-29,CO,4.653799028120059
2020-08-30,CO,3.1604157579024283
2020-08-31,CO,3.490349271090045
2020-09-01,CO,6.095087533097542
2020-09-02,CO,4.237040906198859
2020-09-03,CO,4.653799028120059
2020-09-04,CO,6.390291202791723
2020-09-05,CO,5.799883863403357
2020-09-06,CO,4.949002697814244
2020-09-07,CO,3.698728332050644
2020-09-08,CO,3.2472403666360115
2020-09-09,CO,4.271770749692293
2020-09-10,CO,4.60170426287991
2020-09-11,CO,5.331030976242009
2020-09-12,CO,7.206442524887405
2020-09-13,CO,7.241172368380838
2020-09-14,CO,6.511845655018741
2020-09-15,CO,6.945968698686657
2020-09-16,CO,10.193209065322668
2020-09-17,CO,7.970499081742939
2020-09-18,CO,10.505777656763566
2020-09-19,CO,10.523142578510283
2020-09-20,CO,8.699825795105038
2020-09-21,CO,9.41178758672042
2020-09-22,CO,11.356658822352687
2020-09-23,CO,10.696791795977452
2020-09-24,CO,9.51597711720072
2020-09-25,CO,12.311729518422098
2020-09-26,CO,10.141114300082519
2020-09-27,CO,9.880640473881767
2020-09-28,CO,7.13698283790054
2020-09-29,CO,9.290233134493405
2020-09-30,CO,8.873475012572202
2020-10-01,CO,11.842876631260747
2020-10-02,CO,11.808146787767315
2020-10-03,CO,11.408753587592834
2020-10-04,CO,9.047124230039367
2020-10-05,CO,8.005228925236372
2020-10-06,CO,11.356658822352687
2020-10-07,CO,12.693757796849866
2020-10-08,CO,14.985927467416461
2020-10-09,CO,14.48234473676168
2020-10-10,CO,17.764314946891123
