date,STUSPS,positiveIncreaseRate
2020-01-22,DC,0.0
2020-01-23,DC,0.0
2020-01-24,DC,0.0
2020-01-25,DC,0.0
2020-01-26,DC,0.0
2020-01-27,DC,0.0
2020-01-28,DC,0.0
2020-01-29,DC,0.0
2020-01-30,DC,0.0
2020-01-31,DC,0.0
2020-02-01,DC,0.0
2020-02-02,DC,0.0
2020-02-03,DC,0.0
2020-02-04,DC,0.0
2020-02-05,DC,0.0
2020-02-06,DC,0.0
2020-02-07,DC,0.0
2020-02-08,DC,0.0
2020-02-09,DC,0.0
2020-02-10,DC,0.0
2020-02-11,DC,0.0
2020-02-12,DC,0.0
2020-02-13,DC,0.0
2020-02-14,DC,0.0
2020-02-15,DC,0.0
2020-02-16,DC,0.0
2020-02-17,DC,0.0
2020-02-18,DC,0.0
2020-02-19,DC,0.0
2020-02-20,DC,0.0
2020-02-21,DC,0.0
2020-02-22,DC,0.0
2020-02-23,DC,0.0
2020-02-24,DC,0.0
2020-02-25,DC,0.0
2020-02-26,DC,0.0
2020-02-27,DC,0.0
2020-02-28,DC,0.0
2020-02-29,DC,0.0
2020-03-01,DC,0.0
2020-03-02,DC,0.0
2020-03-03,DC,0.0
2020-03-04,DC,0.0
2020-03-05,DC,0.0
2020-03-06,DC,0.0
2020-03-07,DC,0.0
2020-03-08,DC,0.14169343491807992
2020-03-09,DC,0.0
2020-03-10,DC,0.5667737396723197
2020-03-11,DC,0.0
2020-03-12,DC,0.7084671745903998
2020-03-13,DC,0.0
2020-03-14,DC,0.0
2020-03-15,DC,0.8501606095084796
2020-03-16,DC,0.14169343491807992
2020-03-17,DC,0.7084671745903998
2020-03-18,DC,1.2752409142627197
2020-03-19,DC,1.1335474793446394
2020-03-20,DC,4.5341899173785585
2020-03-21,DC,0.8501606095084796
2020-03-22,DC,2.9755621332796784
2020-03-23,DC,2.550481828525439
2020-03-24,DC,2.9755621332796784
2020-03-25,DC,6.517898006231677
2020-03-26,DC,6.801284876067838
2020-03-27,DC,5.100963657050878
2020-03-28,DC,5.242657091968958
2020-03-29,DC,5.3843505268870375
2020-03-30,DC,8.359912660166716
2020-03-31,DC,13.319182882299511
2020-04-01,DC,12.894102577545276
2020-04-02,DC,9.493460139511356
2020-04-03,DC,14.736117231480314
