date,STUSPS,positiveIncreaseRate
2020-01-22,FL,0.0
2020-01-23,FL,0.0
2020-01-24,FL,0.0
2020-01-25,FL,0.0
2020-01-26,FL,0.0
2020-01-27,FL,0.0
2020-01-28,FL,0.0
2020-01-29,FL,0.0
2020-01-30,FL,0.0
2020-01-31,FL,0.0
2020-02-01,FL,0.0
2020-02-02,FL,0.0
2020-02-03,FL,0.0
2020-02-04,FL,0.0
2020-02-05,FL,0.0
2020-02-06,FL,0.0
2020-02-07,FL,0.0
2020-02-08,FL,0.0
2020-02-09,FL,0.0
2020-02-10,FL,0.0
2020-02-11,FL,0.0
2020-02-12,FL,0.0
2020-02-13,FL,0.0
2020-02-14,FL,0.0
2020-02-15,FL,0.0
2020-02-16,FL,0.0
2020-02-17,FL,0.0
2020-02-18,FL,0.0
2020-02-19,FL,0.0
2020-02-20,FL,0.0
2020-02-21,FL,0.0
2020-02-22,FL,0.0
2020-02-23,FL,0.0
2020-02-24,FL,0.0
2020-02-25,FL,0.0
2020-02-26,FL,0.0
2020-02-27,FL,0.0
2020-02-28,FL,0.0
2020-02-29,FL,0.0
2020-03-01,FL,0.0
2020-03-02,FL,0.0
2020-03-03,FL,0.009311968015997216
2020-03-04,FL,0.004655984007998608
2020-03-05,FL,0.018623936031994432
2020-03-06,FL,0.004655984007998608
2020-03-07,FL,0.0
2020-03-08,FL,0.018623936031994432
2020-03-09,FL,0.004655984007998608
2020-03-10,FL,0.02327992003999304
2020-03-11,FL,0.009311968015997216
2020-03-12,FL,0.027935904047991646
2020-03-13,FL,0.02327992003999304
2020-03-14,FL,0.09311968015997216
2020-03-15,FL,0.1862393603199443
2020-03-16,FL,0.14433550424795685
2020-03-17,FL,0.1257115682159624
2020-03-18,FL,0.2886710084959137
2020-03-19,FL,0.4609424167918622
2020-03-20,FL,0.3538547846078942
2020-03-21,FL,0.6611497291358024
2020-03-22,FL,0.9451647536237175
2020-03-23,FL,1.3874832343835852
2020-03-24,FL,0.819453185407755
2020-03-25,FL,1.3176434742636058
2020-03-26,FL,2.3140240519753084
2020-03-27,FL,2.490951444279255
2020-03-28,FL,3.068293461271083
2020-03-29,FL,3.2824687256390184
2020-03-30,FL,4.078641991006782
2020-03-31,FL,3.9668983748148143
2020-04-01,FL,4.209009543230741
2020-04-02,FL,4.804975496254563
2020-04-03,FL,5.903787722142235
2020-04-04,FL,5.964315514246218
2020-04-05,FL,5.345069641182403
2020-04-06,FL,3.5525157981029376
2020-04-07,FL,5.396285465270387
