date,STUSPS,positiveIncreaseRate
2020-01-22,GA,0.0
2020-01-23,GA,0.0
2020-01-24,GA,0.0
2020-01-25,GA,0.0
2020-01-26,GA,0.0
2020-01-27,GA,0.0
2020-01-28,GA,0.0
2020-01-29,GA,0.0
2020-01-30,GA,0.0
2020-01-31,GA,0.0
2020-02-01,GA,0.0
2020-02-02,GA,0.0
2020-02-03,GA,0.0
2020-02-04,GA,0.0
2020-02-05,GA,0.0
2020-02-06,GA,0.0
2020-02-07,GA,0.0
2020-02-08,GA,0.0
2020-02-09,GA,0.0
2020-02-10,GA,0.0
2020-02-11,GA,0.0
2020-02-12,GA,0.0
2020-02-13,GA,0.0
2020-02-14,GA,0.0
2020-02-15,GA,0.0
2020-02-16,GA,0.0
2020-02-17,GA,0.0
2020-02-18,GA,0.0
2020-02-19,GA,0.0
2020-02-20,GA,0.0
2020-02-21,GA,0.0
2020-02-22,GA,0.0
2020-02-23,GA,0.0
2020-02-24,GA,0.0
2020-02-25,GA,0.0
2020-02-26,GA,0.0
2020-02-27,GA,0.0
2020-02-28,GA,0.0
2020-02-29,GA,0.0
2020-03-01,GA,0.0
2020-03-02,GA,0.0
2020-03-03,GA,0.0
2020-03-04,GA,0.018836962603825804
2020-03-05,GA,0.0
2020-03-06,GA,0.0
2020-03-07,GA,0.037673925207651615
2020-03-08,GA,0.009418481301912902
2020-03-09,GA,0.04709240650956452
2020-03-10,GA,0.04709240650956452
2020-03-11,GA,0.04709240650956452
2020-03-12,GA,0.08476633171721612
2020-03-13,GA,0.10360329432104194
2020-03-14,GA,0.2260435512459097
2020-03-15,GA,0.3108098829631258
2020-03-16,GA,0.20720658864208388
2020-03-17,GA,0.23546203254782255
2020-03-18,GA,0.4803425463975581
2020-03-19,GA,0.8476633171721614
2020-03-20,GA,1.252658013154416
2020-03-21,GA,0.8194078732664226
2020-03-22,GA,0.8759187610778999
2020-03-23,GA,1.6199787839290194
2020-03-24,GA,2.392294250685877
2020-03-25,GA,2.0814843677227515
2020-03-26,GA,2.618337801931787
2020-03-27,GA,4.483197099710542
2020-03-28,GA,3.4377456751982094
2020-03-29,GA,2.6842671710451773
2020-03-30,GA,1.4881200457022388
2020-03-31,GA,10.548699058142454
2020-04-01,GA,6.677703243056247
2020-04-02,GA,6.68712172435816
2020-04-03,GA,4.549126468823932
2020-04-04,GA,3.098680348329345
2020-04-05,GA,4.5868003940315845
2020-04-06,GA,6.282127028375907
2020-04-07,GA,14.165395878077007
2020-04-08,GA,10.200215249971674
2020-04-09,GA,6.263290065772081
2020-04-10,GA,8.636747353854133
2020-04-11,GA,6.366893360093122
2020-04-12,GA,2.7596150214604807
2020-04-13,GA,8.128149363550833
2020-04-14,GA,8.551981022136916
2020-04-15,GA,7.1957197146614575
2020-04-16,GA,6.4234042479046
2020-04-17,GA,14.363183985417175
2020-04-18,GA,4.473778618408629
2020-04-19,GA,5.952480182808955
2020-04-20,GA,6.0843389210357355
2020-04-21,GA,8.796861535986652
2020-04-22,GA,8.090475438343184
2020-04-23,GA,7.271067565076761
2020-04-24,GA,5.980735626714694
2020-04-25,GA,5.161327753448272
2020-04-26,GA,6.649447799150509
2020-04-27,GA,4.822262426579406
2020-04-28,GA,6.611773873942858
2020-04-29,GA,9.493829152328207
2020-04-30,GA,5.010632052617664
2020-05-01,GA,10.501606651632887
2020-05-02,GA,9.757546628781768
2020-05-03,GA,2.787870465366219
2020-05-04,GA,7.214556677265284
2020-05-05,GA,3.2305390865561256
2020-05-06,GA,9.277204082384207
2020-05-07,GA,6.997931607321288
2020-05-08,GA,6.282127028375907
2020-05-09,GA,4.012273034614897
2020-05-10,GA,8.56139950343883
2020-05-11,GA,4.577381912729671
2020-05-12,GA,6.668284761754336
2020-05-13,GA,6.564681467433293
2020-05-14,GA,4.954121164806186
2020-05-15,GA,7.751410111474319
2020-05-16,GA,4.389012286691413
2020-05-17,GA,5.217838641259748
2020-05-18,GA,3.5790228947269034
2020-05-19,GA,6.0278280332242575
2020-05-20,GA,8.721513685571349
2020-05-21,GA,7.1392088268499805
2020-05-22,GA,7.657225298455191
2020-05-23,GA,8.608491909948393
2020-05-24,GA,6.649447799150509
2020-05-25,GA,4.76575153876793
2020-05-26,GA,3.635533782538381
2020-05-27,GA,6.508170579621817
2020-05-28,GA,6.112594364941473
2020-05-29,GA,5.651088781147743
2020-05-30,GA,5.8017844819783475
2020-05-31,GA,6.592936911339033
2020-06-01,GA,5.952480182808955
2020-06-02,GA,5.5474854868267
2020-06-03,GA,6.4704966544141636
2020-06-04,GA,8.975812680722996
2020-06-05,GA,7.289904527680588
2020-06-06,GA,6.479915135716077
2020-06-07,GA,5.5474854868267
2020-06-08,GA,5.6416702998458295
2020-06-09,GA,7.082697939038503
2020-06-10,GA,6.884909831698332
2020-06-11,GA,9.352551932799512
2020-06-12,GA,7.628969854549452
2020-06-13,GA,9.588013965347336
2020-06-14,GA,8.288263545683353
2020-06-15,GA,6.903746794302157
2020-06-16,GA,6.253871584470168
2020-06-17,GA,8.966394199421082
2020-06-18,GA,8.30710050828718
2020-06-19,GA,10.332073988198454
2020-06-20,GA,16.953266343443225
2020-06-21,GA,8.40128532130631
2020-06-22,GA,11.556476557447134
2020-06-23,GA,16.48234227834758
2020-06-24,GA,16.039673657157675
2020-06-25,GA,16.143276951478715
2020-06-26,GA,17.895114473634514
2020-06-27,GA,18.74277779080668
2020-06-28,GA,20.95612089675621
2020-06-29,GA,20.786588233321773
2020-06-30,GA,17.650233959784778
2020-07-01,GA,27.746845915435408
2020-07-02,GA,32.700967080241604
2020-07-03,GA,26.221051944525524
2020-07-04,GA,26.61662815920586
2020-07-05,GA,20.69240342030265
2020-07-06,GA,14.579809055361176
2020-07-07,GA,32.07934731431535
2020-07-08,GA,32.211206052542124
2020-07-09,GA,26.72023145352691
2020-07-10,GA,42.23247015777745
2020-07-11,GA,30.04495535310216
2020-07-12,GA,23.78166528733008
2020-07-13,GA,34.311527382868704
2020-07-14,GA,31.966325538692395
2020-07-15,GA,36.45894111970485
2020-07-16,GA,32.408994159882305
2020-07-17,GA,36.807424927875616
2020-07-18,GA,44.1632588246696
2020-07-19,GA,30.619482712518845
2020-07-20,GA,23.09411615229044
2020-07-21,GA,32.14527668342874
2020-07-22,GA,31.21284703453936
2020-07-23,GA,40.367610859998706
2020-07-24,GA,45.331150506106795
2020-07-25,GA,35.667788690344175
2020-07-26,GA,26.042100799789182
2020-07-27,GA,27.21941096252829
2020-07-28,GA,39.642387799751404
2020-07-29,GA,30.807852338557105
2020-07-30,GA,37.32544139948083
2020-07-31,GA,38.29554497357787
2020-08-01,GA,34.47164156500123
2020-08-02,GA,29.80949332055434
2020-08-03,GA,21.26693077971933
2020-08-04,GA,23.668643511707124
2020-08-05,GA,35.46058210170208
2020-08-06,GA,29.969607502686852
2020-08-07,GA,38.700539669560115
2020-08-08,GA,41.65794279836077
2020-08-09,GA,29.84716724576199
2020-08-10,GA,22.877491082346438
2020-08-11,GA,33.558048878715674
2020-08-12,GA,33.57688584131949
2020-08-13,GA,23.687480474310952
2020-08-14,GA,30.39343916127294
2020-08-15,GA,30.826689301160933
2020-08-16,GA,17.537212184161827
2020-08-17,GA,17.245239263802524
2020-08-18,GA,26.522443346186733
2020-08-19,GA,21.709599400909237
2020-08-20,GA,25.985589911977698
2020-08-21,GA,27.209992481226372
2020-08-22,GA,24.412703534558243
2020-08-23,GA,16.265717208403586
2020-08-24,GA,21.70018091960733
2020-08-25,GA,19.78822921531901
2020-08-26,GA,21.059724191077247
2020-08-27,GA,23.39550755395165
2020-08-28,GA,21.64367003179585
2020-08-29,GA,22.472496386364185
2020-08-30,GA,11.443454781824178
2020-08-31,GA,14.10888499026553
2020-09-01,GA,20.96553937805812
2020-09-02,GA,18.04581017446512
2020-09-03,GA,25.194437482617012
2020-09-04,GA,19.458582369752055
2020-09-05,GA,20.664147976396908
2020-09-06,GA,15.549912629458204
2020-09-07,GA,5.726436631563045
2020-09-08,GA,14.53271664885161
2020-09-09,GA,18.243598281805294
2020-09-10,GA,17.29233167031209
2020-09-11,GA,15.615841998571591
2020-09-12,GA,20.004854285263008
2020-09-13,GA,13.270640154395279
2020-09-14,GA,9.635106371856901
2020-09-15,GA,14.090048027661704
2020-09-16,GA,20.937283934152386
2020-09-17,GA,17.39593496463313
2020-09-18,GA,17.273494707708267
2020-09-19,GA,21.511811293569068
2020-09-20,GA,10.680557796369232
2020-09-21,GA,11.151481861464877
2020-09-22,GA,8.30710050828718
2020-09-23,GA,13.722727256887099
2020-09-24,GA,12.88448242101685
2020-09-25,GA,13.826330551208141
2020-09-26,GA,12.799716089299636
2020-09-27,GA,7.647806817153278
2020-09-28,GA,5.61341485594009
2020-09-29,GA,9.653943334460727
2020-09-30,GA,16.199787839290195
2020-10-01,GA,12.31937354290208
2020-10-02,GA,12.244025692486774
