date,STUSPS,positiveIncreaseRate
2020-01-22,ID,0.0
2020-01-23,ID,0.0
2020-01-24,ID,0.0
2020-01-25,ID,0.0
2020-01-26,ID,0.0
2020-01-27,ID,0.0
2020-01-28,ID,0.0
2020-01-29,ID,0.0
2020-01-30,ID,0.0
2020-01-31,ID,0.0
2020-02-01,ID,0.0
2020-02-02,ID,0.0
2020-02-03,ID,0.0
2020-02-04,ID,0.0
2020-02-05,ID,0.0
2020-02-06,ID,0.0
2020-02-07,ID,0.0
2020-02-08,ID,0.0
2020-02-09,ID,0.0
2020-02-10,ID,0.0
2020-02-11,ID,0.0
2020-02-12,ID,0.0
2020-02-13,ID,0.0
2020-02-14,ID,0.0
2020-02-15,ID,0.0
2020-02-16,ID,0.0
2020-02-17,ID,0.0
2020-02-18,ID,0.0
2020-02-19,ID,0.0
2020-02-20,ID,0.0
2020-02-21,ID,0.0
2020-02-22,ID,0.0
2020-02-23,ID,0.0
2020-02-24,ID,0.0
2020-02-25,ID,0.0
2020-02-26,ID,0.0
2020-02-27,ID,0.0
2020-02-28,ID,0.0
2020-02-29,ID,0.0
2020-03-01,ID,0.0
2020-03-02,ID,0.0
2020-03-03,ID,0.0
2020-03-04,ID,0.0
2020-03-05,ID,0.0
2020-03-06,ID,0.0
2020-03-07,ID,0.0
2020-03-08,ID,0.0
2020-03-09,ID,0.0
2020-03-10,ID,0.0
2020-03-11,ID,0.0
2020-03-12,ID,0.0
2020-03-13,ID,0.0
2020-03-14,ID,0.1119153472313542
2020-03-15,ID,0.16787302084703132
2020-03-16,ID,0.0
2020-03-17,ID,0.1119153472313542
2020-03-18,ID,0.1119153472313542
2020-03-19,ID,0.1119153472313542
2020-03-20,ID,0.6714920833881253
2020-03-21,ID,0.4476613889254168
2020-03-22,ID,0.6155344097724481
2020-03-23,ID,0.2797883680783855
2020-03-24,ID,0.16787302084703132
2020-03-25,ID,1.2870264931605733
2020-03-26,ID,2.7978836807838547
2020-03-27,ID,3.693206458634689
2020-03-28,ID,2.2942646182427606
2020-03-29,ID,1.73468788208599
2020-03-30,ID,2.741926007168178
2020-03-31,ID,5.875555729646096
2020-04-01,ID,6.155344097724482
2020-04-02,ID,8.057905000657502
2020-04-03,ID,12.422603542680314
2020-04-04,ID,6.826836181112608
2020-04-05,ID,3.5812911114033343
2020-04-06,ID,1.3429841667762503
2020-04-07,ID,3.8610794794817203
2020-04-08,ID,2.238306944627084
2020-04-09,ID,1.2310688195448962
2020-04-10,ID,6.7708785074969295
2020-04-11,ID,2.406179965474116
2020-04-12,ID,0.6155344097724481
2020-04-13,ID,1.063195798697865
2020-04-14,ID,1.5108571876232817
2020-04-15,ID,0.6155344097724481
2020-04-16,ID,6.882793854728282
2020-04-17,ID,1.2310688195448962
2020-04-18,ID,2.5740529863211465
2020-04-19,ID,0.7274497570038023
2020-04-20,ID,0.2238306944627084
2020-04-21,ID,3.5812911114033343
2020-04-22,ID,1.6787302084703133
2020-04-23,ID,2.014476250164376
2020-04-24,ID,1.9025609029330213
2020-04-25,ID,1.9025609029330213
2020-04-26,ID,0.9512804514665107
2020-04-27,ID,0.559576736156771
2020-04-28,ID,1.119153472313542
2020-04-29,ID,1.9585185765486988
2020-04-30,ID,1.7906455557016672
2020-05-01,ID,1.73468788208599
2020-05-02,ID,1.119153472313542
2020-05-03,ID,1.4548995140076046
2020-05-04,ID,0.0
2020-05-05,ID,2.5180953127054693
2020-05-06,ID,1.1751111459292192
2020-05-07,ID,1.73468788208599
2020-05-08,ID,1.119153472313542
2020-05-09,ID,1.5108571876232817
2020-05-10,ID,1.3989418403919276
2020-05-11,ID,0.0
2020-05-12,ID,1.6787302084703133
2020-05-13,ID,1.8466032293173444
2020-05-14,ID,1.73468788208599
2020-05-15,ID,1.5108571876232817
2020-05-16,ID,2.12639159739573
2020-05-17,ID,1.6787302084703133
2020-05-18,ID,0.0
2020-05-19,ID,2.014476250164376
2020-05-20,ID,1.1751111459292192
2020-05-21,ID,1.6787302084703133
2020-05-22,ID,1.5668148612389587
2020-05-23,ID,3.4134180905563034
2020-05-24,ID,1.73468788208599
2020-05-25,ID,0.0
2020-05-26,ID,0.0
2020-05-27,ID,4.0849101739444285
2020-05-28,ID,1.7906455557016672
2020-05-29,ID,2.12639159739573
2020-05-30,ID,1.9025609029330213
2020-05-31,ID,2.014476250164376
2020-06-01,ID,0.0
2020-06-02,ID,3.7491641322503657
2020-06-03,ID,1.5108571876232817
2020-06-04,ID,3.1895873960935948
2020-06-05,ID,3.5812911114033343
2020-06-06,ID,3.1895873960935948
2020-06-07,ID,1.5668148612389587
2020-06-08,ID,0.0
2020-06-09,ID,2.7978836807838547
2020-06-10,ID,1.73468788208599
2020-06-11,ID,2.238306944627084
2020-06-12,ID,2.3502222918584383
2020-06-13,ID,2.8538413543995325
2020-06-14,ID,2.5740529863211465
2020-06-15,ID,0.0
2020-06-16,ID,3.525333437787657
2020-06-17,ID,4.364698542022814
2020-06-18,ID,5.148105972642293
2020-06-19,ID,6.211301771340157
2020-06-20,ID,7.16258222280667
2020-06-21,ID,7.55428593811641
2020-06-22,ID,0.0
2020-06-23,ID,13.877503056687921
