date,STUSPS,positiveIncreaseRate
2020-01-22,IL,0.0
2020-01-23,IL,0.0
2020-01-24,IL,0.0
2020-01-25,IL,0.0
2020-01-26,IL,0.0
2020-01-27,IL,0.0
2020-01-28,IL,0.0
2020-01-29,IL,0.0
2020-01-30,IL,0.0
2020-01-31,IL,0.0
2020-02-01,IL,0.0
2020-02-02,IL,0.0
2020-02-03,IL,0.0
2020-02-04,IL,0.0
2020-02-05,IL,0.0
2020-02-06,IL,0.0
2020-02-07,IL,0.0
2020-02-08,IL,0.0
2020-02-09,IL,0.0
2020-02-10,IL,0.0
2020-02-11,IL,0.0
2020-02-12,IL,0.0
2020-02-13,IL,0.0
2020-02-14,IL,0.0
2020-02-15,IL,0.0
2020-02-16,IL,0.0
2020-02-17,IL,0.0
2020-02-18,IL,0.0
2020-02-19,IL,0.0
2020-02-20,IL,0.0
2020-02-21,IL,0.0
2020-02-22,IL,0.0
2020-02-23,IL,0.0
2020-02-24,IL,0.0
2020-02-25,IL,0.0
2020-02-26,IL,0.0
2020-02-27,IL,0.0
2020-02-28,IL,0.0
2020-02-29,IL,0.0
2020-03-01,IL,0.0
2020-03-02,IL,0.0
2020-03-03,IL,0.0
2020-03-04,IL,0.03156610245678186
2020-03-05,IL,0.007891525614195465
2020-03-06,IL,0.0
2020-03-07,IL,0.007891525614195465
2020-03-08,IL,0.0
2020-03-09,IL,0.007891525614195465
2020-03-10,IL,0.09469830737034557
2020-03-11,IL,0.0
2020-03-12,IL,0.047349153685172785
2020-03-13,IL,0.05524067929936826
2020-03-14,IL,0.11048135859873652
2020-03-15,IL,0.14204746105551838
2020-03-16,IL,0.2288542428116685
2020-03-17,IL,0.5208406905369007
2020-03-18,IL,1.018006804231215
2020-03-19,IL,1.0574644323021924
2020-03-20,IL,1.2863186751138609
2020-03-21,IL,1.3257763031848382
2020-03-22,IL,2.335891581801858
2020-03-23,IL,1.7677017375797843
2020-03-24,IL,2.067579710919212
2020-03-25,IL,2.604203452684504
2020-03-26,IL,5.310996738353548
2020-03-27,IL,3.851064499727388
2020-03-28,IL,3.669559410600892
2020-03-29,IL,8.72013580368599
2020-03-30,IL,3.6379933081441096
2020-03-31,IL,7.3943595005011495
2020-04-01,IL,7.781044255596731
2020-04-02,IL,5.642440814149758
2020-04-03,IL,9.54085446756232
2020-04-04,IL,11.466386717426012
2020-04-05,IL,7.094481527161723
2020-04-06,IL,7.938874767880637
2020-04-07,IL,10.156393465469565
2020-04-08,IL,12.066142664104865
2020-04-09,IL,10.606210425478707
2020-04-10,IL,11.561085024796355
2020-04-11,IL,10.203742619154736
2020-04-12,IL,13.19463082693482
2020-04-13,IL,9.25675954545128
2020-04-14,IL,9.643444300546859
2020-04-15,IL,10.621993476707097
2020-04-16,IL,8.996339200182833
2020-04-17,IL,14.536190181348047
2020-04-18,IL,12.508068098499816
2020-04-19,IL,9.446156160191975
2020-04-20,IL,9.083145981938982
2020-04-21,IL,12.239756227617168
2020-04-22,IL,16.169735983486508
2020-04-23,IL,14.40992577152092
2020-04-24,IL,21.49651577306845
2020-04-25,IL,16.722142776480187
2020-04-26,IL,16.77738345577956
2020-04-27,IL,15.62522071610702
2020-04-28,IL,17.51129533789974
2020-04-29,IL,17.779607208782387
2020-04-30,IL,20.22598014918298
2020-05-01,IL,24.755715851731182
2020-05-02,IL,19.33423775477889
2020-05-03,IL,23.62722768890123
2020-05-04,IL,18.474061462831585
2020-05-05,IL,16.745817353322778
2020-05-06,IL,17.913763144223708
2020-05-07,IL,20.841519147090228
2020-05-08,IL,22.782834448182307
2020-05-09,IL,18.347797053004452
2020-05-10,IL,13.068366417107693
2020-05-11,IL,9.990671427571462
2020-05-12,IL,31.676583815380603
2020-05-13,IL,13.234088455005796
2020-05-14,IL,25.560651464379117
2020-05-15,IL,19.19219029372337
2020-05-16,IL,16.477505482440133
2020-05-17,IL,13.683905415014934
2020-05-18,IL,18.1031597589644
2020-05-19,IL,12.192407073931994
2020-05-20,IL,18.844963166698765
2020-05-21,IL,17.89798009299532
2020-05-22,IL,21.76482764395109
2020-05-23,IL,18.560868244587734
2020-05-24,IL,19.791946240402233
2020-05-25,IL,13.518183377116832
2020-05-26,IL,9.296217173522258
2020-05-27,IL,8.767484957371162
2020-05-28,IL,12.050359612876475
2020-05-29,IL,12.800054546225045
2020-05-30,IL,11.53741044795377
2020-05-31,IL,10.59831889986451
2020-06-01,IL,7.686345948226384
2020-06-02,IL,12.73692234131148
2020-06-03,IL,7.749478153139948
2020-06-04,IL,7.3312272955875875
2020-06-05,IL,9.122603610009957
2020-06-06,IL,7.694237473840578
2020-06-07,IL,6.841952707507469
2020-06-08,IL,10.906088398818138
2020-06-09,IL,6.289545914513786
2020-06-10,IL,4.932203508872166
2020-06-11,IL,6.044908620473727
2020-06-12,IL,5.77659674959108
2020-06-13,IL,5.310996738353548
2020-06-14,IL,5.303105212739354
2020-06-15,IL,3.732691615514456
2020-06-16,IL,4.916420457643776
2020-06-17,IL,4.308772985350724
2020-06-18,IL,4.6796746892179115
2020-06-19,IL,6.557857785396433
2020-06-20,IL,5.0032272393999255
2020-06-21,IL,5.192623854140616
2020-06-22,IL,3.645884833758305
2020-06-23,IL,4.7428068941314745
2020-06-24,IL,5.642440814149758
2020-06-25,IL,7.055023899090747
2020-06-26,IL,7.181288308917874
2020-06-27,IL,6.202739132757636
2020-06-28,IL,5.097925546770272
2020-06-29,IL,5.823945903276253
2020-06-30,IL,5.7134645446775165
2020-07-01,IL,6.534183208553847
2020-07-02,IL,6.857735758735861
2020-07-03,IL,7.3943595005011495
2020-07-04,IL,6.802495079436492
2020-07-05,IL,5.0426848674709035
2020-07-06,IL,4.845396727116016
2020-07-07,IL,4.632325535532739
2020-07-08,IL,7.733695101911556
2020-07-09,IL,8.033573075250983
2020-07-10,IL,10.472054490037383
2020-07-11,IL,9.430373108963582
2020-07-12,IL,7.528515435942475
