date,STUSPS,positiveIncreaseRate
2020-01-22,KS,0.0
2020-01-23,KS,0.0
2020-01-24,KS,0.0
2020-01-25,KS,0.0
2020-01-26,KS,0.0
2020-01-27,KS,0.0
2020-01-28,KS,0.0
2020-01-29,KS,0.0
2020-01-30,KS,0.0
2020-01-31,KS,0.0
2020-02-01,KS,0.0
2020-02-02,KS,0.0
2020-02-03,KS,0.0
2020-02-04,KS,0.0
2020-02-05,KS,0.0
2020-02-06,KS,0.0
2020-02-07,KS,0.0
2020-02-08,KS,0.0
2020-02-09,KS,0.0
2020-02-10,KS,0.0
2020-02-11,KS,0.0
2020-02-12,KS,0.0
2020-02-13,KS,0.0
2020-02-14,KS,0.0
2020-02-15,KS,0.0
2020-02-16,KS,0.0
2020-02-17,KS,0.0
2020-02-18,KS,0.0
2020-02-19,KS,0.0
2020-02-20,KS,0.0
2020-02-21,KS,0.0
2020-02-22,KS,0.0
2020-02-23,KS,0.0
2020-02-24,KS,0.0
2020-02-25,KS,0.0
2020-02-26,KS,0.0
2020-02-27,KS,0.0
2020-02-28,KS,0.0
2020-02-29,KS,0.0
2020-03-01,KS,0.0
2020-03-02,KS,0.0
2020-03-03,KS,0.0
2020-03-04,KS,0.0
2020-03-05,KS,0.0
2020-03-06,KS,0.0
2020-03-07,KS,0.0
2020-03-08,KS,0.034325170578935194
2020-03-09,KS,0.0
2020-03-10,KS,0.0
2020-03-11,KS,0.0
2020-03-12,KS,0.10297551173680557
2020-03-13,KS,0.06865034115787039
2020-03-14,KS,0.0
2020-03-15,KS,0.06865034115787039
2020-03-16,KS,0.10297551173680557
2020-03-17,KS,0.13730068231574075
2020-03-18,KS,0.034325170578935194
2020-03-19,KS,0.6178530704208335
2020-03-20,KS,0.3432517057893519
2020-03-21,KS,0.3775768763682871
2020-03-22,KS,0.30892653521041674
2020-03-23,KS,0.6178530704208335
2020-03-24,KS,0.5492027292629631
2020-03-25,KS,0.9611047762101852
2020-03-26,KS,1.441657164315278
2020-03-27,KS,1.1670557996837965
2020-03-28,KS,2.025185064157176
2020-03-29,KS,1.9908598935782411
2020-03-30,KS,1.6819333583678244
2020-03-31,KS,2.0595102347361114
2020-04-01,KS,1.8535592112625008
2020-04-02,KS,2.402761940525464
2020-04-03,KS,2.3341115993675934
2020-04-04,KS,2.6773633051569448
2020-04-05,KS,1.6819333583678244
2020-04-06,KS,3.3638667167356493
2020-04-07,KS,1.8878843818414357
2020-04-08,KS,5.011474904524538
2020-04-09,KS,2.0595102347361114
2020-04-10,KS,2.0595102347361114
2020-04-11,KS,3.5011673990513894
2020-04-12,KS,2.3684367699465283
2020-04-13,KS,1.3386816525784726
2020-04-14,KS,1.7162585289467598
2020-04-15,KS,2.3341115993675934
2020-04-16,KS,3.226566034419908
2020-04-17,KS,4.016044957735417
2020-04-18,KS,2.9176394992094914
2020-04-19,KS,2.025185064157176
2020-04-20,KS,4.702548369314123
2020-04-21,KS,1.3386816525784726
2020-04-22,KS,6.384481727681947
2020-04-23,KS,9.302121226891435
2020-04-24,KS,10.125925320785882
2020-04-25,KS,9.576722591522918
2020-04-26,KS,4.050370128314352
2020-04-27,KS,5.28607626915602
2020-04-28,KS,5.595002804366436
2020-04-29,KS,8.478317132996992
2020-04-30,KS,17.162585289467593
2020-05-01,KS,7.242610992155325
2020-05-02,KS,10.194575661943752
2020-05-03,KS,9.748348444417594
2020-05-04,KS,7.379911674471066
2020-05-05,KS,7.311261333313197
2020-05-06,KS,9.473747079786113
2020-05-07,KS,14.07331993736343
2020-05-08,KS,12.254085896679866
2020-05-09,KS,8.581292644733796
2020-05-10,KS,6.7620586040502335
2020-05-11,KS,5.766628657261112
2020-05-12,KS,0.0
2020-05-13,KS,12.082460043785186
2020-05-14,KS,0.0
2020-05-15,KS,14.34792130199491
2020-05-16,KS,0.0
2020-05-17,KS,0.0
2020-05-18,KS,15.583627442836573
2020-05-19,KS,0.0
2020-05-20,KS,6.8307089452081025
2020-05-21,KS,0.0
2020-05-22,KS,14.382246472573847
2020-05-23,KS,0.0
2020-05-24,KS,0.0
2020-05-25,KS,8.92454435052315
2020-05-26,KS,0.0
2020-05-27,KS,4.084695298893289
2020-05-28,KS,0.0
2020-05-29,KS,13.112215161153244
2020-05-30,KS,0.0
2020-05-31,KS,0.0
2020-06-01,KS,10.022949809049075
2020-06-02,KS,0.0
2020-06-03,KS,5.457702122050695
2020-06-04,KS,0.0
2020-06-05,KS,7.654513039102548
2020-06-06,KS,0.0
2020-06-07,KS,0.0
2020-06-08,KS,8.821568838786343
2020-06-09,KS,0.0
2020-06-10,KS,5.560677633787501
2020-06-11,KS,0.0
2020-06-12,KS,8.066415086049771
2020-06-13,KS,0.0
2020-06-14,KS,0.0
2020-06-15,KS,12.768963455363894
2020-06-16,KS,0.0
2020-06-17,KS,8.993194691681019
2020-06-18,KS,0.0
2020-06-19,KS,12.974914478837507
2020-06-20,KS,0.0
2020-06-21,KS,0.0
2020-06-22,KS,13.936019255047688
2020-06-23,KS,0.0
2020-06-24,KS,17.33421114236227
2020-06-25,KS,0.0
2020-06-26,KS,19.496696888835192
2020-06-27,KS,0.0
2020-06-28,KS,0.0
2020-06-29,KS,31.06427937393635
2020-06-30,KS,0.0
2020-07-01,KS,18.775868306677552
2020-07-02,KS,0.0
2020-07-03,KS,31.888083467830796
2020-07-04,KS,0.0
2020-07-05,KS,0.0
2020-07-06,KS,33.707317508514365
2020-07-07,KS,0.0
2020-07-08,KS,24.61114730509653
2020-07-09,KS,0.0
2020-07-10,KS,34.084894384882645
2020-07-11,KS,0.0
2020-07-12,KS,0.0
2020-07-13,KS,49.66852182771922
2020-07-14,KS,0.0
2020-07-15,KS,30.03452425656829
2020-07-16,KS,0.0
2020-07-17,KS,35.42357603746112
2020-07-18,KS,0.0
2020-07-19,KS,0.0
2020-07-20,KS,46.99115852256229
2020-07-21,KS,0.0
2020-07-22,KS,26.430381345780102
2020-07-23,KS,0.0
2020-07-24,KS,34.496796431829864
2020-07-25,KS,0.0
2020-07-26,KS,0.0
