date,STUSPS,positiveIncreaseRate
2020-01-22,KY,0.0
2020-01-23,KY,0.0
2020-01-24,KY,0.0
2020-01-25,KY,0.0
2020-01-26,KY,0.0
2020-01-27,KY,0.0
2020-01-28,KY,0.0
2020-01-29,KY,0.0
2020-01-30,KY,0.0
2020-01-31,KY,0.0
2020-02-01,KY,0.0
2020-02-02,KY,0.0
2020-02-03,KY,0.0
2020-02-04,KY,0.0
2020-02-05,KY,0.0
2020-02-06,KY,0.0
2020-02-07,KY,0.0
2020-02-08,KY,0.0
2020-02-09,KY,0.0
2020-02-10,KY,0.0
2020-02-11,KY,0.0
2020-02-12,KY,0.0
2020-02-13,KY,0.0
2020-02-14,KY,0.0
2020-02-15,KY,0.0
2020-02-16,KY,0.0
2020-02-17,KY,0.0
2020-02-18,KY,0.0
2020-02-19,KY,0.0
2020-02-20,KY,0.0
2020-02-21,KY,0.0
2020-02-22,KY,0.0
2020-02-23,KY,0.0
2020-02-24,KY,0.0
2020-02-25,KY,0.0
2020-02-26,KY,0.0
2020-02-27,KY,0.0
2020-02-28,KY,0.0
2020-02-29,KY,0.0
2020-03-01,KY,0.0
2020-03-02,KY,0.0
2020-03-03,KY,0.0
2020-03-04,KY,0.0
2020-03-05,KY,0.0
2020-03-06,KY,0.0
2020-03-07,KY,0.0223830168412057
2020-03-08,KY,0.0
2020-03-09,KY,0.0671490505236171
2020-03-10,KY,0.0447660336824114
2020-03-11,KY,0.0447660336824114
2020-03-12,KY,0.0
2020-03-13,KY,0.0671490505236171
2020-03-14,KY,0.0671490505236171
2020-03-15,KY,0.0447660336824114
2020-03-16,KY,0.1119150842060285
2020-03-17,KY,0.0223830168412057
2020-03-18,KY,0.0895320673648228
2020-03-19,KY,0.2014471515708513
2020-03-20,KY,0.2685962020944684
2020-03-21,KY,0.1566811178884399
2020-03-22,KY,1.0072357578542566
2020-03-23,KY,0.1119150842060285
2020-03-24,KY,0.44766033682411405
2020-03-25,KY,0.7386395557597881
2020-03-26,KY,0.9177036904894338
2020-03-27,KY,1.1191508420602851
2020-03-28,KY,1.208682909425108
2020-03-29,KY,2.0592375493909247
2020-03-30,KY,1.0072357578542566
2020-03-31,KY,0.9177036904894338
2020-04-01,KY,2.484514869373833
2020-04-02,KY,1.9920884988673075
2020-04-03,KY,2.014471515708513
2020-04-04,KY,1.3653640273135477
2020-04-05,KY,1.9249394483436904
2020-04-06,KY,0.8505546399658167
2020-04-07,KY,1.186299892583902
2020-04-08,KY,3.1560053746100043
2020-04-09,KY,4.409454317717524
2020-04-10,KY,7.7669068438983775
2020-04-11,KY,0.0
2020-04-12,KY,3.2903034756572382
2020-04-13,KY,2.7531110714683007
2020-04-14,KY,1.9025564315024843
2020-04-15,KY,3.6260487282753235
2020-04-16,KY,1.8130243641376618
2020-04-17,KY,3.0888563240863864
2020-04-18,KY,2.08162056623213
2020-04-19,KY,4.140858115623055
2020-04-20,KY,5.6629032608250425
2020-04-21,KY,2.014471515708513
2020-04-22,KY,3.1783883914512097
2020-04-23,KY,4.051326048258232
2020-04-24,KY,2.417365818850216
2020-04-25,KY,6.6701390186793
2020-04-26,KY,2.8202601219919186
2020-04-27,KY,3.782729846163764
2020-04-28,KY,1.6115772125668104
2020-04-29,KY,5.125710856636107
2020-04-30,KY,3.6708147619577347
2020-05-01,KY,3.782729846163764
2020-05-02,KY,3.827495879846175
2020-05-03,KY,0.0
2020-05-04,KY,5.618137227142631
2020-05-05,KY,2.574046936738656
2020-05-06,KY,12.915000717375689
2020-05-07,KY,2.5068978862150386
2020-05-08,KY,4.364688284035112
2020-05-09,KY,3.5588996777517066
2020-05-10,KY,3.402218559863267
2020-05-11,KY,0.0
2020-05-12,KY,5.304774991365751
2020-05-13,KY,3.939410964052204
2020-05-14,KY,5.080944822953693
2020-05-15,KY,3.245537441974826
2020-05-16,KY,4.901880688224049
2020-05-17,KY,5.461456109254191
2020-05-18,KY,0.0
2020-05-19,KY,8.527929416499372
2020-05-20,KY,0.0
2020-05-21,KY,4.610901469288375
2020-05-22,KY,0.2462131852532627
2020-05-23,KY,3.1336223577687985
2020-05-24,KY,3.245537441974826
2020-05-25,KY,0.0
2020-05-26,KY,0.0
2020-05-27,KY,11.325806521650085
2020-05-28,KY,0.0
2020-05-29,KY,2.3949828020090096
2020-05-30,KY,6.267244715537597
2020-05-31,KY,5.371924041889368
2020-06-01,KY,7.65499175969235
2020-06-02,KY,3.111239340927592
2020-06-03,KY,5.036178789271284
2020-06-04,KY,6.602989968155682
2020-06-05,KY,6.088180580807951
2020-06-06,KY,6.938735220773768
2020-06-07,KY,0.0
2020-06-08,KY,4.230390182987878
2020-06-09,KY,5.192859907159723
2020-06-10,KY,3.9170279472109977
2020-06-11,KY,1.3877470441547537
2020-06-12,KY,0.0
2020-06-13,KY,11.191508420602851
2020-06-14,KY,0.0
2020-06-15,KY,4.521369401923551
2020-06-16,KY,4.073709065099437
2020-06-17,KY,3.7155807956401454
2020-06-18,KY,4.521369401923551
2020-06-19,KY,5.752435328189867
2020-06-20,KY,3.939410964052204
2020-06-21,KY,2.685962020944684
2020-06-22,KY,1.9920884988673075
2020-06-23,KY,6.759671086044122
2020-06-24,KY,4.969029738747666
2020-06-25,KY,5.685286277666247
2020-06-26,KY,5.41669007557178
2020-06-27,KY,0.0
2020-06-28,KY,8.348865281769726
2020-06-29,KY,2.574046936738656
2020-06-30,KY,6.200095665013978
2020-07-01,KY,4.879497671382842
2020-07-02,KY,5.304774991365751
2020-07-03,KY,6.6477560018380935
2020-07-04,KY,0.0
2020-07-05,KY,0.0
2020-07-06,KY,17.369221068775627
2020-07-07,KY,8.214567180722494
2020-07-08,KY,8.953206736482281
2020-07-09,KY,7.296863490233059
2020-07-10,KY,9.512782157512422
2020-07-11,KY,10.094740595383772
2020-07-12,KY,5.998648513443128
2020-07-13,KY,5.909116446078305
2020-07-14,KY,12.75831959948725
2020-07-15,KY,10.161889645907387
2020-07-16,KY,9.087504837529517
2020-07-17,KY,11.683934791109376
2020-07-18,KY,12.9597667510581
2020-07-19,KY,21.86820745385797
2020-07-20,KY,5.6629032608250425
2020-07-21,KY,14.459428879418885
2020-07-22,KY,10.743848083778737
2020-07-23,KY,13.586491222611864
2020-07-24,KY,17.54828520350527
2020-07-25,KY,18.645053028724348
2020-07-26,KY,7.050650304979796
2020-07-27,KY,11.683934791109376
2020-07-28,KY,11.751083841632994
2020-07-29,KY,13.452193121564624
2020-07-30,KY,14.750408098354555
2020-07-31,KY,17.123007883522362
2020-08-01,KY,12.803085633169664
2020-08-02,KY,10.340953780637037
2020-08-03,KY,7.229714439709443
2020-08-04,KY,15.421898603590732
2020-08-05,KY,12.176361161615901
2020-08-06,KY,11.482487639538526
2020-08-07,KY,12.13159512793349
2020-08-08,KY,17.50351916982286
2020-08-09,KY,9.042738803847103
2020-08-10,KY,6.088180580807951
2020-08-11,KY,12.064446077409873
2020-08-12,KY,25.78523540106897
2020-08-13,KY,16.585815479333426
2020-08-14,KY,13.698406306817887
2020-08-15,KY,14.146066643642007
2020-08-16,KY,8.617461483864195
2020-08-17,KY,8.416014332293344
2020-08-18,KY,13.608874239453067
2020-08-19,KY,14.034151559435976
2020-08-20,KY,15.668111788843989
2020-08-21,KY,14.302747761530442
2020-08-22,KY,0.0
2020-08-23,KY,28.292133287284013
2020-08-24,KY,8.28171623124611
2020-08-25,KY,14.974238266766616
2020-08-26,KY,14.817557148878171
2020-08-27,KY,16.742496597221862
2020-08-28,KY,17.43637011929924
2020-08-29,KY,18.35407380978868
2020-08-30,KY,10.184272662748594
2020-08-31,KY,8.147418130198874
2020-09-01,KY,17.660200287711294
2020-09-02,KY,18.040711574011798
2020-09-03,KY,20.010417056037895
2020-09-04,KY,17.727349338234912
2020-09-05,KY,17.615434254028887
2020-09-06,KY,6.938735220773768
2020-09-07,KY,6.491074883949653
2020-09-08,KY,5.707669294507455
2020-09-09,KY,14.728025081513353
2020-09-10,KY,17.794498388758534
2020-09-11,KY,20.860971696003716
2020-09-12,KY,15.914324974097257
2020-09-13,KY,11.862998925839024
2020-09-14,KY,7.543076675486321
2020-09-15,KY,16.071006091985694
2020-09-16,KY,17.100624866681155
2020-09-17,KY,13.564108205770655
2020-09-18,KY,16.966326765633926
2020-09-19,KY,21.890590470699177
2020-09-20,KY,9.758995342765685
2020-09-21,KY,8.393631315452138
2020-09-22,KY,18.21977570874144
2020-09-23,KY,17.59305123718768
2020-09-24,KY,14.347513795212851
2020-09-25,KY,20.323779291814773
2020-09-26,KY,21.71152633596953
2020-09-27,KY,10.184272662748594
2020-09-28,KY,10.027591544860154
2020-09-29,KY,20.52522644338563
2020-09-30,KY,22.024888571746413
2020-10-01,KY,19.876118954990663
2020-10-02,KY,22.36063382436449
2020-10-03,KY,28.515963455696067
2020-10-04,KY,13.787938374182714
2020-10-05,KY,12.109212111092287
2020-10-06,KY,23.188805447489106
2020-10-07,KY,53.56255930100525
2020-10-08,KY,19.428458618166548
2020-10-09,KY,22.40539985804691
2020-10-10,KY,22.136803655952438
2020-10-11,KY,18.95841526450123
2020-10-12,KY,14.280364744689233
2020-10-13,KY,17.033475816157534
2020-10-14,KY,29.59034826407393
2020-10-15,KY,26.456725906305138
2020-10-16,KY,29.34413507882067
2020-10-17,KY,28.89647474199656
2020-10-18,KY,18.130243641376612
2020-10-19,KY,14.32513077837165
2020-10-20,KY,29.030772843043795
2020-10-21,KY,32.500140453430674
2020-10-22,KY,29.165070944091028
2020-10-23,KY,32.432991402907064
2020-10-24,KY,38.76738516896828
