date,STUSPS,positiveIncreaseRate
2020-01-22,LA,0.0
2020-01-23,LA,0.0
2020-01-24,LA,0.0
2020-01-25,LA,0.0
2020-01-26,LA,0.0
2020-01-27,LA,0.0
2020-01-28,LA,0.0
2020-01-29,LA,0.0
2020-01-30,LA,0.0
2020-01-31,LA,0.0
2020-02-01,LA,0.0
2020-02-02,LA,0.0
2020-02-03,LA,0.0
2020-02-04,LA,0.0
2020-02-05,LA,0.0
2020-02-06,LA,0.0
2020-02-07,LA,0.0
2020-02-08,LA,0.0
2020-02-09,LA,0.0
2020-02-10,LA,0.0
2020-02-11,LA,0.0
2020-02-12,LA,0.0
2020-02-13,LA,0.0
2020-02-14,LA,0.0
2020-02-15,LA,0.0
2020-02-16,LA,0.0
2020-02-17,LA,0.0
2020-02-18,LA,0.0
2020-02-19,LA,0.0
2020-02-20,LA,0.0
2020-02-21,LA,0.0
2020-02-22,LA,0.0
2020-02-23,LA,0.0
2020-02-24,LA,0.0
2020-02-25,LA,0.0
2020-02-26,LA,0.0
2020-02-27,LA,0.0
2020-02-28,LA,0.0
2020-02-29,LA,0.0
2020-03-01,LA,0.0
2020-03-02,LA,0.0
2020-03-03,LA,0.0
2020-03-04,LA,0.0
2020-03-05,LA,0.0
2020-03-06,LA,0.0
2020-03-07,LA,0.0
2020-03-08,LA,0.0
2020-03-09,LA,0.021510955314432086
2020-03-10,LA,0.0
2020-03-11,LA,0.10755477657216043
2020-03-12,LA,0.1720876425154567
2020-03-13,LA,0.4732410169175059
2020-03-14,LA,0.3226643297164813
2020-03-15,LA,0.8389272572628514
2020-03-16,LA,0.5377738828608022
2020-03-17,LA,0.4732410169175059
2020-03-18,LA,2.2156283973865047
2020-03-19,LA,2.3016722186442333
2020-03-20,LA,2.710380369618443
2020-03-21,LA,2.3016722186442333
2020-03-22,LA,5.528315515809046
2020-03-23,LA,7.20617003033475
2020-03-24,LA,4.646366347917331
2020-03-25,LA,8.754958812973861
2020-03-26,LA,10.970587210360362
2020-03-27,LA,9.48633129366455
2020-03-28,LA,12.239733573911858
2020-03-29,LA,4.83996494574722
2020-03-30,LA,10.432813327499565
2020-03-31,LA,26.07127784109169
2020-04-01,LA,25.53350395823089
2020-04-02,LA,58.63886418714187
2020-04-03,LA,24.67306574565361
2020-04-04,LA,47.30259073643616
2020-04-05,LA,11.056631031618092
2020-04-06,LA,39.94584401890039
2020-04-07,LA,30.48102368055027
2020-04-08,LA,16.047172664566336
2020-04-09,LA,26.95322700898341
2020-04-10,LA,20.86562665499913
2020-04-11,LA,16.369836994282814
2020-04-12,LA,12.497865037685044
2020-04-13,LA,9.056112187375911
2020-04-14,LA,10.798499567844908
2020-04-15,LA,9.314243651149091
2020-04-16,LA,12.497865037685044
2020-04-17,LA,12.605419814257202
2020-04-18,LA,9.938061355267623
2020-04-19,LA,7.485812449422367
2020-04-20,LA,12.799018412087092
2020-04-21,LA,7.120126209077022
2020-04-22,LA,8.690425947030562
2020-04-23,LA,10.346769506241834
2020-04-24,LA,8.625893081087268
2020-04-25,LA,8.002075376968738
2020-04-26,LA,5.614359337066776
2020-04-27,LA,6.345731817757466
2020-04-28,LA,4.689388258546195
2020-04-29,LA,8.045097287597601
2020-04-30,LA,7.335235762221342
2020-05-01,LA,15.272778273246779
2020-05-02,LA,9.228199829891363
2020-05-03,LA,4.3021910628864175
2020-05-04,LA,7.163148119705885
2020-05-05,LA,6.948038566561563
2020-05-06,LA,8.66891499171613
2020-05-07,LA,5.4422716945513185
2020-05-08,LA,4.366723928829714
2020-05-09,LA,12.089156886710837
2020-05-10,LA,3.936504822541072
2020-05-11,LA,4.624855392602899
2020-05-12,LA,5.05507449889154
2020-05-13,LA,13.16470465243244
2020-05-14,LA,17.789560045035337
2020-05-15,LA,7.485812449422367
2020-05-16,LA,6.023067488040984
2020-05-17,LA,6.775950924046107
2020-05-18,LA,5.958534622097687
2020-05-19,LA,7.077104298448156
2020-05-20,LA,5.98004557741212
2020-05-21,LA,25.55501491354532
2020-05-22,LA,9.056112187375911
2020-05-23,LA,2.47375986115969
2020-05-24,LA,2.774913235561739
2020-05-25,LA,13.767011401236534
2020-05-26,LA,5.270184052035861
2020-05-27,LA,9.529353204293416
2020-05-28,LA,6.5608413709017865
2020-05-29,LA,0.0
2020-05-30,LA,16.67099036868487
2020-05-31,LA,7.292213851592479
2020-06-01,LA,9.142156008633636
2020-06-02,LA,8.711936902344997
2020-06-03,LA,8.324739706685218
2020-06-04,LA,9.228199829891363
2020-06-05,LA,9.185177919262502
2020-06-06,LA,10.690944791272747
2020-06-07,LA,7.0986152537625875
2020-06-08,LA,5.033563543577109
2020-06-09,LA,12.089156886710837
2020-06-10,LA,8.991579321432614
2020-06-11,LA,9.507842248978985
2020-06-12,LA,11.250229629447979
2020-06-13,LA,27.70611044498852
2020-06-14,LA,7.227680985649181
