date,STUSPS,positiveIncreaseRate
2020-01-22,MD,0.0
2020-01-23,MD,0.0
2020-01-24,MD,0.0
2020-01-25,MD,0.0
2020-01-26,MD,0.0
2020-01-27,MD,0.0
2020-01-28,MD,0.0
2020-01-29,MD,0.0
2020-01-30,MD,0.0
2020-01-31,MD,0.0
2020-02-01,MD,0.0
2020-02-02,MD,0.0
2020-02-03,MD,0.0
2020-02-04,MD,0.0
2020-02-05,MD,0.0
2020-02-06,MD,0.0
2020-02-07,MD,0.0
2020-02-08,MD,0.0
2020-02-09,MD,0.0
2020-02-10,MD,0.0
2020-02-11,MD,0.0
2020-02-12,MD,0.0
2020-02-13,MD,0.0
2020-02-14,MD,0.0
2020-02-15,MD,0.0
2020-02-16,MD,0.0
2020-02-17,MD,0.0
2020-02-18,MD,0.0
2020-02-19,MD,0.0
2020-02-20,MD,0.0
2020-02-21,MD,0.0
2020-02-22,MD,0.0
2020-02-23,MD,0.0
2020-02-24,MD,0.0
2020-02-25,MD,0.0
2020-02-26,MD,0.0
2020-02-27,MD,0.0
2020-02-28,MD,0.0
2020-02-29,MD,0.0
2020-03-01,MD,0.0
2020-03-02,MD,0.0
2020-03-03,MD,0.0
2020-03-04,MD,0.0
2020-03-05,MD,0.0
2020-03-06,MD,0.04962220957774807
2020-03-07,MD,0.0
2020-03-08,MD,0.0
2020-03-09,MD,0.03308147305183205
2020-03-10,MD,0.016540736525916026
2020-03-11,MD,0.04962220957774807
2020-03-12,MD,0.04962220957774807
2020-03-13,MD,0.08270368262958014
2020-03-14,MD,0.14886662873324422
2020-03-15,MD,0.08270368262958014
2020-03-16,MD,0.09924441915549614
2020-03-17,MD,0.3308147305183205
2020-03-18,MD,0.4631406227256488
2020-03-19,MD,0.36389620357015257
2020-03-20,MD,0.6947109340884731
2020-03-21,MD,0.6781701975625571
2020-03-22,MD,0.8931997723994655
2020-03-23,MD,0.7277924071403051
2020-03-24,MD,1.0089849280808776
2020-03-25,MD,1.2240145029177858
2020-03-26,MD,2.5968956345688157
2020-03-27,MD,3.2089028860277087
2020-03-28,MD,3.6058805626496935
2020-03-29,MD,4.085561921901259
2020-03-30,MD,2.8780881555093885
2020-03-31,MD,4.085561921901259
2020-04-01,MD,5.375739370922709
2020-04-02,MD,5.723094837966945
2020-04-03,MD,7.062894496566143
2020-04-04,MD,6.070450305011183
2020-04-05,MD,8.005716478543357
2020-04-06,MD,7.211761125299388
