date,STUSPS,positiveIncreaseRate
2020-01-22,MO,0.0
2020-01-23,MO,0.0
2020-01-24,MO,0.0
2020-01-25,MO,0.0
2020-01-26,MO,0.0
2020-01-27,MO,0.0
2020-01-28,MO,0.0
2020-01-29,MO,0.0
2020-01-30,MO,0.0
2020-01-31,MO,0.0
2020-02-01,MO,0.0
2020-02-02,MO,0.0
2020-02-03,MO,0.0
2020-02-04,MO,0.0
2020-02-05,MO,0.0
2020-02-06,MO,0.0
2020-02-07,MO,0.0
2020-02-08,MO,0.0
2020-02-09,MO,0.0
2020-02-10,MO,0.0
2020-02-11,MO,0.0
2020-02-12,MO,0.0
2020-02-13,MO,0.0
2020-02-14,MO,0.0
2020-02-15,MO,0.0
2020-02-16,MO,0.0
2020-02-17,MO,0.0
2020-02-18,MO,0.0
2020-02-19,MO,0.0
2020-02-20,MO,0.0
2020-02-21,MO,0.0
2020-02-22,MO,0.0
2020-02-23,MO,0.0
2020-02-24,MO,0.0
2020-02-25,MO,0.0
2020-02-26,MO,0.0
2020-02-27,MO,0.0
2020-02-28,MO,0.0
2020-02-29,MO,0.0
2020-03-01,MO,0.0
2020-03-02,MO,0.0
2020-03-03,MO,0.0
2020-03-04,MO,0.0
2020-03-05,MO,0.0
2020-03-06,MO,0.0
2020-03-07,MO,0.0
2020-03-08,MO,0.016293470163723303
2020-03-09,MO,0.0
2020-03-10,MO,0.0
2020-03-11,MO,0.0
2020-03-12,MO,0.0
2020-03-13,MO,0.016293470163723303
2020-03-14,MO,0.032586940327446606
2020-03-15,MO,0.016293470163723303
2020-03-16,MO,0.016293470163723303
2020-03-17,MO,0.032586940327446606
2020-03-18,MO,0.08146735081861653
2020-03-19,MO,0.17922817180095635
2020-03-20,MO,0.374749813765636
2020-03-21,MO,0.4236302242568059
2020-03-22,MO,0.2769889927832962
2020-03-23,MO,1.5152927252262671
2020-03-24,MO,0.0
2020-03-25,MO,2.818770338324132
2020-03-26,MO,2.3788466439036027
2020-03-27,MO,2.721009517341792
2020-03-28,MO,2.753596457669239
2020-03-29,MO,0.0
2020-03-30,MO,3.1446397415985983
2020-03-31,MO,4.822867168462098
2020-04-01,MO,4.138541421585719
2020-04-02,MO,4.122247951421996
2020-04-03,MO,4.545878175678801
2020-04-04,MO,2.9002376891427484
2020-04-05,MO,1.238303732442971
2020-04-06,MO,5.784181908121773
2020-04-07,MO,5.132443101572841
2020-04-08,MO,4.725106347479759
2020-04-09,MO,3.4542156747093413
2020-04-10,MO,4.236302242568058
2020-04-11,MO,3.666030786837744
2020-04-12,MO,2.2159119422663696
2020-04-13,MO,3.7149111973289135
2020-04-14,MO,4.855454108789544
2020-04-15,MO,3.4053352642181705
2020-04-16,MO,3.519389555364234
2020-04-17,MO,2.8024768681604084
2020-04-18,MO,3.8126720183112535
2020-04-19,MO,2.4440205245584963
2020-04-20,MO,2.2810858229212627
2020-04-21,MO,2.183325001938923
2020-04-22,MO,3.1935201520897682
2020-04-23,MO,2.9979985101250883
2020-04-24,MO,4.953214929771884
2020-04-25,MO,3.2749875029083846
2020-04-26,MO,2.786183397996685
2020-04-27,MO,2.835063808487855
2020-04-28,MO,2.1507380616114764
2020-04-29,MO,1.9878033599742435
2020-04-30,MO,2.2322054124300927
2020-05-01,MO,4.448117354696462
2020-05-02,MO,5.197616982227736
2020-05-03,MO,3.7800850779838067
2020-05-04,MO,5.995997020250178
2020-05-05,MO,2.6395421665231757
2020-05-06,MO,3.0305854504525347
2020-05-07,MO,3.8941393691298702
2020-05-08,MO,2.411433584231049
2020-05-09,MO,2.8839442189790248
2020-05-10,MO,2.9002376891427484
2020-05-11,MO,1.2057167921155243
2020-05-12,MO,1.4338253744076508
2020-05-13,MO,2.2159119422663696
2020-05-14,MO,2.8513572786515784
2020-05-15,MO,2.2647923527575395
2020-05-16,MO,3.5682699658554045
2020-05-17,MO,1.8574555986644568
2020-05-18,MO,2.541781345540836
2020-05-19,MO,2.1996184721026464
2020-05-20,MO,2.476607464885942
2020-05-21,MO,1.759694777682117
2020-05-22,MO,3.5519764956916804
2020-05-23,MO,3.160933211762321
2020-05-24,MO,3.8452589586387003
2020-05-25,MO,2.916531159306472
2020-05-26,MO,2.0203903003016896
2020-05-27,MO,3.2749875029083846
2020-05-28,MO,2.9491180996339184
2020-05-29,MO,1.9878033599742435
2020-05-30,MO,2.721009517341792
2020-05-31,MO,3.0142919802888115
2020-06-01,MO,2.9328246294701947
2020-06-02,MO,4.040780600603379
2020-06-03,MO,3.128346271434874
2020-06-04,MO,4.725106347479759
2020-06-05,MO,3.1935201520897682
2020-06-06,MO,3.0794658609437047
2020-06-07,MO,1.808575188173287
2020-06-08,MO,2.9491180996339184
2020-06-09,MO,2.916531159306472
2020-06-10,MO,4.4644108248601855
2020-06-11,MO,3.3075744432358314
2020-06-12,MO,3.1772266819260446
2020-06-13,MO,3.666030786837744
2020-06-14,MO,0.0
2020-06-15,MO,6.1752251920511325
2020-06-16,MO,3.666030786837744
2020-06-17,MO,3.4379222045456177
2020-06-18,MO,4.611052056333696
2020-06-19,MO,4.7739867579709285
2020-06-20,MO,6.338159893688366
2020-06-21,MO,6.729203177617725
2020-06-22,MO,2.2810858229212627
2020-06-23,MO,0.0
2020-06-24,MO,11.812765868699396
2020-06-25,MO,9.010289000538988
2020-06-26,MO,8.03268079071559
2020-06-27,MO,5.653834146811987
2020-06-28,MO,5.116149631409118
2020-06-29,MO,7.625344036622508
2020-06-30,MO,8.277082843171438
2020-07-01,MO,6.126344781559963
2020-07-02,MO,5.800475378285498
2020-07-03,MO,8.912528179556649
2020-07-04,MO,6.2729860130334725
2020-07-05,MO,3.6008569061828513
2020-07-06,MO,6.843257468763789
2020-07-07,MO,12.594852436558115
2020-07-08,MO,9.368745344140901
2020-07-09,MO,12.953308780160027
2020-07-10,MO,0.0
2020-07-11,MO,18.476795165662228
2020-07-12,MO,5.050975750754224
2020-07-13,MO,7.283181163184317
2020-07-14,MO,15.250688073245016
2020-07-15,MO,14.468601505386296
2020-07-16,MO,11.535776875916099
2020-07-17,MO,14.110145161784382
2020-07-18,MO,15.641731357174375
2020-07-19,MO,13.784275758509915
2020-07-20,MO,8.635539186773352
2020-07-21,MO,18.54196904631712
2020-07-22,MO,21.19780468300402
2020-07-23,MO,26.67241065801505
2020-07-24,MO,26.9168127104709
2020-07-25,MO,22.110239012172524
2020-07-26,MO,19.845446659414986
2020-07-27,MO,18.29756699386127
2020-07-28,MO,28.88832260028142
2020-07-29,MO,31.39751700549481
2020-07-30,MO,33.95559182119937
2020-07-31,MO,24.260977073783998
2020-08-01,MO,15.234394603081293
2020-08-02,MO,9.482799635286963
2020-08-03,MO,17.059263261418298
2020-08-04,MO,19.438109905321898
2020-08-05,MO,20.22019647318062
2020-08-06,MO,17.30366531387415
2020-08-07,MO,16.22829628306841
2020-08-08,MO,0.0
2020-08-09,MO,0.0
2020-08-10,MO,41.95568567158751
2020-08-11,MO,15.983894230612565
2020-08-12,MO,25.988084911138674
2020-08-13,MO,20.64382669743743
2020-08-14,MO,24.00028155116443
2020-08-15,MO,18.362740874516163
2020-08-16,MO,17.564360836493726
2020-08-17,MO,18.704903747954358
2020-08-18,MO,12.937015309996305
2020-08-19,MO,20.49718546596392
2020-08-20,MO,17.238491433219256
2020-08-21,MO,20.057261771543384
2020-08-22,MO,21.067456921694234
2020-08-23,MO,13.328058593925665
2020-08-24,MO,14.159025572275553
2020-08-25,MO,11.275081353296528
2020-08-26,MO,23.234488453469435
2020-08-27,MO,24.635726887549637
2020-08-28,MO,23.10414069215965
2020-08-29,MO,19.519577256140522
2020-08-30,MO,23.86993378985464
2020-08-31,MO,16.977795910599685
2020-09-01,MO,17.238491433219256
2020-09-02,MO,23.755879498708573
2020-09-03,MO,22.761977818721462
2020-09-04,MO,26.151019612775908
2020-09-05,MO,32.375125215318214
2020-09-06,MO,20.073555241707112
2020-09-07,MO,14.761883968333313
2020-09-08,MO,12.594852436558115
2020-09-09,MO,22.19170636299114
2020-09-10,MO,18.183512702715213
2020-09-11,MO,25.564454686881863
2020-09-12,MO,32.16331010318981
2020-09-13,MO,26.281367374085693
2020-09-14,MO,21.702902258079444
2020-09-15,MO,21.458500205623594
2020-09-16,MO,19.405522964994454
2020-09-17,MO,28.464692376024608
2020-09-18,MO,29.246778943883328
2020-09-19,MO,22.599043117084225
2020-09-20,MO,21.63772837742455
2020-09-21,MO,23.837346849527197
2020-09-22,MO,17.25478490338298
2020-09-23,MO,25.743682858682817
2020-09-24,MO,22.240586773482317
2020-09-25,MO,32.375125215318214
2020-09-26,MO,27.95959480094919
2020-09-27,MO,22.68051046790284
2020-09-28,MO,20.855641809565828
2020-09-29,MO,1.238303732442971
2020-09-30,MO,22.012478191190187
2020-10-01,MO,29.31195282453823
2020-10-02,MO,24.19580319312911
2020-10-03,MO,27.829247039639405
2020-10-04,MO,21.605141437097107
2020-10-05,MO,16.081655051594904
2020-10-06,MO,18.98189274073765
