date,STUSPS,positiveIncreaseRate
2020-01-22,MS,0.0
2020-01-23,MS,0.0
2020-01-24,MS,0.0
2020-01-25,MS,0.0
2020-01-26,MS,0.0
2020-01-27,MS,0.0
2020-01-28,MS,0.0
2020-01-29,MS,0.0
2020-01-30,MS,0.0
2020-01-31,MS,0.0
2020-02-01,MS,0.0
2020-02-02,MS,0.0
2020-02-03,MS,0.0
2020-02-04,MS,0.0
2020-02-05,MS,0.0
2020-02-06,MS,0.0
2020-02-07,MS,0.0
2020-02-08,MS,0.0
2020-02-09,MS,0.0
2020-02-10,MS,0.0
2020-02-11,MS,0.0
2020-02-12,MS,0.0
2020-02-13,MS,0.0
2020-02-14,MS,0.0
2020-02-15,MS,0.0
2020-02-16,MS,0.0
2020-02-17,MS,0.0
2020-02-18,MS,0.0
2020-02-19,MS,0.0
2020-02-20,MS,0.0
2020-02-21,MS,0.0
2020-02-22,MS,0.0
2020-02-23,MS,0.0
2020-02-24,MS,0.0
2020-02-25,MS,0.0
2020-02-26,MS,0.0
2020-02-27,MS,0.0
2020-02-28,MS,0.0
2020-02-29,MS,0.0
2020-03-01,MS,0.0
2020-03-02,MS,0.0
2020-03-03,MS,0.0
2020-03-04,MS,0.0
2020-03-05,MS,0.0
2020-03-06,MS,0.0
2020-03-07,MS,0.0
2020-03-08,MS,0.0
2020-03-09,MS,0.0
2020-03-10,MS,0.0
2020-03-11,MS,0.0
2020-03-12,MS,0.03360046825612562
2020-03-13,MS,0.10080140476837686
2020-03-14,MS,0.06720093651225124
2020-03-15,MS,0.1344018730245025
2020-03-16,MS,0.06720093651225124
2020-03-17,MS,0.3024042143051305
2020-03-18,MS,0.43680608732963305
2020-03-19,MS,0.5376074920980101
2020-03-20,MS,1.0080140476837685
2020-03-21,MS,2.016028095367537
2020-03-22,MS,2.251231373160416
2020-03-23,MS,1.4112196667572758
2020-03-24,MS,2.385633246184919
2020-03-25,MS,1.91522669059916
2020-03-26,MS,3.628850571661567
2020-03-27,MS,3.1584440160758085
2020-03-28,MS,2.822439333514552
2020-03-29,MS,3.1920444843319338
2020-03-30,MS,2.99044167479518
2020-03-31,MS,3.0240421430513056
2020-04-01,MS,4.569663682833084
2020-04-02,MS,3.4944486986370644
2020-04-03,MS,6.081684754358737
2020-04-04,MS,3.2592454208441852
2020-04-05,MS,6.148885690870987
2020-04-06,MS,3.360046825612561
2020-04-07,MS,5.9472828813342336
2020-04-08,MS,2.956841206539054
2020-04-09,MS,8.635320341824285
2020-04-10,MS,7.022497865530255
2020-04-11,MS,5.812881008309732
2020-04-12,MS,4.67046508760146
2020-04-13,MS,5.409675389236225
2020-04-14,MS,4.872067897138215
2020-04-15,MS,9.172927833922293
2020-04-16,MS,8.870523619617162
2020-04-17,MS,5.678479135285229
2020-04-18,MS,6.081684754358737
2020-04-19,MS,10.080140476837686
2020-04-20,MS,7.996911444957898
2020-04-21,MS,6.854495524249625
2020-04-22,MS,5.98088334959036
2020-04-23,MS,8.702521278336535
2020-04-24,MS,9.441731579971297
2020-04-25,MS,9.542532984739676
2020-04-26,MS,6.484890373432244
2020-04-27,MS,6.148885690870987
2020-04-28,MS,8.332916127519152
2020-04-29,MS,7.627306294140514
2020-04-30,MS,8.265715191006901
2020-05-01,MS,13.339385897681868
2020-05-02,MS,7.694507230652766
2020-05-03,MS,3.662451039917692
2020-05-04,MS,10.987353119753077
2020-05-05,MS,11.088154524521453
2020-05-06,MS,7.291301611579258
2020-05-07,MS,8.803322683104913
2020-05-08,MS,13.574589175474749
2020-05-09,MS,9.676934857764175
2020-05-10,MS,4.1328575955034506
2020-05-11,MS,5.812881008309732
2020-05-12,MS,7.862509571933395
2020-05-13,MS,6.115285222614862
2020-05-14,MS,13.204984024657366
2020-05-15,MS,10.684948905447946
2020-05-16,MS,10.81935077847245
2020-05-17,MS,5.812881008309732
2020-05-18,MS,4.569663682833084
2020-05-19,MS,9.139327365666167
2020-05-20,MS,8.836923151361038
2020-05-21,MS,8.568119405312032
2020-05-22,MS,13.507388238962498
2020-05-23,MS,12.801778405583859
