date,STUSPS,positiveIncreaseRate
2020-01-22,MT,0.0
2020-01-23,MT,0.0
2020-01-24,MT,0.0
2020-01-25,MT,0.0
2020-01-26,MT,0.0
2020-01-27,MT,0.0
2020-01-28,MT,0.0
2020-01-29,MT,0.0
2020-01-30,MT,0.0
2020-01-31,MT,0.0
2020-02-01,MT,0.0
2020-02-02,MT,0.0
2020-02-03,MT,0.0
2020-02-04,MT,0.0
2020-02-05,MT,0.0
2020-02-06,MT,0.0
2020-02-07,MT,0.0
2020-02-08,MT,0.0
2020-02-09,MT,0.0
2020-02-10,MT,0.0
2020-02-11,MT,0.0
2020-02-12,MT,0.0
2020-02-13,MT,0.0
2020-02-14,MT,0.0
2020-02-15,MT,0.0
2020-02-16,MT,0.0
2020-02-17,MT,0.0
2020-02-18,MT,0.0
2020-02-19,MT,0.0
2020-02-20,MT,0.0
2020-02-21,MT,0.0
2020-02-22,MT,0.0
2020-02-23,MT,0.0
2020-02-24,MT,0.0
2020-02-25,MT,0.0
2020-02-26,MT,0.0
2020-02-27,MT,0.0
2020-02-28,MT,0.0
2020-02-29,MT,0.0
2020-03-01,MT,0.0
2020-03-02,MT,0.0
2020-03-03,MT,0.0
2020-03-04,MT,0.0
2020-03-05,MT,0.0
2020-03-06,MT,0.0
2020-03-07,MT,0.0
2020-03-08,MT,0.0
2020-03-09,MT,0.0
2020-03-10,MT,0.0
2020-03-11,MT,0.0
2020-03-12,MT,0.09356480017365627
2020-03-13,MT,0.0
2020-03-14,MT,0.3742592006946251
2020-03-15,MT,0.18712960034731252
2020-03-16,MT,0.0
2020-03-17,MT,0.09356480017365627
2020-03-18,MT,0.18712960034731252
2020-03-19,MT,0.18712960034731252
2020-03-20,MT,0.3742592006946251
2020-03-21,MT,0.3742592006946251
2020-03-22,MT,1.0292128019102191
2020-03-23,MT,0.28069440052096883
2020-03-24,MT,1.1227776020838751
2020-03-25,MT,0.6549536012155939
2020-03-26,MT,1.6841664031258128
2020-03-27,MT,3.4618976064252815
2020-03-28,MT,1.9648608036467816
2020-03-29,MT,2.3391200043414067
2020-03-30,MT,1.5906016029521566
2020-03-31,MT,1.2163424022575315
2020-04-01,MT,2.2455552041677507
2020-04-02,MT,1.777731203299469
2020-04-03,MT,1.4970368027785004
2020-04-04,MT,2.0584256038204383
2020-04-05,MT,1.9648608036467816
2020-04-06,MT,1.2163424022575315
2020-04-07,MT,1.8712960034731252
2020-04-08,MT,1.2163424022575315
2020-04-09,MT,2.0584256038204383
2020-04-10,MT,1.0292128019102191
2020-04-11,MT,1.1227776020838751
2020-04-12,MT,0.9356480017365628
2020-04-13,MT,0.6549536012155939
2020-04-14,MT,0.4678240008682814
2020-04-15,MT,0.4678240008682814
2020-04-16,MT,1.0292128019102191
2020-04-17,MT,0.6549536012155939
2020-04-18,MT,0.3742592006946251
2020-04-19,MT,0.6549536012155939
2020-04-20,MT,0.0
2020-04-21,MT,0.3742592006946251
2020-04-22,MT,0.18712960034731252
2020-04-23,MT,0.28069440052096883
2020-04-24,MT,0.18712960034731252
2020-04-25,MT,0.09356480017365627
2020-04-26,MT,0.28069440052096883
2020-04-27,MT,0.09356480017365627
2020-04-28,MT,0.18712960034731252
2020-04-29,MT,0.0
2020-04-30,MT,0.18712960034731252
2020-05-01,MT,0.0
2020-05-02,MT,0.18712960034731252
2020-05-03,MT,0.0
2020-05-04,MT,0.09356480017365627
2020-05-05,MT,0.0
2020-05-06,MT,0.0
2020-05-07,MT,0.0
2020-05-08,MT,0.18712960034731252
2020-05-09,MT,0.0
2020-05-10,MT,0.0
2020-05-11,MT,0.09356480017365627
2020-05-12,MT,0.18712960034731252
2020-05-13,MT,0.09356480017365627
2020-05-14,MT,0.0
2020-05-15,MT,0.3742592006946251
2020-05-16,MT,0.18712960034731252
2020-05-17,MT,0.0
2020-05-18,MT,0.18712960034731252
2020-05-19,MT,0.09356480017365627
2020-05-20,MT,0.6549536012155939
2020-05-21,MT,0.09356480017365627
2020-05-22,MT,0.0
2020-05-23,MT,0.0
2020-05-24,MT,0.0
2020-05-25,MT,0.0
2020-05-26,MT,0.0
2020-05-27,MT,0.18712960034731252
2020-05-28,MT,0.3742592006946251
2020-05-29,MT,0.7485184013892502
2020-05-30,MT,1.1227776020838751
2020-05-31,MT,0.9356480017365628
2020-06-01,MT,0.3742592006946251
2020-06-02,MT,0.3742592006946251
2020-06-03,MT,0.18712960034731252
2020-06-04,MT,1.3099072024311875
2020-06-05,MT,0.09356480017365627
2020-06-06,MT,0.0
2020-06-07,MT,0.4678240008682814
2020-06-08,MT,0.28069440052096883
2020-06-09,MT,0.5613888010419377
2020-06-10,MT,0.6549536012155939
2020-06-11,MT,0.18712960034731252
2020-06-12,MT,0.9356480017365628
2020-06-13,MT,1.4034720026048442
2020-06-14,MT,1.2163424022575315
2020-06-15,MT,0.7485184013892502
2020-06-16,MT,0.4678240008682814
2020-06-17,MT,1.4970368027785004
2020-06-18,MT,2.3391200043414067
2020-06-19,MT,1.0292128019102191
2020-06-20,MT,2.9940736055570008
2020-06-21,MT,1.777731203299469
2020-06-22,MT,2.1519904039940942
2020-06-23,MT,0.28069440052096883
2020-06-24,MT,2.1519904039940942
2020-06-25,MT,3.4618976064252815
2020-06-26,MT,2.432684804515063
2020-06-27,MT,2.1519904039940942
2020-06-28,MT,1.0292128019102191
2020-06-29,MT,5.239628809724751
2020-06-30,MT,4.491110408335501
2020-07-01,MT,4.584675208509157
2020-07-02,MT,6.2688416116349694
2020-07-03,MT,4.2104160078145325
2020-07-04,MT,3.6490272067725935
2020-07-05,MT,4.2104160078145325
2020-07-06,MT,3.4618976064252815
2020-07-07,MT,7.298054413545189
2020-07-08,MT,4.1168512076408765
2020-07-09,MT,8.888656016497347
2020-07-10,MT,11.882729622054349
2020-07-11,MT,7.8594432145871265
2020-07-12,MT,7.5787488140661585
2020-07-13,MT,7.9530080147607825
2020-07-14,MT,10.198563218928534
2020-07-15,MT,13.473331225006502
2020-07-16,MT,12.631248023443597
2020-07-17,MT,12.631248023443597
2020-07-18,MT,9.824304018233908
2020-07-19,MT,5.801017610766689
2020-07-20,MT,8.233702415281751
2020-07-21,MT,8.51439681580272
2020-07-22,MT,9.450044817539283
2020-07-23,MT,9.075785616844657
2020-07-24,MT,12.069859222401659
2020-07-25,MT,20.67782083837804
2020-07-26,MT,7.672313614239813
2020-07-27,MT,3.6490272067725935
2020-07-28,MT,8.795091216323687
2020-07-29,MT,18.80652483490491
2020-07-30,MT,12.911942423964565
2020-07-31,MT,14.128284826222098
2020-08-01,MT,10.853516820144126
2020-08-02,MT,10.479257619449502
2020-08-03,MT,3.7425920069462513
2020-08-04,MT,7.5787488140661585
2020-08-05,MT,10.759952019970472
2020-08-06,MT,16.186710430042535
2020-08-07,MT,14.502544026916723
2020-08-08,MT,12.350553622922629
2020-08-09,MT,5.8945824109403455
2020-08-10,MT,6.0817120112876575
2020-08-11,MT,8.140137615108094
2020-08-12,MT,15.344627228479625
2020-08-13,MT,13.005507224138222
2020-08-14,MT,12.537683223269939
2020-08-15,MT,11.04064642049144
2020-08-16,MT,8.51439681580272
2020-08-17,MT,3.9297216072935632
2020-08-18,MT,5.052499209377438
2020-08-19,MT,10.29212801910219
2020-08-20,MT,10.853516820144126
2020-08-21,MT,13.473331225006502
2020-08-22,MT,14.970368027785005
2020-08-23,MT,4.958934409203782
2020-08-24,MT,5.613888010419377
2020-08-25,MT,12.631248023443597
2020-08-26,MT,15.06393282795866
2020-08-27,MT,13.473331225006502
2020-08-28,MT,12.537683223269939
2020-08-29,MT,17.590182432647374
2020-08-30,MT,8.327267215455407
2020-08-31,MT,7.5787488140661585
2020-09-01,MT,8.233702415281751
2020-09-02,MT,17.02879363160544
2020-09-03,MT,16.84166403125813
2020-09-04,MT,13.847590425701126
2020-09-05,MT,13.566896025180158
2020-09-06,MT,9.356480017365627
2020-09-07,MT,4.865369609030126
2020-09-08,MT,6.0817120112876575
2020-09-09,MT,8.140137615108094
2020-09-10,MT,18.245136033862973
2020-09-11,MT,11.414905621186064
2020-09-12,MT,13.099072024311875
2020-09-13,MT,8.982220816671003
2020-09-14,MT,8.046572814934441
2020-09-15,MT,12.818377623790909
2020-09-16,MT,17.496617632473722
2020-09-17,MT,20.20999683750976
2020-09-18,MT,20.958515238899004
2020-09-19,MT,27.320921650707632
2020-09-20,MT,12.72481282361725
2020-09-21,MT,12.163424022575313
2020-09-22,MT,25.356060847060853
2020-09-23,MT,19.83573763681513
2020-09-24,MT,30.87638405730657
2020-09-25,MT,30.12786565591732
2020-09-26,MT,32.0927264595641
2020-09-27,MT,18.712960034731253
2020-09-28,MT,28.63082885313882
2020-09-29,MT,29.098652854007103
2020-09-30,MT,32.466985660258715
2020-10-01,MT,40.13929927449854
2020-10-02,MT,33.215504061647984
2020-10-03,MT,46.87596488700179
2020-10-04,MT,26.104579248450094
2020-10-05,MT,19.83573763681513
2020-10-06,MT,46.78240008682813
2020-10-07,MT,66.9923969243379
2020-10-08,MT,57.448787306624936
2020-10-09,MT,67.55378572537983
2020-10-10,MT,67.1795265246852
2020-10-11,MT,54.735408101588924
2020-10-12,MT,39.57791047345661
2020-10-13,MT,45.472492884396935
2020-10-14,MT,56.04531530402011
2020-10-15,MT,67.64735052555348
2020-10-16,MT,61.93989771496045
2020-10-17,MT,59.6943425107927
2020-10-18,MT,55.01610250210989
2020-10-19,MT,53.23837129881043
2020-10-20,MT,65.77605452208036
2020-10-21,MT,57.91661130749323
2020-10-22,MT,86.828134561153
2020-10-23,MT,80.74642254986536
2020-10-24,MT,59.78790731096635
2020-10-25,MT,69.05082252815832
2020-10-26,MT,58.103740907840546
2020-10-27,MT,79.06225614673956
2020-10-28,MT,58.010176107666894
2020-10-29,MT,82.99197775403313
2020-10-30,MT,99.4593825845966
2020-10-31,MT,82.8048481536858
2020-11-01,MT,64.93397132051743
2020-11-02,MT,70.8285537314578
2020-11-03,MT,84.86327375750624
2020-11-04,MT,74.47758093823039
2020-11-05,MT,94.78114257591379
2020-11-06,MT,91.5999393700095
2020-11-07,MT,93.65836497382992
2020-11-08,MT,68.39586892694274
2020-11-09,MT,34.993235264947444
2020-11-10,MT,102.73415059067459
2020-11-11,MT,85.98605135959009
2020-11-12,MT,89.91577296688368
2020-11-13,MT,113.49410261064507
2020-11-14,MT,153.6334018851436
2020-11-15,MT,119.01442582089079
2020-11-16,MT,81.3078113509073
2020-11-17,MT,128.27734103808274
2020-11-18,MT,110.78072340560901
2020-11-19,MT,115.64609301463915
2020-11-20,MT,138.008080256143
2020-11-21,MT,116.86243541689669
2020-11-22,MT,106.47674259762086
2020-11-23,MT,65.58892492173304
2020-11-24,MT,105.07327059501598
2020-11-25,MT,99.27225298424929
2020-11-26,MT,104.51188179397406
2020-11-27,MT,10.666387219796816
2020-11-28,MT,98.14947538216542
2020-11-29,MT,89.4479489660154
2020-11-30,MT,37.14522566894153
2020-12-01,MT,94.21975377487186
2020-12-02,MT,106.19604819709987
2020-12-03,MT,73.16767373579921
2020-12-04,MT,122.94414742818434
2020-12-05,MT,59.22651850992442
2020-12-06,MT,75.41322893996696
2020-12-07,MT,66.9923969243379
2020-12-08,MT,70.64142413111048
2020-12-09,MT,73.63549773666747
2020-12-10,MT,71.01568333180509
2020-12-11,MT,91.50637456983583
2020-12-12,MT,72.41915533440995
2020-12-13,MT,61.65920331443948
2020-12-14,MT,0.0
2020-12-15,MT,68.95725772798468
2020-12-16,MT,56.51313930488839
2020-12-17,MT,78.50086734569761
