date,STUSPS,positiveIncreaseRate
2020-01-22,NH,0.0
2020-01-23,NH,0.0
2020-01-24,NH,0.0
2020-01-25,NH,0.0
2020-01-26,NH,0.0
2020-01-27,NH,0.0
2020-01-28,NH,0.0
2020-01-29,NH,0.0
2020-01-30,NH,0.0
2020-01-31,NH,0.0
2020-02-01,NH,0.0
2020-02-02,NH,0.0
2020-02-03,NH,0.0
2020-02-04,NH,0.0
2020-02-05,NH,0.0
2020-02-06,NH,0.0
2020-02-07,NH,0.0
2020-02-08,NH,0.0
2020-02-09,NH,0.0
2020-02-10,NH,0.0
2020-02-11,NH,0.0
2020-02-12,NH,0.0
2020-02-13,NH,0.0
2020-02-14,NH,0.0
2020-02-15,NH,0.0
2020-02-16,NH,0.0
2020-02-17,NH,0.0
2020-02-18,NH,0.0
2020-02-19,NH,0.0
2020-02-20,NH,0.0
2020-02-21,NH,0.0
2020-02-22,NH,0.0
2020-02-23,NH,0.0
2020-02-24,NH,0.0
2020-02-25,NH,0.0
2020-02-26,NH,0.0
2020-02-27,NH,0.0
2020-02-28,NH,0.0
2020-02-29,NH,0.0
2020-03-01,NH,0.0
2020-03-02,NH,0.0
2020-03-03,NH,0.0
2020-03-04,NH,0.1470900801714482
2020-03-05,NH,0.0
2020-03-06,NH,0.0
2020-03-07,NH,0.0
2020-03-08,NH,0.1470900801714482
2020-03-09,NH,0.0
2020-03-10,NH,0.0
2020-03-11,NH,0.0
2020-03-12,NH,0.1470900801714482
2020-03-13,NH,0.0
2020-03-14,NH,0.0735450400857241
2020-03-15,NH,0.4412702405143446
2020-03-16,NH,0.0
2020-03-17,NH,0.2941801603428964
2020-03-18,NH,0.6619053607715171
2020-03-19,NH,0.9560855211144134
2020-03-20,NH,0.3677252004286205
2020-03-21,NH,0.8089954409429652
2020-03-22,NH,0.735450400857241
2020-03-23,NH,0.9560855211144134
2020-03-24,NH,1.6915359219716544
2020-03-25,NH,0.5148152806000688
2020-03-26,NH,2.1328061624859993
2020-03-27,NH,1.544445841800206
2020-03-28,NH,2.1328061624859993
2020-03-29,NH,1.9857160823145508
2020-03-30,NH,7.354504008572411
2020-03-31,NH,0.0
2020-04-01,NH,7.428049048658134
2020-04-02,NH,0.0
2020-04-03,NH,4.7068825654863415
2020-04-04,NH,4.4862474452291705
2020-04-05,NH,5.957148246943652
2020-04-06,NH,3.5301619241147564
2020-04-07,NH,3.3830718439433087
2020-04-08,NH,5.368787926257858
2020-04-09,NH,0.0
2020-04-10,NH,2.2798962426574474
2020-04-11,NH,4.853972645657791
2020-04-12,NH,3.2359817637718606
2020-04-13,NH,4.11852224480055
2020-04-14,NH,2.574076403000344
2020-04-15,NH,8.751859770201168
2020-04-16,NH,0.0
2020-04-17,NH,10.884665932687168
2020-04-18,NH,0.0
2020-04-19,NH,4.044977204714827
2020-04-20,NH,3.6772520042862054
2020-04-21,NH,7.280958968486687
2020-04-22,NH,0.0
2020-04-23,NH,7.133868888315238
2020-04-24,NH,6.030693287029378
