date,STUSPS,positiveIncreaseRate
2020-01-22,NV,0.0
2020-01-23,NV,0.0
2020-01-24,NV,0.0
2020-01-25,NV,0.0
2020-01-26,NV,0.0
2020-01-27,NV,0.0
2020-01-28,NV,0.0
2020-01-29,NV,0.0
2020-01-30,NV,0.0
2020-01-31,NV,0.0
2020-02-01,NV,0.0
2020-02-02,NV,0.0
2020-02-03,NV,0.0
2020-02-04,NV,0.0
2020-02-05,NV,0.0
2020-02-06,NV,0.0
2020-02-07,NV,0.0
2020-02-08,NV,0.0
2020-02-09,NV,0.0
2020-02-10,NV,0.0
2020-02-11,NV,0.0
2020-02-12,NV,0.0
2020-02-13,NV,0.0
2020-02-14,NV,0.0
2020-02-15,NV,0.0
2020-02-16,NV,0.0
2020-02-17,NV,0.0
2020-02-18,NV,0.0
2020-02-19,NV,0.0
2020-02-20,NV,0.0
2020-02-21,NV,0.0
2020-02-22,NV,0.0
2020-02-23,NV,0.0
2020-02-24,NV,0.0
2020-02-25,NV,0.0
2020-02-26,NV,0.0
2020-02-27,NV,0.0
2020-02-28,NV,0.0
2020-02-29,NV,0.0
2020-03-01,NV,0.0
2020-03-02,NV,0.0
2020-03-03,NV,0.0
2020-03-04,NV,0.0
2020-03-05,NV,0.03246588809138238
2020-03-06,NV,0.06493177618276477
2020-03-07,NV,0.03246588809138238
2020-03-08,NV,0.0
2020-03-09,NV,0.03246588809138238
2020-03-10,NV,0.0
2020-03-11,NV,0.12986355236552954
2020-03-12,NV,0.09739766427414716
2020-03-13,NV,0.32465888091382383
2020-03-14,NV,0.38959065709658863
2020-03-15,NV,0.35712476900520623
2020-03-16,NV,0.5843859856448829
2020-03-17,NV,0.32465888091382383
2020-03-18,NV,0.16232944045691192
2020-03-19,NV,0.7467154261017948
2020-03-20,NV,0.2597271047310591
2020-03-21,NV,0.4869883213707358
2020-03-22,NV,0.9739766427414716
2020-03-23,NV,1.1687719712897657
2020-03-24,NV,2.85699815204165
2020-03-25,NV,1.3960331879294423
2020-03-26,NV,3.2141229210468563
2020-03-27,NV,3.733577130508975
2020-03-28,NV,2.792066375858885
2020-03-29,NV,3.798508906691739
2020-03-30,NV,8.376199127576655
2020-03-31,NV,3.798508906691739
2020-04-01,NV,5.389337423169477
2020-04-02,NV,5.811393968357447
2020-04-03,NV,1.8180897331174135
2020-04-04,NV,7.402222484835184
2020-04-05,NV,3.0517934805899443
2020-04-06,NV,3.798508906691739
2020-04-07,NV,4.350429004245239
2020-04-08,NV,7.499620149109331
2020-04-09,NV,4.4802925566107685
2020-04-10,NV,4.1556336756969445
2020-04-11,NV,3.7660430186003566
2020-04-12,NV,4.415360780428005
2020-04-13,NV,4.382894892336622
2020-04-14,NV,3.798508906691739
2020-04-15,NV,3.9933042352400334
2020-04-16,NV,3.5712476900520618
2020-04-17,NV,6.590575282550625
2020-04-18,NV,3.311520585321003
2020-04-19,NV,3.311520585321003
2020-04-20,NV,3.311520585321003
2020-04-21,NV,3.473850025777915
2020-04-22,NV,4.675087885159063
2020-04-23,NV,4.123167787605563
2020-04-24,NV,6.1685187373626515
2020-04-25,NV,4.577690220884916
2020-04-26,NV,2.0453509497570903
2020-04-27,NV,2.85699815204165
2020-04-28,NV,3.733577130508975
2020-04-29,NV,3.019327592498562
2020-04-30,NV,3.246588809138238
2020-05-01,NV,7.4346883729265665
2020-05-02,NV,2.7271345996761203
2020-05-03,NV,3.636179466234828
2020-05-04,NV,2.2076803902140023
2020-05-05,NV,3.3439864734123854
2020-05-06,NV,2.2401462783053847
2020-05-07,NV,3.3439864734123854
2020-05-08,NV,3.8309747947831214
2020-05-09,NV,4.675087885159063
2020-05-10,NV,2.272612166396767
2020-05-11,NV,1.7531579569346487
2020-05-12,NV,5.162076206529799
2020-05-13,NV,2.6946687115847383
2020-05-14,NV,3.4089182495951498
2020-05-15,NV,3.733577130508975
2020-05-16,NV,3.0842593686813267
2020-05-17,NV,4.8049514375245925
2020-05-18,NV,1.590828516477737
2020-05-19,NV,4.545224332793534
2020-05-20,NV,3.895906570965886
2020-05-21,NV,2.8894640401330323
2020-05-22,NV,4.7400196613418295
