date,STUSPS,positiveIncreaseRate
2020-01-22,NY,0.0
2020-01-23,NY,0.0
2020-01-24,NY,0.0
2020-01-25,NY,0.0
2020-01-26,NY,0.0
2020-01-27,NY,0.0
2020-01-28,NY,0.0
2020-01-29,NY,0.0
2020-01-30,NY,0.0
2020-01-31,NY,0.0
2020-02-01,NY,0.0
2020-02-02,NY,0.0
2020-02-03,NY,0.0
2020-02-04,NY,0.0
2020-02-05,NY,0.0
2020-02-06,NY,0.0
2020-02-07,NY,0.0
2020-02-08,NY,0.0
2020-02-09,NY,0.0
2020-02-10,NY,0.0
2020-02-11,NY,0.0
2020-02-12,NY,0.0
2020-02-13,NY,0.0
2020-02-14,NY,0.0
2020-02-15,NY,0.0
2020-02-16,NY,0.0
2020-02-17,NY,0.0
2020-02-18,NY,0.0
2020-02-19,NY,0.0
2020-02-20,NY,0.0
2020-02-21,NY,0.0
2020-02-22,NY,0.0
2020-02-23,NY,0.0
2020-02-24,NY,0.0
2020-02-25,NY,0.0
2020-02-26,NY,0.0
2020-02-27,NY,0.0
2020-02-28,NY,0.0
2020-02-29,NY,0.0
2020-03-01,NY,0.0
2020-03-02,NY,0.0
2020-03-03,NY,0.005140447036920386
2020-03-04,NY,0.0
2020-03-05,NY,0.010280894073840773
2020-03-06,NY,0.11308983481224852
2020-03-07,NY,0.05654491740612426
2020-03-08,NY,0.12337072888608927
2020-03-09,NY,0.14393251703377086
2020-03-10,NY,0.3238481633259844
2020-03-11,NY,0.22617966962449704
2020-03-12,NY,0.2878650340675417
2020-03-13,NY,0.5243255977658794
2020-03-14,NY,0.8430333140549435
2020-03-15,NY,0.6733985618365707
2020-03-16,NY,1.5112914288545938
2020-03-17,NY,2.2206731199496077
2020-03-18,NY,5.18671106025267
2020-03-19,NY,9.093450808312165
2020-03-20,NY,15.16431875891514
2020-03-21,NY,16.72701465813894
2020-03-22,NY,24.735831141660906
2020-03-23,NY,29.33653123970464
2020-03-24,NY,24.622741306848656
2020-03-25,NY,26.447600004955397
2020-03-26,NY,33.145602494062665
2020-03-27,NY,37.931358685435534
2020-03-28,NY,39.483773690585494
2020-03-29,NY,36.985516430642186
2020-03-30,NY,35.90088210585198
2020-03-31,NY,47.79587654928576
2020-04-01,NY,40.696919191298704
2020-04-02,NY,44.56253536306284
2020-04-03,NY,53.88216584099949
2020-04-04,NY,55.727586327253924
2020-04-05,NY,42.80450247643606
2020-04-06,NY,44.50599044565671
2020-04-07,NY,42.01801407978724
2020-04-08,NY,53.733092876928815
2020-04-09,NY,54.59668797913143
2020-04-10,NY,54.360227415433094
2020-04-11,NY,51.12688622921018
2020-04-12,NY,42.336721796076304
2020-04-13,NY,32.575012872964486
2020-04-14,NY,36.89298838397762
2020-04-15,NY,59.4801126642058
2020-04-16,NY,43.71950204900789
2020-04-17,NY,37.82340929766021
2020-04-18,NY,36.445769491765546
2020-04-19,NY,31.120266361516023
2020-04-20,NY,24.293752696485747
2020-04-21,NY,21.476787720253377
2020-04-22,NY,28.40611032602206
2020-04-23,NY,32.0969512985309
2020-04-24,NY,41.79183441016275
2020-04-25,NY,54.24713758062085
2020-04-26,NY,30.338918411904125
2020-04-27,NY,20.30990624287245
2020-04-28,NY,15.986790284822405
2020-04-29,NY,23.56894966427997
2020-04-30,NY,24.06243257982433
2020-05-01,NY,20.263642219540166
2020-05-02,NY,23.969904533159767
2020-05-03,NY,17.67285691293229
2020-05-04,NY,13.046454579703944
2020-05-05,NY,11.509460915664745
2020-05-06,NY,14.321285444860196
2020-05-07,NY,17.94530060588907
2020-05-08,NY,15.102633394472097
2020-05-09,NY,13.95631370523885
2020-05-10,NY,11.68423611492004
2020-05-11,NY,8.533142081287844
2020-05-12,NY,7.3508392627961525
2020-05-13,NY,11.185612752338765
2020-05-14,NY,12.285668418239725
2020-05-15,NY,14.197914715974107
2020-05-16,NY,12.434741382310415
2020-05-17,NY,9.710304452742609
2020-05-18,NY,6.425558796150483
2020-05-19,NY,7.577018932420651
2020-05-20,NY,7.839181731303589
2020-05-21,NY,10.733253413089768
2020-05-22,NY,8.718198174616976
2020-05-23,NY,9.108872149422924
2020-05-24,NY,8.168170341666496
2020-05-25,NY,6.420418349113562
2020-05-26,NY,5.510559223578656
2020-05-27,NY,5.803564704683117
2020-05-28,NY,9.088310361275244
2020-05-29,NY,7.972833354263519
2020-05-30,NY,7.073255122802452
2020-05-31,NY,5.7058962109816305
2020-06-01,NY,4.837160661742084
2020-06-02,NY,6.831654112067193
2020-06-03,NY,5.371767153581804
2020-06-04,NY,5.387188494692565
2020-06-05,NY,5.525980564689416
2020-06-06,NY,5.695615316907788
2020-06-07,NY,4.014689135834822
2020-06-08,NY,3.608593819918112
2020-06-09,NY,3.510925326216624
2020-06-10,NY,3.4646613028843407
2020-06-11,NY,3.7833690191734046
2020-06-12,NY,4.225447464348558
2020-06-13,NY,4.708649485819074
2020-06-14,NY,3.5674702436227483
2020-06-15,NY,3.18707716289064
2020-06-16,NY,3.243622080296765
2020-06-17,NY,2.914633469933859
2020-06-18,NY,3.176796268816799
2020-06-19,NY,4.0917958413886275
2020-06-20,NY,3.680560078434997
2020-06-21,NY,3.4132568325151365
2020-06-22,NY,2.837526764380053
2020-06-23,NY,3.0688468810414715
2020-06-24,NY,2.9865997284507446
2020-06-25,NY,3.8501948306533698
2020-06-26,NY,4.138059864720912
2020-06-27,NY,3.613734266955032
2020-06-28,NY,3.1665153747429584
2020-06-29,NY,2.0099147914358717
2020-06-30,NY,2.6935942473462826
2020-07-01,NY,3.2127793980752415
2020-07-02,NY,4.497891157305339
2020-07-03,NY,4.7189303798929165
2020-07-04,NY,3.731964548804201
2020-07-05,NY,2.739858270678566
2020-07-06,NY,2.6627515651247604
2020-07-07,NY,3.022582857709188
2020-07-08,NY,3.557189349548908
2020-07-09,NY,3.0020210695615064
2020-07-10,NY,4.040391371019425
2020-07-11,NY,3.7525263369518815
2020-07-12,NY,3.480082643995102
2020-07-13,NY,2.863228999564656
2020-07-14,NY,4.688087697671394
2020-07-15,NY,4.271711487680841
2020-07-16,NY,3.9530037713917774
2020-07-17,NY,3.98898690065022
2020-07-18,NY,3.8758970658379717
2020-07-19,NY,2.5805044125340344
2020-07-20,NY,2.6678920121616807
2020-07-21,NY,4.395082216566931
2020-07-22,NY,3.6240151610288733
2020-07-23,NY,4.168902546942434
2020-07-24,NY,3.8707566188010514
2020-07-25,NY,3.85533527769029
2020-07-26,NY,2.7552796117893275
2020-07-27,NY,3.125391798447595
2020-07-28,NY,2.7449987177154864
2020-07-29,NY,3.6754196313980767
2020-07-30,NY,3.9941273476871406
2020-07-31,NY,3.3104478917767293
2020-08-01,NY,3.8707566188010514
2020-08-02,NY,2.729577376604725
2020-08-03,NY,2.8015436351216105
2020-08-04,NY,3.834773489542608
2020-08-05,NY,3.269324315481366
2020-08-06,NY,3.613734266955032
2020-08-07,NY,3.670279184361157
2020-08-08,NY,3.613734266955032
2020-08-09,NY,2.647330224013999
2020-08-10,NY,2.446852789574104
2020-08-11,NY,3.4286781736258978
2020-08-12,NY,3.5983129258442705
2020-08-13,NY,3.7885094662103254
2020-08-14,NY,3.737104995841121
2020-08-15,NY,3.773088125099564
2020-08-16,NY,3.120251351410675
2020-08-17,NY,2.0973023910635176
2020-08-18,NY,3.3669928091828534
2020-08-19,NY,3.243622080296765
2020-08-20,NY,3.0894086691891527
2020-08-21,NY,3.6445769491765536
2020-08-22,NY,3.3567119151090132
2020-08-23,NY,2.940335705118461
2020-08-24,NY,2.0973023910635176
2020-08-25,NY,3.2333411862229235
2020-08-26,NY,2.909493022896939
2020-08-27,NY,4.066093606204026
2020-08-28,NY,3.269324315481366
2020-08-29,NY,3.2641838684444457
2020-08-30,NY,3.5880320317704304
2020-08-31,NY,3.3721332562197737
2020-09-01,NY,3.8758970658379717
2020-09-02,NY,3.6394365021396338
2020-09-03,NY,4.5698574158222245
2020-09-04,NY,4.441346239899215
2020-09-05,NY,4.11749807657323
2020-09-06,NY,3.747385889914962
2020-09-07,NY,2.673032459198601
2020-09-08,NY,2.863228999564656
2020-09-09,NY,2.9608974932661427
2020-09-10,NY,3.8913184069487325
2020-09-11,NY,4.523593392489941
2020-09-12,NY,4.364239534345408
2020-09-13,NY,3.7268241017672796
2020-09-14,NY,2.9968806225245856
2020-09-15,NY,3.937582430281016
2020-09-16,NY,3.351571468072092
2020-09-17,NY,4.6058405450806665
2020-09-18,NY,4.060953159167106
2020-09-19,NY,5.068480778403501
2020-09-20,NY,4.431065345825374
2020-09-21,NY,2.945476152155382
2020-09-22,NY,3.8758970658379717
2020-09-23,NY,3.4183972795520567
2020-09-24,NY,4.90912692025897
2020-09-25,NY,4.667525909523712
2020-09-26,NY,5.166149272104988
2020-09-27,NY,4.451627133973055
2020-09-28,NY,4.287132828791603
2020-09-29,NY,6.11199152689834
2020-09-30,NY,5.140447036920387
2020-10-01,NY,7.104097805023974
2020-10-02,NY,8.214434364998779
2020-10-03,NY,8.898113820909188
2020-10-04,NY,6.281626279116713
2020-10-05,NY,4.796037085446722
2020-10-06,NY,7.160642722430098
2020-10-07,NY,6.991007970211727
2020-10-08,NY,9.437860759785833
2020-10-09,NY,8.183591682777259
2020-10-10,NY,7.4382268624238
2020-10-11,NY,5.875530963200003
2020-10-12,NY,5.289520000991078
2020-10-13,NY,7.160642722430098
2020-10-14,NY,6.333030749485919
2020-10-15,NY,7.505052673903765
2020-10-16,NY,8.7747430920231
2020-10-17,NY,9.17055751386597
2020-10-18,NY,7.145221381319338
2020-10-19,NY,5.130166142846546
2020-10-20,NY,6.173676891341385
2020-10-21,NY,10.414545696800703
2020-10-22,NY,8.368647776106389
2020-10-23,NY,8.414911799438674
2020-10-24,NY,10.594461343092918
2020-10-25,NY,8.38920956425407
2020-10-26,NY,6.1222724209721795
2020-10-27,NY,10.234630050508489
2020-10-28,NY,10.440247931985306
2020-10-29,NY,12.845977145264046
2020-10-30,NY,11.591708068255473
2020-10-31,NY,10.532775978649873
2020-11-01,NY,11.591708068255473
2020-11-02,NY,8.394350011290992
2020-11-03,NY,11.930977572692218
2020-11-04,NY,10.928590400492745
2020-11-05,NY,15.4059197696504
2020-11-06,NY,16.49569454147752
2020-11-07,NY,18.43878352143343
2020-11-08,NY,17.621452442563086
2020-11-09,NY,16.1615654840777
