date,STUSPS,positiveIncreaseRate
2020-01-22,OR,0.0
2020-01-23,OR,0.0
2020-01-24,OR,0.0
2020-01-25,OR,0.0
2020-01-26,OR,0.0
2020-01-27,OR,0.0
2020-01-28,OR,0.0
2020-01-29,OR,0.0
2020-01-30,OR,0.0
2020-01-31,OR,0.0
2020-02-01,OR,0.0
2020-02-02,OR,0.0
2020-02-03,OR,0.0
2020-02-04,OR,0.0
2020-02-05,OR,0.0
2020-02-06,OR,0.0
2020-02-07,OR,0.0
2020-02-08,OR,0.0
2020-02-09,OR,0.0
2020-02-10,OR,0.0
2020-02-11,OR,0.0
2020-02-12,OR,0.0
2020-02-13,OR,0.0
2020-02-14,OR,0.0
2020-02-15,OR,0.0
2020-02-16,OR,0.0
2020-02-17,OR,0.0
2020-02-18,OR,0.0
2020-02-19,OR,0.0
2020-02-20,OR,0.0
2020-02-21,OR,0.0
2020-02-22,OR,0.0
2020-02-23,OR,0.0
2020-02-24,OR,0.0
2020-02-25,OR,0.0
2020-02-26,OR,0.0
2020-02-27,OR,0.0
2020-02-28,OR,0.0
2020-02-29,OR,0.0
2020-03-01,OR,0.0
2020-03-02,OR,0.0
2020-03-03,OR,0.0
2020-03-04,OR,0.07112819030679247
2020-03-05,OR,0.0
2020-03-06,OR,0.0
2020-03-07,OR,0.0948375870757233
2020-03-08,OR,0.16596577738251578
2020-03-09,OR,0.0
2020-03-10,OR,0.023709396768930826
2020-03-11,OR,0.0948375870757233
2020-03-12,OR,0.0
2020-03-13,OR,0.2608033644582391
2020-03-14,OR,0.0
2020-03-15,OR,0.14225638061358495
2020-03-16,OR,0.07112819030679247
2020-03-17,OR,0.1896751741514466
2020-03-18,OR,0.6638631095300631
2020-03-19,OR,0.30822215799610075
2020-03-20,OR,0.6164443159922015
2020-03-21,OR,0.0
2020-03-22,OR,1.1143416481397488
2020-03-23,OR,0.7112819030679248
2020-03-24,OR,0.4267691418407549
2020-03-25,OR,0.0
2020-03-26,OR,2.7977088187338377
2020-03-27,OR,2.062717518896982
2020-03-28,OR,1.541110789980504
2020-03-29,OR,1.6359483770562273
2020-03-30,OR,1.375145012597988
2020-03-31,OR,1.9915893285901896
2020-04-01,OR,1.090632251370818
2020-04-02,OR,2.1338457092037744
2020-04-03,OR,1.7307859641319503
2020-04-04,OR,2.3709396768930833
2020-04-05,OR,1.6359483770562273
2020-04-06,OR,1.5174013932115729
2020-04-07,OR,1.1617604416776106
2020-04-08,OR,1.375145012597988
2020-04-09,OR,1.944170535052328
2020-04-10,OR,0.0
2020-04-11,OR,1.1854698384465414
2020-04-12,OR,3.6986658959532086
2020-04-13,OR,1.3514356158290572
2020-04-14,OR,1.1617604416776106
2020-04-15,OR,0.7112819030679248
2020-04-16,OR,1.7307859641319503
2020-04-17,OR,1.1617604416776106
2020-04-18,OR,1.3988544093669188
2020-04-19,OR,1.564820186749435
2020-04-20,OR,1.090632251370818
2020-04-21,OR,1.090632251370818
2020-04-22,OR,1.3514356158290572
2020-04-23,OR,1.6122389802872965
2020-04-24,OR,1.1854698384465414
2020-04-25,OR,1.8019141544387434
2020-04-26,OR,1.375145012597988
2020-04-27,OR,1.0195040610640256
2020-04-28,OR,0.0
2020-04-29,OR,2.181264502741636
2020-04-30,OR,1.5174013932115729
2020-05-01,OR,1.6359483770562273
2020-05-02,OR,1.3277262190601262
2020-05-03,OR,1.0669228546018872
2020-05-04,OR,1.8730423447455355
2020-05-05,OR,1.896751741514466
2020-05-06,OR,1.8256235512076742
2020-05-07,OR,1.7307859641319503
2020-05-08,OR,1.8730423447455355
2020-05-09,OR,2.181264502741636
2020-05-10,OR,1.6122389802872965
2020-05-11,OR,1.375145012597988
2020-05-12,OR,0.0
2020-05-13,OR,3.082221579961008
2020-05-14,OR,1.4936919964426418
2020-05-15,OR,1.4699825996737113
2020-05-16,OR,1.6833671705940891
2020-05-17,OR,0.2608033644582391
2020-05-18,OR,1.5174013932115729
2020-05-19,OR,0.9246664739883024
2020-05-20,OR,1.778204757669812
2020-05-21,OR,0.3793503483028932
2020-05-22,OR,1.1143416481397488
2020-05-23,OR,0.5690255224543398
2020-05-24,OR,0.9246664739883024
2020-05-25,OR,0.5216067289164782
2020-05-26,OR,0.4267691418407549
2020-05-27,OR,1.6833671705940891
2020-05-28,OR,1.1380510449086796
2020-05-29,OR,1.0669228546018872
2020-05-30,OR,1.2803074255222646
2020-05-31,OR,1.375145012597988
2020-06-01,OR,1.3988544093669188
2020-06-02,OR,0.7824100933747173
2020-06-03,OR,1.5174013932115729
2020-06-04,OR,1.778204757669812
2020-06-05,OR,2.2761020898173587
2020-06-06,OR,2.181264502741636
2020-06-07,OR,3.4615719282639015
2020-06-08,OR,2.7028712316581145
2020-06-09,OR,1.564820186749435
2020-06-10,OR,1.7070765673630195
2020-06-11,OR,4.196563228100756
2020-06-12,OR,3.3193155476503162
2020-06-13,OR,3.746084689491071
2020-06-14,OR,2.3946490736620136
2020-06-15,OR,4.362529005483272
2020-06-16,OR,6.591212301762769
2020-06-17,OR,2.8451276122716997
2020-06-18,OR,3.508990721801762
2020-06-19,OR,4.884135734399751
2020-06-20,OR,4.220272624869687
2020-06-21,OR,4.433657195790065
2020-06-22,OR,3.4615719282639015
2020-06-23,OR,4.528494782865788
2020-06-24,OR,4.030597450718242
2020-06-25,OR,2.9399651993474225
2020-06-26,OR,5.927349192232708
2020-06-27,OR,6.543793508224909
2020-06-28,OR,5.856221001925914
2020-06-29,OR,3.4141531347260385
2020-06-30,OR,4.054306847487172
2020-07-01,OR,6.520084111455977
2020-07-02,OR,8.60651102712189
2020-07-03,OR,8.108613694974343
2020-07-04,OR,6.970562650065664
2020-07-05,OR,7.1128190306792485
2020-07-06,OR,3.912050466873586
2020-07-07,OR,4.978973321475474
2020-07-08,OR,5.026392115013334
2020-07-09,OR,8.796186201273336
2020-07-10,OR,6.3066995405356
2020-07-11,OR,9.412630517265539
2020-07-12,OR,7.563297569288934
2020-07-13,OR,6.354118334073463
2020-07-14,OR,8.701348614197611
2020-07-15,OR,6.543793508224909
2020-07-16,OR,10.147621817102397
2020-07-17,OR,6.946853253296733
2020-07-18,OR,8.227160678818997
2020-07-19,OR,10.195040610640257
2020-07-20,OR,6.354118334073463
2020-07-21,OR,6.923143856527803
2020-07-22,OR,6.022186779308431
2020-07-23,OR,7.587006966057864
2020-07-24,OR,9.270374136651954
2020-07-25,OR,9.199245946345162
2020-07-26,OR,6.3066995405356
2020-07-27,OR,7.824100933747172
2020-07-28,OR,7.776682140209311
2020-07-29,OR,7.2313660145239025
2020-07-30,OR,9.720852675261641
2020-07-31,OR,8.559092233584026
2020-08-01,OR,7.705553949902519
2020-08-02,OR,6.6386310953006324
2020-08-03,OR,6.377827730842393
2020-08-04,OR,7.895229124053966
2020-08-05,OR,6.6386310953006324
2020-08-06,OR,5.832511605156982
2020-08-07,OR,9.74456207203057
2020-08-08,OR,8.86731439158013
2020-08-09,OR,6.211861953459878
2020-08-10,OR,5.1212297020890585
2020-08-11,OR,6.780887475914217
2020-08-12,OR,5.879930398694844
2020-08-13,OR,6.591212301762769
2020-08-14,OR,7.421041188675349
2020-08-15,OR,9.602305691416985
2020-08-16,OR,5.785092811619122
2020-08-17,OR,4.481075989327926
2020-08-18,OR,5.334614273009437
2020-08-19,OR,4.599622973172581
2020-08-20,OR,6.9942720468345945
2020-08-21,OR,6.069605572846291
2020-08-22,OR,6.852015666221008
2020-08-23,OR,5.382033066547298
2020-08-24,OR,5.168648495626921
2020-08-25,OR,5.595417637467675
2020-08-26,OR,4.267691418407549
2020-08-27,OR,4.5047853860968585
2020-08-28,OR,6.946853253296733
2020-08-29,OR,5.666545827774468
2020-08-30,OR,6.188152556690947
2020-08-31,OR,3.7697940862600015
2020-09-01,OR,5.524289447160882
2020-09-02,OR,3.0585121831920765
2020-09-03,OR,6.188152556690947
2020-09-04,OR,6.282990143766669
2020-09-05,OR,6.0458961760773615
2020-09-06,OR,4.457366592558995
2020-09-07,OR,3.4615719282639015
2020-09-08,OR,3.912050466873586
2020-09-09,OR,2.750290025195976
2020-09-10,OR,4.338819608714341
2020-09-11,OR,5.0026827182444045
2020-09-12,OR,6.89943445975887
2020-09-13,OR,4.29140081517648
2020-09-14,OR,3.485281325032832
2020-09-15,OR,4.220272624869687
2020-09-16,OR,4.457366592558995
2020-09-17,OR,0.0
2020-09-18,OR,11.665023210313967
2020-09-19,OR,6.093314969615222
2020-09-20,OR,4.789298147324027
2020-09-21,OR,4.599622973172581
2020-09-22,OR,7.539588172520003
2020-09-23,OR,4.5047853860968585
2020-09-24,OR,8.582801630352959
2020-09-25,OR,10.64551914924994
2020-09-26,OR,6.33040893730453
2020-09-27,OR,5.666545827774468
2020-09-28,OR,4.125435037793964
2020-09-29,OR,7.041690840372455
2020-09-30,OR,5.168648495626921
2020-10-01,OR,8.369417059432582
2020-10-02,OR,7.136528427448178
2020-10-03,OR,8.250870075587928
2020-10-04,OR,6.140733763153085
2020-10-05,OR,6.614921698531702
2020-10-06,OR,6.89943445975887
2020-10-07,OR,6.970562650065664
2020-10-08,OR,11.427929242624659
2020-10-09,OR,9.720852675261641
2020-10-10,OR,9.697143278492707
2020-10-11,OR,7.752972743440381
2020-10-12,OR,4.8604263376308205
2020-10-13,OR,7.421041188675349
2020-10-14,OR,9.009570772193717
2020-10-15,OR,8.653929820659753
2020-10-16,OR,9.720852675261641
2020-10-17,OR,9.033280168962646
2020-10-18,OR,5.1212297020890585
2020-10-19,OR,6.211861953459878
2020-10-20,OR,8.108613694974343
2020-10-21,OR,7.278784808061763
2020-10-22,OR,8.701348614197611
2020-10-23,OR,12.755655461684785
2020-10-24,OR,9.270374136651954
2020-10-25,OR,8.582801630352959
2020-10-26,OR,7.9426479175918265
2020-10-27,OR,8.81989559804227
2020-10-28,OR,9.957946642950947
2020-10-29,OR,13.395809174445915
2020-10-30,OR,14.130800474282772
2020-10-31,OR,12.6133990810712
2020-11-01,OR,12.04437355861686
2020-11-02,OR,13.016458826143026
2020-11-03,OR,11.427929242624659
2020-11-04,OR,13.964834696900258
2020-11-05,OR,18.73042344745535
2020-11-06,OR,18.23252611530781
2020-11-07,OR,23.21149943678328
2020-11-08,OR,20.413790618049447
2020-11-09,OR,16.76254351563409
2020-11-10,OR,17.876885163773846
2020-11-11,OR,20.413790618049447
2020-11-12,OR,26.29372101674429
2020-11-13,OR,25.084541781528806
2020-11-14,OR,25.62985790721423
2020-11-15,OR,20.43750001481837
2020-11-16,OR,18.161397925001012
2020-11-17,OR,21.90748261449209
2020-11-18,OR,26.056627049054974
2020-11-19,OR,28.546113709792717
2020-11-20,OR,30.86963459314794
2020-11-21,OR,35.39812937601373
2020-11-22,OR,35.611513946934096
2020-11-23,OR,27.57402844226655
2020-11-24,OR,23.709396768930826
2020-11-25,OR,27.739994219649073
2020-11-26,OR,35.63522334370303
2020-11-27,OR,19.583961731136863
2020-11-28,OR,39.68953019119021
2020-11-29,OR,38.26696638505435
2020-11-30,OR,31.083019164068318
2020-12-01,OR,28.9965922484024
2020-12-02,OR,35.706351534009826
2020-12-03,OR,26.1514646361307
2020-12-04,OR,51.544228575655616
2020-12-05,OR,42.81917056468907
2020-12-06,OR,29.70787415147032
2020-12-07,OR,30.632540625458628
2020-12-08,OR,30.679959418996486
2020-12-09,OR,28.569823106561646
2020-12-10,OR,36.77327438861171
2020-12-11,OR,37.508265688448574
2020-12-12,OR,33.643634015112845
2020-12-13,OR,24.041328323695854
2020-12-14,OR,27.43177206165297
2020-12-15,OR,25.65356730398316
2020-12-16,OR,36.27537705646417
2020-12-17,OR,31.154147354375105
