date,STUSPS,positiveIncreaseRate
2020-01-22,PR,0.0
2020-01-23,PR,0.0
2020-01-24,PR,0.0
2020-01-25,PR,0.0
2020-01-26,PR,0.0
2020-01-27,PR,0.0
2020-01-28,PR,0.0
2020-01-29,PR,0.0
2020-01-30,PR,0.0
2020-01-31,PR,0.0
2020-02-01,PR,0.0
2020-02-02,PR,0.0
2020-02-03,PR,0.0
2020-02-04,PR,0.0
2020-02-05,PR,0.0
2020-02-06,PR,0.0
2020-02-07,PR,0.0
2020-02-08,PR,0.0
2020-02-09,PR,0.0
2020-02-10,PR,0.0
2020-02-11,PR,0.0
2020-02-12,PR,0.0
2020-02-13,PR,0.0
2020-02-14,PR,0.0
2020-02-15,PR,0.0
2020-02-16,PR,0.0
2020-02-17,PR,0.0
2020-02-18,PR,0.0
2020-02-19,PR,0.0
2020-02-20,PR,0.0
2020-02-21,PR,0.0
2020-02-22,PR,0.0
2020-02-23,PR,0.0
2020-02-24,PR,0.0
2020-02-25,PR,0.0
2020-02-26,PR,0.0
2020-02-27,PR,0.0
2020-02-28,PR,0.0
2020-02-29,PR,0.0
2020-03-01,PR,0.0
2020-03-02,PR,0.0
2020-03-03,PR,0.0
2020-03-04,PR,0.0
2020-03-05,PR,0.0
2020-03-06,PR,0.0
2020-03-07,PR,0.0
2020-03-08,PR,0.0
2020-03-09,PR,0.0
2020-03-10,PR,0.0
2020-03-11,PR,0.0
2020-03-12,PR,0.0
2020-03-13,PR,0.0
2020-03-14,PR,0.0
2020-03-15,PR,0.0
2020-03-16,PR,0.15655851812978952
2020-03-17,PR,0.0
2020-03-18,PR,0.0
2020-03-19,PR,0.0
2020-03-20,PR,0.2818053326336211
2020-03-21,PR,0.21918192538170533
2020-03-22,PR,0.06262340725191581
2020-03-23,PR,0.25049362900766325
2020-03-24,PR,0.25049362900766325
2020-03-25,PR,0.3757404435114948
2020-03-26,PR,0.4070521471374528
2020-03-27,PR,0.4696755543893686
2020-03-28,PR,0.6575457761451159
2020-03-29,PR,0.8454159979008635
2020-03-30,PR,1.4716500704200215
2020-03-31,PR,2.035260735687264
2020-04-01,PR,1.4716500704200215
2020-04-02,PR,0.9393511087787372
2020-04-03,PR,1.94132562480939
2020-04-04,PR,2.3170660683208846
2020-04-05,PR,0.7201691833970318
2020-04-06,PR,1.1898447377864003
2020-04-07,PR,1.8787022175574744
2020-04-08,PR,1.4716500704200215
2020-04-09,PR,1.972637328435348
2020-04-10,PR,1.3150915522902318
2020-04-11,PR,1.972637328435348
2020-04-12,PR,2.598871400954506
2020-04-13,PR,0.0
2020-04-14,PR,0.0
2020-04-15,PR,0.0
2020-04-16,PR,0.0
2020-04-17,PR,0.0
2020-04-18,PR,0.0
2020-04-19,PR,0.0
2020-04-20,PR,0.0
2020-04-21,PR,0.0
2020-04-22,PR,0.0
2020-04-23,PR,0.0
2020-04-24,PR,0.0
2020-04-25,PR,0.21918192538170533
2020-04-26,PR,0.4070521471374528
2020-04-27,PR,0.12524681450383165
2020-04-28,PR,0.0939351108778737
2020-04-29,PR,0.1878702217557474
2020-04-30,PR,1.5968968849238532
2020-05-01,PR,0.2818053326336211
2020-05-02,PR,0.2818053326336211
2020-05-03,PR,0.4696755543893686
2020-05-04,PR,0.4070521471374528
2020-05-05,PR,0.12524681450383165
2020-05-06,PR,0.031311703625957914
2020-05-07,PR,0.21918192538170533
2020-05-08,PR,0.5009872580153265
2020-05-09,PR,0.15655851812978952
2020-05-10,PR,0.1878702217557474
2020-05-11,PR,0.43836385076341067
2020-05-12,PR,0.25049362900766325
2020-05-13,PR,0.06262340725191581
2020-05-14,PR,0.2818053326336211
2020-05-15,PR,0.4696755543893686
2020-05-16,PR,0.8141042942749055
2020-05-17,PR,1.0332862196566108
2020-05-18,PR,1.5029617740459793
2020-05-19,PR,0.34442873988553696
2020-05-20,PR,0.0
2020-05-21,PR,0.21918192538170533
2020-05-22,PR,0.25049362900766325
2020-05-23,PR,0.2818053326336211
2020-05-24,PR,0.0
2020-05-25,PR,0.31311703625957904
2020-05-26,PR,0.031311703625957914
2020-05-27,PR,0.5949223688932002
2020-05-28,PR,0.6262340725191581
2020-05-29,PR,0.4070521471374528
2020-05-30,PR,0.21918192538170533
2020-05-31,PR,0.12524681450383165
2020-06-01,PR,0.0
2020-06-02,PR,0.031311703625957914
2020-06-03,PR,0.25049362900766325
2020-06-04,PR,0.2818053326336211
2020-06-05,PR,0.25049362900766325
2020-06-06,PR,0.9393511087787372
2020-06-07,PR,0.12524681450383165
2020-06-08,PR,0.2818053326336211
2020-06-09,PR,0.4070521471374528
2020-06-10,PR,0.5009872580153265
2020-06-11,PR,0.031311703625957914
2020-06-12,PR,1.2524681450383162
2020-06-13,PR,0.5322989616412843
2020-06-14,PR,0.34442873988553696
2020-06-15,PR,0.1878702217557474
2020-06-16,PR,0.06262340725191581
2020-06-17,PR,0.21918192538170533
2020-06-18,PR,0.31311703625957904
2020-06-19,PR,0.0939351108778737
2020-06-20,PR,1.001974516030653
2020-06-21,PR,0.06262340725191581
2020-06-22,PR,0.21918192538170533
2020-06-23,PR,0.31311703625957904
2020-06-24,PR,0.8454159979008635
2020-06-25,PR,0.06262340725191581
2020-06-26,PR,0.12524681450383165
2020-06-27,PR,0.5949223688932002
2020-06-28,PR,0.6888574797710739
2020-06-29,PR,0.43836385076341067
2020-06-30,PR,1.7221436994276849
2020-07-01,PR,1.1272213305344845
2020-07-02,PR,1.1898447377864003
2020-07-03,PR,0.7514808870229897
2020-07-04,PR,0.8141042942749055
2020-07-05,PR,0.9080394051527793
2020-07-06,PR,7.045133315840527
2020-07-07,PR,2.3796894755728006
2020-07-08,PR,0.7514808870229897
2020-07-09,PR,2.003949032061306
