date,STUSPS,positiveIncreaseRate
2020-01-22,RI,0.0
2020-01-23,RI,0.0
2020-01-24,RI,0.0
2020-01-25,RI,0.0
2020-01-26,RI,0.0
2020-01-27,RI,0.0
2020-01-28,RI,0.0
2020-01-29,RI,0.0
2020-01-30,RI,0.0
2020-01-31,RI,0.0
2020-02-01,RI,0.0
2020-02-02,RI,0.0
2020-02-03,RI,0.0
2020-02-04,RI,0.0
2020-02-05,RI,0.0
2020-02-06,RI,0.0
2020-02-07,RI,0.0
2020-02-08,RI,0.0
2020-02-09,RI,0.0
2020-02-10,RI,0.0
2020-02-11,RI,0.0
2020-02-12,RI,0.0
2020-02-13,RI,0.0
2020-02-14,RI,0.0
2020-02-15,RI,0.0
2020-02-16,RI,0.0
2020-02-17,RI,0.0
2020-02-18,RI,0.0
2020-02-19,RI,0.0
2020-02-20,RI,0.0
2020-02-21,RI,0.0
2020-02-22,RI,0.0
2020-02-23,RI,0.0
2020-02-24,RI,0.0
2020-02-25,RI,0.0
2020-02-26,RI,0.0
2020-02-27,RI,0.0
2020-02-28,RI,0.0
2020-02-29,RI,0.0
2020-03-01,RI,0.18879305543624886
2020-03-02,RI,0.0
2020-03-03,RI,0.0
2020-03-04,RI,0.0
2020-03-05,RI,0.09439652771812443
2020-03-06,RI,0.0
2020-03-07,RI,0.0
2020-03-08,RI,0.0
2020-03-09,RI,0.09439652771812443
2020-03-10,RI,0.09439652771812443
2020-03-11,RI,0.0
2020-03-12,RI,0.7551722217449953
2020-03-13,RI,0.5663791663087465
2020-03-14,RI,0.0
2020-03-15,RI,0.09439652771812443
2020-03-16,RI,0.18879305543624886
2020-03-17,RI,1.0383618048993686
2020-03-18,RI,1.0383618048993686
2020-03-19,RI,1.6047409712081149
2020-03-20,RI,1.2271548603356173
2020-03-21,RI,1.3215513880537415
2020-03-22,RI,2.3599131929531105
2020-03-23,RI,1.5103444434899906
2020-03-24,RI,1.793534026644364
2020-03-25,RI,2.6431027761074835
2020-03-26,RI,3.870257636443101
2020-03-27,RI,2.926292359261857
2020-03-28,RI,6.0413777739599634
2020-03-29,RI,9.911635410403065
2020-03-30,RI,7.362929162013705
2020-03-31,RI,6.890946523423081
2020-04-01,RI,9.439652771812444
2020-04-02,RI,5.852584718523714
2020-04-03,RI,9.534049299530569
2020-04-04,RI,12.932324297383044
2020-04-05,RI,17.180168044698643
2020-04-06,RI,19.44568470993363
2020-04-07,RI,24.63749373443047
2020-04-08,RI,25.770252067047966
2020-04-09,RI,26.33663123335671
2020-04-10,RI,38.136197198122275
2020-04-11,RI,26.431027761074837
2020-04-12,RI,27.280596510537954
2020-04-13,RI,17.652150683289264
2020-04-14,RI,25.203872900739217
2020-04-15,RI,28.9797340094642
2020-04-16,RI,37.003438865504776
2020-04-17,RI,27.374993038256086
2020-04-18,RI,26.714217344229212
2020-04-19,RI,32.00042289644418
2020-04-20,RI,35.681887477451035
2020-04-21,RI,36.53145622691415
2020-04-22,RI,36.059473588323534
2020-04-23,RI,39.552145113894134
2020-04-24,RI,39.17455900302164
2020-04-25,RI,28.79094095402795
2020-04-26,RI,26.053441650202338
2020-04-27,RI,19.162495126779252
2020-04-28,RI,30.584474980672308
2020-04-29,RI,35.115508311142285
2020-04-30,RI,32.84999164590729
2020-05-01,RI,29.92369928664544
2020-05-02,RI,17.840943738725517
2020-05-03,RI,17.085771516980518
2020-05-04,RI,27.46938956597421
2020-05-05,RI,28.602147898591696
2020-05-06,RI,32.28361247959855
2020-05-07,RI,25.581459011611713
2020-05-08,RI,21.80559790288674
2020-05-09,RI,26.997406927383587
2020-05-10,RI,17.557754155571143
2020-05-11,RI,16.519392350671776
2020-05-12,RI,20.672839570269247
2020-05-13,RI,18.501719432752388
2020-05-14,RI,21.522408319732367
2020-05-15,RI,21.899994430604863
2020-05-16,RI,23.787924984967354
2020-05-17,RI,11.799565964765554
2020-05-18,RI,12.932324297383044
2020-05-19,RI,20.295253459396747
2020-05-20,RI,17.652150683289264
2020-05-21,RI,15.953013184363027
2020-05-22,RI,18.973702071343006
2020-05-23,RI,10.194824993557438
2020-05-24,RI,7.929308328322453
2020-05-25,RI,6.607756940268708
2020-05-26,RI,14.53706526859116
2020-05-27,RI,12.554738186510546
2020-05-28,RI,12.46034165879242
2020-05-29,RI,16.802581933826147
2020-05-30,RI,9.817238882684938
2020-05-31,RI,7.174136106577456
2020-06-01,RI,9.345256244094317
2020-06-02,RI,10.100428465839313
2020-06-03,RI,9.911635410403065
2020-06-04,RI,11.044393743020557
2020-06-05,RI,9.911635410403065
2020-06-06,RI,6.4189638848324595
2020-06-07,RI,4.625429858188097
2020-06-08,RI,4.247843747315598
2020-06-09,RI,6.4189638848324595
2020-06-10,RI,9.817238882684938
2020-06-11,RI,8.212497911476824
2020-06-12,RI,7.646118745168077
2020-06-13,RI,4.625429858188097
2020-06-14,RI,3.0206888869799813
2020-06-15,RI,7.174136106577456
2020-06-16,RI,4.908619441342469
2020-06-17,RI,4.814222913624344
2020-06-18,RI,6.702153467986834
2020-06-19,RI,5.569395135369342
2020-06-20,RI,3.3982749978524787
2020-06-21,RI,2.5487062483893594
2020-06-22,RI,5.569395135369342
2020-06-23,RI,7.26853263429558
2020-06-24,RI,4.814222913624344
2020-06-25,RI,4.247843747315598
2020-06-26,RI,6.513360412550584
2020-06-27,RI,3.3982749978524787
2020-06-28,RI,2.0767236097987367
2020-06-29,RI,3.3982749978524787
2020-06-30,RI,3.775861108724977
2020-07-01,RI,6.135774301678088
2020-07-02,RI,5.569395135369342
2020-07-03,RI,2.0767236097987367
2020-07-04,RI,2.5487062483893594
2020-07-05,RI,2.265516665234986
2020-07-06,RI,5.191809024496843
2020-07-07,RI,3.870257636443101
2020-07-08,RI,0.0
2020-07-09,RI,3.681464581006853
2020-07-10,RI,6.513360412550584
2020-07-11,RI,0.0
2020-07-12,RI,0.0
2020-07-13,RI,16.519392350671776
2020-07-14,RI,9.534049299530569
2020-07-15,RI,4.908619441342469
2020-07-16,RI,6.702153467986834
2020-07-17,RI,7.740515272886202
2020-07-18,RI,0.0
2020-07-19,RI,0.0
2020-07-20,RI,10.47801457671181
2020-07-21,RI,7.740515272886202
2020-07-22,RI,7.174136106577456
2020-07-23,RI,8.118101383758699
2020-07-24,RI,7.174136106577456
2020-07-25,RI,0.0
2020-07-26,RI,0.0
2020-07-27,RI,27.46938956597421
2020-07-28,RI,19.82327082080613
2020-07-29,RI,7.079739578859332
2020-07-30,RI,14.159479157718664
2020-07-31,RI,6.796549995704957
2020-08-01,RI,0.0
2020-08-02,RI,0.0
2020-08-03,RI,21.144822208859868
2020-08-04,RI,13.593099991409915
2020-08-05,RI,8.590084022349322
2020-08-06,RI,12.271548603356175
2020-08-07,RI,11.988359020201802
2020-08-08,RI,8.873273605503694
2020-08-09,RI,6.985343051141206
2020-08-10,RI,2.6431027761074835
2020-08-11,RI,11.233186798456806
2020-08-12,RI,7.174136106577456
2020-08-13,RI,10.47801457671181
2020-08-14,RI,8.967670133221821
2020-08-15,RI,9.817238882684938
2020-08-16,RI,7.079739578859332
2020-08-17,RI,5.474998607651216
2020-08-18,RI,11.32758332617493
2020-08-19,RI,9.722842354966817
2020-08-20,RI,7.174136106577456
2020-08-21,RI,14.253875685436785
2020-08-22,RI,14.442668740873033
2020-08-23,RI,8.306894439194949
2020-08-24,RI,3.681464581006853
2020-08-25,RI,6.607756940268708
2020-08-26,RI,7.740515272886202
2020-08-27,RI,12.743531241946798
2020-08-28,RI,8.873273605503694
2020-08-29,RI,16.424995822953647
2020-08-30,RI,4.342240275033723
2020-08-31,RI,4.342240275033723
2020-09-01,RI,5.003015969060594
2020-09-02,RI,7.174136106577456
2020-09-03,RI,6.135774301678088
2020-09-04,RI,9.439652771812444
2020-09-05,RI,22.749563180067984
2020-09-06,RI,3.3038784701343547
2020-09-07,RI,5.003015969060594
2020-09-08,RI,1.887930554362488
2020-09-09,RI,7.929308328322453
2020-09-10,RI,10.006031938121188
2020-09-11,RI,11.610772909329302
2020-09-12,RI,8.873273605503694
2020-09-13,RI,9.345256244094317
2020-09-14,RI,3.0206888869799813
2020-09-15,RI,11.32758332617493
2020-09-16,RI,10.194824993557438
2020-09-17,RI,12.271548603356175
2020-09-18,RI,12.46034165879242
2020-09-19,RI,16.802581933826147
2020-09-20,RI,7.740515272886202
2020-09-21,RI,4.908619441342469
2020-09-22,RI,10.572411104429934
2020-09-23,RI,12.554738186510546
2020-09-24,RI,0.3775861108724977
2020-09-25,RI,0.0
2020-09-26,RI,9.722842354966817
2020-09-27,RI,10.761204159866184
2020-09-28,RI,2.4543097206712345
2020-09-29,RI,12.46034165879242
2020-09-30,RI,18.12413332187989
2020-10-01,RI,15.669823601208654
2020-10-02,RI,15.292237490336154
2020-10-03,RI,15.953013184363027
2020-10-04,RI,11.705169437047427
2020-10-05,RI,4.719826385906222
2020-10-06,RI,16.708185406108026
2020-10-07,RI,16.991374989262393
2020-10-08,RI,25.39266595617547
2020-10-09,RI,23.504735401812983
2020-10-10,RI,26.997406927383587
2020-10-11,RI,16.04740971208115
2020-10-12,RI,7.646118745168077
2020-10-13,RI,12.177152075638052
2020-10-14,RI,19.256891654497377
2020-10-15,RI,25.864648594766088
2020-10-16,RI,23.88232151268548
2020-10-17,RI,27.091803455101708
2020-10-18,RI,26.808613871947337
2020-10-19,RI,8.023704856040577
2020-10-20,RI,28.50775137087357
2020-10-21,RI,44.74395413839098
2020-10-22,RI,44.460764555236594
2020-10-23,RI,49.46378052429719
2020-10-24,RI,43.89438538892785
2020-10-25,RI,25.864648594766088
2020-10-26,RI,15.764220128926775
2020-10-27,RI,39.740938169330384
2020-10-28,RI,47.10386733134408
2020-10-29,RI,34.737922200269786
2020-10-30,RI,53.050848577585924
2020-10-31,RI,50.407745801478434
2020-11-01,RI,45.31033330469972
2020-11-02,RI,21.899994430604863
2020-11-03,RI,39.929731224766634
2020-11-04,RI,54.65558954879404
2020-11-05,RI,59.28101940698214
2020-11-06,RI,59.469812462418396
2020-11-07,RI,75.0452395359089
2020-11-08,RI,53.617227743894674
2020-11-09,RI,25.109476373021092
2020-11-10,RI,74.47886036960017
2020-11-11,RI,92.3198041083257
2020-11-12,RI,93.26376938550692
2020-11-13,RI,72.21334370436519
2020-11-14,RI,116.48531520416552
2020-11-15,RI,64.09524232060647
2020-11-16,RI,45.40472983241785
2020-11-17,RI,57.10989926946529
2020-11-18,RI,130.55039783416606
2020-11-19,RI,98.1723888268494
2020-11-20,RI,99.11635410403065
2020-11-21,RI,132.6271214439648
2020-11-22,RI,69.66463745597582
2020-11-23,RI,40.49611039107537
2020-11-24,RI,80.33144508812387
2020-11-25,RI,84.29609925228509
2020-11-26,RI,110.82152354107805
2020-11-27,RI,43.70559233349161
2020-11-28,RI,100.34350896436622
2020-11-29,RI,99.5883367426213
2020-11-30,RI,61.452139544499
2020-12-01,RI,111.67109229054115
2020-12-02,RI,103.74178396221876
2020-12-03,RI,162.07883809201962
2020-12-04,RI,133.57108672114606
2020-12-05,RI,170.57452558665082
2020-12-06,RI,97.22842354966816
2020-12-07,RI,79.67066939409702
2020-12-08,RI,117.9012631199374
2020-12-09,RI,116.29652214872928
2020-12-10,RI,89.48790827678197
2020-12-11,RI,148.2969450451735
2020-12-12,RI,172.8400422518858
2020-12-13,RI,82.12497911476824
2020-12-14,RI,52.10688330040468
2020-12-15,RI,110.06635131933308
2020-12-16,RI,91.75342494201692
2020-12-17,RI,102.04264646329248
