date,STUSPS,positiveIncreaseRate
2020-01-22,SD,0.0
2020-01-23,SD,0.0
2020-01-24,SD,0.0
2020-01-25,SD,0.0
2020-01-26,SD,0.0
2020-01-27,SD,0.0
2020-01-28,SD,0.0
2020-01-29,SD,0.0
2020-01-30,SD,0.0
2020-01-31,SD,0.0
2020-02-01,SD,0.0
2020-02-02,SD,0.0
2020-02-03,SD,0.0
2020-02-04,SD,0.0
2020-02-05,SD,0.0
2020-02-06,SD,0.0
2020-02-07,SD,0.0
2020-02-08,SD,0.0
2020-02-09,SD,0.0
2020-02-10,SD,0.0
2020-02-11,SD,0.0
2020-02-12,SD,0.0
2020-02-13,SD,0.0
2020-02-14,SD,0.0
2020-02-15,SD,0.0
2020-02-16,SD,0.0
2020-02-17,SD,0.0
2020-02-18,SD,0.0
2020-02-19,SD,0.0
2020-02-20,SD,0.0
2020-02-21,SD,0.0
2020-02-22,SD,0.0
2020-02-23,SD,0.0
2020-02-24,SD,0.0
2020-02-25,SD,0.0
2020-02-26,SD,0.0
2020-02-27,SD,0.0
2020-02-28,SD,0.0
2020-02-29,SD,0.0
2020-03-01,SD,0.0
2020-03-02,SD,0.0
2020-03-03,SD,0.0
2020-03-04,SD,0.0
2020-03-05,SD,0.0
2020-03-06,SD,0.0
2020-03-07,SD,0.0
2020-03-08,SD,0.0
2020-03-09,SD,0.0
2020-03-10,SD,0.0
2020-03-11,SD,0.5651895250034195
2020-03-12,SD,0.3391137150020516
2020-03-13,SD,0.11303790500068388
2020-03-14,SD,0.0
2020-03-15,SD,0.0
2020-03-16,SD,0.11303790500068388
2020-03-17,SD,0.11303790500068388
2020-03-18,SD,0.0
2020-03-19,SD,0.0
2020-03-20,SD,0.3391137150020516
2020-03-21,SD,0.0
2020-03-22,SD,0.7912653350047871
2020-03-23,SD,0.7912653350047871
2020-03-24,SD,0.22607581000136776
2020-03-25,SD,1.2434169550075227
2020-03-26,SD,0.5651895250034195
2020-03-27,SD,1.3564548600082065
2020-03-28,SD,1.1303790500068391
2020-03-29,SD,2.4868339100150454
2020-03-30,SD,1.2434169550075227
2020-03-31,SD,0.7912653350047871
2020-04-01,SD,2.3737960050143614
2020-04-02,SD,4.0693645800246205
2020-04-03,SD,2.4868339100150454
2020-04-04,SD,2.8259476250170965
2020-04-05,SD,3.1650613400191485
