date,STUSPS,positiveIncreaseRate
2020-01-22,TN,0.0
2020-01-23,TN,0.0
2020-01-24,TN,0.0
2020-01-25,TN,0.0
2020-01-26,TN,0.0
2020-01-27,TN,0.0
2020-01-28,TN,0.0
2020-01-29,TN,0.0
2020-01-30,TN,0.0
2020-01-31,TN,0.0
2020-02-01,TN,0.0
2020-02-02,TN,0.0
2020-02-03,TN,0.0
2020-02-04,TN,0.0
2020-02-05,TN,0.0
2020-02-06,TN,0.0
2020-02-07,TN,0.0
2020-02-08,TN,0.0
2020-02-09,TN,0.0
2020-02-10,TN,0.0
2020-02-11,TN,0.0
2020-02-12,TN,0.0
2020-02-13,TN,0.0
2020-02-14,TN,0.0
2020-02-15,TN,0.0
2020-02-16,TN,0.0
2020-02-17,TN,0.0
2020-02-18,TN,0.0
2020-02-19,TN,0.0
2020-02-20,TN,0.0
2020-02-21,TN,0.0
2020-02-22,TN,0.0
2020-02-23,TN,0.0
2020-02-24,TN,0.0
2020-02-25,TN,0.0
2020-02-26,TN,0.0
2020-02-27,TN,0.0
2020-02-28,TN,0.0
2020-02-29,TN,0.0
2020-03-01,TN,0.0
2020-03-02,TN,0.0
2020-03-03,TN,0.0
2020-03-04,TN,0.0
2020-03-05,TN,0.01464305932166906
2020-03-06,TN,0.0
2020-03-07,TN,0.0
2020-03-08,TN,0.02928611864333812
2020-03-09,TN,0.0
2020-03-10,TN,0.05857223728667624
2020-03-11,TN,0.0
2020-03-12,TN,0.1610736525383597
2020-03-13,TN,0.11714447457335248
2020-03-14,TN,0.08785835593001437
2020-03-15,TN,0.10250141525168344
2020-03-16,TN,0.19035977118169786
2020-03-17,TN,0.3075042457550503
2020-03-18,TN,0.3660764830417266
2020-03-19,TN,0.8200113220134675
2020-03-20,TN,1.0835863898035103
2020-03-21,TN,2.093957482998676
2020-03-22,TN,1.9621699491036544
2020-03-23,TN,1.610736525383597
2020-03-24,TN,0.7614390847267913
2020-03-25,TN,1.7132379406352802
2020-03-26,TN,2.533249262648748
2020-03-27,TN,3.602192593130589
2020-03-28,TN,2.4893200846837407
2020-03-29,TN,2.401461728753726
2020-03-30,TN,4.348988618535712
2020-03-31,TN,5.9304390252759696
2020-04-01,TN,6.501518338821063
2020-04-02,TN,2.3721756101103884
2020-04-03,TN,3.2507591694105313
2020-04-04,TN,3.719337067703942
2020-04-05,TN,4.5686345083607485
2020-04-06,TN,2.474677025362072
2020-04-07,TN,4.920067932080805
2020-04-08,TN,3.2800452880538704
2020-04-09,TN,3.9829121354939847
2020-04-10,TN,3.3386175253405463
2020-04-11,TN,3.690050949060604
2020-04-12,TN,2.8407535084037985
2020-04-13,TN,4.422203915144057
2020-04-14,TN,3.1189716355155097
2020-04-15,TN,3.74862318634728
2020-04-16,TN,2.6796798558654387
2020-04-17,TN,4.788280398185783
2020-04-18,TN,2.533249262648748
2020-04-19,TN,4.510062271074071
2020-04-20,TN,2.4600339660404025
2020-04-21,TN,2.2843172541803742
2020-04-22,TN,6.560090576107741
2020-04-23,TN,6.208657152387683
2020-04-24,TN,6.735807287967769
2020-04-25,TN,6.779736465932777
2020-04-26,TN,6.999382355757812
2020-04-27,TN,3.6754078897389353
2020-04-28,TN,1.9621699491036544
2020-04-29,TN,4.597920627004086
2020-04-30,TN,5.403288889695884
2020-05-01,TN,16.927376575849436
2020-05-02,TN,11.275155677685179
2020-05-03,TN,7.555818609981235
2020-05-04,TN,5.769365372737612
2020-05-05,TN,1.7425240592786186
2020-05-06,TN,3.6314787117739282
2020-05-07,TN,2.313603372823712
2020-05-08,TN,5.051855465975827
2020-05-09,TN,4.788280398185783
2020-05-10,TN,3.1775438728021874
2020-05-11,TN,8.185470160813006
2020-05-12,TN,8.302614635386359
2020-05-13,TN,3.792552364312288
2020-05-14,TN,4.817566516829121
2020-05-15,TN,3.968269076172316
2020-05-16,TN,4.656492864290762
2020-05-17,TN,1.4643059321669063
2020-05-18,TN,9.122625957399826
2020-05-19,TN,5.374002771052545
2020-05-20,TN,2.255031135537036
2020-05-21,TN,6.281872448996028
2020-05-22,TN,6.340444686282705
2020-05-23,TN,5.78400843205928
2020-05-24,TN,5.212929118514187
2020-05-25,TN,6.765093406611108
2020-05-26,TN,5.2422152371575255
2020-05-27,TN,4.99328322868915
2020-05-28,TN,5.46186112698256
2020-05-29,TN,5.945082084597638
2020-05-30,TN,7.043311533722818
2020-05-31,TN,6.442946101534388
2020-06-01,TN,8.024396508274647
2020-06-02,TN,12.0219517030903
2020-06-03,TN,6.545447516786071
2020-06-04,TN,4.363631677857381
2020-06-05,TN,5.857223728667625
2020-06-06,TN,8.068325686239653
2020-06-07,TN,4.53934838971741
2020-06-08,TN,8.244042398099682
2020-06-09,TN,9.239770431973179
2020-06-10,TN,7.116526830331164
2020-06-11,TN,6.9847392964361426
2020-06-12,TN,8.610118881141409
2020-06-13,TN,6.076869618492662
2020-06-14,TN,13.046965855607136
2020-06-15,TN,10.660147186175076
2020-06-16,TN,9.810849745518274
2020-06-17,TN,4.5832775676824165
2020-06-18,TN,10.045138694664976
2020-06-19,TN,17.395954474142847
2020-06-20,TN,6.281872448996028
2020-06-21,TN,9.605846915014904
2020-06-22,TN,6.6040197540727466
2020-06-23,TN,10.982294491251798
2020-06-24,TN,13.647331287795565
2020-06-25,TN,11.699804398013582
2020-06-26,TN,20.64671364355338
2020-06-27,TN,10.660147186175076
2020-06-28,TN,0.0
2020-06-29,TN,31.116501058546763
2020-06-30,TN,17.747387897862907
2020-07-01,TN,26.44536513493433
2020-07-02,TN,23.06281843162877
2020-07-03,TN,26.679654084081033
2020-07-04,TN,20.910288711343426
2020-07-05,TN,18.90418958427476
2020-07-06,TN,10.6015749488884
2020-07-07,TN,19.899917618148255
2020-07-08,TN,36.19764264316592
2020-07-09,TN,23.502110211278854
2020-07-10,TN,28.62718097386302
2020-07-11,TN,21.378866609636837
