date,STUSPS,positiveIncreaseRate
2020-01-22,TX,0.0
2020-01-23,TX,0.0
2020-01-24,TX,0.0
2020-01-25,TX,0.0
2020-01-26,TX,0.0
2020-01-27,TX,0.0
2020-01-28,TX,0.0
2020-01-29,TX,0.0
2020-01-30,TX,0.0
2020-01-31,TX,0.0
2020-02-01,TX,0.0
2020-02-02,TX,0.0
2020-02-03,TX,0.0
2020-02-04,TX,0.0
2020-02-05,TX,0.0
2020-02-06,TX,0.0
2020-02-07,TX,0.0
2020-02-08,TX,0.0
2020-02-09,TX,0.0
2020-02-10,TX,0.0
2020-02-11,TX,0.0
2020-02-12,TX,0.0
2020-02-13,TX,0.0
2020-02-14,TX,0.0
2020-02-15,TX,0.0
2020-02-16,TX,0.0
2020-02-17,TX,0.0
2020-02-18,TX,0.0
2020-02-19,TX,0.0
2020-02-20,TX,0.0
2020-02-21,TX,0.0
2020-02-22,TX,0.0
2020-02-23,TX,0.0
2020-02-24,TX,0.0
2020-02-25,TX,0.0
2020-02-26,TX,0.0
2020-02-27,TX,0.0
2020-02-28,TX,0.0
2020-02-29,TX,0.0
2020-03-01,TX,0.0
2020-03-02,TX,0.0
2020-03-03,TX,0.0
2020-03-04,TX,0.0
2020-03-05,TX,0.0
2020-03-06,TX,0.01724382852861066
2020-03-07,TX,0.0
2020-03-08,TX,0.0
2020-03-09,TX,0.02414135994005493
2020-03-10,TX,0.0103462971171664
2020-03-11,TX,0.0103462971171664
2020-03-12,TX,0.013795062822888534
2020-03-13,TX,0.0
2020-03-14,TX,0.0
2020-03-15,TX,0.11725803399455255
2020-03-16,TX,0.0
2020-03-17,TX,0.02414135994005493
2020-03-18,TX,0.06552654840872052
2020-03-19,TX,0.08966790834877547
2020-03-20,TX,0.2310673022833829
2020-03-21,TX,0.206925942343328
2020-03-22,TX,0.09656543976021974
2020-03-23,TX,0.0827703769373312
2020-03-24,TX,1.4657254249319067
2020-03-25,TX,0.9070253806049212
2020-03-26,TX,1.445032830697574
2020-03-27,TX,1.162234042828359
2020-03-28,TX,1.0932587287139164
2020-03-29,TX,1.7381779156839554
2020-03-30,TX,1.110502557242527
2020-03-31,TX,1.3519161566430764
2020-04-01,TX,2.5175989651771578
2020-04-02,TX,2.3072242571281074
2020-04-03,TX,2.2727366000708855
2020-04-04,TX,2.717627376109041
2020-04-05,TX,2.348609445596773
2020-04-06,TX,1.6554075387466238
2020-04-07,TX,3.4073805172534684
2020-04-08,TX,3.7660521506485702
2020-04-09,TX,3.0245675239183107
2020-04-10,TX,4.969671381945594
2020-04-11,TX,3.0694014780926984
2020-04-12,TX,3.1832107463815293
2020-04-13,TX,1.4553791278147403
2020-04-14,TX,2.476213776708492
2020-04-15,TX,2.9935286325668122
2020-04-16,TX,3.3211613746104147
2020-04-17,TX,3.1590693864414745
2020-04-18,TX,3.0659527123869768
2020-04-19,TX,2.286531662893774
2020-04-20,TX,1.8450896525613407
2020-04-21,TX,2.5451890908229347
2020-04-22,TX,3.0107724610954225
2020-04-23,TX,3.0176699925068666
2020-04-24,TX,2.9728360383324786
2020-04-25,TX,3.334956437433303
2020-04-26,TX,2.9590409755095903
2020-04-27,TX,2.2968779600109412
2020-04-28,TX,3.014221226801145
2020-04-29,TX,3.0452601181526435
2020-04-30,TX,3.562574974010964
2020-05-01,TX,3.9384904359346766
2020-05-02,TX,4.459254057498718
2020-05-03,TX,3.5384336140709083
2020-05-04,TX,2.7038323132861533
2020-05-05,TX,3.576370036833852
2020-05-06,TX,3.6315502881254065
2020-05-07,TX,3.338405203139025
2020-05-08,TX,4.204045395275281
2020-05-09,TX,4.314405897858388
2020-05-10,TX,3.479804597073633
2020-05-11,TX,3.4487657057221335
2020-05-12,TX,4.066094767046395
2020-05-13,TX,4.67307753125349
2020-05-14,TX,4.993812741885648
2020-05-15,TX,4.645487405607714
2020-05-16,TX,6.211227036005562
2020-05-17,TX,2.707281078991875
2020-05-18,TX,3.1349280265014188
2020-05-19,TX,4.204045395275281
2020-05-20,TX,4.866208410773932
2020-05-21,TX,3.259083591907416
2020-05-22,TX,4.07299229845784
2020-05-23,TX,3.655691648065461
2020-05-24,TX,2.89351442710087
2020-05-25,TX,2.1485810346648893
2020-05-26,TX,2.0313230006703367
2020-05-27,TX,4.693770125487824
2020-05-28,TX,6.397460384114558
2020-05-29,TX,4.241981818038224
2020-05-30,TX,4.5937559200218825
2020-05-31,TX,6.721644360452439
2020-06-01,TX,2.0451180634932253
2020-06-02,TX,5.821516511258961
2020-06-03,TX,5.8732479968447935
2020-06-04,TX,5.687014648735797
2020-06-05,TX,5.838760339787573
2020-06-06,TX,6.690605469100938
2020-06-07,TX,4.91449113065404
2020-06-08,TX,2.2003125202507205
2020-06-09,TX,5.645629460267132
2020-06-10,TX,8.635709327128223
2020-06-11,TX,6.2974461786486176
2020-06-12,TX,7.232061684899312
2020-06-13,TX,8.039072860038292
2020-06-14,TX,6.356075195645891
2020-06-15,TX,4.324752194975555
2020-06-16,TX,14.133041862049305
2020-06-17,TX,10.791187893204555
2020-06-18,TX,12.12586022131902
2020-06-19,TX,11.91203674756425
2020-06-20,TX,15.278032076349053
2020-06-21,TX,13.332928218321767
2020-06-22,TX,11.311951514768598
2020-06-23,TX,18.93027495870879
2020-06-24,TX,19.144098432463558
2020-06-25,TX,20.678799171509908
2020-06-26,TX,19.68210588255621
2020-06-27,TX,19.802812682256487
2020-06-28,TX,18.47503788555347
2020-06-29,TX,14.788307346136508
2020-06-30,TX,24.05514079741188
2020-07-01,TX,27.852231839411957
2020-07-02,TX,27.29698056079069
2020-07-03,TX,26.055424906730718
2020-07-04,TX,28.47990719785338
2020-07-05,TX,11.894792919035638
2020-07-06,TX,18.34053602303031
2020-07-07,TX,34.584222496981546
2020-07-08,TX,34.41523297740117
2020-07-09,TX,33.73582613337391
2020-07-10,TX,33.67719711637663
2020-07-11,TX,35.69817381992981
2020-07-12,TX,28.26608372409861
2020-07-13,TX,19.502770065858666
2020-07-14,TX,25.04148778924841
2020-07-15,TX,37.21563073044754
2020-07-16,TX,35.491247877586474
2020-07-17,TX,51.44178926655134
2020-07-18,TX,35.03256203872543
2020-07-19,TX,25.175989651771573
