date,STUSPS,positiveIncreaseRate
2020-01-22,UT,0.0
2020-01-23,UT,0.0
2020-01-24,UT,0.0
2020-01-25,UT,0.0
2020-01-26,UT,0.0
2020-01-27,UT,0.0
2020-01-28,UT,0.0
2020-01-29,UT,0.0
2020-01-30,UT,0.0
2020-01-31,UT,0.0
2020-02-01,UT,0.0
2020-02-02,UT,0.0
2020-02-03,UT,0.0
2020-02-04,UT,0.0
2020-02-05,UT,0.0
2020-02-06,UT,0.0
2020-02-07,UT,0.0
2020-02-08,UT,0.0
2020-02-09,UT,0.0
2020-02-10,UT,0.0
2020-02-11,UT,0.0
2020-02-12,UT,0.0
2020-02-13,UT,0.0
2020-02-14,UT,0.0
2020-02-15,UT,0.0
2020-02-16,UT,0.0
2020-02-17,UT,0.0
2020-02-18,UT,0.0
2020-02-19,UT,0.0
2020-02-20,UT,0.0
2020-02-21,UT,0.0
2020-02-22,UT,0.0
2020-02-23,UT,0.0
2020-02-24,UT,0.0
2020-02-25,UT,0.0
2020-02-26,UT,0.0
2020-02-27,UT,0.0
2020-02-28,UT,0.0
2020-02-29,UT,0.0
2020-03-01,UT,0.0
2020-03-02,UT,0.0
2020-03-03,UT,0.0
2020-03-04,UT,0.0
2020-03-05,UT,0.0
2020-03-06,UT,0.0
2020-03-07,UT,0.031191924535505462
2020-03-08,UT,0.0
2020-03-09,UT,0.0
2020-03-10,UT,0.031191924535505462
2020-03-11,UT,0.0
2020-03-12,UT,0.062383849071010924
2020-03-13,UT,0.062383849071010924
2020-03-14,UT,0.0
2020-03-15,UT,0.68622233978112
2020-03-16,UT,0.34311116989056
2020-03-17,UT,0.3743030944260655
2020-03-18,UT,0.3743030944260655
2020-03-19,UT,0.4678788680325818
2020-03-20,UT,1.0605254342071857
2020-03-21,UT,0.7486061888521309
2020-03-22,UT,1.4036366040977457
2020-03-23,UT,2.3705862646984146
2020-03-24,UT,1.3100608304912291
2020-03-25,UT,1.4660204531687564
2020-03-26,UT,1.7467477739883055
2020-03-27,UT,2.432970113769425
2020-03-28,UT,3.8054147933316655
2020-03-29,UT,3.6494551706541385
2020-03-30,UT,2.7136974345889753
2020-03-31,UT,2.5265458873759417
2020-04-01,UT,3.8989905669381817
2020-04-02,UT,1.9338993212013385
2020-04-03,UT,5.365011020106938
2020-04-04,UT,5.676930265461992
2020-04-05,UT,5.520970642784464
2020-04-06,UT,2.183434717485382
2020-04-07,UT,1.965091245736844
2020-04-08,UT,3.3687278498345887
2020-04-09,UT,4.05495018961571
2020-04-10,UT,3.930182491473688
2020-04-11,UT,3.243960151692567
2020-04-12,UT,3.025616679944029
2020-04-13,UT,1.8715154721303275
2020-04-14,UT,1.5284043022397675
2020-04-15,UT,4.05495018961571
2020-04-16,UT,4.3980613595062685
2020-04-17,UT,3.8054147933316655
2020-04-18,UT,3.930182491473688
2020-04-19,UT,4.3044855858997515
2020-04-20,UT,4.4916371331127865
2020-04-21,UT,2.588929736446953
2020-04-22,UT,4.647596755790313
2020-04-23,UT,5.209051397429412
2020-04-24,UT,5.302627171035927
2020-04-25,UT,5.177859472893905
2020-04-26,UT,5.458586793713455
2020-04-27,UT,3.4311116989056005
2020-04-28,UT,3.4311116989056005
2020-04-29,UT,4.741172529396829
2020-04-30,UT,5.520970642784464
2020-05-01,UT,4.865940227538852
2020-05-02,UT,4.772364453932335
2020-05-03,UT,6.051233359888058
2020-05-04,UT,4.429253284041773
2020-05-05,UT,4.11733403868672
2020-05-06,UT,4.554020982183797
2020-05-07,UT,4.023758265080203
2020-05-08,UT,6.082425284423564
2020-05-09,UT,5.739314114533004
2020-05-10,UT,4.6164048312548065
2020-05-11,UT,3.4623036234411058
2020-05-12,UT,2.183434717485382
2020-05-13,UT,5.8640818126750265
2020-05-14,UT,4.023758265080203
2020-05-15,UT,5.115475623822895
2020-05-16,UT,4.8347483030033445
2020-05-17,UT,5.302627171035927
2020-05-18,UT,4.554020982183797
2020-05-19,UT,4.1797178877577315
2020-05-20,UT,5.988849510817047
2020-05-21,UT,5.115475623822895
2020-05-22,UT,5.708122189997496
2020-05-23,UT,6.331960680707607
2020-05-24,UT,4.11733403868672
2020-05-25,UT,4.023758265080203
2020-05-26,UT,3.08800052901504
2020-05-27,UT,2.682505510053469
2020-05-28,UT,6.706263775133673
2020-05-29,UT,10.698830115678373
2020-05-30,UT,8.390627700050969
2020-05-31,UT,8.23466807737344
2020-06-01,UT,6.300768756172102
2020-06-02,UT,6.331960680707607
2020-06-03,UT,9.201617737974107
2020-06-04,UT,9.856648153219725
2020-06-05,UT,13.693254871086895
2020-06-06,UT,17.03079079638598
2020-06-07,UT,8.359435775515461
2020-06-08,UT,7.985132681089397
2020-06-09,UT,7.392486114914793
2020-06-10,UT,9.513536983329164
2020-06-11,UT,12.102466719776116
2020-06-12,UT,10.137375474039274
2020-06-13,UT,12.601537512344205
2020-06-14,UT,10.35571894578781
2020-06-15,UT,9.201617737974107
2020-06-16,UT,10.262143172181297
2020-06-17,UT,12.69511328595072
2020-06-18,UT,15.4400026450752
2020-06-19,UT,18.278467777806195
2020-06-20,UT,20.056407476330012
2020-06-21,UT,12.28961826698915
2020-06-22,UT,13.849214493764427
2020-06-23,UT,12.28961826698915
2020-06-24,UT,15.096891475184641
2020-06-25,UT,18.403235475948215
2020-06-26,UT,21.085740986001692
2020-06-27,UT,18.028932381522157
2020-06-28,UT,14.722588380758573
2020-06-29,UT,17.592245438025078
2020-06-30,UT,17.24913426813452
2020-07-01,UT,15.564770343217225
2020-07-02,UT,17.280326192670024
2020-07-03,UT,18.590387023161245
2020-07-04,UT,21.085740986001692
2020-07-05,UT,12.788689059557235
2020-07-06,UT,16.126224984856318
2020-07-07,UT,17.592245438025078
2020-07-08,UT,22.520569514634943
2020-07-09,UT,18.74634664583878
2020-07-10,UT,27.04339857228323
2020-07-11,UT,19.71329630643945
2020-07-12,UT,19.619720532832925
2020-07-13,UT,17.03079079638598
2020-07-14,UT,13.973982191906446
2020-07-15,UT,12.882264833163754
2020-07-16,UT,29.7570960068722
2020-07-17,UT,22.67652913731247
2020-07-18,UT,23.705862646984148
2020-07-19,UT,24.485660760371786
2020-07-20,UT,12.757497135021731
2020-07-21,UT,15.159275324255653
2020-07-22,UT,17.65462928709609
2020-07-23,UT,16.25099268299834
2020-07-24,UT,26.91863087414121
2020-07-25,UT,20.61786211796911
2020-07-26,UT,10.91717358742691
2020-07-27,UT,13.599679097480381
2020-07-28,UT,13.91159834283543
2020-07-29,UT,10.57406241753635
2020-07-30,UT,15.658346116823738
2020-07-31,UT,15.595962267752727
2020-08-01,UT,15.78311381496576
2020-08-02,UT,14.753780305294082
2020-08-03,UT,11.041941285568928
2020-08-04,UT,11.790547474421064
2020-08-05,UT,13.131800229447796
2020-08-06,UT,18.3096597023417
2020-08-07,UT,14.34828528633251
2020-08-08,UT,11.728163625350053
