date,STUSPS,positiveIncreaseRate
2020-01-22,VT,0.0
2020-01-23,VT,0.0
2020-01-24,VT,0.0
2020-01-25,VT,0.0
2020-01-26,VT,0.0
2020-01-27,VT,0.0
2020-01-28,VT,0.0
2020-01-29,VT,0.0
2020-01-30,VT,0.0
2020-01-31,VT,0.0
2020-02-01,VT,0.0
2020-02-02,VT,0.0
2020-02-03,VT,0.0
2020-02-04,VT,0.0
2020-02-05,VT,0.0
2020-02-06,VT,0.0
2020-02-07,VT,0.0
2020-02-08,VT,0.0
2020-02-09,VT,0.0
2020-02-10,VT,0.0
2020-02-11,VT,0.0
2020-02-12,VT,0.0
2020-02-13,VT,0.0
2020-02-14,VT,0.0
2020-02-15,VT,0.0
2020-02-16,VT,0.0
2020-02-17,VT,0.0
2020-02-18,VT,0.0
2020-02-19,VT,0.0
2020-02-20,VT,0.0
2020-02-21,VT,0.0
2020-02-22,VT,0.0
2020-02-23,VT,0.0
2020-02-24,VT,0.0
2020-02-25,VT,0.0
2020-02-26,VT,0.0
2020-02-27,VT,0.0
2020-02-28,VT,0.0
2020-02-29,VT,0.0
2020-03-01,VT,0.0
2020-03-02,VT,0.0
2020-03-03,VT,0.0
2020-03-04,VT,0.0
2020-03-05,VT,0.0
2020-03-06,VT,0.0
2020-03-07,VT,0.0
2020-03-08,VT,0.16025923533908448
2020-03-09,VT,0.0
2020-03-10,VT,0.0
2020-03-11,VT,0.0
2020-03-12,VT,0.16025923533908448
2020-03-13,VT,0.0
2020-03-14,VT,0.4807777060172535
2020-03-15,VT,0.4807777060172535
2020-03-16,VT,0.6410369413563379
2020-03-17,VT,0.8012961766954225
2020-03-18,VT,0.32051847067816897
2020-03-19,VT,0.32051847067816897
2020-03-20,VT,1.1218146473735915
2020-03-21,VT,2.564147765425352
2020-03-22,VT,1.282073882712676
2020-03-23,VT,3.8462216481380285
2020-03-24,VT,3.3654439421207747
2020-03-25,VT,4.487258589494366
2020-03-26,VT,5.609073236867959
2020-03-27,VT,4.0064808834771135
2020-03-28,VT,4.487258589494366
2020-03-29,VT,3.3654439421207747
2020-03-30,VT,3.525703177459859
2020-03-31,VT,5.929591707546128
2020-04-01,VT,4.326999354155282
2020-04-02,VT,6.250110178224295
2020-04-03,VT,4.968036295511619
2020-04-04,VT,11.218146473735917
2020-04-05,VT,8.333480237632394
2020-04-06,VT,4.968036295511619
2020-04-07,VT,5.128295530850703
2020-04-08,VT,5.2885547661897885
2020-04-09,VT,3.6859624127989443
2020-04-10,VT,7.852702531615142
2020-04-11,VT,5.2885547661897885
2020-04-12,VT,3.20518470678169
2020-04-13,VT,3.3654439421207747
2020-04-14,VT,1.1218146473735915
2020-04-15,VT,1.4423331180517605
2020-04-16,VT,1.4423331180517605
