date,STUSPS,positiveIncreaseRate
2020-01-22,WI,0.0
2020-01-23,WI,0.0
2020-01-24,WI,0.0
2020-01-25,WI,0.0
2020-01-26,WI,0.0
2020-01-27,WI,0.0
2020-01-28,WI,0.0
2020-01-29,WI,0.0
2020-01-30,WI,0.0
2020-01-31,WI,0.0
2020-02-01,WI,0.0
2020-02-02,WI,0.0
2020-02-03,WI,0.0
2020-02-04,WI,0.0
2020-02-05,WI,0.0
2020-02-06,WI,0.0
2020-02-07,WI,0.0
2020-02-08,WI,0.0
2020-02-09,WI,0.0
2020-02-10,WI,0.0
2020-02-11,WI,0.0
2020-02-12,WI,0.0
2020-02-13,WI,0.0
2020-02-14,WI,0.0
2020-02-15,WI,0.0
2020-02-16,WI,0.0
2020-02-17,WI,0.0
2020-02-18,WI,0.0
2020-02-19,WI,0.0
2020-02-20,WI,0.0
2020-02-21,WI,0.0
2020-02-22,WI,0.0
2020-02-23,WI,0.0
2020-02-24,WI,0.0
2020-02-25,WI,0.0
2020-02-26,WI,0.0
2020-02-27,WI,0.0
2020-02-28,WI,0.0
2020-02-29,WI,0.0
2020-03-01,WI,0.0
2020-03-02,WI,0.0
2020-03-03,WI,0.0
2020-03-04,WI,0.017174947796746172
2020-03-05,WI,0.0
2020-03-06,WI,0.0
2020-03-07,WI,0.0
2020-03-08,WI,0.0
2020-03-09,WI,0.0
2020-03-10,WI,0.017174947796746172
2020-03-11,WI,0.017174947796746172
2020-03-12,WI,0.10304968678047703
2020-03-13,WI,0.2404492691544464
2020-03-14,WI,0.0
2020-03-15,WI,0.2404492691544464
2020-03-16,WI,0.32632400813817725
2020-03-17,WI,0.4637235905121467
2020-03-18,WI,0.6526480162763545
2020-03-19,WI,0.9102722332275469
2020-03-20,WI,1.0476718156015166
2020-03-21,WI,1.3739958237396936
2020-03-22,WI,1.889244257642079
2020-03-23,WI,0.704172859666593
2020-03-24,WI,1.013321920008024
2020-03-25,WI,2.4388425871379567
2020-03-26,WI,2.3873177437477184
2020-03-27,WI,2.799516490869626
2020-03-28,WI,2.8338663864631184
2020-03-29,WI,2.4388425871379567
2020-03-30,WI,2.5075423783249406
2020-03-31,WI,2.799516490869626
2020-04-01,WI,4.0532876800320965
2020-04-02,WI,3.7613135674874107
2020-04-03,WI,3.830013358674397
2020-04-04,WI,3.6582638807069343
2020-04-05,WI,2.8682162820566104
2020-04-06,WI,3.830013358674397
2020-04-07,WI,3.400639663755742
2020-04-08,WI,3.6926137763004268
2020-04-09,WI,2.816691438666372
2020-04-10,WI,3.8128384108776494
2020-04-11,WI,2.6964668040891486
2020-04-12,WI,2.4388425871379567
2020-04-13,WI,1.9922939444225558
2020-04-14,WI,2.8510413342598646
2020-04-15,WI,3.555214193926457
2020-04-16,WI,3.143015446804549
2020-04-17,WI,3.486514402739473
2020-04-18,WI,2.9884409166338344
2020-04-19,WI,2.799516490869626
2020-04-20,WI,3.0399657600240726
2020-04-21,WI,2.6792918562924033
2020-04-22,WI,4.413961583763767
2020-04-23,WI,4.207862210202812
2020-04-24,WI,6.062756572251399
2020-04-25,WI,6.028406676657907
2020-04-26,WI,4.259387053593051
2020-04-27,WI,3.400639663755742
2020-04-28,WI,3.95023799325162
2020-04-29,WI,4.6200609573247196
2020-04-30,WI,6.732579536324499
2020-05-01,WI,8.553124002779594
2020-05-02,WI,6.354730684796084
2020-05-03,WI,5.272708973601075
2020-05-04,WI,5.341408764788058
2020-05-05,WI,6.14863131123513
2020-05-06,WI,6.286030893609098
2020-05-07,WI,6.165806259031878
2020-05-08,WI,7.024553648869183
2020-05-09,WI,6.389080580389576
2020-05-10,WI,5.015084756649881
2020-05-11,WI,3.8815382020646343
2020-05-12,WI,3.623913985113442
2020-05-13,WI,5.461633399365282
2020-05-14,WI,7.213478074633392
2020-05-15,WI,8.158100203454431
2020-05-16,WI,9.171422123462456
2020-05-17,WI,6.509305214966799
2020-05-18,WI,3.177365342398042
2020-05-19,WI,4.293736949186544
2020-05-20,WI,9.90994487872254
2020-05-21,WI,8.982497697698248
2020-05-22,WI,9.411871392616902
2020-05-23,WI,8.638998741763325
2020-05-24,WI,7.04172859666593
2020-05-25,WI,5.461633399365282
2020-05-26,WI,5.083784547836867
2020-05-27,WI,11.095016276698027
2020-05-28,WI,9.68667055736484
2020-05-29,WI,13.156010012307567
2020-05-30,WI,9.257296862446188
2020-05-31,WI,3.1258404990078037
2020-06-01,WI,2.954091021040341
2020-06-02,WI,7.196303126836646
2020-06-03,WI,8.690523585153564
2020-06-04,WI,9.137072227868963
2020-06-05,WI,6.973028805478945
2020-06-06,WI,5.805132355300207
2020-06-07,WI,4.723110644105197
2020-06-08,WI,3.8128384108776494
2020-06-09,WI,5.152484339023852
2020-06-10,WI,5.770782459706714
2020-06-11,WI,6.371905632592831
2020-06-12,WI,6.079931520048145
2020-06-13,WI,5.0494346522433755
2020-06-14,WI,4.3109118969832885
2020-06-15,WI,3.538039246129711
2020-06-16,WI,5.11813444343036
2020-06-17,WI,4.894860122072659
2020-06-18,WI,7.917650934299985
2020-06-19,WI,5.547508138349014
2020-06-20,WI,7.093253440056169
2020-06-21,WI,4.963559913259643
2020-06-22,WI,4.517011270544243
2020-06-23,WI,5.100959495633614
2020-06-24,WI,8.003525673283718
2020-06-25,WI,7.969175777690223
2020-06-26,WI,9.669495609568095
2020-06-27,WI,9.600795818381108
2020-06-28,WI,8.243974942438163
2020-06-29,WI,5.599032981739252
2020-06-30,WI,10.803042164153345
2020-07-01,WI,9.669495609568095
2020-07-02,WI,10.030169513299763
2020-07-03,WI,10.682817529576116
2020-07-04,WI,13.32775949027503
2020-07-05,WI,9.154247175665711
2020-07-06,WI,8.415724420405624
2020-07-07,WI,9.188597071259203
2020-07-08,WI,11.077841328901279
2020-07-09,WI,13.739958237396936
2020-07-10,WI,15.268528591307346
2020-07-11,WI,16.848623788607995
2020-07-12,WI,13.688433394006697
2020-07-13,WI,8.673348637356817
2020-07-14,WI,16.608174519453552
2020-07-15,WI,14.56435573164075
2020-07-16,WI,16.178800824534893
2020-07-17,WI,15.955526503177195
2020-07-18,WI,17.707371178445307
2020-07-19,WI,14.581530679437499
2020-07-20,WI,12.486187048234465
2020-07-21,WI,19.940114392022306
2020-07-22,WI,12.82968600416939
2020-07-23,WI,18.65199330726634
2020-07-24,WI,18.17109476895745
2020-07-25,WI,16.968848423185218
2020-07-26,WI,16.573824623860055
2020-07-27,WI,10.322143625844447
2020-07-28,WI,13.447984124852251
2020-07-29,WI,15.869651764193465
2020-07-30,WI,18.737868046250068
2020-07-31,WI,14.684580366217975
2020-08-01,WI,19.304641323542697
2020-08-02,WI,16.00705134656743
2020-08-03,WI,7.0589035444626775
2020-08-04,WI,13.224709803494553
2020-08-05,WI,16.127275981144656
2020-08-06,WI,15.0280793221529
2020-08-07,WI,17.913470552006252
2020-08-08,WI,20.35231313914421
2020-08-09,WI,10.682817529576116
2020-08-10,WI,8.948147802104756
2020-08-11,WI,13.173184960104313
2020-08-12,WI,9.119897280072218
2020-08-13,WI,16.625349467250288
2020-08-14,WI,18.1882697167542
2020-08-15,WI,14.873504791982185
2020-08-16,WI,12.005288509925576
2020-08-17,WI,8.055050516673955
2020-08-18,WI,12.177037987893035
2020-08-19,WI,12.194212935689784
2020-08-20,WI,13.207534855697807
2020-08-21,WI,14.56435573164075
2020-08-22,WI,16.74557410182752
2020-08-23,WI,8.226799994641416
2020-08-24,WI,7.110428387852916
2020-08-25,WI,11.79918913636462
2020-08-26,WI,13.499508968242491
2020-08-27,WI,15.663552390632507
2020-08-28,WI,14.839154896388695
2020-08-29,WI,14.8048050007952
2020-08-30,WI,9.789720244145318
2020-08-31,WI,4.602886009527974
2020-09-01,WI,17.793245917429033
2020-09-02,WI,9.927119826519286
2020-09-03,WI,12.709461369592168
2020-09-04,WI,26.483769502582604
2020-09-05,WI,17.157772848949424
2020-09-06,WI,15.285703539104093
2020-09-07,WI,9.875594983129048
2020-09-08,WI,12.864035899762886
2020-09-09,WI,15.680727338429255
2020-09-10,WI,27.342516892419905
2020-09-11,WI,24.783449670704726
2020-09-12,WI,24.560175349347034
2020-09-13,WI,27.89211522191578
2020-09-14,WI,14.049107297738367
2020-09-15,WI,24.749099775111233
2020-09-16,WI,25.79677159071275
2020-09-17,WI,36.65133859825633
2020-09-18,WI,44.311365315605116
2020-09-19,WI,41.271399555581056
2020-09-20,WI,29.798534427354607
2020-09-21,WI,22.258732344583038
2020-09-22,WI,29.867234218541594
2020-09-23,WI,32.546526074834
2020-09-24,WI,42.55952064033701
2020-09-25,WI,45.15293775764568
2020-09-26,WI,49.84169850615738
2020-09-27,WI,38.59210769928865
2020-09-28,WI,29.867234218541594
2020-09-29,WI,42.02709725863788
2020-09-30,WI,42.23319663219885
2020-10-01,WI,51.5248433902385
2020-10-02,WI,48.519227525807935
2020-10-03,WI,52.45229057126281
2020-10-04,WI,33.078949456533124
2020-10-05,WI,29.66113484498064
2020-10-06,WI,35.638016678248306
2020-10-07,WI,42.30189642338582
2020-10-08,WI,56.23077908654697
2020-10-09,WI,54.341534828904884
2020-10-10,WI,51.026769904132884
2020-10-11,WI,46.595633372572365
2020-10-12,WI,34.62469475824028
2020-10-13,WI,58.87572104724588
2020-10-14,WI,57.07235152858753
2020-10-15,WI,69.38678909885454
2020-10-16,WI,70.50316070564304
2020-10-17,WI,0.0
2020-10-18,WI,0.0
2020-10-19,WI,135.93971181124596
2020-10-20,WI,80.48180537555255
2020-10-21,WI,74.93429723720355
2020-10-22,WI,62.379410397782095
2020-10-23,WI,79.74328262029248
2020-10-24,WI,80.25853105419486
2020-10-25,WI,64.88695277610704
2020-10-26,WI,51.71376781600272
2020-10-27,WI,94.4793878299007
2020-10-28,WI,70.93253440056168
2020-10-29,WI,88.38228136205579
2020-10-30,WI,92.00619534716922
2020-10-31,WI,99.75209680350176
2020-11-01,WI,61.022589521839144
2020-11-02,WI,60.19819202759533
2020-11-03,WI,104.83588135133863
2020-11-04,WI,107.4292984686473
2020-11-05,WI,107.92737195475294
2020-11-06,WI,110.10859032493973
2020-11-07,WI,129.17278237932794
2020-11-08,WI,75.68999494026038
2020-11-09,WI,76.77201665145539
2020-11-10,WI,127.64421202541756
2020-11-11,WI,129.44758154407592
2020-11-12,WI,141.22959573264382
2020-11-13,WI,145.1454838303019
2020-11-14,WI,95.8533836536404
2020-11-15,WI,108.5456700754358
2020-11-16,WI,79.65740788130874
2020-11-17,WI,130.4093786206937
2020-11-18,WI,146.15880575030994
2020-11-19,WI,127.91901119016548
2020-11-20,WI,121.54710555757265
2020-11-21,WI,120.72270806332884
2020-11-22,WI,69.02611519512287
2020-11-23,WI,59.33944463775803
2020-11-24,WI,115.89654773244317
2020-11-25,WI,102.99816193708679
2020-11-26,WI,97.31325421636382
2020-11-27,WI,24.422775766973057
2020-11-28,WI,93.9984892915918
2020-11-29,WI,69.64441331580572
2020-11-30,WI,45.96016030409275
2020-12-01,WI,79.60588303791852
2020-12-02,WI,78.40363669214628
2020-12-03,WI,96.24840745296557
2020-12-04,WI,97.43347885094104
2020-12-05,WI,98.0861268672174
2020-12-06,WI,54.083910611953705
2020-12-07,WI,39.88022878404461
2020-12-08,WI,79.34825882096732
2020-12-09,WI,71.63670726022828
2020-12-10,WI,80.87682917487774
2020-12-11,WI,76.90941623382935
2020-12-12,WI,79.41695861215429
2020-12-13,WI,50.9237202173524
2020-12-14,WI,40.000453418621845
2020-12-15,WI,69.64441331580572
2020-12-16,WI,48.46770268241771
2020-12-17,WI,73.52595151787038
