datetimeobject,STUSPS,deathCumulative,positiveCumulative,testCumulative,hospitalizedCumulative,icuCumulative,deathRate,positiveRate,testRate,hospitalizedRate,icuRate,ndays,positiveTestRate
2021-01-18,AL,6121.0,424028.0,2121043.0,39504.0,2485.0,124.83722315189004,8648.01144562157,43258.473828746006,805.6803893795563,50.68134284143878,362,19.99148532113682
2021-01-18,AK,229.0,50447.0,1410760.0,1153.0,0.0,31.303610851007114,6895.953085592821,192846.6464810777,157.6116301799616,0.0,362,3.575873996994528
2021-01-18,AZ,11265.0,679282.0,3263168.0,47195.0,0.0,154.76628642108219,9332.441417903732,44831.6372239778,648.3972381396336,0.0,362,20.816641987173202
2021-01-18,AR,4343.0,272263.0,2334518.0,12756.0,0.0,143.9125933957275,9021.89141508196,77358.17170366267,422.6914670402717,0.0,362,11.662493071374904
2021-01-18,CA,33593.0,2973174.0,38655756.0,0.0,0.0,85.0192610018424,7524.694320539747,97832.39986269565,0.0,0.0,362,7.69141340813513
2021-01-18,CO,5386.0,376171.0,2319249.0,20717.0,0.0,93.52746852781583,6532.179978384145,40273.577396150824,359.7490838267286,0.0,362,16.21951761108876
2021-01-18,CT,6670.0,230125.0,5305328.0,12257.0,0.0,187.08171319728257,6454.599587634881,148805.07515944718,343.787190203762,0.0,362,4.337620595748275
2021-01-18,DE,1016.0,70910.0,556910.0,0.0,0.0,104.33739591933978,7282.051914016127,57191.475552597956,0.0,0.0,362,12.732757537124492
2021-01-18,DC,857.0,34033.0,1013952.0,0.0,0.0,121.43127372479451,4822.252670567015,143670.341722057,0.0,0.0,362,3.356470523259484
2021-01-18,FL,24657.0,1550444.0,9602792.0,69165.0,0.0,114.80259768522167,7218.842469297394,44710.44598413697,322.0311339132237,0.0,362,16.145762607375023
2021-01-18,GA,12360.0,684763.0,5957306.0,46741.0,7964.0,116.41242889164347,6449.427511741786,56108.77517077355,440.229234532711,75.00878508843437,362,11.49450775232966
2021-01-18,HI,322.0,25072.0,25072.0,1928.0,0.0,22.742168783618858,1770.7815395741989,1770.7815395741989,136.17050128825204,0.0,362,100.0
2021-01-18,ID,1607.0,155554.0,606400.0,6307.0,1106.0,89.9239815003931,8704.439961613036,33932.73328054659,352.9250474940755,61.88918701893888,362,25.652044854881268
2021-01-18,IL,20118.0,1072214.0,14826995.0,0.0,0.0,158.76171230638437,8461.404244898979,117007.6108240481,0.0,0.0,362,7.231499032676549
2021-01-18,IN,9340.0,592709.0,2839505.0,38544.0,6742.0,138.73583138041113,8804.06594021971,42177.84656143836,572.530394510339,100.14528642042096,362,20.873673404343364
2021-01-18,IA,4324.0,257431.0,1218425.0,0.0,0.0,137.04925722725645,8159.28014275436,38618.002136244206,0.0,0.0,362,21.128177770482385
2021-01-18,KS,3525.0,259822.0,1113766.0,7807.0,2098.0,120.99622629074655,8918.4344701601,38230.207935018334,267.97660670974705,72.01420787460603,362,23.328239504527883
2021-01-18,KY,3167.0,328668.0,3502651.0,15347.0,3368.0,70.88701433609846,7356.581379165395,78399.89632186599,343.51215946198386,75.3860007211808,362,9.383407025136105
2021-01-18,LA,8253.0,369951.0,4648497.0,0.0,0.0,177.529914210008,7957.9994295294655,99993.61124627161,0.0,0.0,362,7.958507878998309
2021-01-18,ME,514.0,33876.0,1239642.0,1254.0,0.0,38.2380160272338,2520.1381924874945,92220.72113624934,93.28885622208402,0.0,362,2.7327244478647867
2021-01-18,MD,6596.0,328214.0,3052705.0,29842.0,0.0,109.10269812494211,5428.901298117003,50493.98909634648,493.6086594063861,0.0,362,10.751579337014224
2021-01-18,MA,13705.0,473441.0,4389770.0,17109.0,0.0,198.83923155347193,6868.927006633149,63689.05461484746,248.2262249287378,0.0,362,10.785098080309448
2021-01-18,MI,14686.0,585128.0,8872768.0,0.0,0.0,147.05327211554146,5858.980458015971,88844.44825834595,0.0,0.0,362,6.5946500573439994
2021-01-18,MN,5939.0,447349.0,3170081.0,23428.0,4881.0,105.30828961889712,7932.237422583602,56210.777582650786,415.4171761561748,86.54820030810521,362,14.111595255767913
2021-01-18,MS,5524.0,253932.0,1510047.0,8546.0,0.0,185.6089866468379,8532.234105214491,50738.286288757714,287.14960171684953,0.0,362,16.81616532465546
2021-01-18,MO,6256.0,438840.0,2161707.0,0.0,0.0,101.931949344253,7150.226446648335,35221.70850721181,0.0,0.0,362,20.300623535011912
2021-01-18,MT,1093.0,89576.0,881412.0,3974.0,0.0,102.2663265898063,8381.160540355433,82469.13765066271,371.82651589011004,0.0,362,10.162784259801318
2021-01-18,NE,1837.0,181978.0,885756.0,5575.0,0.0,94.9644542412976,9407.425941166495,45789.51286388394,288.201868478625,0.0,362,20.544935625612467
2021-01-18,NV,3784.0,262794.0,1280512.0,0.0,0.0,122.85092053779094,8531.840595086742,41572.95929167224,0.0,0.0,362,20.522572221111556
2021-01-18,NH,933.0,57864.0,581287.0,957.0,312.0,68.61752239998059,4255.610199520339,42750.7757163103,70.38260336203797,22.94605250674592,362,9.954463113745877
2021-01-18,NJ,20458.0,631074.0,8691786.0,54566.0,0.0,230.32607949165688,7104.93695811506,97856.33948384352,614.3304748040741,0.0,362,7.260579126085249
2021-01-18,NM,2958.0,164263.0,2163964.0,11175.0,0.0,141.07015879692622,7833.8767729748115,103201.73938838122,532.9476080309839,0.0,362,7.590837925215022
2021-01-18,NY,33052.0,1245575.0,29165703.0,89995.0,0.0,169.90205546429263,6402.81231801211,149924.75156605005,462.6145310876502,0.0,362,4.270683960540913
2021-01-18,NC,8083.0,674637.0,8087429.0,0.0,0.0,77.06841402109289,6432.414156866021,77110.64289721554,0.0,0.0,362,8.341798116558428
2021-01-18,ND,1395.0,95934.0,388099.0,3710.0,539.0,183.05597182381487,12588.739498885918,50927.483590574,486.8370290081385,70.7291532709937,362,24.71895057704349
