STATEFP,STATEGEOID,STUSPS,STATE,POPESTIMATE2019,ALAND,REGION,DIVISION
01,01,AL,Alabama,4903185,131174048583,South,East South Central
02,02,AK,Alaska,731545,1478839695958,West,Pacific
04,04,AZ,Arizona,7278717,294198551143,West,Mountain
05,05,AR,Arkansas,3017804,134768872727,South,West South Central
06,06,CA,California,39512223,403503931312,West,Pacific
08,08,CO,Colorado,5758736,268422891711,West,Mountain
09,09,CT,Connecticut,3565287,12542497068,Northeast,New England
10,10,DE,Delaware,973764,5045925646,South,South Atlantic
11,11,DC,District of Columbia,705749,158340391,South,South Atlantic
12,12,FL,Florida,21477737,138949136250,South,South Atlantic
13,13,GA,Georgia,10617423,149482048342,South,South Atlantic
15,15,HI,Hawaii,1415872,16633990195,West,Pacific
16,16,ID,Idaho,1787065,214049787659,West,Mountain
17,17,IL,Illinois,12671821,143780567633,Midwest,East North Central
18,18,IN,Indiana,6732219,92789302676,Midwest,East North Central
19,19,IA,Iowa,3155070,144661267977,Midwest,West North Central
20,20,KS,Kansas,2913314,211755344060,Midwest,West North Central
21,21,KY,Kentucky,4467673,102279490672,South,East South Central
22,22,LA,Louisiana,4648794,111897594374,South,West South Central
23,23,ME,Maine,1344212,79887426037,Northeast,New England
24,24,MD,Maryland,6045680,25151100280,South,South Atlantic
25,25,MA,Massachusetts,6892503,20205125364,Northeast,New England
26,26,MI,Michigan,9986857,146600952990,Midwest,East North Central
27,27,MN,Minnesota,5639632,206228939448,Midwest,West North Central
28,28,MS,Mississippi,2976149,121533519481,South,East South Central
29,29,MO,Missouri,6137428,178050802184,Midwest,West North Central
30,30,MT,Montana,1068778,376962738765,West,Mountain
31,31,NE,Nebraska,1934408,198956658395,Midwest,West North Central
32,32,NV,Nevada,3080156,284329506470,West,Mountain
33,33,NH,New Hampshire,1359711,23189413166,Northeast,New England
34,34,NJ,New Jersey,8882190,19047825980,Northeast,Middle Atlantic
35,35,NM,New Mexico,2096829,314196306401,West,Mountain
36,36,NY,New York,19453561,122049149763,Northeast,Middle Atlantic
37,37,NC,North Carolina,10488084,125923656064,South,South Atlantic
38,38,ND,North Dakota,762062,178707534813,Midwest,West North Central
39,39,OH,Ohio,11689100,105828882568,Midwest,East North Central
40,40,OK,Oklahoma,3956971,177662925723,South,West South Central
41,41,OR,Oregon,4217737,248606993270,West,Pacific
42,42,PA,Pennsylvania,12801989,115884442321,Northeast,Middle Atlantic
44,44,RI,Rhode Island,1059361,2677779902,Northeast,New England
45,45,SC,South Carolina,5148714,77864918488,South,South Atlantic
46,46,SD,South Dakota,884659,196346981786,Midwest,West North Central
47,47,TN,Tennessee,6829174,106802728188,South,East South Central
48,48,TX,Texas,28995881,676653171537,South,West South Central
49,49,UT,Utah,3205958,212886221680,West,Mountain
50,50,VT,Vermont,623989,23874175944,Northeast,New England
51,51,VA,Virginia,8535519,102257717110,South,South Atlantic
53,53,WA,Washington,7614893,172112588220,West,Pacific
54,54,WV,West Virginia,1792147,62266474513,South,South Atlantic
55,55,WI,Wisconsin,5822434,140290039723,Midwest,East North Central
56,56,WY,Wyoming,578759,251458544898,West,Mountain
72,72,PR,Puerto Rico,3193694,8868896030,Territories,Territories
