datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,04001,0.0,6 days,0.0,0.0,0.0
2020-01-28,04001,0.0,6 days,0.0,0.0,0.0
2020-01-29,04001,0.0,6 days,0.0,0.0,0.0
2020-01-30,04001,0.0,6 days,0.0,0.0,0.0
2020-01-31,04001,0.0,6 days,0.0,0.0,0.0
2020-02-01,04001,0.0,6 days,0.0,0.0,0.0
2020-02-02,04001,0.0,6 days,0.0,0.0,0.0
2020-02-03,04001,0.0,6 days,0.0,0.0,0.0
2020-02-04,04001,0.0,6 days,0.0,0.0,0.0
2020-02-05,04001,0.0,6 days,0.0,0.0,0.0
2020-02-06,04001,0.0,6 days,0.0,0.0,0.0
2020-02-07,04001,0.0,6 days,0.0,0.0,0.0
2020-02-08,04001,0.0,6 days,0.0,0.0,0.0
2020-02-09,04001,0.0,6 days,0.0,0.0,0.0
2020-02-10,04001,0.0,6 days,0.0,0.0,0.0
2020-02-11,04001,0.0,6 days,0.0,0.0,0.0
2020-02-12,04001,0.0,6 days,0.0,0.0,0.0
2020-02-13,04001,0.0,6 days,0.0,0.0,0.0
2020-02-14,04001,0.0,6 days,0.0,0.0,0.0
2020-02-15,04001,0.0,6 days,0.0,0.0,0.0
2020-02-16,04001,0.0,6 days,0.0,0.0,0.0
2020-02-17,04001,0.0,6 days,0.0,0.0,0.0
2020-02-18,04001,0.0,6 days,0.0,0.0,0.0
2020-02-19,04001,0.0,6 days,0.0,0.0,0.0
2020-02-20,04001,0.0,6 days,0.0,0.0,0.0
2020-02-21,04001,0.0,6 days,0.0,0.0,0.0
2020-02-22,04001,0.0,6 days,0.0,0.0,0.0
2020-02-23,04001,0.0,6 days,0.0,0.0,0.0
2020-02-24,04001,0.0,6 days,0.0,0.0,0.0
2020-02-25,04001,0.0,6 days,0.0,0.0,0.0
2020-02-26,04001,0.0,6 days,0.0,0.0,0.0
2020-02-27,04001,0.0,6 days,0.0,0.0,0.0
2020-02-28,04001,0.0,6 days,0.0,0.0,0.0
2020-02-29,04001,0.0,6 days,0.0,0.0,0.0
2020-03-01,04001,0.0,6 days,0.0,0.0,0.0
2020-03-02,04001,0.0,6 days,0.0,0.0,0.0
2020-03-03,04001,0.0,6 days,0.0,0.0,0.0
2020-03-04,04001,0.0,6 days,0.0,0.0,0.0
2020-03-05,04001,0.0,6 days,0.0,0.0,0.0
2020-03-06,04001,0.0,6 days,0.0,0.0,0.0
2020-03-07,04001,0.0,6 days,0.0,0.0,0.0
2020-03-08,04001,0.0,6 days,0.0,0.0,0.0
2020-03-09,04001,0.0,6 days,0.0,0.0,0.0
2020-03-10,04001,0.0,6 days,0.0,0.0,0.0
2020-03-11,04001,0.0,6 days,0.0,0.0,0.0
2020-03-12,04001,0.0,6 days,0.0,0.0,0.0
2020-03-13,04001,0.0,6 days,0.0,0.0,0.0
2020-03-14,04001,0.0,6 days,0.0,0.0,0.0
2020-03-15,04001,0.0,6 days,0.0,0.0,0.0
2020-03-16,04001,0.0,6 days,0.0,0.0,0.0
2020-03-17,04001,0.0,6 days,0.0,0.0,0.0
2020-03-18,04001,0.0,6 days,0.0,0.0,0.0
2020-03-19,04001,0.0,6 days,0.0,0.0,0.0
2020-03-20,04001,0.0,6 days,0.0,0.0,0.0
2020-03-21,04001,0.0,6 days,0.0,0.0,4.173216297800715
2020-03-22,04001,0.0,6 days,0.0,0.0,4.173216297800715
2020-03-23,04001,0.0,6 days,0.0,0.0,5.564288397067619
2020-03-24,04001,0.0,6 days,0.0,0.0,5.564288397067619
2020-03-25,04001,0.0,6 days,0.0,0.0,9.737504694868337
2020-03-26,04001,0.0,6 days,0.0,200.00000000000006,12.519648893402145
2020-03-27,04001,0.0,6 days,0.0,266.66666666666663,15.301793091935954
2020-03-28,04001,0.0,6 days,0.0,225.00000000000009,18.083937290469766
2020-03-29,04001,0.0,6 days,0.0,225.00000000000009,18.083937290469766
2020-03-30,04001,0.0,6 days,0.0,128.5714285714285,22.257153588270477
2020-03-31,04001,0.0,6 days,0.0,77.77777777777774,22.257153588270477
2020-04-01,04001,0.0,6 days,0.0,54.54545454545457,23.648225687537387
2020-04-02,04001,0.0,6 days,0.0,30.769230769230774,23.648225687537387
2020-04-03,04001,0.0,6 days,0.0,30.769230769230774,23.648225687537387
2020-04-04,04001,0.0,6 days,0.0,25.000000000000025,27.8214419853381
2020-04-05,04001,0.0,6 days,0.0,43.750000000000036,31.99465828313882
2020-04-06,04001,0.0,6 days,0.0,47.058823529411754,34.776802481672625
2020-04-07,04001,0.0,6 days,0.0,64.70588235294119,38.950018779473346
2020-04-08,04001,0.0,6 days,4.173216297800715,100.0,47.296451375074774
2020-04-09,04001,0.0,6 days,4.173216297800715,160.00000000000003,72.33574916187906
2020-04-10,04001,0.0,6 days,4.173216297800715,139.13043478260866,76.50896545967977
2020-04-11,04001,0.0,6 days,4.173216297800715,163.99999999999997,91.81075855161572
2020-04-12,04001,0.0,6 days,4.173216297800715,157.1428571428571,100.15719114721716
2020-04-13,04001,0.0,6 days,4.173216297800715,161.76470588235296,123.80541683475457
2020-04-14,04001,33.33333333333332,6 days,5.564288397067619,86.53846153846153,134.9339936288898
2020-04-15,04001,33.33333333333332,6 days,5.564288397067619,100.0,153.01793091935954
2020-04-16,04001,33.33333333333332,6 days,5.564288397067619,78.78787878787884,164.14650771349483
2020-04-17,04001,33.33333333333332,6 days,5.564288397067619,95.83333333333334,196.14116599663362
2020-04-18,04001,33.33333333333332,6 days,5.564288397067619,89.88764044943821,235.09118477610699
2020-04-19,04001,0.0,6 days,5.564288397067619,83.50515463917523,247.61083366950908
2020-04-20,04001,0.0,6 days,5.564288397067619,83.63636363636367,280.99656405191485
2020-04-21,04001,25.000000000000025,6 days,6.955360496334525,91.52542372881354,314.38229443432056
2020-04-22,04001,25.000000000000025,6 days,6.955360496334525,66.66666666666666,326.9019433277227
2020-04-23,04001,25.000000000000025,6 days,6.955360496334525,58.57988165680469,372.8073226035305
2020-04-24,04001,25.000000000000025,6 days,6.955360496334525,66.29213483146066,411.75734138300385
2020-04-25,04001,25.000000000000025,6 days,6.955360496334525,55.44554455445544,436.7966391698082
2020-04-26,04001,0.0,6 days,6.955360496334525,48.672566371681384,467.40022535368
2020-04-27,04001,0.0,6 days,6.955360496334525,54.04255319148937,503.5680999346196
2020-04-28,04001,0.0,6 days,6.955360496334525,41.79104477611942,528.6073977214239
2020-04-29,04001,0.0,6 days,6.955360496334525,32.43243243243244,545.3002629126267
2020-04-30,04001,19.999999999999993,6 days,8.34643259560143,42.99363057324837,624.5913725708402
2020-05-01,04001,19.999999999999993,6 days,8.34643259560143,42.26190476190479,664.9324634495806
2020-05-02,04001,19.999999999999993,6 days,8.34643259560143,40.05524861878454,705.2735543283209
2020-05-03,04001,19.999999999999993,6 days,8.34643259560143,38.421052631578924,731.7039242143919
2020-05-04,04001,19.999999999999993,6 days,8.34643259560143,40.051020408163275,763.6985824975309
2020-05-05,04001,16.666666666666693,6 days,9.737504694868337,28.28507795100225,801.2575291777373
2020-05-06,04001,16.666666666666693,6 days,9.737504694868337,28.033472803347266,851.3361247513458
2020-05-07,04001,16.666666666666693,6 days,9.737504694868337,24.26035502958579,876.3754225381501
2020-05-08,04001,66.66666666666669,6 days,13.91072099266905,27.566539923954387,933.4093786080932
2020-05-09,04001,66.66666666666669,6 days,13.91072099266905,29.32604735883424,987.6611904795026
2020-05-10,04001,42.85714285714283,6 days,13.91072099266905,24.30555555555557,996.0076230751041
2020-05-11,04001,42.85714285714283,6 days,13.91072099266905,18.790849673202622,1011.3094161670399
2020-05-12,04001,57.14285714285711,6 days,15.301793091935954,18.095238095238074,1034.957641854577
2020-05-13,04001,19.999999999999993,6 days,16.69286519120286,21.758569299552917,1136.5059051010614
2020-05-14,04001,19.999999999999993,6 days,16.69286519120286,20.985915492957748,1194.9309332702715
2020-05-15,04001,59.99999999999997,6 days,22.257153588270477,29.469273743016743,1289.523836020421
2020-05-16,04001,100.0,6 days,27.8214419853381,32.32462173314995,1338.2113594947627
2020-05-17,04001,81.81818181818184,6 days,27.8214419853381,31.85483870967745,1364.6417293808338
2020-05-18,04001,66.66666666666669,6 days,27.8214419853381,20.93023255813952,1374.379234075702
2020-05-19,04001,66.66666666666669,6 days,27.8214419853381,19.091967403958066,1423.0667575500436
2020-05-20,04001,37.500000000000014,6 days,30.603586183871908,16.504854368932037,1502.3578672082574
2020-05-21,04001,9.99999999999999,6 days,30.603586183871908,16.528066528066514,1559.3918232782005
2020-05-22,04001,15.000000000000009,6 days,31.99465828313882,16.106014271151892,1584.4311210650048
2020-05-23,04001,24.999999999999996,6 days,34.776802481672625,15.78947368421053,1591.3864815613392
2020-05-24,04001,24.999999999999996,6 days,34.776802481672625,16.422287390029343,1656.7668702268838
2020-05-25,04001,18.181818181818198,6 days,36.16787458093953,10.277777777777775,1656.7668702268838
2020-05-26,04001,18.181818181818198,6 days,36.16787458093953,8.296164139161458,1688.7615285100226
2020-05-27,04001,13.04347826086956,6 days,36.16787458093953,9.745390693590867,1738.8401240836313
2020-05-28,04001,12.000000000000018,6 days,38.950018779473346,12.762237762237769,1794.4830080543074
2020-05-29,04001,36.000000000000014,6 days,47.296451375074774,18.723761544920247,1966.9759483634039
2020-05-30,04001,34.61538461538463,6 days,48.68752347434168,25.188916876574275,2074.0885000069547
2020-05-31,04001,34.61538461538463,6 days,48.68752347434168,25.535420098846775,2119.993879282763
2020-06-01,04001,49.999999999999986,6 days,54.251811871409295,22.079999999999984,2122.7760234812968
2020-06-02,04001,46.428571428571395,6 days,57.0339560699431,21.62790697674417,2182.5921237497737
2020-06-03,04001,32.35294117647056,6 days,62.598244467010716,12.164073550212144,2206.240349437311
