datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,09001,0.0,6 days,0.0,0.0,0.0
2020-01-28,09001,0.0,6 days,0.0,0.0,0.0
2020-01-29,09001,0.0,6 days,0.0,0.0,0.0
2020-01-30,09001,0.0,6 days,0.0,0.0,0.0
2020-01-31,09001,0.0,6 days,0.0,0.0,0.0
2020-02-01,09001,0.0,6 days,0.0,0.0,0.0
2020-02-02,09001,0.0,6 days,0.0,0.0,0.0
2020-02-03,09001,0.0,6 days,0.0,0.0,0.0
2020-02-04,09001,0.0,6 days,0.0,0.0,0.0
2020-02-05,09001,0.0,6 days,0.0,0.0,0.0
2020-02-06,09001,0.0,6 days,0.0,0.0,0.0
2020-02-07,09001,0.0,6 days,0.0,0.0,0.0
2020-02-08,09001,0.0,6 days,0.0,0.0,0.0
2020-02-09,09001,0.0,6 days,0.0,0.0,0.0
2020-02-10,09001,0.0,6 days,0.0,0.0,0.0
2020-02-11,09001,0.0,6 days,0.0,0.0,0.0
2020-02-12,09001,0.0,6 days,0.0,0.0,0.0
2020-02-13,09001,0.0,6 days,0.0,0.0,0.0
2020-02-14,09001,0.0,6 days,0.0,0.0,0.0
2020-02-15,09001,0.0,6 days,0.0,0.0,0.0
2020-02-16,09001,0.0,6 days,0.0,0.0,0.0
2020-02-17,09001,0.0,6 days,0.0,0.0,0.0
2020-02-18,09001,0.0,6 days,0.0,0.0,0.0
2020-02-19,09001,0.0,6 days,0.0,0.0,0.0
2020-02-20,09001,0.0,6 days,0.0,0.0,0.0
2020-02-21,09001,0.0,6 days,0.0,0.0,0.0
2020-02-22,09001,0.0,6 days,0.0,0.0,0.0
2020-02-23,09001,0.0,6 days,0.0,0.0,0.0
2020-02-24,09001,0.0,6 days,0.0,0.0,0.0
2020-02-25,09001,0.0,6 days,0.0,0.0,0.0
2020-02-26,09001,0.0,6 days,0.0,0.0,0.0
2020-02-27,09001,0.0,6 days,0.0,0.0,0.0
2020-02-28,09001,0.0,6 days,0.0,0.0,0.0
2020-02-29,09001,0.0,6 days,0.0,0.0,0.0
2020-03-01,09001,0.0,6 days,0.0,0.0,0.0
2020-03-02,09001,0.0,6 days,0.0,0.0,0.0
2020-03-03,09001,0.0,6 days,0.0,0.0,0.0
2020-03-04,09001,0.0,6 days,0.0,0.0,0.0
2020-03-05,09001,0.0,6 days,0.0,0.0,0.0
2020-03-06,09001,0.0,6 days,0.0,0.0,0.0
2020-03-07,09001,0.0,6 days,0.0,0.0,0.0
2020-03-08,09001,0.0,6 days,0.0,0.0,0.0
