datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,11001,0.0,6 days,0.0,0.0,0.0
2020-01-28,11001,0.0,6 days,0.0,0.0,0.0
2020-01-29,11001,0.0,6 days,0.0,0.0,0.0
2020-01-30,11001,0.0,6 days,0.0,0.0,0.0
2020-01-31,11001,0.0,6 days,0.0,0.0,0.0
2020-02-01,11001,0.0,6 days,0.0,0.0,0.0
2020-02-02,11001,0.0,6 days,0.0,0.0,0.0
2020-02-03,11001,0.0,6 days,0.0,0.0,0.0
2020-02-04,11001,0.0,6 days,0.0,0.0,0.0
2020-02-05,11001,0.0,6 days,0.0,0.0,0.0
2020-02-06,11001,0.0,6 days,0.0,0.0,0.0
2020-02-07,11001,0.0,6 days,0.0,0.0,0.0
2020-02-08,11001,0.0,6 days,0.0,0.0,0.0
2020-02-09,11001,0.0,6 days,0.0,0.0,0.0
2020-02-10,11001,0.0,6 days,0.0,0.0,0.0
2020-02-11,11001,0.0,6 days,0.0,0.0,0.0
2020-02-12,11001,0.0,6 days,0.0,0.0,0.0
2020-02-13,11001,0.0,6 days,0.0,0.0,0.0
2020-02-14,11001,0.0,6 days,0.0,0.0,0.0
2020-02-15,11001,0.0,6 days,0.0,0.0,0.0
2020-02-16,11001,0.0,6 days,0.0,0.0,0.0
2020-02-17,11001,0.0,6 days,0.0,0.0,0.0
2020-02-18,11001,0.0,6 days,0.0,0.0,0.0
2020-02-19,11001,0.0,6 days,0.0,0.0,0.0
2020-02-20,11001,0.0,6 days,0.0,0.0,0.0
2020-02-21,11001,0.0,6 days,0.0,0.0,0.0
2020-02-22,11001,0.0,6 days,0.0,0.0,0.0
2020-02-23,11001,0.0,6 days,0.0,0.0,0.0
2020-02-24,11001,0.0,6 days,0.0,0.0,0.0
2020-02-25,11001,0.0,6 days,0.0,0.0,0.0
2020-02-26,11001,0.0,6 days,0.0,0.0,0.0
2020-02-27,11001,0.0,6 days,0.0,0.0,0.0
2020-02-28,11001,0.0,6 days,0.0,0.0,0.0
2020-02-29,11001,0.0,6 days,0.0,0.0,0.0
2020-03-01,11001,0.0,6 days,0.0,0.0,0.0
2020-03-02,11001,0.0,6 days,0.0,0.0,0.0
2020-03-03,11001,0.0,6 days,0.0,0.0,0.0
2020-03-04,11001,0.0,6 days,0.0,0.0,0.0
2020-03-05,11001,0.0,6 days,0.0,0.0,0.0
2020-03-06,11001,0.0,6 days,0.0,0.0,0.0
2020-03-07,11001,0.0,6 days,0.0,0.0,0.0
2020-03-08,11001,0.0,6 days,0.0,0.0,0.0
2020-03-09,11001,0.0,6 days,0.0,0.0,0.0
2020-03-10,11001,0.0,6 days,0.0,0.0,0.0
2020-03-11,11001,0.0,6 days,0.0,0.0,0.0
2020-03-12,11001,0.0,6 days,0.0,0.0,0.0
2020-03-13,11001,0.0,6 days,0.0,0.0,0.0
2020-03-14,11001,0.0,6 days,0.0,0.0,0.0
2020-03-15,11001,0.0,6 days,0.0,0.0,0.0
2020-03-16,11001,0.0,6 days,0.0,0.0,3.1172555681977583
2020-03-17,11001,0.0,6 days,0.0,0.0,3.1172555681977583
2020-03-18,11001,0.0,6 days,0.0,0.0,4.392496482460478
2020-03-19,11001,0.0,6 days,0.0,0.0,5.667737396723198
2020-03-20,11001,0.0,6 days,0.0,0.0,10.060233879183675
2020-03-21,11001,0.0,6 days,0.0,345.45454545454555,13.885956621971836
2020-03-22,11001,0.0,6 days,0.28338686983615985,363.6363636363637,14.452730361644154
2020-03-23,11001,0.0,6 days,0.28338686983615985,287.09677419354824,17.003212190169588
2020-03-24,11001,0.0,6 days,0.28338686983615985,252.49999999999997,19.978774323449272
2020-03-25,11001,0.0,6 days,0.28338686983615985,163.38028169014083,26.496672329680948
2020-03-26,11001,0.0,6 days,0.4250803047542398,135.71428571428567,32.731183466076466
2020-03-27,11001,50.00000000000001,6 days,0.4250803047542398,165.68627450980387,38.398920862799656
2020-03-28,11001,100.0,6 days,0.5667737396723197,153.33333333333334,43.07480421509629
2020-03-29,11001,150.00000000000006,6 days,0.7084671745903998,142.55319148936172,48.45915474198335
2020-03-30,11001,350.0000000000001,6 days,1.2752409142627197,114.43850267379682,56.81906740215006
2020-03-31,11001,200.00000000000006,6 days,1.2752409142627197,114.28571428571429,70.13825028444957
2020-04-01,11001,200.00000000000006,6 days,1.2752409142627197,116.23616236162368,83.03235286199485
2020-04-02,11001,200.00000000000003,6 days,1.7003212190169592,114.8026315789474,92.5258130015062
2020-04-03,11001,199.99999999999997,6 days,2.125401523771199,121.345029239766,107.2619302329865
2020-04-04,11001,133.3333333333333,6 days,2.9755621332796784,124.93765586034917,127.80747829610813
2020-04-05,11001,144.44444444444437,6 days,3.1172555681977583,102.42424242424242,141.9768217879161
2020-04-06,11001,144.44444444444437,6 days,3.1172555681977583,87.20136518771328,155.43769810513368
2020-04-07,11001,83.33333333333331,6 days,3.1172555681977583,85.45176110260338,171.5907496857948
2020-04-08,11001,80.00000000000001,6 days,3.8257227427881584,90.22457067371204,204.0385462820351
2020-04-09,11001,52.38095238095241,6 days,4.5341899173785585,68.84700665188463,215.7991013802357
2020-04-10,11001,72.72727272727273,6 days,5.3843505268870375,65.66866267465069,235.21110196401267
2020-04-11,11001,113.63636363636364,6 days,6.6595914411497565,62.07839562443028,251.93092728434613
2020-04-12,11001,127.27272727272728,6 days,7.0846717459039965,54.83071841453345,265.6751904713999
2020-04-13,11001,92.5925925925926,6 days,7.368058615740157,35.76388888888891,277.0106652648463
2020-04-14,11001,109.37499999999999,6 days,9.493460139511356,35.12803676953383,291.6050890614085
2020-04-15,11001,89.47368421052632,6 days,10.201927314101756,32.349397590361455,311.3004765150216
2020-04-16,11001,72.3404255319149,6 days,11.477168228364475,32.17097862767152,332.9795720574878
2020-04-17,11001,72.00000000000001,6 days,12.185635402954874,32.05333333333331,350.8329448571659
2020-04-18,11001,75.00000000000001,6 days,12.894102577545276,36.368286445012785,377.7546974916011
2020-04-19,11001,43.283582089552255,6 days,13.602569752135675,35.71428571428574,395.7497637261973
2020-04-20,11001,45.83333333333334,6 days,14.877810666398394,33.22712790168413,414.73668400522
2020-04-21,11001,38.27160493827161,6 days,15.869664710824953,31.82978723404259,438.9662613762117
2020-04-22,11001,47.674418604651166,6 days,17.995066234596152,29.483037156704345,454.2691523473642
2020-04-23,11001,52.7472527472527,6 days,19.695387453613108,26.069017254313582,476.2316347596667
2020-04-24,11001,59.37500000000002,6 days,21.679095542466236,26.315789473684234,499.8944383909861
2020-04-25,11001,57.142857142857146,6 days,23.379416761483192,26.375128117526472,524.1240157619777
2020-04-26,11001,58.92857142857144,6 days,25.22143141541823,23.98321497740476,544.244483520345
2020-04-27,11001,45.669291338582696,6 days,26.21328545984479,21.397379912663787,551.4708487011671
2020-04-28,11001,36.69064748201442,6 days,26.92175263443519,18.83368045224636,565.9235790628113
2020-04-29,11001,33.98692810457513,6 days,29.047154158206386,16.383219954648514,581.7932437736363
2020-04-30,11001,35.757575757575744,6 days,31.739329421649906,16.86942416869423,612.5407191508596
2020-05-01,11001,29.775280898876396,6 days,32.731183466076466,21.27050247331421,660.0080198484162
2020-05-02,11001,29.729729729729684,6 days,34.006424380339176,23.25282631038027,679.7034073020295
2020-05-03,11001,32.105263157894726,6 days,35.565052164438065,25.588382573860777,710.7342695490889
2020-05-04,11001,25.8536585365854,6 days,36.55690620886463,25.91329761324888,732.5550585264732
2020-05-05,11001,17.857142857142858,6 days,37.4070668183731,23.108952116585694,754.0924606340213
2020-05-06,11001,19.913419913419908,6 days,39.24908147230814,17.239158437097473,773.7878480876344
2020-05-07,11001,18.750000000000014,6 days,40.38262895165278,17.865332499478864,801.1346810268242
2020-05-08,11001,21.115537848605555,6 days,43.07480421509629,17.60366826156301,835.8495725817536
2020-05-09,11001,20.5426356589147,6 days,44.06665825952286,18.02707930367505,864.6133398701237
2020-05-10,11001,22.34848484848484,6 days,45.76697947853982,17.850432168357777,888.7012238061974
2020-05-11,11001,18.411552346570403,6 days,46.47544665313022,16.99322468412381,905.2793556916127
2020-05-12,11001,17.89473684210529,6 days,47.60899413247486,14.69755925008839,918.8819254437483
2020-05-13,11001,15.131578947368437,6 days,49.592702221327976,11.612137650449238,932.9095755006384
2020-05-14,11001,15.112540192926096,6 days,50.72624970067264,10.390036053752903,954.4469776081867
2020-05-15,11001,13.931888544891649,6 days,52.14318404985342,9.550382653061234,973.5755913221274
2020-05-16,11001,14.329268292682928,6 days,53.13503809427998,10.220691814055384,997.8051686931187
2020-05-17,11001,13.988095238095237,6 days,54.26858557362462,9.838087895142678,1009.2823369214836
2020-05-18,11001,12.000000000000023,6 days,55.543826487887344,10.41919805589306,1030.1112718544412
2020-05-19,11001,11.73184357541894,6 days,56.67737396723197,10.36223277909737,1053.3489951810063
2020-05-20,11001,10.597826086956516,6 days,57.66922801165853,9.896667151797406,1069.9271270664217
2020-05-21,11001,9.866666666666681,6 days,58.37769518624894,10.593581368929327,1103.5084711420068
2020-05-22,11001,9.138381201044366,6 days,59.22785579575741,10.810051944405389,1118.3862818084046
2020-05-23,11001,8.928571428571432,6 days,60.503096710020145,9.573590096286107,1128.7299025574248
2020-05-24,11001,7.999999999999995,6 days,61.21156388461053,9.093354856066743,1149.1337571856286
2020-05-25,11001,8.108108108108132,6 days,62.34511136395518,8.925970070189372,1165.4285022012075
2020-05-26,11001,6.796116504854372,6 days,62.34511136395518,7.010785824345155,1180.8730866072785
2020-05-27,11001,6.459330143540695,6 days,63.05357853854558,6.499429874572448,1191.07501392138
2020-05-28,11001,6.088992974238872,6 days,64.18712601789022,6.60306301782575,1203.2606493243347
2020-05-29,11001,6.481481481481509,6 days,65.17898006231678,5.277435265104793,1209.7785473305667
2020-05-30,11001,4.999999999999983,6 days,65.46236693215293,5.9817629179331275,1235.1416721809028
2020-05-31,11001,5.9090909090908825,6 days,66.02914067182525,5.6035517158626895,1247.0439207140214
2020-06-01,11001,5.1685393258426835,6 days,66.31252754166141,5.365215322388765,1254.978753069434
2020-06-02,11001,3.752759381898444,6 days,66.59591441149757,4.639660857277467,1259.0878626820586
2020-06-03,11001,2.826086956521694,6 days,67.02099471625179,5.598500819864119,1277.5080092214087
2020-06-04,11001,2.8138528138528125,6 days,67.30438158608797,4.6231501663416195,1292.2441264528888
