datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,24001,0.0,6 days,0.0,0.0,0.0
2020-01-28,24001,0.0,6 days,0.0,0.0,0.0
2020-01-29,24001,0.0,6 days,0.0,0.0,0.0
2020-01-30,24001,0.0,6 days,0.0,0.0,0.0
2020-01-31,24001,0.0,6 days,0.0,0.0,0.0
2020-02-01,24001,0.0,6 days,0.0,0.0,0.0
2020-02-02,24001,0.0,6 days,0.0,0.0,0.0
2020-02-03,24001,0.0,6 days,0.0,0.0,0.0
2020-02-04,24001,0.0,6 days,0.0,0.0,0.0
2020-02-05,24001,0.0,6 days,0.0,0.0,0.0
2020-02-06,24001,0.0,6 days,0.0,0.0,0.0
2020-02-07,24001,0.0,6 days,0.0,0.0,0.0
2020-02-08,24001,0.0,6 days,0.0,0.0,0.0
2020-02-09,24001,0.0,6 days,0.0,0.0,0.0
2020-02-10,24001,0.0,6 days,0.0,0.0,0.0
2020-02-11,24001,0.0,6 days,0.0,0.0,0.0
2020-02-12,24001,0.0,6 days,0.0,0.0,0.0
2020-02-13,24001,0.0,6 days,0.0,0.0,0.0
2020-02-14,24001,0.0,6 days,0.0,0.0,0.0
2020-02-15,24001,0.0,6 days,0.0,0.0,0.0
2020-02-16,24001,0.0,6 days,0.0,0.0,0.0
2020-02-17,24001,0.0,6 days,0.0,0.0,0.0
2020-02-18,24001,0.0,6 days,0.0,0.0,0.0
2020-02-19,24001,0.0,6 days,0.0,0.0,0.0
2020-02-20,24001,0.0,6 days,0.0,0.0,0.0
2020-02-21,24001,0.0,6 days,0.0,0.0,0.0
2020-02-22,24001,0.0,6 days,0.0,0.0,0.0
2020-02-23,24001,0.0,6 days,0.0,0.0,0.0
2020-02-24,24001,0.0,6 days,0.0,0.0,0.0
2020-02-25,24001,0.0,6 days,0.0,0.0,0.0
2020-02-26,24001,0.0,6 days,0.0,0.0,0.0
2020-02-27,24001,0.0,6 days,0.0,0.0,0.0
2020-02-28,24001,0.0,6 days,0.0,0.0,0.0
2020-02-29,24001,0.0,6 days,0.0,0.0,0.0
2020-03-01,24001,0.0,6 days,0.0,0.0,0.0
