datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,32001,0.0,6 days,0.0,0.0,0.0
2020-01-28,32001,0.0,6 days,0.0,0.0,0.0
2020-01-29,32001,0.0,6 days,0.0,0.0,0.0
2020-01-30,32001,0.0,6 days,0.0,0.0,0.0
2020-01-31,32001,0.0,6 days,0.0,0.0,0.0
2020-02-01,32001,0.0,6 days,0.0,0.0,0.0
2020-02-02,32001,0.0,6 days,0.0,0.0,0.0
2020-02-03,32001,0.0,6 days,0.0,0.0,0.0
2020-02-04,32001,0.0,6 days,0.0,0.0,0.0
2020-02-05,32001,0.0,6 days,0.0,0.0,0.0
2020-02-06,32001,0.0,6 days,0.0,0.0,0.0
2020-02-07,32001,0.0,6 days,0.0,0.0,0.0
2020-02-08,32001,0.0,6 days,0.0,0.0,0.0
2020-02-09,32001,0.0,6 days,0.0,0.0,0.0
2020-02-10,32001,0.0,6 days,0.0,0.0,0.0
2020-02-11,32001,0.0,6 days,0.0,0.0,0.0
2020-02-12,32001,0.0,6 days,0.0,0.0,0.0
2020-02-13,32001,0.0,6 days,0.0,0.0,0.0
2020-02-14,32001,0.0,6 days,0.0,0.0,0.0
2020-02-15,32001,0.0,6 days,0.0,0.0,0.0
2020-02-16,32001,0.0,6 days,0.0,0.0,0.0
2020-02-17,32001,0.0,6 days,0.0,0.0,0.0
2020-02-18,32001,0.0,6 days,0.0,0.0,0.0
2020-02-19,32001,0.0,6 days,0.0,0.0,0.0
2020-02-20,32001,0.0,6 days,0.0,0.0,0.0
2020-02-21,32001,0.0,6 days,0.0,0.0,0.0
2020-02-22,32001,0.0,6 days,0.0,0.0,0.0
2020-02-23,32001,0.0,6 days,0.0,0.0,0.0
2020-02-24,32001,0.0,6 days,0.0,0.0,0.0
2020-02-25,32001,0.0,6 days,0.0,0.0,0.0
2020-02-26,32001,0.0,6 days,0.0,0.0,0.0
2020-02-27,32001,0.0,6 days,0.0,0.0,0.0
