datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,09001,0.0,6 days,0.0
2020-01-28,09001,0.0,6 days,0.0
2020-01-29,09001,0.0,6 days,0.0
2020-01-30,09001,0.0,6 days,0.0
2020-01-31,09001,0.0,6 days,0.0
2020-02-01,09001,0.0,6 days,0.0
2020-02-02,09001,0.0,6 days,0.0
2020-02-03,09001,0.0,6 days,0.0
2020-02-04,09001,0.0,6 days,0.0
2020-02-05,09001,0.0,6 days,0.0
2020-02-06,09001,0.0,6 days,0.0
2020-02-07,09001,0.0,6 days,0.0
2020-02-08,09001,0.0,6 days,0.0
2020-02-09,09001,0.0,6 days,0.0
2020-02-10,09001,0.0,6 days,0.0
2020-02-11,09001,0.0,6 days,0.0
2020-02-12,09001,0.0,6 days,0.0
2020-02-13,09001,0.0,6 days,0.0
2020-02-14,09001,0.0,6 days,0.0
2020-02-15,09001,0.0,6 days,0.0
2020-02-16,09001,0.0,6 days,0.0
2020-02-17,09001,0.0,6 days,0.0
2020-02-18,09001,0.0,6 days,0.0
2020-02-19,09001,0.0,6 days,0.0
2020-02-20,09001,0.0,6 days,0.0
2020-02-21,09001,0.0,6 days,0.0
2020-02-22,09001,0.0,6 days,0.0
2020-02-23,09001,0.0,6 days,0.0
2020-02-24,09001,0.0,6 days,0.0
2020-02-25,09001,0.0,6 days,0.0
2020-02-26,09001,0.0,6 days,0.0
2020-02-27,09001,0.0,6 days,0.0
2020-02-28,09001,0.0,6 days,0.0
2020-02-29,09001,0.0,6 days,0.0
2020-03-01,09001,0.0,6 days,0.0
2020-03-02,09001,0.0,6 days,0.0
2020-03-03,09001,0.0,6 days,0.0
2020-03-04,09001,0.0,6 days,0.0
2020-03-05,09001,0.0,6 days,0.0
2020-03-06,09001,0.0,6 days,0.0
2020-03-07,09001,0.0,6 days,0.0
2020-03-08,09001,0.0,6 days,0.0
2020-03-09,09001,0.0,6 days,0.0
2020-03-10,09001,0.0,6 days,0.0
2020-03-11,09001,0.0,6 days,0.0
2020-03-12,09001,0.05300360848566571,6 days,0.0
2020-03-13,09001,0.10600721697133142,6 days,0.0
2020-03-14,09001,0.15901082545699713,6 days,0.0
2020-03-15,09001,0.15901082545699713,6 days,0.0
2020-03-16,09001,0.31802165091399426,6 days,0.0
2020-03-17,09001,0.5830396933423228,6 days,0.0
2020-03-18,09001,1.1130757781989797,6 days,0.0
2020-03-19,09001,1.7491190800269683,6 days,0.0
2020-03-20,09001,2.0671407309409626,6 days,0.05300360848566571
2020-03-21,09001,2.0671407309409626,6 days,0.05300360848566571
2020-03-22,09001,2.1731479479122937,6 days,0.10600721697133142
2020-03-23,09001,2.8621948582259478,6 days,0.10600721697133142
2020-03-24,09001,5.035342806138242,6 days,0.10600721697133142
2020-03-25,09001,7.8445340558785235,6 days,0.10600721697133142
2020-03-26,09001,7.8445340558785235,6 days,0.10600721697133142
2020-03-27,09001,10.600721697133139,6 days,0.10600721697133142
2020-03-28,09001,13.727934597787417,6 days,0.15901082545699713
2020-03-29,09001,15.95408615418538,6 days,0.15901082545699713
2020-03-30,09001,16.855147498441696,6 days,0.15901082545699713
2020-03-31,09001,18.86928462089699,6 days,0.15901082545699713
2020-04-01,09001,18.86928462089699,6 days,0.37102525939965997
2020-04-02,09001,18.86928462089699,6 days,0.6890469103136543
2020-04-03,09001,28.462937756802482,6 days,0.9540649527419828
2020-04-04,09001,18.339248536040333,6 days,1.1130757781989797
2020-04-05,09001,19.717342356667643,6 days,1.1130757781989797
2020-04-06,09001,19.717342356667643,6 days,1.0600721697133142
2020-04-07,09001,34.08132025628305,6 days,1.1130757781989797
2020-04-08,09001,34.08132025628305,6 days,1.0600721697133142
2020-04-09,09001,34.08132025628305,6 days,1.1130757781989797
2020-04-10,09001,37.897580067250985,6 days,1.8551262969982996
2020-04-11,09001,37.897580067250985,6 days,2.2261515563979595
2020-04-12,09001,27.826894454974497,6 days,2.8091912497402824
2020-04-13,09001,27.826894454974497,6 days,2.2261515563979595
2020-04-14,09001,27.826894454974497,6 days,2.650180424283285
2020-04-15,09001,26.18378259191886,6 days,2.650180424283285
2020-04-16,09001,26.18378259191886,6 days,2.8091912497402824
2020-04-17,09001,31.643154265942425,6 days,2.8091912497402824
2020-04-18,09001,31.643154265942425,6 days,2.332158773369291
2020-04-19,09001,25.653746507062202,6 days,2.332158773369291
2020-04-20,09001,31.643154265942425,6 days,3.1802165091399415
2020-04-21,09001,28.99297384165914,6 days,2.7031840327689514
2020-04-22,09001,28.99297384165914,6 days,2.7031840327689514
2020-04-23,09001,19.558331531210648,6 days,3.3392273345969397
2020-04-24,09001,19.664338748181976,6 days,3.816259810967931
2020-04-25,09001,19.664338748181976,6 days,3.816259810967931
2020-04-26,09001,16.325111413585038,6 days,3.3392273345969397
2020-04-27,09001,19.87635318212464,6 days,3.074209292168611
2020-04-28,09001,16.007089762671043,6 days,2.4911695988262883
2020-04-29,09001,16.007089762671043,6 days,2.4911695988262883
2020-04-30,09001,16.007089762671043,6 days,2.4911695988262883
2020-05-01,09001,20.67140730940963,6 days,2.4911695988262883
2020-05-02,09001,22.4205263894366,6 days,2.8091912497402824
2020-05-03,09001,15.901082545699714,6 days,2.8091912497402824
2020-05-04,09001,26.395797025861523,6 days,2.96820207519728
