datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,25001,0.0,6 days,0.0
2020-01-28,25001,0.0,6 days,0.0
2020-01-29,25001,0.0,6 days,0.0
2020-01-30,25001,0.0,6 days,0.0
2020-01-31,25001,0.0,6 days,0.0
2020-02-01,25001,0.0,6 days,0.0
2020-02-02,25001,0.0,6 days,0.0
2020-02-03,25001,0.0,6 days,0.0
2020-02-04,25001,0.0,6 days,0.0
2020-02-05,25001,0.0,6 days,0.0
2020-02-06,25001,0.0,6 days,0.0
2020-02-07,25001,0.0,6 days,0.0
2020-02-08,25001,0.0,6 days,0.0
2020-02-09,25001,0.0,6 days,0.0
2020-02-10,25001,0.0,6 days,0.0
2020-02-11,25001,0.0,6 days,0.0
2020-02-12,25001,0.0,6 days,0.0
2020-02-13,25001,0.0,6 days,0.0
2020-02-14,25001,0.0,6 days,0.0
2020-02-15,25001,0.0,6 days,0.0
2020-02-16,25001,0.0,6 days,0.0
2020-02-17,25001,0.0,6 days,0.0
2020-02-18,25001,0.0,6 days,0.0
2020-02-19,25001,0.0,6 days,0.0
2020-02-20,25001,0.0,6 days,0.0
2020-02-21,25001,0.0,6 days,0.0
2020-02-22,25001,0.0,6 days,0.0
2020-02-23,25001,0.0,6 days,0.0
2020-02-24,25001,0.0,6 days,0.0
2020-02-25,25001,0.0,6 days,0.0
2020-02-26,25001,0.0,6 days,0.0
2020-02-27,25001,0.0,6 days,0.0
2020-02-28,25001,0.0,6 days,0.0
2020-02-29,25001,0.0,6 days,0.0
2020-03-01,25001,0.0,6 days,0.0
2020-03-02,25001,0.0,6 days,0.0
2020-03-03,25001,0.0,6 days,0.0
2020-03-04,25001,0.0,6 days,0.0
2020-03-05,25001,0.0,6 days,0.0
2020-03-06,25001,0.0,6 days,0.0
2020-03-07,25001,0.0,6 days,0.0
2020-03-08,25001,0.0,6 days,0.0
2020-03-09,25001,0.0,6 days,0.0
2020-03-10,25001,0.0,6 days,0.0
2020-03-11,25001,0.0,6 days,0.0
2020-03-12,25001,0.0,6 days,0.0
2020-03-13,25001,0.0,6 days,0.0
2020-03-14,25001,0.0,6 days,0.0
2020-03-15,25001,0.0,6 days,0.0
2020-03-16,25001,0.0,6 days,0.0
2020-03-17,25001,0.0,6 days,0.0
2020-03-18,25001,0.0,6 days,0.0
2020-03-19,25001,0.2347528052960233,6 days,0.0
2020-03-20,25001,0.2347528052960233,6 days,0.0
2020-03-21,25001,0.7042584158880699,6 days,0.0
2020-03-22,25001,1.1737640264801166,6 days,0.0
2020-03-23,25001,1.6432696370721631,6 days,0.0
2020-03-24,25001,2.347528052960233,6 days,0.0
2020-03-25,25001,3.7560448847363728,6 days,0.0
2020-03-26,25001,4.9298089112164885,6 days,0.0
2020-03-27,25001,5.6340673271045585,6 days,0.0
2020-03-28,25001,6.3383257429926285,6 days,0.0
2020-03-29,25001,7.2773369641767225,6 days,0.0
2020-03-30,25001,9.624865017136955,6 days,0.0
2020-03-31,25001,10.094370627729,6 days,0.0
2020-04-01,25001,13.61566270716935,6 days,0.0
2020-04-02,25001,12.441898680689235,6 days,0.0
2020-04-03,25001,12.441898680689235,6 days,0.0
2020-04-04,25001,12.441898680689235,6 days,0.0
2020-04-05,25001,10.798629043617073,6 days,0.0
2020-04-06,25001,13.850415512465375,6 days,0.2347528052960233
2020-04-07,25001,11.737640264801165,6 days,0.2347528052960233
2020-04-08,25001,9.390112211840933,6 days,0.4695056105920466
2020-04-09,25001,9.155359406544907,6 days,0.2347528052960233
2020-04-10,25001,9.624865017136955,6 days,0.2347528052960233
2020-04-11,25001,9.624865017136955,6 days,0.4695056105920466
2020-04-12,25001,9.624865017136955,6 days,0.4695056105920466
2020-04-13,25001,8.920606601248885,6 days,0.2347528052960233
2020-04-14,25001,8.451100990656839,6 days,0.0
2020-04-15,25001,7.5120897694727455,6 days,0.2347528052960233
2020-04-16,25001,7.5120897694727455,6 days,0.2347528052960233
2020-04-17,25001,8.451100990656839,6 days,0.0
2020-04-18,25001,7.746842574768769,6 days,0.0
2020-04-19,25001,8.685853795952863,6 days,0.2347528052960233
2020-04-20,25001,12.207145875393211,6 days,0.2347528052960233
2020-04-21,25001,12.207145875393211,6 days,0.2347528052960233
2020-04-22,25001,11.502887459505143,6 days,0.2347528052960233
2020-04-23,25001,11.502887459505143,6 days,0.2347528052960233
2020-04-24,25001,15.024179538945491,6 days,0.0
2020-04-25,25001,9.859617822432977,6 days,0.0
2020-04-26,25001,6.3383257429926285,6 days,0.0
2020-04-27,25001,10.094370627729003,6 days,0.0
2020-04-28,25001,13.146157096577305,6 days,0.0
2020-04-29,25001,11.502887459505141,6 days,0.2347528052960233
2020-04-30,25001,10.094370627728999,6 days,0.7042584158880699
2020-05-01,25001,11.502887459505141,6 days,0.7042584158880699
2020-05-02,25001,13.146157096577305,6 days,0.7042584158880699
2020-05-03,25001,12.441898680689231,6 days,0.4695056105920466
2020-05-04,25001,10.094370627728999,6 days,0.4695056105920466
2020-05-05,25001,8.451100990656839,6 days,0.4695056105920466
2020-05-06,25001,11.033381848913095,6 days,0.4695056105920466
2020-05-07,25001,9.859617822432979,6 days,0.4695056105920466
2020-05-08,25001,9.155359406544907,6 days,0.7042584158880699
2020-05-09,25001,11.033381848913095,6 days,1.4085168317761398
2020-05-10,25001,11.033381848913095,6 days,1.4085168317761398
2020-05-11,25001,11.033381848913095,6 days,2.1127752476642097
2020-05-12,25001,10.094370627728999,6 days,1.4085168317761398
2020-05-13,25001,9.39011221184093,6 days,2.1127752476642097
2020-05-14,25001,8.685853795952863,6 days,1.8780224423681862
2020-05-15,25001,8.685853795952863,6 days,1.6432696370721631
2020-05-16,25001,7.277336964176722,6 days,1.8780224423681864
2020-05-17,25001,7.277336964176722,6 days,1.6432696370721631
2020-05-18,25001,4.460303300624442,6 days,1.6432696370721631
2020-05-19,25001,4.460303300624442,6 days,1.4085168317761398
2020-05-20,25001,7.746842574768769,6 days,1.1737640264801166
2020-05-21,25001,4.225550495328419,6 days,0.9390112211840932
2020-05-22,25001,6.8078313535846755,6 days,0.9390112211840932
2020-05-23,25001,7.746842574768769,6 days,0.9390112211840932
2020-05-24,25001,7.746842574768769,6 days,0.9390112211840932
2020-05-25,25001,4.9298089112164885,6 days,0.9390112211840932
2020-05-26,25001,3.990797690032396,6 days,0.7042584158880699
2020-05-27,25001,3.990797690032396,6 days,0.7042584158880699
2020-05-28,25001,3.990797690032396,6 days,0.7042584158880699
2020-05-29,25001,3.990797690032396,6 days,0.4695056105920466
2020-05-30,25001,3.990797690032396,6 days,0.2347528052960233
2020-05-31,25001,3.2865392741443262,6 days,0.2347528052960233
2020-06-01,25001,3.2865392741443262,6 days,0.4695056105920466
2020-06-02,25001,3.051786468848303,6 days,0.2347528052960233
2020-06-03,25001,2.582280858256256,6 days,0.2347528052960233
2020-06-04,25001,2.582280858256256,6 days,0.2347528052960233
2020-06-05,25001,2.582280858256256,6 days,0.7042584158880699
2020-06-06,25001,2.1127752476642097,6 days,0.4695056105920466
2020-06-07,25001,2.582280858256256,6 days,0.0
2020-06-08,25001,2.1127752476642097,6 days,0.0
2020-06-09,25001,1.8780224423681864,6 days,0.0
2020-06-10,25001,1.8780224423681864,6 days,0.0
2020-06-11,25001,2.1127752476642097,6 days,0.0
2020-06-12,25001,2.3475280529602327,6 days,0.0
2020-06-13,25001,2.3475280529602327,6 days,0.0
2020-06-14,25001,2.3475280529602327,6 days,0.2347528052960233
2020-06-15,25001,2.3475280529602327,6 days,0.2347528052960233
2020-06-16,25001,2.3475280529602327,6 days,0.2347528052960233
2020-06-17,25001,1.8780224423681862,6 days,0.4695056105920466
2020-06-18,25001,1.8780224423681862,6 days,0.7042584158880699
2020-06-19,25001,1.8780224423681862,6 days,0.7042584158880699
2020-06-20,25001,2.3475280529602327,6 days,0.4695056105920466
2020-06-21,25001,2.3475280529602327,6 days,0.4695056105920466
2020-06-22,25001,1.8780224423681862,6 days,0.4695056105920466
2020-06-23,25001,2.3475280529602327,6 days,0.4695056105920466
2020-06-24,25001,1.6432696370721631,6 days,0.4695056105920466
2020-06-25,25001,0.9390112211840932,6 days,0.4695056105920466
2020-06-26,25001,0.9390112211840932,6 days,0.4695056105920466
2020-06-27,25001,0.9390112211840932,6 days,0.4695056105920466
2020-06-28,25001,0.7042584158880699,6 days,0.4695056105920466
2020-06-29,25001,0.7042584158880699,6 days,0.2347528052960233
2020-06-30,25001,0.9390112211840933,6 days,0.2347528052960233
2020-07-01,25001,1.4085168317761398,6 days,0.2347528052960233
2020-07-02,25001,1.4085168317761398,6 days,0.2347528052960233
2020-07-03,25001,1.6432696370721631,6 days,0.4695056105920466
2020-07-04,25001,1.6432696370721631,6 days,0.4695056105920466
2020-07-05,25001,1.8780224423681864,6 days,0.4695056105920466
2020-07-06,25001,1.8780224423681864,6 days,0.4695056105920466
2020-07-07,25001,1.8780224423681864,6 days,0.4695056105920466
2020-07-08,25001,1.4085168317761398,6 days,0.2347528052960233
2020-07-09,25001,1.1737640264801166,6 days,0.0
2020-07-10,25001,1.6432696370721631,6 days,0.0
2020-07-11,25001,1.6432696370721631,6 days,0.0
2020-07-12,25001,1.6432696370721631,6 days,0.0
2020-07-13,25001,1.8780224423681864,6 days,0.0
2020-07-14,25001,1.8780224423681864,6 days,0.0
2020-07-15,25001,1.8780224423681864,6 days,0.0
2020-07-16,25001,0.9390112211840932,6 days,0.0
2020-07-17,25001,0.0,6 days,0.0
2020-07-18,25001,0.0,6 days,0.2347528052960233
2020-07-19,25001,0.0,6 days,0.2347528052960233
2020-07-20,25001,0.0,6 days,0.0
2020-07-21,25001,0.0,6 days,0.0
2020-07-22,25001,0.0,6 days,0.0
2020-07-23,25001,0.0,6 days,0.0
2020-07-24,25001,0.0,6 days,0.0
2020-07-25,25001,0.0,6 days,0.0
2020-07-26,25001,0.0,6 days,0.0
2020-07-27,25001,0.0,6 days,0.0
2020-07-28,25001,0.0,6 days,0.0
2020-07-29,25001,0.0,6 days,0.0
2020-07-30,25001,0.0,6 days,0.0
2020-07-31,25001,0.0,6 days,0.0
2020-08-01,25001,0.0,6 days,0.0
2020-08-02,25001,0.0,6 days,0.0
2020-08-03,25001,0.0,6 days,0.0
2020-08-04,25001,0.0,6 days,0.0
2020-08-05,25001,0.0,6 days,0.0
2020-08-06,25001,0.0,6 days,0.0
2020-08-07,25001,0.0,6 days,0.0
2020-08-08,25001,0.0,6 days,0.0
2020-08-09,25001,0.0,6 days,0.0
2020-08-10,25001,0.0,6 days,0.0
2020-08-11,25001,0.0,6 days,0.0
2020-08-12,25001,0.0,6 days,0.0
2020-08-13,25001,0.0,6 days,0.0
2020-08-14,25001,0.0,6 days,0.0
2020-08-15,25001,0.0,6 days,0.0
2020-08-16,25001,0.0,6 days,0.0
2020-08-17,25001,0.0,6 days,0.0
2020-08-18,25001,0.0,6 days,0.0
2020-08-19,25001,0.0,6 days,0.0
2020-08-20,25001,0.0,6 days,0.0
2020-08-21,25001,0.0,6 days,0.0
2020-08-22,25001,0.0,6 days,0.0
2020-08-23,25001,0.0,6 days,0.0
2020-08-24,25001,0.0,6 days,0.0
2020-08-25,25001,0.2347528052960233,6 days,0.0
2020-08-26,25001,0.7042584158880699,6 days,0.0
2020-08-27,25001,1.1737640264801166,6 days,0.0
2020-08-28,25001,1.6432696370721631,6 days,0.0
2020-08-29,25001,2.1127752476642097,6 days,0.0
2020-08-30,25001,2.582280858256256,6 days,0.0
2020-08-31,25001,2.3475280529602327,6 days,0.0
2020-09-01,25001,2.582280858256256,6 days,0.0
2020-09-02,25001,2.582280858256256,6 days,0.0
2020-09-03,25001,2.582280858256256,6 days,0.0
2020-09-04,25001,3.5212920794403497,6 days,0.0
2020-09-05,25001,2.582280858256256,6 days,0.0
2020-09-06,25001,2.582280858256256,6 days,0.0
2020-09-07,25001,2.1127752476642097,6 days,0.0
2020-09-08,25001,1.6432696370721631,6 days,0.0
2020-09-09,25001,0.9390112211840933,6 days,0.0
2020-09-10,25001,0.9390112211840933,6 days,0.0
2020-09-11,25001,0.4695056105920466,6 days,0.0
2020-09-12,25001,0.4695056105920466,6 days,0.0
2020-09-13,25001,1.1737640264801166,6 days,0.0
2020-09-14,25001,1.1737640264801166,6 days,0.0
2020-09-15,25001,1.8780224423681864,6 days,0.0
2020-09-16,25001,1.6432696370721631,6 days,0.2347528052960233
2020-09-17,25001,1.6432696370721631,6 days,0.0
2020-09-18,25001,1.6432696370721631,6 days,0.0
2020-01-27,25003,0.0,6 days,0.0
2020-01-28,25003,0.0,6 days,0.0
2020-01-29,25003,0.0,6 days,0.0
2020-01-30,25003,0.0,6 days,0.0
2020-01-31,25003,0.0,6 days,0.0
2020-02-01,25003,0.0,6 days,0.0
2020-02-02,25003,0.0,6 days,0.0
2020-02-03,25003,0.0,6 days,0.0
2020-02-04,25003,0.0,6 days,0.0
2020-02-05,25003,0.0,6 days,0.0
2020-02-06,25003,0.0,6 days,0.0
2020-02-07,25003,0.0,6 days,0.0
2020-02-08,25003,0.0,6 days,0.0
2020-02-09,25003,0.0,6 days,0.0
2020-02-10,25003,0.0,6 days,0.0
2020-02-11,25003,0.0,6 days,0.0
2020-02-12,25003,0.0,6 days,0.0
2020-02-13,25003,0.0,6 days,0.0
2020-02-14,25003,0.0,6 days,0.0
2020-02-15,25003,0.0,6 days,0.0
2020-02-16,25003,0.0,6 days,0.0
2020-02-17,25003,0.0,6 days,0.0
2020-02-18,25003,0.0,6 days,0.0
2020-02-19,25003,0.0,6 days,0.0
2020-02-20,25003,0.0,6 days,0.0
2020-02-21,25003,0.0,6 days,0.0
2020-02-22,25003,0.0,6 days,0.0
2020-02-23,25003,0.0,6 days,0.0
2020-02-24,25003,0.0,6 days,0.0
2020-02-25,25003,0.0,6 days,0.0
2020-02-26,25003,0.0,6 days,0.0
2020-02-27,25003,0.0,6 days,0.0
2020-02-28,25003,0.0,6 days,0.0
2020-02-29,25003,0.0,6 days,0.0
2020-03-01,25003,0.0,6 days,0.0
2020-03-02,25003,0.0,6 days,0.0
2020-03-03,25003,0.0,6 days,0.0
2020-03-04,25003,0.0,6 days,0.0
2020-03-05,25003,0.0,6 days,0.0
2020-03-06,25003,0.0,6 days,0.0
2020-03-07,25003,0.0,6 days,0.0
2020-03-08,25003,0.0,6 days,0.0
2020-03-09,25003,0.0,6 days,0.0
2020-03-10,25003,0.0,6 days,0.0
2020-03-11,25003,0.40017928031758226,6 days,0.0
2020-03-12,25003,1.2005378409527467,6 days,0.0
2020-03-13,25003,1.2005378409527467,6 days,0.0
2020-03-14,25003,0.8003585606351645,6 days,0.0
2020-03-15,25003,0.8003585606351645,6 days,0.0
2020-03-16,25003,0.8003585606351645,6 days,0.0
2020-03-17,25003,0.8003585606351645,6 days,0.0
2020-03-18,25003,0.8003585606351645,6 days,0.0
2020-03-19,25003,1.2005378409527467,6 days,0.0
2020-03-20,25003,1.600717121270329,6 days,0.0
2020-03-21,25003,1.600717121270329,6 days,0.0
2020-03-22,25003,1.600717121270329,6 days,0.0
2020-03-23,25003,1.600717121270329,6 days,0.0
2020-03-24,25003,1.600717121270329,6 days,0.0
2020-03-25,25003,2.0008964015879114,6 days,0.0
2020-03-26,25003,2.0008964015879114,6 days,0.0
2020-03-27,25003,5.602509924446151,6 days,0.0
2020-03-28,25003,10.004482007939558,6 days,0.0
2020-03-29,25003,18.408246894608784,6 days,0.0
2020-03-30,25003,18.408246894608784,6 days,0.0
2020-03-31,25003,10.004482007939558,6 days,0.40017928031758226
2020-04-01,25003,10.40466128825714,6 days,0.40017928031758226
2020-04-02,25003,10.40466128825714,6 days,0.40017928031758226
2020-04-03,25003,15.60699193238571,6 days,0.40017928031758226
2020-04-04,25003,10.004482007939558,6 days,0.40017928031758226
2020-04-05,25003,10.004482007939558,6 days,0.8003585606351645
2020-04-06,25003,10.004482007939558,6 days,0.40017928031758226
2020-04-07,25003,9.204123447304394,6 days,1.6007171212703293
2020-04-08,25003,8.003585606351646,6 days,2.0008964015879114
2020-04-09,25003,8.003585606351646,6 days,2.0008964015879114
2020-04-10,25003,8.003585606351646,6 days,0.8003585606351645
2020-04-11,25003,8.003585606351646,6 days,0.8003585606351645
2020-04-12,25003,9.604302727621974,6 days,0.8003585606351645
2020-04-13,25003,8.403764886669228,6 days,0.0
2020-04-14,25003,8.403764886669228,6 days,0.0
2020-04-15,25003,6.803047765398899,6 days,0.0
2020-04-16,25003,6.803047765398899,6 days,0.0
2020-04-17,25003,7.203227045716481,6 days,0.0
2020-04-18,25003,5.202330644128569,6 days,0.0
2020-04-19,25003,5.202330644128569,6 days,0.40017928031758226
