datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,34001,0.0,6 days,0.0
2020-01-28,34001,0.0,6 days,0.0
2020-01-29,34001,0.0,6 days,0.0
2020-01-30,34001,0.0,6 days,0.0
2020-01-31,34001,0.0,6 days,0.0
2020-02-01,34001,0.0,6 days,0.0
2020-02-02,34001,0.0,6 days,0.0
2020-02-03,34001,0.0,6 days,0.0
2020-02-04,34001,0.0,6 days,0.0
2020-02-05,34001,0.0,6 days,0.0
2020-02-06,34001,0.0,6 days,0.0
2020-02-07,34001,0.0,6 days,0.0
2020-02-08,34001,0.0,6 days,0.0
2020-02-09,34001,0.0,6 days,0.0
2020-02-10,34001,0.0,6 days,0.0
2020-02-11,34001,0.0,6 days,0.0
2020-02-12,34001,0.0,6 days,0.0
2020-02-13,34001,0.0,6 days,0.0
2020-02-14,34001,0.0,6 days,0.0
2020-02-15,34001,0.0,6 days,0.0
2020-02-16,34001,0.0,6 days,0.0
2020-02-17,34001,0.0,6 days,0.0
2020-02-18,34001,0.0,6 days,0.0
2020-02-19,34001,0.0,6 days,0.0
2020-02-20,34001,0.0,6 days,0.0
2020-02-21,34001,0.0,6 days,0.0
2020-02-22,34001,0.0,6 days,0.0
2020-02-23,34001,0.0,6 days,0.0
2020-02-24,34001,0.0,6 days,0.0
2020-02-25,34001,0.0,6 days,0.0
2020-02-26,34001,0.0,6 days,0.0
2020-02-27,34001,0.0,6 days,0.0
2020-02-28,34001,0.0,6 days,0.0
2020-02-29,34001,0.0,6 days,0.0
2020-03-01,34001,0.0,6 days,0.0
2020-03-02,34001,0.0,6 days,0.0
2020-03-03,34001,0.0,6 days,0.0
2020-03-04,34001,0.0,6 days,0.0
2020-03-05,34001,0.0,6 days,0.0
2020-03-06,34001,0.0,6 days,0.0
2020-03-07,34001,0.0,6 days,0.0
2020-03-08,34001,0.0,6 days,0.0
2020-03-09,34001,0.0,6 days,0.0
2020-03-10,34001,0.0,6 days,0.0
2020-03-11,34001,0.0,6 days,0.0
2020-03-12,34001,0.0,6 days,0.0
2020-03-13,34001,0.0,6 days,0.0
2020-03-14,34001,0.0,6 days,0.0
2020-03-15,34001,0.0,6 days,0.0
2020-03-16,34001,0.0,6 days,0.0
2020-03-17,34001,0.0,6 days,0.0
2020-03-18,34001,0.0,6 days,0.0
2020-03-19,34001,0.0,6 days,0.0
2020-03-20,34001,0.0,6 days,0.0
2020-03-21,34001,0.0,6 days,0.0
2020-03-22,34001,0.18963097811658516,6 days,0.0
2020-03-23,34001,0.3792619562331703,6 days,0.0
2020-03-24,34001,0.18963097811658516,6 days,0.0
2020-03-25,34001,0.3792619562331703,6 days,0.0
2020-03-26,34001,0.3792619562331703,6 days,0.0
2020-03-27,34001,0.3792619562331703,6 days,0.0
2020-03-28,34001,0.7585239124663405,6 days,0.0
2020-03-29,34001,1.3274168468160958,6 days,0.0
2020-03-30,34001,1.517047824932681,6 days,0.0
2020-03-31,34001,1.3274168468160958,6 days,0.0
2020-04-01,34001,1.7066788030492663,6 days,0.0
2020-04-02,34001,2.275571737399022,6 days,0.0
2020-04-03,34001,3.034095649865362,6 days,0.0
2020-04-04,34001,3.6029885842151175,6 days,0.0
2020-04-05,34001,6.068191299730725,6 days,0.0
2020-04-06,34001,6.2578222778473105,6 days,0.0
2020-04-07,34001,6.447453255963895,6 days,0.0
2020-04-08,34001,8.533394015246332,6 days,0.0
2020-04-09,34001,8.723024993362916,6 days,0.0
2020-04-10,34001,8.154132059013161,6 days,0.0
2020-04-11,34001,7.39560814654682,6 days,0.18963097811658516
2020-04-12,34001,8.154132059013161,6 days,0.3792619562331703
2020-04-13,34001,8.154132059013161,6 days,0.18963097811658516
2020-04-14,34001,7.39560814654682,6 days,0.3792619562331703
2020-04-15,34001,7.39560814654682,6 days,0.5688929343497554
2020-04-16,34001,7.774870102779991,6 days,0.3792619562331703
2020-04-17,34001,8.533394015246332,6 days,0.5688929343497554
2020-04-18,34001,7.39560814654682,6 days,0.7585239124663405
2020-04-19,34001,7.39560814654682,6 days,0.7585239124663405
2020-04-20,34001,7.205977168430236,6 days,0.37926195623317027
2020-04-21,34001,7.205977168430236,6 days,0.0
2020-04-22,34001,7.964501080896576,6 days,0.37926195623317027
2020-04-23,34001,9.860810862062426,6 days,0.37926195623317027
2020-04-24,34001,10.998596730761935,6 days,0.0
2020-04-25,34001,12.515644555694617,6 days,0.0
2020-04-26,34001,14.222323358743882,6 days,0.0
2020-04-27,34001,14.222323358743882,6 days,0.18963097811658516
2020-04-28,34001,15.360109227443397,6 days,0.18963097811658516
2020-04-29,34001,15.549740205559981,6 days,0.18963097811658516
2020-04-30,34001,18.583835855425342,6 days,0.5688929343497554
2020-05-01,34001,19.72162172412485,6 days,1.1377858686995108
2020-05-02,34001,19.72162172412485,6 days,1.3274168468160958
2020-05-03,34001,16.68752607425949,6 days,1.3274168468160958
2020-05-04,34001,16.68752607425949,6 days,0.9481548905829257
2020-05-05,34001,19.53199074600827,6 days,0.9481548905829257
2020-05-06,34001,19.53199074600827,6 days,0.9481548905829257
2020-05-07,34001,21.049038570940947,6 days,0.9481548905829257
2020-05-08,34001,21.23866954905753,6 days,0.9481548905829257
2020-05-09,34001,21.99719346152387,6 days,1.3274168468160958
2020-05-10,34001,21.23866954905753,6 days,1.3274168468160958
2020-05-11,34001,21.23866954905753,6 days,1.7066788030492663
2020-05-12,34001,15.360109227443392,6 days,1.7066788030492663
2020-05-13,34001,9.671179883945841,6 days,1.7066788030492663
2020-05-14,34001,9.671179883945841,6 days,1.7066788030492663
2020-05-15,34001,9.671179883945841,6 days,2.465202715515607
2020-05-16,34001,10.42970379641218,6 days,2.465202715515607
2020-05-17,34001,12.705275533811204,6 days,2.0859407592824364
2020-05-18,34001,15.170478249326813,6 days,2.0859407592824364
2020-05-19,34001,15.170478249326813,6 days,2.0859407592824364
2020-05-20,34001,14.222323358743886,6 days,1.517047824932681
2020-05-21,34001,14.222323358743886,6 days,0.9481548905829257
2020-05-22,34001,12.89490651192779,6 days,0.7585239124663405
2020-05-23,34001,10.429703796412184,6 days,1.327416846816096
2020-05-24,34001,9.291917927712671,6 days,1.327416846816096
2020-05-25,34001,9.291917927712671,6 days,0.7585239124663405
2020-05-26,34001,8.533394015246333,6 days,0.7585239124663405
2020-05-27,34001,9.291917927712671,6 days,1.327416846816096
2020-05-28,34001,10.998596730761935,6 days,1.137785868699511
2020-05-29,34001,12.705275533811202,6 days,0.5688929343497554
2020-05-30,34001,12.705275533811202,6 days,0.5688929343497554
2020-05-31,34001,12.136382599461447,6 days,0.5688929343497554
2020-06-01,34001,12.136382599461447,6 days,0.3792619562331703
2020-06-02,34001,11.377858686995108,6 days,0.3792619562331703
2020-06-03,34001,11.377858686995108,6 days,0.3792619562331703
2020-06-04,34001,10.998596730761935,6 days,0.3792619562331703
2020-06-05,34001,9.860810862062426,6 days,0.3792619562331703
2020-06-06,34001,8.343763037129747,6 days,0.3792619562331703
2020-06-07,34001,9.860810862062426,6 days,0.3792619562331703
2020-06-08,34001,8.343763037129747,6 days,0.18963097811658516
2020-06-09,34001,7.585239124663406,6 days,0.0
2020-06-10,34001,7.964501080896577,6 days,0.0
2020-06-11,34001,7.585239124663406,6 days,0.0
2020-06-12,34001,7.585239124663406,6 days,0.18963097811658516
2020-06-13,34001,7.585239124663406,6 days,0.3792619562331703
2020-06-14,34001,7.39560814654682,6 days,0.3792619562331703
2020-06-15,34001,6.826715212197065,6 days,0.3792619562331703
2020-06-16,34001,7.016346190313651,6 days,0.3792619562331703
2020-06-17,34001,7.016346190313651,6 days,0.3792619562331703
2020-06-18,34001,7.016346190313651,6 days,0.7585239124663405
2020-06-19,34001,8.53339401524633,6 days,0.3792619562331703
2020-06-20,34001,9.291917927712671,6 days,0.18963097811658516
2020-06-21,34001,12.515644555694617,6 days,0.18963097811658516
2020-06-22,34001,9.481548905829257,6 days,0.18963097811658516
2020-06-23,34001,10.998596730761939,6 days,0.18963097811658516
2020-06-24,34001,9.291917927712673,6 days,0.18963097811658516
2020-06-25,34001,7.774870102779991,6 days,0.37926195623317027
2020-06-26,34001,8.533394015246333,6 days,0.7585239124663405
2020-06-27,34001,7.774870102779991,6 days,0.7585239124663405
2020-06-28,34001,7.205977168430236,6 days,0.7585239124663405
2020-06-29,34001,6.257822277847309,6 days,0.9481548905829257
2020-06-30,34001,6.257822277847309,6 days,0.9481548905829257
2020-07-01,34001,6.068191299730724,6 days,0.7585239124663405
2020-07-02,34001,6.068191299730724,6 days,0.9481548905829257
2020-07-03,34001,6.637084234080479,6 days,0.5688929343497554
2020-07-04,34001,6.257822277847309,6 days,0.5688929343497554
2020-07-05,34001,6.257822277847309,6 days,0.3792619562331703
2020-07-06,34001,5.309667387264383,6 days,0.18963097811658516
2020-07-07,34001,4.7407744529146285,6 days,0.3792619562331703
2020-07-08,34001,4.171881518564873,6 days,0.3792619562331703
2020-07-09,34001,4.171881518564873,6 days,0.3792619562331703
2020-07-10,34001,4.361512496681458,6 days,0.5688929343497554
2020-07-11,34001,4.7407744529146285,6 days,0.7585239124663405
2020-07-12,34001,4.930405431031213,6 days,0.7585239124663405
2020-07-13,34001,4.7407744529146285,6 days,0.7585239124663405
2020-07-14,34001,5.3096673872643825,6 days,0.5688929343497554
2020-07-15,34001,5.120036409147798,6 days,0.3792619562331703
2020-07-16,34001,5.3096673872643825,6 days,0.3792619562331703
2020-07-17,34001,5.120036409147798,6 days,0.18963097811658516
2020-07-18,34001,6.068191299730724,6 days,0.18963097811658516
2020-07-19,34001,6.068191299730724,6 days,0.3792619562331703
2020-07-20,34001,4.361512496681458,6 days,0.18963097811658516
2020-07-21,34001,5.4992983653809695,6 days,0.18963097811658516
2020-07-22,34001,4.361512496681458,6 days,0.18963097811658516
2020-07-23,34001,4.361512496681458,6 days,0.18963097811658516
2020-07-24,34001,4.361512496681458,6 days,0.18963097811658516
2020-07-25,34001,6.25782227784731,6 days,0.0
2020-07-26,34001,7.964501080896577,6 days,0.0
2020-07-27,34001,8.154132059013161,6 days,0.0
2020-07-28,34001,9.291917927712671,6 days,0.0
2020-07-29,34001,9.860810862062428,6 days,0.0
2020-07-30,34001,9.860810862062428,6 days,0.37926195623317027
2020-07-31,34001,9.860810862062428,6 days,0.37926195623317027
2020-08-01,34001,9.860810862062428,6 days,0.5688929343497554
2020-08-02,34001,8.154132059013161,6 days,0.5688929343497554
2020-08-03,34001,6.068191299730724,6 days,0.18963097811658516
2020-08-04,34001,5.120036409147798,6 days,0.0
2020-08-05,34001,5.878560321614139,6 days,0.0
2020-08-06,34001,5.120036409147798,6 days,0.0
2020-08-07,34001,4.551143474798042,6 days,0.0
2020-08-08,34001,4.171881518564873,6 days,0.0
2020-08-09,34001,3.2237266279819474,6 days,0.0
2020-08-10,34001,2.465202715515607,6 days,0.0
2020-08-11,34001,2.465202715515607,6 days,0.0
2020-08-12,34001,3.2237266279819474,6 days,0.0
2020-08-13,34001,4.171881518564873,6 days,0.0
2020-08-14,34001,4.551143474798042,6 days,0.0
2020-08-15,34001,4.930405431031213,6 days,0.0
2020-08-16,34001,6.257822277847309,6 days,0.0
2020-08-17,34001,5.878560321614138,6 days,0.0
2020-08-18,34001,6.257822277847309,6 days,0.0
2020-08-19,34001,6.257822277847309,6 days,0.0
2020-08-20,34001,6.257822277847309,6 days,0.0
2020-08-21,34001,5.688929343497554,6 days,0.0
2020-08-22,34001,5.3096673872643825,6 days,0.0
2020-08-23,34001,4.7407744529146285,6 days,0.0
2020-08-24,34001,3.602988584215118,6 days,0.0
2020-08-25,34001,3.034095649865362,6 days,0.0
2020-08-26,34001,3.034095649865362,6 days,0.0
2020-08-27,34001,2.844464671748777,6 days,0.0
2020-08-28,34001,2.844464671748777,6 days,0.0
2020-08-29,34001,3.034095649865362,6 days,0.0
2020-08-30,34001,3.6029885842151175,6 days,0.0
2020-08-31,34001,4.361512496681458,6 days,0.0
2020-09-01,34001,3.9822505404482884,6 days,0.0
2020-09-02,34001,3.9822505404482884,6 days,0.0
2020-09-03,34001,3.6029885842151175,6 days,0.0
2020-09-04,34001,3.6029885842151175,6 days,0.0
2020-09-05,34001,3.223726627981947,6 days,0.0
2020-09-06,34001,2.6548336936321917,6 days,0.0
2020-09-07,34001,2.6548336936321917,6 days,0.0
2020-09-08,34001,2.844464671748777,6 days,0.0
2020-09-09,34001,2.844464671748777,6 days,0.0
2020-09-10,34001,3.223726627981947,6 days,0.0
2020-09-11,34001,4.171881518564873,6 days,0.0
2020-09-12,34001,4.361512496681458,6 days,0.0
2020-09-13,34001,4.171881518564873,6 days,0.0
2020-09-14,34001,4.171881518564873,6 days,0.0
2020-09-15,34001,4.171881518564873,6 days,0.0
2020-09-16,34001,4.171881518564873,6 days,0.0
2020-09-17,34001,4.171881518564873,6 days,0.0
2020-09-18,34001,3.982250540448287,6 days,0.0
2020-01-27,34003,0.0,6 days,0.0
2020-01-28,34003,0.0,6 days,0.0
2020-01-29,34003,0.0,6 days,0.0
2020-01-30,34003,0.0,6 days,0.0
2020-01-31,34003,0.0,6 days,0.0
2020-02-01,34003,0.0,6 days,0.0
2020-02-02,34003,0.0,6 days,0.0
2020-02-03,34003,0.0,6 days,0.0
2020-02-04,34003,0.0,6 days,0.0
2020-02-05,34003,0.0,6 days,0.0
2020-02-06,34003,0.0,6 days,0.0
2020-02-07,34003,0.0,6 days,0.0
2020-02-08,34003,0.0,6 days,0.0
2020-02-09,34003,0.0,6 days,0.0
2020-02-10,34003,0.0,6 days,0.0
2020-02-11,34003,0.0,6 days,0.0
2020-02-12,34003,0.0,6 days,0.0
2020-02-13,34003,0.0,6 days,0.0
2020-02-14,34003,0.0,6 days,0.0
2020-02-15,34003,0.0,6 days,0.0
2020-02-16,34003,0.0,6 days,0.0
2020-02-17,34003,0.0,6 days,0.0
2020-02-18,34003,0.0,6 days,0.0
2020-02-19,34003,0.0,6 days,0.0
2020-02-20,34003,0.0,6 days,0.0
2020-02-21,34003,0.0,6 days,0.0
2020-02-22,34003,0.0,6 days,0.0
2020-02-23,34003,0.0,6 days,0.0
2020-02-24,34003,0.0,6 days,0.0
2020-02-25,34003,0.0,6 days,0.0
2020-02-26,34003,0.0,6 days,0.0
2020-02-27,34003,0.0,6 days,0.0
2020-02-28,34003,0.0,6 days,0.0
2020-02-29,34003,0.0,6 days,0.0
2020-03-01,34003,0.0,6 days,0.0
2020-03-02,34003,0.0,6 days,0.0
2020-03-03,34003,0.0,6 days,0.0
2020-03-04,34003,0.0,6 days,0.0
2020-03-05,34003,0.0,6 days,0.0
2020-03-06,34003,0.0,6 days,0.0
2020-03-07,34003,0.0,6 days,0.0
2020-03-08,34003,0.0,6 days,0.0
2020-03-09,34003,0.0,6 days,0.0
2020-03-10,34003,0.10727288720685002,6 days,0.0
2020-03-11,34003,0.10727288720685002,6 days,0.0
2020-03-12,34003,0.21454577441370004,6 days,0.0
2020-03-13,34003,0.21454577441370004,6 days,0.0
2020-03-14,34003,0.26818221801712505,6 days,0.0
2020-03-15,34003,0.26818221801712505,6 days,0.0
2020-03-16,34003,0.32181866162055006,6 days,0.0
2020-03-17,34003,0.6436373232411001,6 days,0.0
2020-03-18,34003,1.7700026389130252,6 days,0.0
2020-03-19,34003,2.842731510981525,6 days,0.0
2020-03-20,34003,3.54000527782605,6 days,0.0
2020-03-21,34003,4.82727992430825,6 days,0.0
2020-03-22,34003,7.240919886462377,6 days,0.0
2020-03-23,34003,9.386377630599377,6 days,0.0
2020-03-24,34003,9.97637851023705,6 days,0.0
2020-03-25,34003,11.1563802695124,6 days,0.0
2020-03-26,34003,12.443654915994603,6 days,0.0
2020-03-27,34003,14.48183977292475,6 days,0.0
2020-03-28,34003,24.190036065144675,6 days,0.0
2020-03-29,34003,33.79095947015776,6 days,0.0
2020-03-30,34003,34.54186968060571,6 days,0.0
2020-03-31,34003,35.61459855267421,6 days,0.0
2020-04-01,34003,35.61459855267421,6 days,0.0
2020-04-02,34003,40.76369713860301,6 days,0.0
2020-04-03,34003,54.280080926666116,6 days,0.6436373232411001
2020-04-04,34003,63.82736788807576,6 days,3.0572772853952253
2020-04-05,34003,63.82736788807576,6 days,3.0572772853952253
