datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,45001,0.0,6 days,0.0
2020-01-28,45001,0.0,6 days,0.0
2020-01-29,45001,0.0,6 days,0.0
2020-01-30,45001,0.0,6 days,0.0
2020-01-31,45001,0.0,6 days,0.0
2020-02-01,45001,0.0,6 days,0.0
2020-02-02,45001,0.0,6 days,0.0
2020-02-03,45001,0.0,6 days,0.0
2020-02-04,45001,0.0,6 days,0.0
2020-02-05,45001,0.0,6 days,0.0
2020-02-06,45001,0.0,6 days,0.0
2020-02-07,45001,0.0,6 days,0.0
2020-02-08,45001,0.0,6 days,0.0
2020-02-09,45001,0.0,6 days,0.0
2020-02-10,45001,0.0,6 days,0.0
2020-02-11,45001,0.0,6 days,0.0
2020-02-12,45001,0.0,6 days,0.0
2020-02-13,45001,0.0,6 days,0.0
2020-02-14,45001,0.0,6 days,0.0
2020-02-15,45001,0.0,6 days,0.0
2020-02-16,45001,0.0,6 days,0.0
2020-02-17,45001,0.0,6 days,0.0
2020-02-18,45001,0.0,6 days,0.0
2020-02-19,45001,0.0,6 days,0.0
2020-02-20,45001,0.0,6 days,0.0
2020-02-21,45001,0.0,6 days,0.0
2020-02-22,45001,0.0,6 days,0.0
2020-02-23,45001,0.0,6 days,0.0
2020-02-24,45001,0.0,6 days,0.0
2020-02-25,45001,0.0,6 days,0.0
2020-02-26,45001,0.0,6 days,0.0
2020-02-27,45001,0.0,6 days,0.0
2020-02-28,45001,0.0,6 days,0.0
2020-02-29,45001,0.0,6 days,0.0
2020-03-01,45001,0.0,6 days,0.0
2020-03-02,45001,0.0,6 days,0.0
2020-03-03,45001,0.0,6 days,0.0
2020-03-04,45001,0.0,6 days,0.0
2020-03-05,45001,0.0,6 days,0.0
2020-03-06,45001,0.0,6 days,0.0
2020-03-07,45001,0.0,6 days,0.0
2020-03-08,45001,0.0,6 days,0.0
2020-03-09,45001,0.0,6 days,0.0
2020-03-10,45001,0.0,6 days,0.0
2020-03-11,45001,0.0,6 days,0.0
2020-03-12,45001,0.0,6 days,0.0
2020-03-13,45001,0.0,6 days,0.0
2020-03-14,45001,0.0,6 days,0.0
2020-03-15,45001,0.0,6 days,0.0
2020-03-16,45001,0.0,6 days,0.0
2020-03-17,45001,0.0,6 days,0.0
2020-03-18,45001,0.0,6 days,0.0
2020-03-19,45001,0.0,6 days,0.0
2020-03-20,45001,0.0,6 days,0.0
2020-03-21,45001,0.0,6 days,0.0
2020-03-22,45001,0.0,6 days,0.0
2020-03-23,45001,0.0,6 days,0.0
2020-03-24,45001,0.0,6 days,0.0
2020-03-25,45001,0.0,6 days,0.0
2020-03-26,45001,0.0,6 days,0.0
2020-03-27,45001,0.0,6 days,0.0
2020-03-28,45001,0.0,6 days,0.0
2020-03-29,45001,0.0,6 days,0.0
2020-03-30,45001,0.0,6 days,0.0
2020-03-31,45001,0.0,6 days,0.0
2020-04-01,45001,0.0,6 days,0.0
2020-04-02,45001,0.0,6 days,0.0
2020-04-03,45001,0.0,6 days,0.0
2020-04-04,45001,0.0,6 days,0.0
2020-04-05,45001,0.0,6 days,0.0
2020-04-06,45001,0.0,6 days,0.0
2020-04-07,45001,0.0,6 days,0.0
2020-04-08,45001,0.0,6 days,0.0
2020-04-09,45001,0.0,6 days,0.0
2020-04-10,45001,0.0,6 days,0.0
2020-04-11,45001,0.0,6 days,0.0
2020-04-12,45001,0.0,6 days,0.0
2020-04-13,45001,0.0,6 days,0.0
2020-04-14,45001,0.0,6 days,0.0
2020-04-15,45001,0.0,6 days,0.0
2020-04-16,45001,0.0,6 days,0.0
2020-04-17,45001,0.0,6 days,0.0
2020-04-18,45001,0.0,6 days,0.0
2020-04-19,45001,2.0385697394707867,6 days,0.0
2020-04-20,45001,2.0385697394707867,6 days,0.0
2020-04-21,45001,0.0,6 days,0.0
