datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,54001,0.0,6 days,0.0
2020-01-28,54001,0.0,6 days,0.0
2020-01-29,54001,0.0,6 days,0.0
2020-01-30,54001,0.0,6 days,0.0
2020-01-31,54001,0.0,6 days,0.0
2020-02-01,54001,0.0,6 days,0.0
2020-02-02,54001,0.0,6 days,0.0
2020-02-03,54001,0.0,6 days,0.0
2020-02-04,54001,0.0,6 days,0.0
2020-02-05,54001,0.0,6 days,0.0
2020-02-06,54001,0.0,6 days,0.0
2020-02-07,54001,0.0,6 days,0.0
2020-02-08,54001,0.0,6 days,0.0
2020-02-09,54001,0.0,6 days,0.0
2020-02-10,54001,0.0,6 days,0.0
2020-02-11,54001,0.0,6 days,0.0
2020-02-12,54001,0.0,6 days,0.0
2020-02-13,54001,0.0,6 days,0.0
2020-02-14,54001,0.0,6 days,0.0
2020-02-15,54001,0.0,6 days,0.0
2020-02-16,54001,0.0,6 days,0.0
2020-02-17,54001,0.0,6 days,0.0
2020-02-18,54001,0.0,6 days,0.0
2020-02-19,54001,0.0,6 days,0.0
2020-02-20,54001,0.0,6 days,0.0
2020-02-21,54001,0.0,6 days,0.0
2020-02-22,54001,0.0,6 days,0.0
2020-02-23,54001,0.0,6 days,0.0
2020-02-24,54001,0.0,6 days,0.0
2020-02-25,54001,0.0,6 days,0.0
2020-02-26,54001,0.0,6 days,0.0
2020-02-27,54001,0.0,6 days,0.0
2020-02-28,54001,0.0,6 days,0.0
2020-02-29,54001,0.0,6 days,0.0
2020-03-01,54001,0.0,6 days,0.0
2020-03-02,54001,0.0,6 days,0.0
2020-03-03,54001,0.0,6 days,0.0
2020-03-04,54001,0.0,6 days,0.0
2020-03-05,54001,0.0,6 days,0.0
2020-03-06,54001,0.0,6 days,0.0
2020-03-07,54001,0.0,6 days,0.0
2020-03-08,54001,0.0,6 days,0.0
2020-03-09,54001,0.0,6 days,0.0
2020-03-10,54001,0.0,6 days,0.0
2020-03-11,54001,0.0,6 days,0.0
2020-03-12,54001,0.0,6 days,0.0
2020-03-13,54001,0.0,6 days,0.0
2020-03-14,54001,0.0,6 days,0.0
2020-03-15,54001,0.0,6 days,0.0
2020-03-16,54001,0.0,6 days,0.0
2020-03-17,54001,0.0,6 days,0.0
2020-03-18,54001,0.0,6 days,0.0
2020-03-19,54001,0.0,6 days,0.0
2020-03-20,54001,0.0,6 days,0.0
2020-03-21,54001,0.0,6 days,0.0
2020-03-22,54001,0.0,6 days,0.0
2020-03-23,54001,0.0,6 days,0.0
2020-03-24,54001,0.0,6 days,0.0
2020-03-25,54001,0.0,6 days,0.0
2020-03-26,54001,0.0,6 days,0.0
2020-03-27,54001,0.0,6 days,0.0
2020-03-28,54001,0.0,6 days,0.0
2020-03-29,54001,0.0,6 days,0.0
2020-03-30,54001,0.0,6 days,0.0
2020-03-31,54001,0.0,6 days,0.0
2020-04-01,54001,0.0,6 days,0.0
2020-04-02,54001,0.0,6 days,0.0
2020-04-03,54001,0.0,6 days,0.0
2020-04-04,54001,0.0,6 days,0.0
2020-04-05,54001,0.0,6 days,0.0
2020-04-06,54001,0.0,6 days,0.0
2020-04-07,54001,0.0,6 days,0.0
2020-04-08,54001,3.0411775439450155,6 days,0.0
2020-04-09,54001,3.0411775439450155,6 days,0.0
2020-04-10,54001,0.0,6 days,0.0
2020-04-11,54001,0.0,6 days,0.0
2020-04-12,54001,0.0,6 days,0.0
2020-04-13,54001,0.0,6 days,0.0
2020-04-14,54001,0.0,6 days,0.0
2020-04-15,54001,0.0,6 days,0.0
2020-04-16,54001,0.0,6 days,0.0
2020-04-17,54001,0.0,6 days,0.0
2020-04-18,54001,0.0,6 days,0.0
2020-04-19,54001,0.0,6 days,0.0
2020-04-20,54001,0.0,6 days,0.0
2020-04-21,54001,0.0,6 days,0.0
2020-04-22,54001,0.0,6 days,0.0
2020-04-23,54001,0.0,6 days,0.0
2020-04-24,54001,0.0,6 days,0.0
2020-04-25,54001,0.0,6 days,0.0
2020-04-26,54001,0.0,6 days,0.0
2020-04-27,54001,0.0,6 days,0.0
2020-04-28,54001,0.0,6 days,0.0
2020-04-29,54001,0.0,6 days,0.0
2020-04-30,54001,0.0,6 days,0.0
2020-05-01,54001,0.0,6 days,0.0
2020-05-02,54001,0.0,6 days,0.0
2020-05-03,54001,0.0,6 days,0.0
2020-05-04,54001,0.0,6 days,0.0
2020-05-05,54001,0.0,6 days,0.0
2020-05-06,54001,0.0,6 days,0.0
2020-05-07,54001,0.0,6 days,0.0
2020-05-08,54001,0.0,6 days,0.0
2020-05-09,54001,0.0,6 days,0.0
2020-05-10,54001,0.0,6 days,0.0
2020-05-11,54001,0.0,6 days,0.0
2020-05-12,54001,0.0,6 days,0.0
2020-05-13,54001,0.0,6 days,0.0
2020-05-14,54001,0.0,6 days,0.0
2020-05-15,54001,0.0,6 days,0.0
2020-05-16,54001,0.0,6 days,0.0
2020-05-17,54001,0.0,6 days,0.0
2020-05-18,54001,0.0,6 days,0.0
2020-05-19,54001,0.0,6 days,0.0
2020-05-20,54001,0.0,6 days,0.0
2020-05-21,54001,0.0,6 days,0.0
2020-05-22,54001,0.0,6 days,0.0
2020-05-23,54001,0.0,6 days,0.0
2020-05-24,54001,0.0,6 days,0.0
2020-05-25,54001,0.0,6 days,0.0
2020-05-26,54001,0.0,6 days,0.0
2020-05-27,54001,0.0,6 days,0.0
2020-05-28,54001,0.0,6 days,0.0
2020-05-29,54001,0.0,6 days,0.0
2020-05-30,54001,0.0,6 days,0.0
2020-05-31,54001,0.0,6 days,0.0
2020-06-01,54001,0.0,6 days,0.0
2020-06-02,54001,0.0,6 days,0.0
2020-06-03,54001,0.0,6 days,0.0
2020-06-04,54001,0.0,6 days,0.0
2020-06-05,54001,0.0,6 days,0.0
2020-06-06,54001,0.0,6 days,0.0
2020-06-07,54001,0.0,6 days,0.0
2020-06-08,54001,0.0,6 days,0.0
2020-06-09,54001,0.0,6 days,0.0
2020-06-10,54001,0.0,6 days,0.0
2020-06-11,54001,0.0,6 days,0.0
2020-06-12,54001,0.0,6 days,0.0
2020-06-13,54001,0.0,6 days,0.0
2020-06-14,54001,0.0,6 days,0.0
2020-06-15,54001,0.0,6 days,0.0
2020-06-16,54001,0.0,6 days,0.0
2020-06-17,54001,0.0,6 days,0.0
2020-06-18,54001,0.0,6 days,0.0
2020-06-19,54001,0.0,6 days,0.0
2020-06-20,54001,0.0,6 days,0.0
2020-06-21,54001,0.0,6 days,0.0
2020-06-22,54001,3.0411775439450155,6 days,0.0
2020-06-23,54001,3.0411775439450155,6 days,0.0
2020-06-24,54001,3.0411775439450155,6 days,0.0
2020-06-25,54001,3.0411775439450155,6 days,0.0
2020-06-26,54001,3.0411775439450155,6 days,0.0
2020-06-27,54001,0.0,6 days,0.0
2020-06-28,54001,0.0,6 days,0.0
2020-06-29,54001,0.0,6 days,0.0
2020-06-30,54001,0.0,6 days,0.0
2020-07-01,54001,0.0,6 days,0.0
2020-07-02,54001,0.0,6 days,0.0
2020-07-03,54001,0.0,6 days,0.0
2020-07-04,54001,0.0,6 days,0.0
2020-07-05,54001,0.0,6 days,0.0
2020-07-06,54001,0.0,6 days,0.0
2020-07-07,54001,0.0,6 days,0.0
2020-07-08,54001,0.0,6 days,0.0
2020-07-09,54001,0.0,6 days,0.0
2020-07-10,54001,0.0,6 days,0.0
2020-07-11,54001,3.0411775439450155,6 days,0.0
2020-07-12,54001,0.0,6 days,0.0
2020-07-13,54001,3.0411775439450155,6 days,0.0
2020-07-14,54001,3.0411775439450155,6 days,0.0
2020-07-15,54001,6.082355087890031,6 days,0.0
2020-07-16,54001,6.082355087890031,6 days,0.0
2020-07-17,54001,3.0411775439450155,6 days,0.0
2020-07-18,54001,6.082355087890031,6 days,0.0
2020-07-19,54001,3.0411775439450155,6 days,0.0
2020-07-20,54001,3.0411775439450155,6 days,0.0
2020-07-21,54001,3.0411775439450155,6 days,0.0
2020-07-22,54001,0.0,6 days,0.0
2020-07-23,54001,3.0411775439450155,6 days,0.0
2020-07-24,54001,3.0411775439450155,6 days,0.0
2020-07-25,54001,3.0411775439450155,6 days,0.0
2020-07-26,54001,3.0411775439450155,6 days,0.0
2020-07-27,54001,0.0,6 days,0.0
2020-07-28,54001,0.0,6 days,0.0
2020-07-29,54001,0.0,6 days,0.0
2020-07-30,54001,0.0,6 days,0.0
2020-07-31,54001,0.0,6 days,0.0
2020-08-01,54001,0.0,6 days,0.0
2020-08-02,54001,0.0,6 days,0.0
2020-08-03,54001,0.0,6 days,0.0
2020-08-04,54001,0.0,6 days,0.0
2020-08-05,54001,0.0,6 days,0.0
2020-08-06,54001,0.0,6 days,0.0
2020-08-07,54001,0.0,6 days,0.0
2020-08-08,54001,0.0,6 days,0.0
2020-08-09,54001,0.0,6 days,0.0
2020-08-10,54001,0.0,6 days,0.0
2020-08-11,54001,0.0,6 days,0.0
2020-08-12,54001,0.0,6 days,0.0
