datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-24,11001,0.0,3 days,0.0,0.0,0.0
2020-01-25,11001,0.0,3 days,0.0,0.0,0.0
2020-01-26,11001,0.0,3 days,0.0,0.0,0.0
2020-01-27,11001,0.0,3 days,0.0,0.0,0.0
2020-01-28,11001,0.0,3 days,0.0,0.0,0.0
2020-01-29,11001,0.0,3 days,0.0,0.0,0.0
2020-01-30,11001,0.0,3 days,0.0,0.0,0.0
2020-01-31,11001,0.0,3 days,0.0,0.0,0.0
2020-02-01,11001,0.0,3 days,0.0,0.0,0.0
2020-02-02,11001,0.0,3 days,0.0,0.0,0.0
2020-02-03,11001,0.0,3 days,0.0,0.0,0.0
2020-02-04,11001,0.0,3 days,0.0,0.0,0.0
2020-02-05,11001,0.0,3 days,0.0,0.0,0.0
2020-02-06,11001,0.0,3 days,0.0,0.0,0.0
2020-02-07,11001,0.0,3 days,0.0,0.0,0.0
2020-02-08,11001,0.0,3 days,0.0,0.0,0.0
2020-02-09,11001,0.0,3 days,0.0,0.0,0.0
2020-02-10,11001,0.0,3 days,0.0,0.0,0.0
2020-02-11,11001,0.0,3 days,0.0,0.0,0.0
2020-02-12,11001,0.0,3 days,0.0,0.0,0.0
2020-02-13,11001,0.0,3 days,0.0,0.0,0.0
2020-02-14,11001,0.0,3 days,0.0,0.0,0.0
2020-02-15,11001,0.0,3 days,0.0,0.0,0.0
2020-02-16,11001,0.0,3 days,0.0,0.0,0.0
2020-02-17,11001,0.0,3 days,0.0,0.0,0.0
2020-02-18,11001,0.0,3 days,0.0,0.0,0.0
2020-02-19,11001,0.0,3 days,0.0,0.0,0.0
2020-02-20,11001,0.0,3 days,0.0,0.0,0.0
2020-02-21,11001,0.0,3 days,0.0,0.0,0.0
2020-02-22,11001,0.0,3 days,0.0,0.0,0.0
2020-02-23,11001,0.0,3 days,0.0,0.0,0.0
2020-02-24,11001,0.0,3 days,0.0,0.0,0.0
2020-02-25,11001,0.0,3 days,0.0,0.0,0.0
2020-02-26,11001,0.0,3 days,0.0,0.0,0.0
2020-02-27,11001,0.0,3 days,0.0,0.0,0.0
2020-02-28,11001,0.0,3 days,0.0,0.0,0.0
