datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-03-11,10001,0.0,3 days,0.0,0.0,0.0
2020-03-12,10001,0.0,3 days,0.0,0.0,0.0
2020-03-13,10001,0.0,3 days,0.0,0.0,0.0
2020-03-14,10001,0.0,3 days,0.0,0.0,0.0
2020-03-15,10001,0.0,3 days,0.0,0.0,0.0
2020-03-16,10001,0.0,3 days,0.0,0.0,0.0
2020-03-17,10001,0.0,3 days,0.0,0.0,0.0
2020-03-18,10001,0.0,3 days,0.0,0.0,0.5531401767836005
2020-03-19,10001,0.0,3 days,0.0,0.0,2.212560707134402
2020-03-20,10001,0.0,3 days,0.0,400.0,2.7657008839180026
2020-03-21,10001,0.0,3 days,0.0,25.000000000000004,2.7657008839180026
2020-03-22,10001,0.0,3 days,0.0,0.0,2.7657008839180026
2020-03-23,10001,0.0,3 days,0.0,20.000000000000004,3.3188410607016032
2020-03-24,10001,0.0,3 days,0.0,99.99999999999997,5.531401767836004
2020-03-25,10001,0.0,3 days,0.0,133.33333333333334,7.743962474970408
2020-03-26,10001,0.0,3 days,0.0,69.99999999999999,9.403383005321206
2020-03-27,10001,0.0,3 days,0.0,49.999999999999964,11.615943712455609
2020-03-28,10001,0.0,3 days,0.0,47.05882352941178,13.828504419590011
2020-03-29,10001,0.0,3 days,0.0,19.047619047619055,13.828504419590011
2020-03-30,10001,0.0,3 days,0.0,8.000000000000021,14.934784773157215
2020-03-31,10001,0.0,3 days,0.0,35.99999999999998,18.806766010642413
2020-04-01,10001,0.0,3 days,0.0,51.85185185185184,22.67874724812762
2020-04-02,10001,0.0,3 days,0.0,26.470588235294148,23.78502760169482
2020-04-03,10001,0.0,3 days,0.0,31.707317073170746,29.86956954631443
2020-04-04,10001,0.0,3 days,0.0,58.13953488372089,37.613532021284826
2020-04-05,10001,0.0,3 days,0.0,59.25925925925924,47.57005520338964
2020-04-06,10001,0.0,3 days,0.0,88.2352941176471,70.80194262830086
2020-04-07,10001,0.0,3 days,0.0,70.93023255813952,81.31160598718927
2020-04-08,10001,0.0,3 days,0.0,57.03125,111.1811755335037
2020-04-09,10001,0.0,3 days,0.0,45.57823129251702,118.3719978316905
2020-04-10,10001,0.0,3 days,0.0,14.427860696517417,127.22224066022812
2020-04-11,10001,0.0,3 days,0.0,19.158878504672863,141.05074507981809
2020-04-12,10001,0.0,3 days,0.0,22.173913043478258,155.43238967619175
2020-04-13,10001,0.0,3 days,0.0,12.94117647058824,159.3043709136769
2020-04-14,10001,0.0,3 days,0.0,17.081850533807835,181.98311816180458
2020-04-15,10001,0.0,3 days,0.0,19.791666666666703,190.8333609903422
2020-04-16,10001,0.0,3 days,0.0,6.9908814589665536,194.70534222782737
2020-04-17,10001,0.0,3 days,6.6376821214032065,11.304347826086943,212.40582788490258
2020-04-18,10001,0.0,3 days,8.297102651754008,18.46590909090912,230.65945371876145
2020-04-19,10001,33.33333333333332,3 days,8.850242828537608,8.59375000000003,230.65945371876145
2020-04-20,10001,13.333333333333304,3 days,9.403383005321206,3.1175059952038158,237.85027601694821
2020-04-21,10001,18.750000000000007,3 days,10.50966335888841,10.071942446043133,253.8913411436726
2020-04-22,10001,17.647058823529424,3 days,11.062803535672009,16.976744186046542,278.2295089221511
2020-04-23,10001,5.263157894736822,3 days,11.062803535672009,17.42919389978215,298.1425552863607
2020-04-24,10001,20.00000000000002,3 days,13.275364242806413,10.93439363817097,308.65221864524915
2020-04-25,10001,30.000000000000018,3 days,14.381644596373613,7.421150278293131,320.2681623577047
2020-04-26,10001,12.500000000000005,3 days,14.934784773157215,12.007168458781338,345.7126104897503
2020-04-27,10001,11.538461538461544,3 days,16.041065126724416,12.607944732297053,360.6473952629075
2020-04-28,10001,11.111111111111104,3 days,16.594205303508016,16.479999999999993,402.68604869846115
2020-04-29,10001,13.793103448275852,3 days,18.253625833858816,13.957055214723956,410.9831513502152
