datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,34001,0.0,6 days,0.0,0.0,0.0
2020-01-28,34001,0.0,6 days,0.0,0.0,0.0
2020-01-29,34001,0.0,6 days,0.0,0.0,0.0
2020-01-30,34001,0.0,6 days,0.0,0.0,0.0
2020-01-31,34001,0.0,6 days,0.0,0.0,0.0
2020-02-01,34001,0.0,6 days,0.0,0.0,0.0
2020-02-02,34001,0.0,6 days,0.0,0.0,0.0
2020-02-03,34001,0.0,6 days,0.0,0.0,0.0
2020-02-04,34001,0.0,6 days,0.0,0.0,0.0
2020-02-05,34001,0.0,6 days,0.0,0.0,0.0
2020-02-06,34001,0.0,6 days,0.0,0.0,0.0
2020-02-07,34001,0.0,6 days,0.0,0.0,0.0
2020-02-08,34001,0.0,6 days,0.0,0.0,0.0
2020-02-09,34001,0.0,6 days,0.0,0.0,0.0
2020-02-10,34001,0.0,6 days,0.0,0.0,0.0
2020-02-11,34001,0.0,6 days,0.0,0.0,0.0
2020-02-12,34001,0.0,6 days,0.0,0.0,0.0
2020-02-13,34001,0.0,6 days,0.0,0.0,0.0
2020-02-14,34001,0.0,6 days,0.0,0.0,0.0
2020-02-15,34001,0.0,6 days,0.0,0.0,0.0
2020-02-16,34001,0.0,6 days,0.0,0.0,0.0
2020-02-17,34001,0.0,6 days,0.0,0.0,0.0
2020-02-18,34001,0.0,6 days,0.0,0.0,0.0
2020-02-19,34001,0.0,6 days,0.0,0.0,0.0
2020-02-20,34001,0.0,6 days,0.0,0.0,0.0
2020-02-21,34001,0.0,6 days,0.0,0.0,0.0
2020-02-22,34001,0.0,6 days,0.0,0.0,0.0
2020-02-23,34001,0.0,6 days,0.0,0.0,0.0
2020-02-24,34001,0.0,6 days,0.0,0.0,0.0
2020-02-25,34001,0.0,6 days,0.0,0.0,0.0
2020-02-26,34001,0.0,6 days,0.0,0.0,0.0
2020-02-27,34001,0.0,6 days,0.0,0.0,0.0
2020-02-28,34001,0.0,6 days,0.0,0.0,0.0
2020-02-29,34001,0.0,6 days,0.0,0.0,0.0
2020-03-01,34001,0.0,6 days,0.0,0.0,0.0
2020-03-02,34001,0.0,6 days,0.0,0.0,0.0
2020-03-03,34001,0.0,6 days,0.0,0.0,0.0
2020-03-04,34001,0.0,6 days,0.0,0.0,0.0
2020-03-05,34001,0.0,6 days,0.0,0.0,0.0
2020-03-06,34001,0.0,6 days,0.0,0.0,0.0
2020-03-07,34001,0.0,6 days,0.0,0.0,0.0
2020-03-08,34001,0.0,6 days,0.0,0.0,0.0
2020-03-09,34001,0.0,6 days,0.0,0.0,0.0
2020-03-10,34001,0.0,6 days,0.0,0.0,0.0
2020-03-11,34001,0.0,6 days,0.0,0.0,0.0
2020-03-12,34001,0.0,6 days,0.0,0.0,0.0
2020-03-13,34001,0.0,6 days,0.0,0.0,0.0
2020-03-14,34001,0.0,6 days,0.0,0.0,0.0
2020-03-15,34001,0.0,6 days,0.0,0.0,0.0
2020-03-16,34001,0.0,6 days,0.0,0.0,0.0
2020-03-17,34001,0.0,6 days,0.0,0.0,0.0
2020-03-18,34001,0.0,6 days,0.0,0.0,1.1377858686995108
2020-03-19,34001,0.0,6 days,0.0,0.0,1.1377858686995108
2020-03-20,34001,0.0,6 days,0.0,0.0,1.1377858686995108
2020-03-21,34001,0.0,6 days,0.0,0.0,1.517047824932681
2020-03-22,34001,0.0,6 days,0.0,0.0,1.8963097811658516
2020-03-23,34001,0.0,6 days,0.0,100.0,2.2755717373990216
2020-03-24,34001,0.0,6 days,0.0,100.0,2.2755717373990216
2020-03-25,34001,0.0,6 days,0.0,233.3333333333334,3.792619562331703
2020-03-26,34001,0.0,6 days,0.0,150.00000000000003,3.792619562331703
2020-03-27,34001,0.0,6 days,0.0,179.9999999999999,5.3096673872643825
2020-03-28,34001,0.0,6 days,0.0,183.3333333333333,6.447453255963894
2020-03-29,34001,0.0,6 days,0.0,300.0000000000001,9.102286949596088
2020-03-30,34001,0.0,6 days,0.0,189.99999999999991,10.998596730761935
2020-03-31,34001,0.0,6 days,0.0,209.99999999999997,11.757120643228278
2020-04-01,34001,0.0,6 days,0.0,185.7142857142858,15.17047824932681
2020-04-02,34001,0.0,6 days,0.3792619562331703,194.11764705882365,18.963097811658518
2020-04-03,34001,0.0,6 days,0.3792619562331703,199.99999999999983,27.30686084878825
2020-04-04,34001,0.0,6 days,0.3792619562331703,237.93103448275866,37.167671710850684
2020-04-05,34001,0.0,6 days,0.3792619562331703,290.32258064516134,45.8906967042136
2020-04-06,34001,0.0,6 days,0.3792619562331703,229.99999999999997,50.06257822277847
2020-04-07,34001,299.99999999999994,6 days,1.517047824932681,187.99999999999997,54.61372169757652
2020-04-08,34001,299.99999999999994,6 days,1.517047824932681,133.33333333333346,63.716008647172615
2020-04-09,34001,299.99999999999994,6 days,1.517047824932681,94.89795918367346,72.43903364053551
2020-04-10,34001,499.99999999999994,6 days,2.2755717373990216,74.38016528925621,80.02427276519893
2020-04-11,34001,599.9999999999999,6 days,2.654833693632192,74.24242424242424,87.23024993362915
2020-04-12,34001,100.0,6 days,3.034095649865362,75.69444444444444,95.95327492699208
2020-04-13,34001,100.0,6 days,3.034095649865362,58.92857142857137,101.26294231425643
2020-04-14,34001,175.00000000000003,6 days,4.171881518564874,48.69109947643981,107.71039557022036
2020-04-15,34001,116.66666666666667,6 days,4.930405431031214,52.606635071090025,122.12234990708082
2020-04-16,34001,85.71428571428571,6 days,4.930405431031214,49.565217391304365,130.46611294421058
2020-04-17,34001,112.49999999999999,6 days,6.447453255963894,46.24505928853756,140.32692380627302
2020-04-18,34001,137.49999999999997,6 days,7.205977168430235,43.07116104868916,144.87806728107103
2020-04-19,34001,72.72727272727269,6 days,7.205977168430235,40.14084507042252,150.94625858080175
2020-04-20,34001,46.15384615384614,6 days,7.205977168430235,27.329192546583847,155.4974020555998
2020-04-21,34001,46.15384615384614,6 days,7.205977168430235,36.337209302325576,177.87385747335685
2020-04-22,34001,41.17647058823533,6 days,9.102286949596088,36.486486486486456,191.52728789775097
2020-04-23,34001,52.63157894736839,6 days,10.998596730761935,42.40837696335079,206.3185041908446
2020-04-24,34001,52.63157894736839,6 days,10.998596730761935,42.21105527638191,214.66226722797435
2020-04-25,34001,52.63157894736839,6 days,10.998596730761935,45.3658536585366,226.04012591496948
2020-04-26,34001,52.63157894736839,6 days,10.998596730761935,36.034115138592746,241.96912807676262
2020-04-27,34001,24.99999999999997,6 days,11.377858686995108,48.316831683168296,284.06720521864446
2020-04-28,34001,20.689655172413794,6 days,13.274168468160957,59.55882352941176,329.19937801039174
