datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-27,56001,0.0,6 days,0.0,0.0,0.0
2020-01-28,56001,0.0,6 days,0.0,0.0,0.0
2020-01-29,56001,0.0,6 days,0.0,0.0,0.0
2020-01-30,56001,0.0,6 days,0.0,0.0,0.0
2020-01-31,56001,0.0,6 days,0.0,0.0,0.0
2020-02-01,56001,0.0,6 days,0.0,0.0,0.0
2020-02-02,56001,0.0,6 days,0.0,0.0,0.0
2020-02-03,56001,0.0,6 days,0.0,0.0,0.0
2020-02-04,56001,0.0,6 days,0.0,0.0,0.0
2020-02-05,56001,0.0,6 days,0.0,0.0,0.0
2020-02-06,56001,0.0,6 days,0.0,0.0,0.0
2020-02-07,56001,0.0,6 days,0.0,0.0,0.0
2020-02-08,56001,0.0,6 days,0.0,0.0,0.0
2020-02-09,56001,0.0,6 days,0.0,0.0,0.0
2020-02-10,56001,0.0,6 days,0.0,0.0,0.0
2020-02-11,56001,0.0,6 days,0.0,0.0,0.0
2020-02-12,56001,0.0,6 days,0.0,0.0,0.0
2020-02-13,56001,0.0,6 days,0.0,0.0,0.0
2020-02-14,56001,0.0,6 days,0.0,0.0,0.0
2020-02-15,56001,0.0,6 days,0.0,0.0,0.0
2020-02-16,56001,0.0,6 days,0.0,0.0,0.0
2020-02-17,56001,0.0,6 days,0.0,0.0,0.0
2020-02-18,56001,0.0,6 days,0.0,0.0,0.0
2020-02-19,56001,0.0,6 days,0.0,0.0,0.0
2020-02-20,56001,0.0,6 days,0.0,0.0,0.0
2020-02-21,56001,0.0,6 days,0.0,0.0,0.0
2020-02-22,56001,0.0,6 days,0.0,0.0,0.0
2020-02-23,56001,0.0,6 days,0.0,0.0,0.0
2020-02-24,56001,0.0,6 days,0.0,0.0,0.0
2020-02-25,56001,0.0,6 days,0.0,0.0,0.0
2020-02-26,56001,0.0,6 days,0.0,0.0,0.0
2020-02-27,56001,0.0,6 days,0.0,0.0,0.0
2020-02-28,56001,0.0,6 days,0.0,0.0,0.0
2020-02-29,56001,0.0,6 days,0.0,0.0,0.0
2020-03-01,56001,0.0,6 days,0.0,0.0,0.0
2020-03-02,56001,0.0,6 days,0.0,0.0,0.0
2020-03-03,56001,0.0,6 days,0.0,0.0,0.0
2020-03-04,56001,0.0,6 days,0.0,0.0,0.0
2020-03-05,56001,0.0,6 days,0.0,0.0,0.0
2020-03-06,56001,0.0,6 days,0.0,0.0,0.0
2020-03-07,56001,0.0,6 days,0.0,0.0,0.0
2020-03-08,56001,0.0,6 days,0.0,0.0,0.0
2020-03-09,56001,0.0,6 days,0.0,0.0,0.0
2020-03-10,56001,0.0,6 days,0.0,0.0,0.0
2020-03-11,56001,0.0,6 days,0.0,0.0,0.0
2020-03-12,56001,0.0,6 days,0.0,0.0,0.0
