datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-03-11,10001,0.0,3 days,0.0
2020-03-12,10001,0.0,3 days,0.0
2020-03-13,10001,0.0,3 days,0.0
2020-03-14,10001,0.0,3 days,0.0
2020-03-15,10001,0.0,3 days,0.0
2020-03-16,10001,0.0,3 days,0.0
2020-03-17,10001,0.0,3 days,0.0
2020-03-18,10001,0.0,3 days,0.0
2020-03-19,10001,0.5531401767836005,3 days,0.0
2020-03-20,10001,0.5531401767836005,3 days,0.0
2020-03-21,10001,0.5531401767836005,3 days,0.0
2020-03-22,10001,0.0,3 days,0.0
2020-03-23,10001,0.0,3 days,0.0
2020-03-24,10001,0.5531401767836005,3 days,0.0
2020-03-25,10001,2.212560707134402,3 days,0.0
2020-03-26,10001,2.212560707134402,3 days,0.0
2020-03-27,10001,2.212560707134402,3 days,0.0
2020-03-28,10001,2.212560707134402,3 days,0.0
2020-03-29,10001,2.212560707134402,3 days,0.0
2020-03-30,10001,1.106280353567201,3 days,0.0
2020-03-31,10001,1.106280353567201,3 days,0.0
2020-04-01,10001,3.8719812374852034,3 days,0.0
2020-04-02,10001,3.8719812374852034,3 days,0.0
2020-04-03,10001,3.8719812374852034,3 days,0.0
2020-04-04,10001,6.084541944619605,3 days,0.0
2020-04-05,10001,7.743962474970408,3 days,0.0
2020-04-06,10001,9.956523182104807,3 days,0.0
2020-04-07,10001,10.50966335888841,3 days,0.0
2020-04-08,10001,23.231887424911218,3 days,0.0
2020-04-09,10001,10.50966335888841,3 days,0.0
2020-04-10,10001,8.850242828537608,3 days,0.0
2020-04-11,10001,8.850242828537608,3 days,0.0
2020-04-12,10001,13.828504419590011,3 days,0.0
2020-04-13,10001,13.828504419590011,3 days,0.0
2020-04-14,10001,14.381644596373613,3 days,0.0
2020-04-15,10001,8.850242828537608,3 days,0.0
2020-04-16,10001,8.850242828537608,3 days,0.0
2020-04-17,10001,8.850242828537608,3 days,0.0
2020-04-18,10001,17.700485657075216,3 days,1.6594205303508014
2020-04-19,10001,17.700485657075216,3 days,1.6594205303508014
2020-04-20,10001,7.1908222981868075,3 days,0.5531401767836005
2020-04-21,10001,7.1908222981868075,3 days,0.5531401767836005
2020-04-22,10001,16.041065126724416,3 days,0.5531401767836005
2020-04-23,10001,19.913046364209613,3 days,0.5531401767836005
2020-04-24,10001,19.913046364209613,3 days,0.5531401767836005
2020-04-25,10001,11.615943712455609,3 days,1.106280353567201
2020-04-26,10001,11.615943712455609,3 days,1.106280353567201
2020-04-27,10001,14.934784773157215,3 days,1.106280353567201
