datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,30001,0.0,6 days,0.0
2020-01-28,30001,0.0,6 days,0.0
2020-01-29,30001,0.0,6 days,0.0
2020-01-30,30001,0.0,6 days,0.0
2020-01-31,30001,0.0,6 days,0.0
2020-02-01,30001,0.0,6 days,0.0
2020-02-02,30001,0.0,6 days,0.0
2020-02-03,30001,0.0,6 days,0.0
2020-02-04,30001,0.0,6 days,0.0
2020-02-05,30001,0.0,6 days,0.0
2020-02-06,30001,0.0,6 days,0.0
2020-02-07,30001,0.0,6 days,0.0
2020-02-08,30001,0.0,6 days,0.0
2020-02-09,30001,0.0,6 days,0.0
2020-02-10,30001,0.0,6 days,0.0
2020-02-11,30001,0.0,6 days,0.0
2020-02-12,30001,0.0,6 days,0.0
2020-02-13,30001,0.0,6 days,0.0
2020-02-14,30001,0.0,6 days,0.0
2020-02-15,30001,0.0,6 days,0.0
2020-02-16,30001,0.0,6 days,0.0
2020-02-17,30001,0.0,6 days,0.0
2020-02-18,30001,0.0,6 days,0.0
2020-02-19,30001,0.0,6 days,0.0
2020-02-20,30001,0.0,6 days,0.0
2020-02-21,30001,0.0,6 days,0.0
2020-02-22,30001,0.0,6 days,0.0
2020-02-23,30001,0.0,6 days,0.0
2020-02-24,30001,0.0,6 days,0.0
2020-02-25,30001,0.0,6 days,0.0
2020-02-26,30001,0.0,6 days,0.0
2020-02-27,30001,0.0,6 days,0.0
2020-02-28,30001,0.0,6 days,0.0
2020-02-29,30001,0.0,6 days,0.0
2020-03-01,30001,0.0,6 days,0.0
2020-03-02,30001,0.0,6 days,0.0
2020-03-03,30001,0.0,6 days,0.0
2020-03-04,30001,0.0,6 days,0.0
2020-03-05,30001,0.0,6 days,0.0
2020-03-06,30001,0.0,6 days,0.0
2020-03-07,30001,0.0,6 days,0.0
2020-03-08,30001,0.0,6 days,0.0
2020-03-09,30001,0.0,6 days,0.0
2020-03-10,30001,0.0,6 days,0.0
2020-03-11,30001,0.0,6 days,0.0
2020-03-12,30001,0.0,6 days,0.0
