datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-24,41001,0.0,3 days,0.0
2020-01-25,41001,0.0,3 days,0.0
2020-01-26,41001,0.0,3 days,0.0
2020-01-27,41001,0.0,3 days,0.0
2020-01-28,41001,0.0,3 days,0.0
2020-01-29,41001,0.0,3 days,0.0
2020-01-30,41001,0.0,3 days,0.0
2020-01-31,41001,0.0,3 days,0.0
2020-02-01,41001,0.0,3 days,0.0
2020-02-02,41001,0.0,3 days,0.0
2020-02-03,41001,0.0,3 days,0.0
2020-02-04,41001,0.0,3 days,0.0
2020-02-05,41001,0.0,3 days,0.0
2020-02-06,41001,0.0,3 days,0.0
2020-02-07,41001,0.0,3 days,0.0
2020-02-08,41001,0.0,3 days,0.0
2020-02-09,41001,0.0,3 days,0.0
2020-02-10,41001,0.0,3 days,0.0
2020-02-11,41001,0.0,3 days,0.0
2020-02-12,41001,0.0,3 days,0.0
2020-02-13,41001,0.0,3 days,0.0
2020-02-14,41001,0.0,3 days,0.0
2020-02-15,41001,0.0,3 days,0.0
2020-02-16,41001,0.0,3 days,0.0
2020-02-17,41001,0.0,3 days,0.0
2020-02-18,41001,0.0,3 days,0.0
2020-02-19,41001,0.0,3 days,0.0
2020-02-20,41001,0.0,3 days,0.0
2020-02-21,41001,0.0,3 days,0.0
2020-02-22,41001,0.0,3 days,0.0
2020-02-23,41001,0.0,3 days,0.0
2020-02-24,41001,0.0,3 days,0.0
2020-02-25,41001,0.0,3 days,0.0
2020-02-26,41001,0.0,3 days,0.0
2020-02-27,41001,0.0,3 days,0.0
2020-02-28,41001,0.0,3 days,0.0
2020-02-29,41001,0.0,3 days,0.0
2020-03-01,41001,0.0,3 days,0.0
2020-03-02,41001,0.0,3 days,0.0
2020-03-03,41001,0.0,3 days,0.0
2020-03-04,41001,0.0,3 days,0.0
2020-03-05,41001,0.0,3 days,0.0
2020-03-06,41001,0.0,3 days,0.0
2020-03-07,41001,0.0,3 days,0.0
2020-03-08,41001,0.0,3 days,0.0
2020-03-09,41001,0.0,3 days,0.0
2020-03-10,41001,0.0,3 days,0.0
2020-03-11,41001,0.0,3 days,0.0
2020-03-12,41001,0.0,3 days,0.0
2020-03-13,41001,0.0,3 days,0.0
2020-03-14,41001,0.0,3 days,0.0
2020-03-15,41001,0.0,3 days,0.0
2020-03-16,41001,0.0,3 days,0.0
2020-03-17,41001,0.0,3 days,0.0
2020-03-18,41001,0.0,3 days,0.0
2020-03-19,41001,0.0,3 days,0.0
2020-03-20,41001,0.0,3 days,0.0
2020-03-21,41001,0.0,3 days,0.0
2020-03-22,41001,0.0,3 days,0.0
2020-03-23,41001,0.0,3 days,0.0
2020-03-24,41001,0.0,3 days,0.0
2020-03-25,41001,0.0,3 days,0.0
2020-03-26,41001,0.0,3 days,0.0
2020-03-27,41001,0.0,3 days,0.0
2020-03-28,41001,0.0,3 days,0.0
2020-03-29,41001,0.0,3 days,0.0
2020-03-30,41001,0.0,3 days,0.0
