datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-03-11,44001,0.0,3 days,0.0
2020-03-12,44001,0.0,3 days,0.0
2020-03-13,44001,0.0,3 days,0.0
2020-03-14,44001,0.0,3 days,0.0
2020-03-15,44001,0.0,3 days,0.0
2020-03-16,44001,0.0,3 days,0.0
2020-03-17,44001,0.0,3 days,0.0
2020-03-18,44001,0.0,3 days,0.0
2020-03-19,44001,0.0,3 days,0.0
2020-03-20,44001,0.0,3 days,0.0
2020-03-21,44001,0.0,3 days,0.0
2020-03-22,44001,4.125497638152602,3 days,0.0
2020-03-23,44001,4.125497638152602,3 days,0.0
2020-03-24,44001,0.0,3 days,0.0
2020-03-25,44001,0.0,3 days,0.0
2020-03-26,44001,0.0,3 days,0.0
2020-03-27,44001,0.0,3 days,0.0
2020-03-28,44001,0.0,3 days,0.0
2020-03-29,44001,0.0,3 days,0.0
2020-03-30,44001,0.0,3 days,0.0
2020-03-31,44001,4.125497638152602,3 days,0.0
2020-04-01,44001,4.125497638152602,3 days,0.0
2020-04-02,44001,6.188246457228902,3 days,0.0
2020-04-03,44001,6.188246457228902,3 days,0.0
2020-04-04,44001,0.0,3 days,0.0
2020-04-05,44001,0.0,3 days,0.0
2020-04-06,44001,2.062748819076301,3 days,0.0
2020-04-07,44001,4.125497638152602,3 days,0.0
2020-04-08,44001,4.125497638152602,3 days,0.0
2020-04-09,44001,4.125497638152602,3 days,0.0
2020-04-10,44001,8.250995276305204,3 days,0.0
2020-04-11,44001,4.125497638152602,3 days,0.0
2020-04-12,44001,4.125497638152602,3 days,0.0
2020-04-13,44001,0.0,3 days,0.0
2020-04-14,44001,0.0,3 days,0.0
2020-04-15,44001,0.0,3 days,0.0
2020-04-16,44001,2.062748819076301,3 days,0.0
2020-04-17,44001,14.439241733534107,3 days,0.0
2020-04-18,44001,2.062748819076301,3 days,0.0
2020-04-19,44001,4.125497638152602,3 days,0.0
2020-04-20,44001,4.125497638152602,3 days,0.0
2020-04-21,44001,4.125497638152602,3 days,0.0
2020-04-22,44001,16.50199055261041,3 days,0.0
2020-04-23,44001,14.439241733534107,3 days,0.0
2020-04-24,44001,14.439241733534107,3 days,0.0
2020-04-25,44001,14.439241733534107,3 days,0.0
2020-04-26,44001,10.313744095381505,3 days,0.0
2020-04-27,44001,8.250995276305204,3 days,0.0
2020-04-28,44001,8.250995276305204,3 days,0.0
2020-04-29,44001,8.250995276305204,3 days,0.0
2020-04-30,44001,0.0,3 days,0.0
2020-05-01,44001,0.0,3 days,0.0
2020-05-02,44001,0.0,3 days,0.0
2020-05-03,44001,4.125497638152602,3 days,0.0
2020-05-04,44001,4.125497638152602,3 days,0.0
2020-05-05,44001,4.125497638152602,3 days,0.0
2020-05-06,44001,0.0,3 days,0.0
2020-05-07,44001,0.0,3 days,0.0
2020-05-08,44001,0.0,3 days,0.0
2020-05-09,44001,0.0,3 days,0.0
2020-05-10,44001,0.0,3 days,0.0
2020-05-11,44001,0.0,3 days,0.0
2020-05-12,44001,2.062748819076301,3 days,0.0
2020-05-13,44001,2.062748819076301,3 days,0.0
2020-05-14,44001,0.0,3 days,0.0
2020-05-15,44001,0.0,3 days,0.0
2020-05-16,44001,0.0,3 days,0.0
2020-05-17,44001,0.0,3 days,0.0
2020-05-18,44001,0.0,3 days,0.0
2020-05-19,44001,0.0,3 days,0.0
2020-05-20,44001,0.0,3 days,0.0
2020-05-21,44001,12.376492914457804,3 days,0.0
2020-05-22,44001,12.376492914457804,3 days,0.0
2020-05-23,44001,10.313744095381505,3 days,0.0
2020-05-24,44001,8.250995276305204,3 days,0.0
2020-05-25,44001,0.0,3 days,0.0
2020-05-26,44001,0.0,3 days,0.0
2020-05-27,44001,0.0,3 days,0.0
2020-05-28,44001,0.0,3 days,0.0
2020-05-29,44001,4.125497638152602,3 days,0.0
2020-05-30,44001,0.0,3 days,0.0
2020-05-31,44001,0.0,3 days,0.0
2020-06-01,44001,0.0,3 days,0.0
2020-06-02,44001,0.0,3 days,0.0
2020-06-03,44001,0.0,3 days,0.0
2020-06-04,44001,0.0,3 days,0.0
2020-06-05,44001,0.0,3 days,0.0
2020-06-06,44001,0.0,3 days,0.0
2020-06-07,44001,0.0,3 days,0.0
2020-06-08,44001,0.0,3 days,0.0
2020-06-09,44001,0.0,3 days,0.0
2020-06-10,44001,0.0,3 days,0.0
2020-06-11,44001,0.0,3 days,0.0
2020-06-12,44001,0.0,3 days,0.0
2020-06-13,44001,0.0,3 days,0.0
2020-06-14,44001,0.0,3 days,0.0
2020-06-15,44001,0.0,3 days,0.0
2020-06-16,44001,0.0,3 days,0.0
2020-06-17,44001,0.0,3 days,0.0
