datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-24,53001,0.0,3 days,0.0
2020-01-25,53001,0.0,3 days,0.0
2020-01-26,53001,0.0,3 days,0.0
2020-01-27,53001,0.0,3 days,0.0
2020-01-28,53001,0.0,3 days,0.0
2020-01-29,53001,0.0,3 days,0.0
2020-01-30,53001,0.0,3 days,0.0
2020-01-31,53001,0.0,3 days,0.0
2020-02-01,53001,0.0,3 days,0.0
2020-02-02,53001,0.0,3 days,0.0
2020-02-03,53001,0.0,3 days,0.0
2020-02-04,53001,0.0,3 days,0.0
2020-02-05,53001,0.0,3 days,0.0
2020-02-06,53001,0.0,3 days,0.0
2020-02-07,53001,0.0,3 days,0.0
2020-02-08,53001,0.0,3 days,0.0
2020-02-09,53001,0.0,3 days,0.0
2020-02-10,53001,0.0,3 days,0.0
2020-02-11,53001,0.0,3 days,0.0
2020-02-12,53001,0.0,3 days,0.0
2020-02-13,53001,0.0,3 days,0.0
2020-02-14,53001,0.0,3 days,0.0
2020-02-15,53001,0.0,3 days,0.0
2020-02-16,53001,0.0,3 days,0.0
2020-02-17,53001,0.0,3 days,0.0
2020-02-18,53001,0.0,3 days,0.0
2020-02-19,53001,0.0,3 days,0.0
2020-02-20,53001,0.0,3 days,0.0
2020-02-21,53001,0.0,3 days,0.0
2020-02-22,53001,0.0,3 days,0.0
2020-02-23,53001,0.0,3 days,0.0
2020-02-24,53001,0.0,3 days,0.0
2020-02-25,53001,0.0,3 days,0.0
2020-02-26,53001,0.0,3 days,0.0
2020-02-27,53001,0.0,3 days,0.0
2020-02-28,53001,0.0,3 days,0.0
2020-02-29,53001,0.0,3 days,0.0
2020-03-01,53001,0.0,3 days,0.0
2020-03-02,53001,0.0,3 days,0.0
2020-03-03,53001,0.0,3 days,0.0
2020-03-04,53001,0.0,3 days,0.0
2020-03-05,53001,0.0,3 days,0.0
2020-03-06,53001,0.0,3 days,0.0
2020-03-07,53001,0.0,3 days,0.0
2020-03-08,53001,0.0,3 days,0.0
2020-03-09,53001,0.0,3 days,0.0
2020-03-10,53001,0.0,3 days,0.0
2020-03-11,53001,0.0,3 days,0.0
2020-03-12,53001,0.0,3 days,0.0
2020-03-13,53001,0.0,3 days,0.0
2020-03-14,53001,0.0,3 days,0.0
2020-03-15,53001,0.0,3 days,0.0
2020-03-16,53001,0.0,3 days,0.0
2020-03-17,53001,0.0,3 days,0.0
2020-03-18,53001,0.0,3 days,0.0
2020-03-19,53001,0.0,3 days,0.0
2020-03-20,53001,0.0,3 days,0.0
2020-03-21,53001,0.0,3 days,0.0
2020-03-22,53001,0.0,3 days,0.0
2020-03-23,53001,0.0,3 days,0.0
2020-03-24,53001,0.0,3 days,0.0
2020-03-25,53001,0.0,3 days,0.0
2020-03-26,53001,0.0,3 days,0.0
2020-03-27,53001,0.0,3 days,0.0
2020-03-28,53001,10.008507231146474,3 days,0.0
2020-03-29,53001,0.0,3 days,0.0
2020-03-30,53001,10.008507231146474,3 days,0.0
2020-03-31,53001,10.008507231146474,3 days,0.0
2020-04-01,53001,10.008507231146474,3 days,0.0
2020-04-02,53001,30.025521693439426,3 days,0.0
2020-04-03,53001,5.004253615573237,3 days,0.0
2020-04-04,53001,0.0,3 days,0.0
2020-04-05,53001,0.0,3 days,0.0
2020-04-06,53001,15.012760846719713,3 days,0.0
2020-04-07,53001,15.012760846719713,3 days,0.0
2020-04-08,53001,10.008507231146474,3 days,0.0
2020-04-09,53001,5.004253615573237,3 days,0.0
2020-04-10,53001,5.004253615573237,3 days,0.0
