datetimeobject,epochmilli,STUSPS,COUNTYGEOID,deathCumulative,positiveCumulative,deathRate,positiveRate,ndays,deathPositiveRate
2020-11-08,1604793600000,AL,01001,30.0,2283.0,53.69704129302475,4086.344842399184,291,1.3140604467805517
2020-11-08,1604793600000,AL,01003,83.0,7226.0,37.18071619914529,3236.962111506312,291,1.1486299474121227
2020-11-08,1604793600000,AL,01005,9.0,1095.0,36.45791136676659,4435.712549623268,291,0.821917808219178
2020-11-08,1604793600000,AL,01007,16.0,926.0,71.44770920782352,4135.036170402786,291,1.7278617710583153
2020-11-08,1604793600000,AL,01009,26.0,2297.0,44.96247362777989,3972.261612423477,291,1.131911188506748
2020-11-08,1604793600000,AL,01011,17.0,664.0,168.30016830016828,6573.606573606573,291,2.560240963855422
2020-11-08,1604793600000,AL,01013,41.0,1052.0,210.81859317153436,5409.296585767174,291,3.897338403041825
2020-11-08,1604793600000,AL,01015,67.0,5181.0,58.97627745257691,4560.538708683596,291,1.293186643505115
2020-11-08,1604793600000,AL,01017,48.0,1485.0,144.3435376195345,4465.628195104348,291,3.2323232323232323
2020-11-08,1604793600000,AL,01019,15.0,840.0,57.26065048098946,3206.59642693541,291,1.7857142857142856
2020-11-08,1604793600000,AL,01021,35.0,2011.0,78.7791482848654,4526.424777167552,291,1.74042764793635
2020-11-08,1604793600000,AL,01023,12.0,407.0,95.32131225673207,3232.981174040829,291,2.948402948402949
2020-11-08,1604793600000,AL,01025,18.0,1443.0,76.2001524003048,6108.712217424435,291,1.2474012474012475
2020-11-08,1604793600000,AL,01027,13.0,816.0,98.22440498677749,6165.470343785418,291,1.5931372549019607
2020-11-08,1604793600000,AL,01029,11.0,627.0,73.77598926894701,4205.23138832998,291,1.7543859649122806
2020-11-08,1604793600000,AL,01031,12.0,1985.0,22.926139620190288,3792.3655955064764,291,0.6045340050377834
2020-11-08,1604793600000,AL,01033,33.0,2461.0,59.73823790300682,4455.024347857569,291,1.3409183258837871
2020-11-08,1604793600000,AL,01035,13.0,605.0,107.73183061241402,5013.673655423883,291,2.1487603305785123
2020-11-08,1604793600000,AL,01037,3.0,235.0,28.13467129325706,2203.88258463847,291,1.2765957446808511
2020-11-08,1604793600000,AL,01039,32.0,1941.0,86.372101811115,5239.0078004804445,291,1.6486347243688821
2020-11-08,1604793600000,AL,01041,30.0,644.0,217.83328492593665,4676.154516410107,291,4.658385093167701
2020-11-08,1604793600000,AL,01043,27.0,3195.0,32.231878521631174,3814.105625059689,291,0.8450704225352113
2020-11-08,1604793600000,AL,01045,55.0,2043.0,111.85227365167168,4154.803546733914,291,2.6921194322075372
2020-11-08,1604793600000,AL,01047,27.0,1986.0,72.58845037100764,5339.283793956339,291,1.3595166163141996
2020-11-08,1604793600000,AL,01049,32.0,3896.0,44.747108917259794,5447.960510676381,291,0.8213552361396302
2020-11-08,1604793600000,AL,01051,59.0,3454.0,72.65204595549754,4253.223164920145,291,1.70816444701795
2020-11-08,1604793600000,AL,01053,31.0,1829.0,84.62315398684247,4992.766085223706,291,1.6949152542372878
2020-11-08,1604793600000,AL,01055,58.0,4887.0,56.7137325458599,4778.62087847616,291,1.1868221812973194
2020-11-08,1604793600000,AL,01057,15.0,664.0,92.01324990798675,4073.1198625935467,291,2.2590361445783134
2020-11-08,1604793600000,AL,01059,34.0,2250.0,108.41145335118935,7174.287354122825,291,1.5111111111111113
2020-11-08,1604793600000,AL,01061,8.0,1025.0,30.45182901298009,3901.640592288074,291,0.7804878048780488
2020-11-08,1604793600000,AL,01063,17.0,361.0,209.5919122179756,4450.745900628775,291,4.7091412742382275
2020-11-08,1604793600000,AL,01065,30.0,825.0,204.76417991945945,5631.014947785134,291,3.636363636363637
2020-11-08,1604793600000,AL,01067,6.0,777.0,34.873583260680036,4516.129032258064,291,0.7722007722007722
2020-11-08,1604793600000,AL,01069,36.0,4485.0,34.00011333371111,4235.847452824843,291,0.8026755852842811
2020-11-08,1604793600000,AL,01071,22.0,2476.0,42.614186650137526,4796.033006624569,291,0.8885298869143781
2020-11-08,1604793600000,AL,01073,403.0,25827.0,61.19291255487243,3921.6609244533256,291,1.5603825453982267
2020-11-08,1604793600000,AL,01075,7.0,554.0,50.70626584570808,4013.0387540746106,291,1.2635379061371843
2020-11-08,1604793600000,AL,01077,47.0,2937.0,50.685330371297006,3167.2939425638147,291,1.6002723867892408
2020-11-08,1604793600000,AL,01079,35.0,1003.0,106.30543068885919,3046.409913740736,291,3.4895314057826523
2020-11-08,1604793600000,AL,01081,65.0,6903.0,39.50359178811489,4195.281447897802,291,0.9416195856873822
2020-11-08,1604793600000,AL,01083,37.0,3350.0,37.4058535105899,3386.7461962290854,291,1.1044776119402986
2020-11-08,1604793600000,AL,01085,29.0,745.0,298.1698539995887,7659.880732058399,291,3.89261744966443
2020-11-08,1604793600000,AL,01087,20.0,610.0,110.69293779056896,3376.1346026123533,291,3.278688524590164
2020-11-08,1604793600000,AL,01089,105.0,10358.0,28.157003451244137,2777.6213499808264,291,1.0137092102722534
2020-11-08,1604793600000,AL,01091,24.0,1095.0,127.23320786725334,5805.015108943434,291,2.191780821917808
2020-11-08,1604793600000,AL,01093,31.0,1211.0,104.3454845333064,4076.2058635430344,291,2.5598678777869526
2020-11-08,1604793600000,AL,01095,53.0,4852.0,54.76677620021907,5013.7433608200545,291,1.0923330585325641
2020-11-08,1604793600000,AL,01097,328.0,17782.0,79.37852423707074,4303.380847510951,291,1.8445619165448204
2020-11-08,1604793600000,AL,01099,10.0,692.0,48.2322866927121,3337.6742391356775,291,1.4450867052023122
2020-11-08,1604793600000,AL,01101,219.0,11119.0,96.6947184373427,4909.354220569925,291,1.969601582876158
2020-11-08,1604793600000,AL,01103,40.0,4877.0,33.4227391605879,4075.06747215468,291,0.8201763379126512
2020-11-08,1604793600000,AL,01105,6.0,618.0,67.24195898240502,6925.921775187717,291,0.970873786407767
2020-11-08,1604793600000,AL,01107,18.0,994.0,90.31610637230307,4987.4560963371805,291,1.8108651911468814
2020-11-08,1604793600000,AL,01109,14.0,1429.0,42.27819049344688,4315.395301081114,291,0.979706088173548
2020-11-08,1604793600000,AL,01111,18.0,890.0,79.21837866385002,3916.908722823695,291,2.0224719101123596
2020-11-08,1604793600000,AL,01113,3.0,2022.0,5.175894135711944,3488.5526474698504,291,0.14836795252225518
2020-11-08,1604793600000,AL,01115,52.0,3477.0,58.09276968451157,3884.3953883278223,291,1.4955421340235835
2020-11-08,1604793600000,AL,01117,71.0,8251.0,32.613388944520494,3790.04327015829,291,0.8605017573627439
2020-11-08,1604793600000,AL,01119,21.0,509.0,168.98688339905044,4095.92017381508,291,4.12573673870334
2020-11-08,1604793600000,AL,01121,40.0,2941.0,50.01375378229013,3677.261246842882,291,1.3600816048962938
2020-11-08,1604793600000,AL,01123,87.0,1476.0,215.52258032551342,3656.452052419055,291,5.894308943089431
2020-11-08,1604793600000,AL,01125,146.0,11205.0,69.73800482434143,5352.15304148456,291,1.3029897367246766
2020-11-08,1604793600000,AL,01127,96.0,3141.0,151.13112199115253,4944.821397648022,291,3.0563514804202483
2020-11-08,1604793600000,AL,01129,12.0,812.0,73.5023888276369,4973.6616440034295,291,1.4778325123152714
2020-11-08,1604793600000,AL,01131,12.0,591.0,115.68495131591631,5697.483852308878,291,2.030456852791878
