datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-03-09,1583712000000.0,AZ,04001,0.0,0.0,
2020-03-10,1583798400000.0,AZ,04001,0.0,0.0,
2020-03-11,1583884800000.0,AZ,04001,0.0,0.0,
2020-03-12,1583971200000.0,AZ,04001,0.0,0.0,
2020-03-13,1584057600000.0,AZ,04001,0.0,0.0,
2020-03-14,1584144000000.0,AZ,04001,0.0,0.0,
2020-03-15,1584230400000.0,AZ,04001,0.0,0.0,
2020-03-16,1584316800000.0,AZ,04001,0.0,0.0,
2020-03-17,1584403200000.0,AZ,04001,0.0,0.0,
2020-03-18,1584489600000.0,AZ,04001,0.0,0.0,
2020-03-19,1584576000000.0,AZ,04001,0.0,0.0,
2020-03-20,1584662400000.0,AZ,04001,0.0,0.0,
2020-03-21,1584748800000.0,AZ,04001,4.173216297800715,0.0,
2020-03-22,1584835200000.0,AZ,04001,4.173216297800715,0.0,
2020-03-23,1584921600000.0,AZ,04001,5.56428839706762,0.0,
2020-03-24,1585008000000.0,AZ,04001,5.56428839706762,0.0,
2020-03-25,1585094400000.0,AZ,04001,9.737504694868335,0.0,
2020-03-26,1585180800000.0,AZ,04001,12.519648893402143,0.0,
2020-03-27,1585267200000.0,AZ,04001,15.301793091935956,0.0,
2020-03-28,1585353600000.0,AZ,04001,18.083937290469766,0.0,
2020-03-29,1585440000000.0,AZ,04001,18.083937290469766,0.0,
2020-03-30,1585526400000.0,AZ,04001,22.25715358827048,0.0,
2020-03-31,1585612800000.0,AZ,04001,22.25715358827048,0.0,
2020-04-01,1585699200000.0,AZ,04001,23.648225687537387,0.0,
2020-04-02,1585785600000.0,AZ,04001,23.648225687537387,0.0,
2020-04-03,1585872000000.0,AZ,04001,23.648225687537387,0.0,
2020-04-04,1585958400000.0,AZ,04001,27.8214419853381,0.0,
2020-04-05,1586044800000.0,AZ,04001,31.99465828313882,0.0,
2020-04-06,1586131200000.0,AZ,04001,34.776802481672625,0.0,
2020-04-07,1586217600000.0,AZ,04001,38.95001877947334,0.0,
2020-04-08,1586304000000.0,AZ,04001,47.296451375074774,4.173216297800715,
2020-04-09,1586390400000.0,AZ,04001,72.33574916187906,4.173216297800715,
2020-04-10,1586476800000.0,AZ,04001,76.50896545967977,4.173216297800715,
2020-04-11,1586563200000.0,AZ,04001,91.81075855161573,4.173216297800715,
2020-04-12,1586649600000.0,AZ,04001,100.15719114721715,4.173216297800715,
2020-04-13,1586736000000.0,AZ,04001,123.80541683475455,4.173216297800715,
2020-04-14,1586822400000.0,AZ,04001,134.9339936288898,5.56428839706762,
2020-04-15,1586908800000.0,AZ,04001,153.01793091935954,5.56428839706762,
2020-04-16,1586995200000.0,AZ,04001,164.1465077134948,5.56428839706762,
2020-04-17,1587081600000.0,AZ,04001,196.14116599663362,5.56428839706762,
2020-04-18,1587168000000.0,AZ,04001,235.09118477610696,5.56428839706762,
2020-04-19,1587254400000.0,AZ,04001,247.6108336695091,5.56428839706762,
2020-04-20,1587340800000.0,AZ,04001,280.9965640519148,5.56428839706762,
2020-04-21,1587427200000.0,AZ,04001,314.38229443432056,6.955360496334525,
2020-04-22,1587513600000.0,AZ,04001,326.9019433277227,6.955360496334525,
2020-04-23,1587600000000.0,AZ,04001,372.8073226035305,6.955360496334525,
2020-04-24,1587686400000.0,AZ,04001,411.7573413830039,6.955360496334525,
2020-04-25,1587772800000.0,AZ,04001,436.7966391698082,6.955360496334525,
2020-04-26,1587859200000.0,AZ,04001,467.40022535368007,6.955360496334525,
2020-04-27,1587945600000.0,AZ,04001,503.56809993461957,6.955360496334525,
2020-04-28,1588032000000.0,AZ,04001,528.6073977214239,6.955360496334525,
2020-04-29,1588118400000.0,AZ,04001,545.3002629126267,6.955360496334525,
2020-04-30,1588204800000.0,AZ,04001,624.5913725708403,8.34643259560143,
2020-05-01,1588291200000.0,AZ,04001,664.9324634495806,8.34643259560143,
2020-05-02,1588377600000.0,AZ,04001,705.2735543283209,8.34643259560143,
2020-05-03,1588464000000.0,AZ,04001,731.703924214392,8.34643259560143,
2020-05-04,1588550400000.0,AZ,04001,763.6985824975309,8.34643259560143,
2020-05-05,1588636800000.0,AZ,04001,801.2575291777372,9.737504694868335,
2020-05-06,1588723200000.0,AZ,04001,851.3361247513458,9.737504694868335,
2020-05-07,1588809600000.0,AZ,04001,876.3754225381502,9.737504694868335,
2020-05-08,1588896000000.0,AZ,04001,933.4093786080933,13.91072099266905,
2020-05-09,1588982400000.0,AZ,04001,987.6611904795026,13.91072099266905,
2020-05-10,1589068800000.0,AZ,04001,996.007623075104,13.91072099266905,
2020-05-11,1589155200000.0,AZ,04001,1011.3094161670399,13.91072099266905,
2020-05-12,1589241600000.0,AZ,04001,1034.9576418545773,15.301793091935956,
2020-05-13,1589328000000.0,AZ,04001,1136.5059051010614,16.69286519120286,
2020-05-14,1589414400000.0,AZ,04001,1194.9309332702715,16.69286519120286,
2020-05-15,1589500800000.0,AZ,04001,1289.523836020421,22.25715358827048,
2020-05-16,1589587200000.0,AZ,04001,1338.2113594947627,27.8214419853381,
2020-05-17,1589673600000.0,AZ,04001,1364.6417293808338,27.8214419853381,
2020-05-18,1589760000000.0,AZ,04001,1374.379234075702,27.8214419853381,
2020-05-19,1589846400000.0,AZ,04001,1423.0667575500438,27.8214419853381,
2020-05-20,1589932800000.0,AZ,04001,1502.3578672082574,30.60358618387191,
2020-05-21,1590019200000.0,AZ,04001,1559.3918232782005,30.60358618387191,
2020-05-22,1590105600000.0,AZ,04001,1584.4311210650048,31.99465828313882,
2020-05-23,1590192000000.0,AZ,04001,1591.3864815613392,34.776802481672625,
2020-05-24,1590278400000.0,AZ,04001,1656.7668702268838,34.776802481672625,
2020-05-25,1590364800000.0,AZ,04001,1656.7668702268838,36.16787458093953,
2020-05-26,1590451200000.0,AZ,04001,1688.7615285100226,36.16787458093953,
2020-05-27,1590537600000.0,AZ,04001,1738.8401240836313,36.16787458093953,
2020-05-28,1590624000000.0,AZ,04001,1794.4830080543074,38.95001877947334,
2020-05-29,1590710400000.0,AZ,04001,1966.9759483634039,47.296451375074774,
2020-05-30,1590796800000.0,AZ,04001,2074.088500006955,48.687523474341674,
2020-05-31,1590883200000.0,AZ,04001,2119.993879282763,48.687523474341674,
2020-06-01,1590969600000.0,AZ,04001,2122.7760234812968,54.2518118714093,
2020-06-02,1591056000000.0,AZ,04001,2182.5921237497737,57.0339560699431,
2020-06-03,1591142400000.0,AZ,04001,2206.240349437311,62.59824446701072,
2020-06-04,1591228800000.0,AZ,04001,2277.1850264999234,62.59824446701072,
2020-06-05,1591315200000.0,AZ,04001,2303.6153963859947,63.98931656627764,
2020-06-06,1591401600000.0,AZ,04001,2353.693991959603,68.16253286407834,
2020-06-07,1591488000000.0,AZ,04001,2402.381515433945,68.16253286407834,
2020-06-08,1591574400000.0,AZ,04001,2409.3368759302793,68.16253286407834,
2020-06-09,1591660800000.0,AZ,04001,2430.202957419283,68.16253286407834,
2020-06-10,1591747200000.0,AZ,04001,2519.231571772365,68.16253286407834,
2020-06-11,1591833600000.0,AZ,04001,2624.95305131665,72.33574916187906,
2020-06-12,1591920000000.0,AZ,04001,2680.595935287326,73.72682126114597,
2020-06-13,1592006400000.0,AZ,04001,2736.2388192580024,77.90003755894668,
2020-06-14,1592092800000.0,AZ,04001,2743.194179754337,77.90003755894668,
2020-06-15,1592179200000.0,AZ,04001,2747.3673960521373,77.90003755894668,
2020-06-16,1592265600000.0,AZ,04001,2776.5799101367425,79.29110965821359,
2020-06-17,1592352000000.0,AZ,04001,2779.3620543352763,80.68218175748049,
2020-06-18,1592438400000.0,AZ,04001,2864.2174523905574,84.8553980552812,
2020-06-19,1592524800000.0,AZ,04001,2925.424624758301,87.63754225381501,
2020-06-20,1592611200000.0,AZ,04001,2943.5085620487707,91.81075855161573,
2020-06-21,1592697600000.0,AZ,04001,2944.899634148038,91.81075855161573,
2020-06-22,1592784000000.0,AZ,04001,2950.4639225451056,91.81075855161573,
2020-06-23,1592870400000.0,AZ,04001,3011.671094912849,93.20183065088263,
2020-06-24,1592956800000.0,AZ,04001,3052.0121857915897,101.54826324648407,
2020-06-25,1593043200000.0,AZ,04001,3109.0461418615328,101.54826324648407,
2020-06-26,1593129600000.0,AZ,04001,3129.912223350536,109.8946958420855,
2020-06-27,1593216000000.0,AZ,04001,3129.912223350536,118.24112843768692,
2020-06-28,1593302400000.0,AZ,04001,3203.639044611682,118.24112843768692,
2020-06-29,1593388800000.0,AZ,04001,3211.985477207284,118.24112843768692,
2020-06-30,1593475200000.0,AZ,04001,3250.9354959867574,119.63220053695382,
2020-07-01,1593561600000.0,AZ,04001,3312.142668354501,125.19648893402145,
2020-07-02,1593648000000.0,AZ,04001,3345.528398736906,126.58756103328835,
2020-07-03,1593734400000.0,AZ,04001,3363.6123360273764,126.58756103328835,
2020-07-04,1593820800000.0,AZ,04001,3370.5676965237108,126.58756103328835,
2020-07-05,1593907200000.0,AZ,04001,3392.8248501119815,127.97863313255527,
2020-07-06,1593993600000.0,AZ,04001,3395.606994310515,127.97863313255527,
2020-07-07,1594080000000.0,AZ,04001,3437.339157288522,137.7161378274236,
