datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-01-22,1579651200000.0,CA,06001,0.0,0.0,
2020-01-23,1579737600000.0,CA,06001,0.0,0.0,
2020-01-24,1579824000000.0,CA,06001,0.0,0.0,
2020-01-25,1579910400000.0,CA,06001,0.0,0.0,
2020-01-26,1579996800000.0,CA,06001,0.0,0.0,
2020-01-27,1580083200000.0,CA,06001,0.0,0.0,
2020-01-28,1580169600000.0,CA,06001,0.0,0.0,
2020-01-29,1580256000000.0,CA,06001,0.0,0.0,
2020-01-30,1580342400000.0,CA,06001,0.0,0.0,
2020-01-31,1580428800000.0,CA,06001,0.0,0.0,
2020-02-01,1580515200000.0,CA,06001,0.0,0.0,
2020-02-02,1580601600000.0,CA,06001,0.0,0.0,
2020-02-03,1580688000000.0,CA,06001,0.0,0.0,
2020-02-04,1580774400000.0,CA,06001,0.0,0.0,
2020-02-05,1580860800000.0,CA,06001,0.0,0.0,
2020-02-06,1580947200000.0,CA,06001,0.0,0.0,
2020-02-07,1581033600000.0,CA,06001,0.0,0.0,
2020-02-08,1581120000000.0,CA,06001,0.0,0.0,
2020-02-09,1581206400000.0,CA,06001,0.0,0.0,
2020-02-10,1581292800000.0,CA,06001,0.0,0.0,
2020-02-11,1581379200000.0,CA,06001,0.0,0.0,
2020-02-12,1581465600000.0,CA,06001,0.0,0.0,
2020-02-13,1581552000000.0,CA,06001,0.0,0.0,
2020-02-14,1581638400000.0,CA,06001,0.0,0.0,
2020-02-15,1581724800000.0,CA,06001,0.0,0.0,
2020-02-16,1581811200000.0,CA,06001,0.0,0.0,
2020-02-17,1581897600000.0,CA,06001,0.0,0.0,
2020-02-18,1581984000000.0,CA,06001,0.0,0.0,
2020-02-19,1582070400000.0,CA,06001,0.0,0.0,
2020-02-20,1582156800000.0,CA,06001,0.0,0.0,
2020-02-21,1582243200000.0,CA,06001,0.0,0.0,
2020-02-22,1582329600000.0,CA,06001,0.0,0.0,
2020-02-23,1582416000000.0,CA,06001,0.0,0.0,
2020-02-24,1582502400000.0,CA,06001,0.0,0.0,
2020-02-25,1582588800000.0,CA,06001,0.0,0.0,
2020-02-26,1582675200000.0,CA,06001,0.0,0.0,
2020-02-27,1582761600000.0,CA,06001,0.0,0.0,
2020-02-28,1582848000000.0,CA,06001,0.0,0.0,
2020-02-29,1582934400000.0,CA,06001,0.0,0.0,
2020-03-01,1583020800000.0,CA,06001,0.0,0.0,
2020-03-02,1583107200000.0,CA,06001,0.0,0.0,
2020-03-03,1583193600000.0,CA,06001,0.05983262421701532,0.0,
2020-03-04,1583280000000.0,CA,06001,0.05983262421701532,0.0,
2020-03-05,1583366400000.0,CA,06001,0.05983262421701532,0.0,
2020-03-06,1583452800000.0,CA,06001,0.05983262421701532,0.0,
2020-03-07,1583539200000.0,CA,06001,0.11966524843403065,0.0,
2020-03-08,1583625600000.0,CA,06001,0.11966524843403065,0.0,
2020-03-09,1583712000000.0,CA,06001,0.11966524843403065,0.0,
2020-03-10,1583798400000.0,CA,06001,0.17949787265104597,0.0,
2020-03-11,1583884800000.0,CA,06001,0.2991631210850766,0.0,
2020-03-12,1583971200000.0,CA,06001,0.2991631210850766,0.0,
2020-03-13,1584057600000.0,CA,06001,0.4188283695191073,0.0,
2020-03-14,1584144000000.0,CA,06001,0.6581588663871686,0.0,
2020-03-15,1584230400000.0,CA,06001,0.6581588663871686,0.0,
2020-03-16,1584316800000.0,CA,06001,1.0769872359062758,0.0,
2020-03-17,1584403200000.0,CA,06001,1.6154808538594139,0.0,
2020-03-18,1584489600000.0,CA,06001,1.7949787265104595,0.0,
2020-03-19,1584576000000.0,CA,06001,2.273639720246582,0.0,
2020-03-20,1584662400000.0,CA,06001,2.8719659624167355,0.0,
2020-03-21,1584748800000.0,CA,06001,4.068618446757042,0.0,
2020-03-22,1584835200000.0,CA,06001,4.248116319408088,0.0,
2020-03-23,1584921600000.0,CA,06001,7.060249657607808,0.05983262421701532,
2020-03-24,1585008000000.0,CA,06001,8.077404269297068,0.11966524843403065,
2020-03-25,1585094400000.0,CA,06001,8.077404269297068,0.11966524843403065,
2020-03-26,1585180800000.0,CA,06001,10.650207110628727,0.2393304968680613,
2020-03-27,1585267200000.0,CA,06001,13.163177327743371,0.2393304968680613,
2020-03-28,1585353600000.0,CA,06001,13.163177327743371,0.2393304968680613,
2020-03-29,1585440000000.0,CA,06001,16.154808538594136,0.35899574530209194,
2020-03-30,1585526400000.0,CA,06001,16.932632653415336,0.4188283695191073,
2020-03-31,1585612800000.0,CA,06001,18.727611379925797,0.4188283695191073,
2020-04-01,1585699200000.0,CA,06001,18.727611379925797,0.4188283695191073,
2020-04-02,1585785600000.0,CA,06001,21.4799120939085,0.4786609937361226,
2020-04-03,1585872000000.0,CA,06001,26.50585252813779,0.7179914906041839,
2020-04-04,1585958400000.0,CA,06001,26.50585252813779,0.7179914906041839,
2020-04-05,1586044800000.0,CA,06001,33.86526530683067,0.7179914906041839,
2020-04-06,1586131200000.0,CA,06001,35.18158303960501,0.7778241148211992,
2020-04-07,1586217600000.0,CA,06001,37.933883753587715,0.8974893632552298,
2020-04-08,1586304000000.0,CA,06001,40.327188722268325,0.9573219874722452,
2020-04-09,1586390400000.0,CA,06001,40.327188722268325,0.9573219874722452,
2020-04-10,1586476800000.0,CA,06001,45.831790150233736,1.1966524843403064,
2020-04-11,1586563200000.0,CA,06001,48.225095118914346,1.2564851085573219,
2020-04-12,1586649600000.0,CA,06001,50.55856746337794,1.3761503569913522,
2020-04-13,1586736000000.0,CA,06001,53.131370304709606,1.3761503569913522,
2020-04-14,1586822400000.0,CA,06001,53.131370304709606,1.3761503569913522,
2020-04-15,1586908800000.0,CA,06001,57.678649745202776,2.1539744718125515,
2020-04-16,1586995200000.0,CA,06001,60.25145258653443,2.3334723444635976,
2020-04-17,1587081600000.0,CA,06001,63.602079542687285,2.3933049686806127,
2020-04-18,1587168000000.0,CA,06001,66.65354337775507,2.4531375928976282,
2020-04-19,1587254400000.0,CA,06001,69.64517458860584,2.5129702171146437,
2020-04-20,1587340800000.0,CA,06001,71.38032069089928,2.5129702171146437,
2020-04-21,1587427200000.0,CA,06001,74.25228665331602,2.572802841331659,
2020-04-22,1587513600000.0,CA,06001,74.31211927753303,2.572802841331659,
2020-04-23,1587600000000.0,CA,06001,80.89370794140471,2.7523007139827045,
2020-04-24,1587686400000.0,CA,06001,83.9451717764725,2.8719659624167355,
2020-04-25,1587772800000.0,CA,06001,86.09914624828505,3.1112964592847967,
2020-04-26,1587859200000.0,CA,06001,87.95395759901253,3.1112964592847967,
2020-04-27,1587945600000.0,CA,06001,89.74893632552299,3.1112964592847967,
2020-04-28,1588032000000.0,CA,06001,91.72341292468448,3.290794331935843,
2020-04-29,1588118400000.0,CA,06001,93.81755477228002,3.4104595803698734,
2020-04-30,1588204800000.0,CA,06001,95.91169661987557,3.589957453020919,
2020-05-01,1588291200000.0,CA,06001,97.88617321903708,3.7096227014549497,
2020-05-02,1588377600000.0,CA,06001,102.07445691422814,3.7694553256719656,
2020-05-03,1588464000000.0,CA,06001,104.6472597555598,3.7694553256719656,
2020-05-04,1588550400000.0,CA,06001,106.26274060941921,3.7694553256719656,
2020-05-05,1588636800000.0,CA,06001,108.23721720858073,3.9489531983230113,
2020-05-06,1588723200000.0,CA,06001,111.46817891629954,3.9489531983230113,
2020-05-07,1588809600000.0,CA,06001,114.69914062401836,4.008785822540026,
2020-05-08,1588896000000.0,CA,06001,117.33177608956704,4.188283695191073,
2020-05-09,1588982400000.0,CA,06001,121.041398791022,4.248116319408088,
2020-05-10,1589068800000.0,CA,06001,123.49453638391962,4.248116319408088,
2020-05-11,1589155200000.0,CA,06001,125.70834347994919,4.248116319408088,
2020-05-12,1589241600000.0,CA,06001,127.62298745489367,4.427614192059133,
2020-05-13,1589328000000.0,CA,06001,130.31545554465936,4.547279440493164,
2020-05-14,1589414400000.0,CA,06001,133.66608250081222,4.72677731314421,
2020-05-15,1589500800000.0,CA,06001,140.666499534203,4.9661078100122715,
2020-05-16,1589587200000.0,CA,06001,140.666499534203,4.9661078100122715,
2020-05-17,1589673600000.0,CA,06001,143.11963712710065,4.9661078100122715,
2020-05-18,1589760000000.0,CA,06001,147.00875770120666,4.9661078100122715,
2020-05-19,1589846400000.0,CA,06001,150.89787827531265,5.145605682663318,
2020-05-20,1589932800000.0,CA,06001,153.1715179955592,5.265270931097349,
2020-05-21,1590019200000.0,CA,06001,156.10331658219297,5.384936179531379,
2020-05-22,1590105600000.0,CA,06001,162.0267463796775,5.384936179531379,
2020-05-23,1590192000000.0,CA,06001,165.1380428389623,5.504601427965409,
2020-05-24,1590278400000.0,CA,06001,170.34348114584262,5.564434052182425,
2020-05-25,1590364800000.0,CA,06001,171.95896199970204,5.564434052182425,
2020-05-26,1590451200000.0,CA,06001,178.66021591200774,5.564434052182425,
2020-05-27,1590537600000.0,CA,06001,182.4296712376797,5.564434052182425,
2020-05-28,1590624000000.0,CA,06001,185.30163720009645,5.62426667639944,
2020-05-29,1590710400000.0,CA,06001,191.16523437336394,5.684099300616456,
2020-05-30,1590796800000.0,CA,06001,196.7895010497634,5.684099300616456,
2020-05-31,1590883200000.0,CA,06001,202.83259609568194,5.743931924833471,
2020-06-01,1590969600000.0,CA,06001,207.61920603304318,5.743931924833471,
2020-06-02,1591056000000.0,CA,06001,210.31167412280882,5.803764549050486,
2020-06-03,1591142400000.0,CA,06001,212.28615072197036,5.803764549050486,
2020-06-04,1591228800000.0,CA,06001,217.8505847741528,5.803764549050486,
2020-06-05,1591315200000.0,CA,06001,222.87652520838205,6.043095045918547,
2020-06-06,1591401600000.0,CA,06001,227.6631351457433,6.043095045918547,
