datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-03-09,1583712000000.0,CT,09001,0.0,0.0,
2020-03-10,1583798400000.0,CT,09001,0.10600721697133142,0.0,
2020-03-11,1583884800000.0,CT,09001,0.21201443394266284,0.0,
2020-03-12,1583971200000.0,CT,09001,0.4240288678853257,0.0,
2020-03-13,1584057600000.0,CT,09001,0.8480577357706514,0.0,
2020-03-14,1584144000000.0,CT,09001,1.5901082545699712,0.0,
2020-03-15,1584230400000.0,CT,09001,1.5901082545699712,0.0,
2020-03-16,1584316800000.0,CT,09001,3.0742092921686113,0.0,
2020-03-17,1584403200000.0,CT,09001,5.088346414623907,0.0,
2020-03-18,1584489600000.0,CT,09001,7.314497971021868,0.10600721697133142,
2020-03-19,1584576000000.0,CT,09001,10.812736131075804,0.3180216509139942,
2020-03-20,1584662400000.0,CT,09001,12.932880470502433,0.4240288678853257,
2020-03-21,1584748800000.0,CT,09001,12.932880470502433,0.4240288678853257,
2020-03-22,1584835200000.0,CT,09001,22.049501130036933,0.5300360848566571,
2020-03-23,1584921600000.0,CT,09001,28.62194858225948,0.6360433018279884,
2020-03-24,1585008000000.0,CT,09001,40.70677131699126,0.7420505187993198,
2020-03-25,1585094400000.0,CT,09001,57.879940466346945,1.2720866036559768,
2020-03-26,1585180800000.0,CT,09001,64.34638070159816,1.3780938206273083,
2020-03-27,1585267200000.0,CT,09001,79.71742716244123,1.5901082545699712,
2020-03-28,1585353600000.0,CT,09001,96.25455300996892,2.1201443394266284,
2020-03-29,1585440000000.0,CT,09001,131.9789851293076,2.2261515563979595,
2020-03-30,1585526400000.0,CT,09001,153.18042852357388,2.2261515563979595,
2020-03-31,1585612800000.0,CT,09001,198.23349573638976,4.028274244910594,
2020-04-01,1585699200000.0,CT,09001,210.5303329050642,4.876331980681245,
2020-04-02,1585785600000.0,CT,09001,226.00738658287855,6.890469103136542,
2020-04-03,1585872000000.0,CT,09001,287.9156012941361,7.950541272849856,
2020-04-04,1585958400000.0,CT,09001,299.3643807270399,9.116620659534501,
2020-04-05,1586044800000.0,CT,09001,323.3220117625608,10.176692829247814,
2020-04-06,1586131200000.0,CT,09001,394.24083991638156,10.706728914104472,
2020-04-07,1586217600000.0,CT,09001,438.44584939342667,13.992952640215746,
