datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-03-09,1583712000000.0,DC,11001,0.0,0.0,
2020-03-10,1583798400000.0,DC,11001,0.0,0.0,
2020-03-11,1583884800000.0,DC,11001,0.0,0.0,
2020-03-12,1583971200000.0,DC,11001,0.0,0.0,
2020-03-13,1584057600000.0,DC,11001,0.0,0.0,
2020-03-14,1584144000000.0,DC,11001,0.0,0.0,
2020-03-15,1584230400000.0,DC,11001,0.0,0.0,
2020-03-16,1584316800000.0,DC,11001,3.1172555681977583,0.0,
2020-03-17,1584403200000.0,DC,11001,3.1172555681977583,0.0,
2020-03-18,1584489600000.0,DC,11001,4.392496482460478,0.0,
2020-03-19,1584576000000.0,DC,11001,5.667737396723198,0.0,
2020-03-20,1584662400000.0,DC,11001,10.060233879183675,0.0,
2020-03-21,1584748800000.0,DC,11001,13.885956621971834,0.0,
2020-03-22,1584835200000.0,DC,11001,14.452730361644154,0.28338686983615985,
2020-03-23,1584921600000.0,DC,11001,17.00321219016959,0.28338686983615985,
2020-03-24,1585008000000.0,DC,11001,19.978774323449272,0.28338686983615985,
2020-03-25,1585094400000.0,DC,11001,26.496672329680948,0.28338686983615985,
2020-03-26,1585180800000.0,DC,11001,32.731183466076466,0.4250803047542398,
2020-03-27,1585267200000.0,DC,11001,38.39892086279966,0.4250803047542398,
2020-03-28,1585353600000.0,DC,11001,43.0748042150963,0.5667737396723197,
2020-03-29,1585440000000.0,DC,11001,48.45915474198334,0.7084671745903998,
2020-03-30,1585526400000.0,DC,11001,56.81906740215006,1.2752409142627195,
2020-03-31,1585612800000.0,DC,11001,70.13825028444957,1.2752409142627195,
2020-04-01,1585699200000.0,DC,11001,83.03235286199485,1.2752409142627195,
2020-04-02,1585785600000.0,DC,11001,92.5258130015062,1.7003212190169592,
2020-04-03,1585872000000.0,DC,11001,107.2619302329865,2.125401523771199,
2020-04-04,1585958400000.0,DC,11001,127.80747829610812,2.9755621332796784,
2020-04-05,1586044800000.0,DC,11001,141.9768217879161,3.1172555681977583,
2020-04-06,1586131200000.0,DC,11001,155.43769810513368,3.1172555681977583,
2020-04-07,1586217600000.0,DC,11001,171.5907496857948,3.1172555681977583,
2020-04-08,1586304000000.0,DC,11001,204.0385462820351,3.8257227427881584,
2020-04-09,1586390400000.0,DC,11001,215.79910138023575,4.534189917378558,
2020-04-10,1586476800000.0,DC,11001,235.21110196401267,5.3843505268870375,
2020-04-11,1586563200000.0,DC,11001,251.93092728434613,6.6595914411497565,
2020-04-12,1586649600000.0,DC,11001,265.6751904713999,7.0846717459039965,
2020-04-13,1586736000000.0,DC,11001,277.01066526484624,7.368058615740157,
2020-04-14,1586822400000.0,DC,11001,291.6050890614085,9.493460139511356,
2020-04-15,1586908800000.0,DC,11001,311.3004765150216,10.201927314101756,
2020-04-16,1586995200000.0,DC,11001,332.9795720574878,11.477168228364475,
2020-04-17,1587081600000.0,DC,11001,350.8329448571659,12.185635402954876,
2020-04-18,1587168000000.0,DC,11001,377.7546974916011,12.894102577545274,
2020-04-19,1587254400000.0,DC,11001,395.74976372619733,13.602569752135674,
2020-04-20,1587340800000.0,DC,11001,414.73668400522,14.877810666398394,
2020-04-21,1587427200000.0,DC,11001,438.96626137621166,15.869664710824953,
2020-04-22,1587513600000.0,DC,11001,454.26915234736424,17.995066234596152,
2020-04-23,1587600000000.0,DC,11001,476.2316347596667,19.69538745361311,
2020-04-24,1587686400000.0,DC,11001,499.89443839098607,21.679095542466232,
2020-04-25,1587772800000.0,DC,11001,524.1240157619777,23.379416761483192,
2020-04-26,1587859200000.0,DC,11001,544.244483520345,25.221431415418227,
2020-04-27,1587945600000.0,DC,11001,551.4708487011671,26.213285459844787,
2020-04-28,1588032000000.0,DC,11001,565.9235790628113,26.921752634435187,
2020-04-29,1588118400000.0,DC,11001,581.7932437736363,29.047154158206386,
2020-04-30,1588204800000.0,DC,11001,612.5407191508596,31.739329421649906,
2020-05-01,1588291200000.0,DC,11001,660.0080198484163,32.731183466076466,
2020-05-02,1588377600000.0,DC,11001,679.7034073020295,34.00642438033918,
2020-05-03,1588464000000.0,DC,11001,710.7342695490889,35.565052164438065,
2020-05-04,1588550400000.0,DC,11001,732.5550585264733,36.556906208864625,
2020-05-05,1588636800000.0,DC,11001,754.0924606340214,37.4070668183731,
2020-05-06,1588723200000.0,DC,11001,773.7878480876345,39.24908147230814,
2020-05-07,1588809600000.0,DC,11001,801.1346810268241,40.382628951652784,
2020-05-08,1588896000000.0,DC,11001,835.8495725817535,43.0748042150963,
2020-05-09,1588982400000.0,DC,11001,864.6133398701237,44.06665825952286,
2020-05-10,1589068800000.0,DC,11001,888.7012238061974,45.766979478539824,
2020-05-11,1589155200000.0,DC,11001,905.2793556916127,46.47544665313022,
2020-05-12,1589241600000.0,DC,11001,918.8819254437484,47.608994132474855,
2020-05-13,1589328000000.0,DC,11001,932.9095755006383,49.592702221327976,
2020-05-14,1589414400000.0,DC,11001,954.4469776081866,50.726249700672625,
2020-05-15,1589500800000.0,DC,11001,973.5755913221274,52.14318404985342,
2020-05-16,1589587200000.0,DC,11001,997.8051686931188,53.13503809427998,
2020-05-17,1589673600000.0,DC,11001,1009.2823369214835,54.26858557362462,
2020-05-18,1589760000000.0,DC,11001,1030.1112718544412,55.54382648788734,
2020-05-19,1589846400000.0,DC,11001,1053.3489951810063,56.67737396723197,
2020-05-20,1589932800000.0,DC,11001,1069.9271270664217,57.66922801165854,
2020-05-21,1590019200000.0,DC,11001,1103.5084711420066,58.377695186248935,
2020-05-22,1590105600000.0,DC,11001,1118.3862818084049,59.227855795757414,
2020-05-23,1590192000000.0,DC,11001,1128.7299025574248,60.50309671002014,
2020-05-24,1590278400000.0,DC,11001,1149.1337571856284,61.211563884610534,
2020-05-25,1590364800000.0,DC,11001,1165.4285022012075,62.345111363955176,
2020-05-26,1590451200000.0,DC,11001,1180.8730866072783,62.345111363955176,
2020-05-27,1590537600000.0,DC,11001,1191.0750139213799,63.05357853854558,
2020-05-28,1590624000000.0,DC,11001,1203.2606493243347,64.18712601789021,
2020-05-29,1590710400000.0,DC,11001,1209.7785473305664,65.17898006231678,
