datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-03-09,1583712000000.0,FL,12001,0.0,0.0,
2020-03-10,1583798400000.0,FL,12001,0.0,0.0,
2020-03-11,1583884800000.0,FL,12001,0.3716877971179328,0.0,
2020-03-12,1583971200000.0,FL,12001,0.3716877971179328,0.0,
2020-03-13,1584057600000.0,FL,12001,0.3716877971179328,0.0,
2020-03-14,1584144000000.0,FL,12001,0.3716877971179328,0.0,
2020-03-15,1584230400000.0,FL,12001,0.3716877971179328,0.0,
2020-03-16,1584316800000.0,FL,12001,0.3716877971179328,0.0,
2020-03-17,1584403200000.0,FL,12001,1.4867511884717313,0.0,
2020-03-18,1584489600000.0,FL,12001,2.60181457982553,0.0,
2020-03-19,1584576000000.0,FL,12001,4.0885657682972605,0.0,
2020-03-20,1584662400000.0,FL,12001,5.575316956768993,0.0,
2020-03-21,1584748800000.0,FL,12001,9.29219492794832,0.0,
2020-03-22,1584835200000.0,FL,12001,13.009072899127649,0.0,
2020-03-23,1584921600000.0,FL,12001,13.380760696245583,0.0,
2020-03-24,1585008000000.0,FL,12001,13.752448493363513,0.0,
2020-03-25,1585094400000.0,FL,12001,16.725950870306978,0.0,
2020-03-26,1585180800000.0,FL,12001,18.21270205877871,0.0,
2020-03-27,1585267200000.0,FL,12001,21.18620443572217,0.0,
2020-03-28,1585353600000.0,FL,12001,24.903082406901497,0.0,
2020-03-29,1585440000000.0,FL,12001,26.389833595373233,0.0,
2020-03-30,1585526400000.0,FL,12001,29.36333597231669,0.0,
2020-03-31,1585612800000.0,FL,12001,32.336838349260155,0.0,
2020-04-01,1585699200000.0,FL,12001,33.451901740613955,0.0,
2020-04-02,1585785600000.0,FL,12001,35.31034072620362,0.0,
2020-04-03,1585872000000.0,FL,12001,40.885657682972614,0.0,
2020-04-04,1585958400000.0,FL,12001,43.11578446568021,0.0,
2020-04-05,1586044800000.0,FL,12001,45.717599045505736,0.0,
2020-04-06,1586131200000.0,FL,12001,48.6911014224492,0.0,
2020-04-07,1586217600000.0,FL,12001,51.664603799392665,0.0,
2020-04-08,1586304000000.0,FL,12001,53.52304278498233,0.0,
2020-04-09,1586390400000.0,FL,12001,55.75316956768992,0.0,
2020-04-10,1586476800000.0,FL,12001,62.07186211869478,0.0,
2020-04-11,1586563200000.0,FL,12001,64.67367669852031,0.0,
2020-04-12,1586649600000.0,FL,12001,69.50561806105344,0.0,
2020-04-13,1586736000000.0,FL,12001,69.50561806105344,0.0,
2020-04-14,1586822400000.0,FL,12001,72.10743264087897,0.0,
2020-04-15,1586908800000.0,FL,12001,72.10743264087897,0.0,
2020-04-16,1586995200000.0,FL,12001,74.33755942358655,0.0,
2020-04-17,1587081600000.0,FL,12001,75.08093501782243,0.0,
2020-04-18,1587168000000.0,FL,12001,76.19599840917623,0.0,
2020-04-19,1587254400000.0,FL,12001,78.0544373947659,0.0,
2020-04-20,1587340800000.0,FL,12001,81.02793977170936,0.0,
2020-04-21,1587427200000.0,FL,12001,83.25806655441696,0.3716877971179328,
2020-04-22,1587513600000.0,FL,12001,84.37312994577074,0.3716877971179328,
2020-04-23,1587600000000.0,FL,12001,85.85988113424249,0.3716877971179328,
2020-04-24,1587686400000.0,FL,12001,90.6918224967756,0.3716877971179328,
2020-04-25,1587772800000.0,FL,12001,91.06351029389354,0.3716877971179328,
2020-04-26,1587859200000.0,FL,12001,93.29363707660114,0.7433755942358656,
2020-04-27,1587945600000.0,FL,12001,94.40870046795493,0.7433755942358656,
2020-04-28,1588032000000.0,FL,12001,94.78038826507286,0.7433755942358656,
2020-04-29,1588118400000.0,FL,12001,97.3822028448984,0.7433755942358656,
2020-04-30,1588204800000.0,FL,12001,99.24064183048807,1.858438985589664,
2020-05-01,1588291200000.0,FL,12001,101.47076861319567,1.858438985589664,
2020-05-02,1588377600000.0,FL,12001,102.21414420743152,1.858438985589664,
2020-05-03,1588464000000.0,FL,12001,106.3027099757288,1.858438985589664,
2020-05-04,1588550400000.0,FL,12001,107.41777336708259,1.858438985589664,
2020-05-05,1588636800000.0,FL,12001,107.41777336708259,1.858438985589664,
2020-05-06,1588723200000.0,FL,12001,109.64790014979019,1.858438985589664,
2020-05-07,1588809600000.0,FL,12001,111.50633913537985,1.858438985589664,
2020-05-08,1588896000000.0,FL,12001,113.73646591808745,1.858438985589664,
2020-05-09,1588982400000.0,FL,12001,114.47984151232332,1.858438985589664,
2020-05-10,1589068800000.0,FL,12001,115.96659270079505,1.858438985589664,
2020-05-11,1589155200000.0,FL,12001,118.94009507773849,1.858438985589664,
2020-05-12,1589241600000.0,FL,12001,120.42684626621023,1.858438985589664,
2020-05-13,1589328000000.0,FL,12001,121.17022186044609,1.858438985589664,
2020-05-14,1589414400000.0,FL,12001,122.2852852517999,1.858438985589664,
2020-05-15,1589500800000.0,FL,12001,122.2852852517999,2.230126782707597,
