datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-03-09,1583712000000.0,ID,16001,0.0,0.0,
2020-03-10,1583798400000.0,ID,16001,0.0,0.0,
2020-03-11,1583884800000.0,ID,16001,0.0,0.0,
2020-03-12,1583971200000.0,ID,16001,0.0,0.0,
2020-03-13,1584057600000.0,ID,16001,0.0,0.0,
2020-03-14,1584144000000.0,ID,16001,0.20764680109720568,0.0,
2020-03-15,1584230400000.0,ID,16001,0.41529360219441136,0.0,
2020-03-16,1584316800000.0,ID,16001,0.41529360219441136,0.0,
2020-03-17,1584403200000.0,ID,16001,0.622940403291617,0.0,
2020-03-18,1584489600000.0,ID,16001,0.622940403291617,0.0,
2020-03-19,1584576000000.0,ID,16001,0.622940403291617,0.0,
2020-03-20,1584662400000.0,ID,16001,1.6611744087776454,0.0,
2020-03-21,1584748800000.0,ID,16001,2.2841148120692627,0.0,
2020-03-22,1584835200000.0,ID,16001,2.2841148120692627,0.0,
2020-03-23,1584921600000.0,ID,16001,2.699408414263674,0.0,
2020-03-24,1585008000000.0,ID,16001,3.945289220846908,0.0,
2020-03-25,1585094400000.0,ID,16001,4.983523226332936,0.0,
2020-03-26,1585180800000.0,ID,16001,8.098225242791022,0.0,
2020-03-27,1585267200000.0,ID,16001,11.212927259249106,0.0,
2020-03-28,1585353600000.0,ID,16001,15.781156883387633,0.0,
2020-03-29,1585440000000.0,ID,16001,19.10350570094292,0.20764680109720568,
2020-03-30,1585526400000.0,ID,16001,23.464088523984245,0.41529360219441136,
2020-03-31,1585612800000.0,ID,16001,40.49112621395511,0.622940403291617,
2020-04-01,1585699200000.0,ID,16001,40.49112621395511,0.622940403291617,
2020-04-02,1585785600000.0,ID,16001,63.74756793684215,0.622940403291617,
2020-04-03,1585872000000.0,ID,16001,63.74756793684215,0.622940403291617,
2020-04-04,1585958400000.0,ID,16001,74.75284839499405,0.622940403291617,
2020-04-05,1586044800000.0,ID,16001,79.9440184224242,0.622940403291617,
2020-04-06,1586131200000.0,ID,16001,83.4740140410767,0.622940403291617,
2020-04-07,1586217600000.0,ID,16001,87.00400965972919,0.622940403291617,
2020-04-08,1586304000000.0,ID,16001,90.9492988805761,0.622940403291617,
2020-04-09,1586390400000.0,ID,16001,92.81812009045095,1.0382340054860284,
2020-04-10,1586476800000.0,ID,16001,102.78516654311683,1.245880806583234,
2020-04-11,1586563200000.0,ID,16001,106.52280896286652,1.245880806583234,
2020-04-12,1586649600000.0,ID,16001,107.35339616725534,1.245880806583234,
2020-04-13,1586736000000.0,ID,16001,107.35339616725534,1.245880806583234,
2020-04-14,1586822400000.0,ID,16001,111.71397899029667,1.8688212098748511,
2020-04-15,1586908800000.0,ID,16001,111.71397899029667,1.8688212098748511,
2020-04-16,1586995200000.0,ID,16001,117.73573622211562,1.8688212098748511,
2020-04-17,1587081600000.0,ID,16001,119.60455743199047,1.8688212098748511,
2020-04-18,1587168000000.0,ID,16001,123.13455305064298,1.8688212098748511,
2020-04-19,1587254400000.0,ID,16001,124.17278705612901,2.076468010972057,
2020-04-20,1587340800000.0,ID,16001,124.17278705612901,2.076468010972057,
2020-04-21,1587427200000.0,ID,16001,127.91042947587871,2.491761613166468,
2020-04-22,1587513600000.0,ID,16001,129.15631028246193,2.491761613166468,
2020-04-23,1587600000000.0,ID,16001,131.85571869672563,2.9070552153608795,
2020-04-24,1587686400000.0,ID,16001,133.30924630440606,2.9070552153608795,
2020-04-25,1587772800000.0,ID,16001,134.9704207131837,3.1147020164580854,
