datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate,label
2020-03-09,1583712000000.0,MA,25001,0.0,0.0,
2020-03-10,1583798400000.0,MA,25001,0.0,0.0,
2020-03-11,1583884800000.0,MA,25001,0.0,0.0,
2020-03-12,1583971200000.0,MA,25001,0.4695056105920466,0.0,
2020-03-13,1584057600000.0,MA,25001,0.9390112211840932,0.0,
2020-03-14,1584144000000.0,MA,25001,1.8780224423681864,0.0,
2020-03-15,1584230400000.0,MA,25001,2.8170336635522797,0.0,
2020-03-16,1584316800000.0,MA,25001,5.164561716512512,0.0,
2020-03-17,1584403200000.0,MA,25001,8.920606601248885,0.0,
2020-03-18,1584489600000.0,MA,25001,15.963190760129583,0.0,
2020-03-19,1584576000000.0,MA,25001,23.005774919010282,0.0,
2020-03-20,1584662400000.0,MA,25001,30.51786468848303,0.0,
2020-03-21,1584748800000.0,MA,25001,35.68242640499554,0.0,
2020-03-22,1584835200000.0,MA,25001,39.43847128973191,0.0,
2020-03-23,1584921600000.0,MA,25001,52.11512277571717,0.0,
2020-03-24,1585008000000.0,MA,25001,69.01732475703083,0.0,
2020-03-25,1585094400000.0,MA,25001,82.16348185360815,0.4695056105920466,
2020-03-26,1585180800000.0,MA,25001,99.53518944551386,0.4695056105920466,
2020-03-27,1585267200000.0,MA,25001,120.19343631156393,0.9390112211840932,
2020-03-28,1585353600000.0,MA,25001,130.0530541339969,0.9390112211840932,
2020-03-29,1585440000000.0,MA,25001,134.74811023991737,0.9390112211840932,
2020-03-30,1585526400000.0,MA,25001,149.77228977886284,0.9390112211840932,
2020-03-31,1585612800000.0,MA,25001,162.91844687544017,0.9390112211840932,
2020-04-01,1585699200000.0,MA,25001,177.47312080379362,1.4085168317761398,
2020-04-02,1585785600000.0,MA,25001,192.02779473214707,1.4085168317761398,
2020-04-03,1585872000000.0,MA,25001,195.78383961688343,2.8170336635522797,
2020-04-04,1585958400000.0,MA,25001,202.82642377576414,2.8170336635522797,
2020-04-05,1586044800000.0,MA,25001,204.70444621813232,2.8170336635522797,
2020-04-06,1586131200000.0,MA,25001,212.21653598760506,3.2865392741443262,
2020-04-07,1586217600000.0,MA,25001,224.42368186299825,4.695056105920466,
2020-04-08,1586304000000.0,MA,25001,232.8747828536551,5.164561716512512,
2020-04-09,1586390400000.0,MA,25001,239.44786140194375,5.164561716512512,
2020-04-10,1586476800000.0,MA,25001,253.06352410911308,5.164561716512512,
2020-04-11,1586563200000.0,MA,25001,257.2890746044415,7.0425841588806986,
2020-04-12,1586649600000.0,MA,25001,262.45363632095405,7.5120897694727455,
2020-04-13,1586736000000.0,MA,25001,267.1486924268745,7.5120897694727455,
2020-04-14,1586822400000.0,MA,25001,278.88633269167565,7.5120897694727455,
2020-04-15,1586908800000.0,MA,25001,292.9715010094371,8.451100990656839,
2020-04-16,1586995200000.0,MA,25001,301.89210761068597,8.451100990656839,
2020-04-17,1587081600000.0,MA,25001,330.5319498568008,8.451100990656839,
2020-04-18,1587168000000.0,MA,25001,333.34898352035304,9.390112211840933,
2020-04-19,1587254400000.0,MA,25001,335.22700596272125,9.859617822432977,
2020-04-20,1587340800000.0,MA,25001,342.73909573219396,9.859617822432977,
2020-04-21,1587427200000.0,MA,25001,350.2511855016667,10.329123433025025,
2020-04-22,1587513600000.0,MA,25001,362.45833137705995,10.329123433025025,
2020-04-23,1587600000000.0,MA,25001,379.36053335837363,10.329123433025025,
2020-04-24,1587686400000.0,MA,25001,383.11657824311,10.329123433025025,
2020-04-25,1587772800000.0,MA,25001,395.79322972909523,17.371707591905725,
2020-04-26,1587859200000.0,MA,25001,397.67125217146344,17.371707591905725,
2020-04-27,1587945600000.0,MA,25001,403.30531949856805,18.310718813089817,
2020-04-28,1588032000000.0,MA,25001,410.3479036574487,18.310718813089817,
2020-04-29,1588118400000.0,MA,25001,439.45725151415553,18.780224423681865,
2020-04-30,1588204800000.0,MA,25001,446.4998356730363,20.188741255458,
2020-05-01,1588291200000.0,MA,25001,458.2374759378375,21.127752476642097,
2020-05-02,1588377600000.0,MA,25001,465.7495657073102,21.59725808723414,
2020-05-03,1588464000000.0,MA,25001,468.0970937602704,22.066763697826186,
2020-05-04,1588550400000.0,MA,25001,476.5481947509273,22.066763697826186,
2020-05-05,1588636800000.0,MA,25001,484.9992957415841,22.536269308418238,
2020-05-06,1588723200000.0,MA,25001,492.98089112164894,25.822808582562562,
2020-05-07,1588809600000.0,MA,25001,501.9014977228978,26.761819803746654,
2020-05-08,1588896000000.0,MA,25001,509.8830931029626,28.639842246114842,
2020-05-09,1588982400000.0,MA,25001,513.1696323771068,30.987370299075074,
2020-05-10,1589068800000.0,MA,25001,515.9866660406592,31.926381520259167,
2020-05-11,1589155200000.0,MA,25001,525.3767782525001,34.2739095732194,
2020-05-12,1589241600000.0,MA,25001,533.8278792431569,34.2739095732194,
2020-05-13,1589328000000.0,MA,25001,541.3399690126297,37.09094323677168,
2020-05-14,1589414400000.0,MA,25001,545.5655195079581,38.49946006854782,
2020-05-15,1589500800000.0,MA,25001,550.2605756138786,40.377482510916,
2020-05-16,1589587200000.0,MA,25001,551.1995868350627,42.255504953284195,
