STATEFP,STUSPS,COUNTYFP,COUNTYGEOID,COUNTY,REGION,DIVISION,POPESTIMATE2019
28,MS,089,28089,Madison,South,East South Central,106272
28,MS,013,28013,Calhoun,South,East South Central,14361
28,MS,091,28091,Marion,South,East South Central,24573
28,MS,141,28141,Tishomingo,South,East South Central,19383
28,MS,093,28093,Marshall,South,East South Central,35294
28,MS,079,28079,Leake,South,East South Central,22786
28,MS,151,28151,Washington,South,East South Central,43909
28,MS,077,28077,Lawrence,South,East South Central,12586
28,MS,017,28017,Chickasaw,South,East South Central,17103
28,MS,015,28015,Carroll,South,East South Central,9947
28,MS,153,28153,Wayne,South,East South Central,20183
28,MS,161,28161,Yalobusha,South,East South Central,12108
28,MS,119,28119,Quitman,South,East South Central,6792
28,MS,109,28109,Pearl River,South,East South Central,55535
28,MS,121,28121,Rankin,South,East South Central,155271
28,MS,111,28111,Perry,South,East South Central,11973
28,MS,103,28103,Noxubee,South,East South Central,10417
28,MS,099,28099,Neshoba,South,East South Central,29118
28,MS,107,28107,Panola,South,East South Central,34192
28,MS,137,28137,Tate,South,East South Central,28321
28,MS,101,28101,Newton,South,East South Central,21018
28,MS,145,28145,Union,South,East South Central,28815
28,MS,117,28117,Prentiss,South,East South Central,25126
28,MS,125,28125,Sharkey,South,East South Central,4321
28,MS,139,28139,Tippah,South,East South Central,22015
28,MS,019,28019,Choctaw,South,East South Central,8210
28,MS,045,28045,Hancock,South,East South Central,47632
28,MS,039,28039,George,South,East South Central,24500
28,MS,041,28041,Greene,South,East South Central,13586
28,MS,043,28043,Grenada,South,East South Central,20758
28,MS,049,28049,Hinds,South,East South Central,231840
28,MS,029,28029,Copiah,South,East South Central,28065
28,MS,035,28035,Forrest,South,East South Central,74897
28,MS,063,28063,Jefferson,South,East South Central,6990
28,MS,057,28057,Itawamba,South,East South Central,23390
28,MS,071,28071,Lafayette,South,East South Central,54019
28,MS,055,28055,Issaquena,South,East South Central,1327
28,MS,059,28059,Jackson,South,East South Central,143617
28,MS,087,28087,Lowndes,South,East South Central,58595
28,MS,083,28083,Leflore,South,East South Central,28183
28,MS,143,28143,Tunica,South,East South Central,9632
28,MS,157,28157,Wilkinson,South,East South Central,8630
28,MS,021,28021,Claiborne,South,East South Central,8988
28,MS,047,28047,Harrison,South,East South Central,208080
28,MS,065,28065,Jefferson Davis,South,East South Central,11128
28,MS,075,28075,Lauderdale,South,East South Central,74125
28,MS,085,28085,Lincoln,South,East South Central,34153
28,MS,123,28123,Scott,South,East South Central,28124
28,MS,127,28127,Simpson,South,East South Central,26658
28,MS,159,28159,Winston,South,East South Central,17955
28,MS,163,28163,Yazoo,South,East South Central,29690
28,MS,007,28007,Attala,South,East South Central,18174
28,MS,011,28011,Bolivar,South,East South Central,30628
