STATEFP,STUSPS,STATE,COUNTYFP,COUNTYGEOID,COUNTY,ALAND,REGIONFP,DIVISIONFP,REGION,DIVISION,POPESTIMATE2019
28,MS,Mississippi,089,28089,Madison,1850581711,3.0,6.0,South,East South Central,106272
28,MS,Mississippi,013,28013,Calhoun,1519218196,3.0,6.0,South,East South Central,14361
28,MS,Mississippi,091,28091,Marion,1404769594,3.0,6.0,South,East South Central,24573
28,MS,Mississippi,141,28141,Tishomingo,1098938845,3.0,6.0,South,East South Central,19383
28,MS,Mississippi,093,28093,Marshall,1829011194,3.0,6.0,South,East South Central,35294
28,MS,Mississippi,079,28079,Leake,1509697183,3.0,6.0,South,East South Central,22786
28,MS,Mississippi,151,28151,Washington,1877059426,3.0,6.0,South,East South Central,43909
28,MS,Mississippi,077,28077,Lawrence,1115449622,3.0,6.0,South,East South Central,12586
28,MS,Mississippi,017,28017,Chickasaw,1299609262,3.0,6.0,South,East South Central,17103
28,MS,Mississippi,015,28015,Carroll,1627263554,3.0,6.0,South,East South Central,9947
28,MS,Mississippi,153,28153,Wayne,2099745573,3.0,6.0,South,East South Central,20183
28,MS,Mississippi,161,28161,Yalobusha,1209914664,3.0,6.0,South,East South Central,12108
28,MS,Mississippi,119,28119,Quitman,1048975541,3.0,6.0,South,East South Central,6792
28,MS,Mississippi,109,28109,Pearl River,2101301898,3.0,6.0,South,East South Central,55535
28,MS,Mississippi,121,28121,Rankin,2008615552,3.0,6.0,South,East South Central,155271
28,MS,Mississippi,111,28111,Perry,1676259644,3.0,6.0,South,East South Central,11973
28,MS,Mississippi,103,28103,Noxubee,1800451918,3.0,6.0,South,East South Central,10417
28,MS,Mississippi,099,28099,Neshoba,1476641122,3.0,6.0,South,East South Central,29118
28,MS,Mississippi,107,28107,Panola,1774595247,3.0,6.0,South,East South Central,34192
28,MS,Mississippi,137,28137,Tate,1048332506,3.0,6.0,South,East South Central,28321
28,MS,Mississippi,101,28101,Newton,1496636749,3.0,6.0,South,East South Central,21018
28,MS,Mississippi,145,28145,Union,1076417882,3.0,6.0,South,East South Central,28815
28,MS,Mississippi,117,28117,Prentiss,1074807464,3.0,6.0,South,East South Central,25126
28,MS,Mississippi,125,28125,Sharkey,1118149687,3.0,6.0,South,East South Central,4321
28,MS,Mississippi,139,28139,Tippah,1185754605,3.0,6.0,South,East South Central,22015
28,MS,Mississippi,019,28019,Choctaw,1083122609,3.0,6.0,South,East South Central,8210
28,MS,Mississippi,045,28045,Hancock,1227560680,3.0,6.0,South,East South Central,47632
28,MS,Mississippi,039,28039,George,1239817242,3.0,6.0,South,East South Central,24500
28,MS,Mississippi,041,28041,Greene,1845978522,3.0,6.0,South,East South Central,13586
28,MS,Mississippi,043,28043,Grenada,1093291084,3.0,6.0,South,East South Central,20758
28,MS,Mississippi,049,28049,Hinds,2252697076,3.0,6.0,South,East South Central,231840
28,MS,Mississippi,029,28029,Copiah,2013158779,3.0,6.0,South,East South Central,28065
28,MS,Mississippi,035,28035,Forrest,1207042884,3.0,6.0,South,East South Central,74897
28,MS,Mississippi,063,28063,Jefferson,1346620559,3.0,6.0,South,East South Central,6990
28,MS,Mississippi,057,28057,Itawamba,1379933023,3.0,6.0,South,East South Central,23390
28,MS,Mississippi,071,28071,Lafayette,1636080577,3.0,6.0,South,East South Central,54019
28,MS,Mississippi,055,28055,Issaquena,1069782903,3.0,6.0,South,East South Central,1327
28,MS,Mississippi,059,28059,Jackson,1872035474,3.0,6.0,South,East South Central,143617
28,MS,Mississippi,087,28087,Lowndes,1309092512,3.0,6.0,South,East South Central,58595
28,MS,Mississippi,083,28083,Leflore,1538645695,3.0,6.0,South,East South Central,28183
28,MS,Mississippi,143,28143,Tunica,1177611242,3.0,6.0,South,East South Central,9632
28,MS,Mississippi,157,28157,Wilkinson,1756287147,3.0,6.0,South,East South Central,8630
28,MS,Mississippi,021,28021,Claiborne,1262400019,3.0,6.0,South,East South Central,8988
28,MS,Mississippi,047,28047,Harrison,1485725579,3.0,6.0,South,East South Central,208080
28,MS,Mississippi,065,28065,Jefferson Davis,1057871312,3.0,6.0,South,East South Central,11128
28,MS,Mississippi,075,28075,Lauderdale,1822458570,3.0,6.0,South,East South Central,74125
28,MS,Mississippi,085,28085,Lincoln,1518074192,3.0,6.0,South,East South Central,34153
28,MS,Mississippi,123,28123,Scott,1577902071,3.0,6.0,South,East South Central,28124
28,MS,Mississippi,127,28127,Simpson,1525930825,3.0,6.0,South,East South Central,26658
28,MS,Mississippi,159,28159,Winston,1572773190,3.0,6.0,South,East South Central,17955
28,MS,Mississippi,163,28163,Yazoo,2388847492,3.0,6.0,South,East South Central,29690
28,MS,Mississippi,007,28007,Attala,1903529294,3.0,6.0,South,East South Central,18174
28,MS,Mississippi,011,28011,Bolivar,2270541560,3.0,6.0,South,East South Central,30628
28,MS,Mississippi,073,28073,Lamar,1286381287,3.0,6.0,South,East South Central,63343
28,MS,Mississippi,081,28081,Lee,1165367704,3.0,6.0,South,East South Central,85436
28,MS,Mississippi,113,28113,Pike,1059350500,3.0,6.0,South,East South Central,39288
28,MS,Mississippi,135,28135,Tallahatchie,1671109435,3.0,6.0,South,East South Central,13809
28,MS,Mississippi,129,28129,Smith,1647926083,3.0,6.0,South,East South Central,15916
28,MS,Mississippi,131,28131,Stone,1153800123,3.0,6.0,South,East South Central,18336
28,MS,Mississippi,149,28149,Warren,1524252126,3.0,6.0,South,East South Central,45381
28,MS,Mississippi,023,28023,Clarke,1791177225,3.0,6.0,South,East South Central,15541
28,MS,Mississippi,069,28069,Kemper,1984403109,3.0,6.0,South,East South Central,9742
28,MS,Mississippi,097,28097,Montgomery,1054074714,3.0,6.0,South,East South Central,9775
28,MS,Mississippi,105,28105,Oktibbeha,1186831624,3.0,6.0,South,East South Central,49587
28,MS,Mississippi,133,28133,Sunflower,1807187010,3.0,6.0,South,East South Central,25110
28,MS,Mississippi,155,28155,Webster,1090210766,3.0,6.0,South,East South Central,9689
28,MS,Mississippi,003,28003,Alcorn,1036110423,3.0,6.0,South,East South Central,36953
28,MS,Mississippi,001,28001,Adams,1197464274,3.0,6.0,South,East South Central,30693
28,MS,Mississippi,025,28025,Clay,1062066008,3.0,6.0,South,East South Central,19316
28,MS,Mississippi,033,28033,DeSoto,1233660370,3.0,6.0,South,East South Central,184945
28,MS,Mississippi,031,28031,Covington,1071784943,3.0,6.0,South,East South Central,18636
28,MS,Mississippi,053,28053,Humphreys,1083947282,3.0,6.0,South,East South Central,8064
28,MS,Mississippi,009,28009,Benton,1053131406,3.0,6.0,South,East South Central,8259
28,MS,Mississippi,037,28037,Franklin,1460658783,3.0,6.0,South,East South Central,7713
28,MS,Mississippi,027,28027,Coahoma,1430939219,3.0,6.0,South,East South Central,22124
28,MS,Mississippi,061,28061,Jasper,1751451435,3.0,6.0,South,East South Central,16383
28,MS,Mississippi,067,28067,Jones,1799554021,3.0,6.0,South,East South Central,68098
28,MS,Mississippi,147,28147,Walthall,1046169273,3.0,6.0,South,East South Central,14286
28,MS,Mississippi,095,28095,Monroe,1981570180,3.0,6.0,South,East South Central,35252
28,MS,Mississippi,115,28115,Pontotoc,1289201714,3.0,6.0,South,East South Central,32174
