STATEFP,STUSPS,REGION,DIVISION,POPESTIMATE2019
01,AL,South,East South Central,4903185
02,AK,West,Pacific,731545
04,AZ,West,Mountain,7278717
05,AR,South,West South Central,3017804
06,CA,West,Pacific,39512223
08,CO,West,Mountain,5758736
09,CT,Northeast,New England,3565287
10,DE,South,South Atlantic,973764
11,DC,South,South Atlantic,705749
12,FL,South,South Atlantic,21477737
13,GA,South,South Atlantic,10617423
15,HI,West,Pacific,1415872
16,ID,West,Mountain,1787065
17,IL,Midwest,East North Central,12671821
18,IN,Midwest,East North Central,6732219
19,IA,Midwest,West North Central,3155070
20,KS,Midwest,West North Central,2913314
21,KY,South,East South Central,4467673
22,LA,South,West South Central,4648794
23,ME,Northeast,New England,1344212
24,MD,South,South Atlantic,6045680
25,MA,Northeast,New England,6892503
26,MI,Midwest,East North Central,9986857
27,MN,Midwest,West North Central,5639632
28,MS,South,East South Central,2976149
29,MO,Midwest,West North Central,6137428
30,MT,West,Mountain,1068778
31,NE,Midwest,West North Central,1934408
32,NV,West,Mountain,3080156
33,NH,Northeast,New England,1359711
34,NJ,Northeast,Middle Atlantic,8882190
35,NM,West,Mountain,2096829
36,NY,Northeast,Middle Atlantic,19453561
37,NC,South,South Atlantic,10488084
38,ND,Midwest,West North Central,762062
39,OH,Midwest,East North Central,11689100
40,OK,South,West South Central,3956971
41,OR,West,Pacific,4217737
42,PA,Northeast,Middle Atlantic,12801989
44,RI,Northeast,New England,1059361
45,SC,South,South Atlantic,5148714
46,SD,Midwest,West North Central,884659
47,TN,South,East South Central,6829174
48,TX,South,West South Central,28995881
49,UT,West,Mountain,3205958
50,VT,Northeast,New England,623989
51,VA,South,South Atlantic,8535519
53,WA,West,Pacific,7614893
54,WV,South,South Atlantic,1792147
55,WI,Midwest,East North Central,5822434
56,WY,West,Mountain,578759
72,PR,Territories,Territories,3193694
