STUSPS,COUNTYGEOID,Population,riskType,risk
AL,01001,54571,Total Kidney (hazard quotient),0.005947674019279
AL,01003,182265,Total Kidney (hazard quotient),0.002869877411785
AL,01005,27457,Total Kidney (hazard quotient),0.002833090885847
AL,01007,22915,Total Kidney (hazard quotient),0.003757068696893
AL,01009,57322,Total Kidney (hazard quotient),0.004125589306687
AL,01011,10914,Total Kidney (hazard quotient),0.002456729849822
AL,01013,20947,Total Kidney (hazard quotient),0.003045291048127
AL,01015,118572,Total Kidney (hazard quotient),0.006020984066722
AL,01017,34215,Total Kidney (hazard quotient),0.00383148302537
AL,01019,25989,Total Kidney (hazard quotient),0.003769138727725
AL,01021,43643,Total Kidney (hazard quotient),0.004042250214008
AL,01023,13859,Total Kidney (hazard quotient),0.002204421758059
AL,01025,25833,Total Kidney (hazard quotient),0.002763101859657
AL,01027,13932,Total Kidney (hazard quotient),0.003222545781426
AL,01029,14972,Total Kidney (hazard quotient),0.00299978242687
AL,01031,49946,Total Kidney (hazard quotient),0.003551407925571
AL,01033,54428,Total Kidney (hazard quotient),0.005808896849851
AL,01035,13228,Total Kidney (hazard quotient),0.00206930831565
AL,01037,11539,Total Kidney (hazard quotient),0.003126318926664
AL,01039,37765,Total Kidney (hazard quotient),0.002424630203114
AL,01041,13906,Total Kidney (hazard quotient),0.002923197301376
AL,01043,80404,Total Kidney (hazard quotient),0.005548907617737
AL,01045,50251,Total Kidney (hazard quotient),0.005278477520592
AL,01047,43820,Total Kidney (hazard quotient),0.003968639181629
AL,01049,71109,Total Kidney (hazard quotient),0.004237410866271
AL,01051,79299,Total Kidney (hazard quotient),0.004488249105746
AL,01053,38319,Total Kidney (hazard quotient),0.002892965268833
AL,01055,104430,Total Kidney (hazard quotient),0.00541385513181
AL,01057,17241,Total Kidney (hazard quotient),0.003450661648164
AL,01059,31704,Total Kidney (hazard quotient),0.003741473971534
AL,01061,26790,Total Kidney (hazard quotient),0.002336402011134
AL,01063,9045,Total Kidney (hazard quotient),0.00292809800014
AL,01065,15760,Total Kidney (hazard quotient),0.003168053654658
AL,01067,17302,Total Kidney (hazard quotient),0.002628258523174
AL,01069,101547,Total Kidney (hazard quotient),0.004198400001711
AL,01071,53227,Total Kidney (hazard quotient),0.003958936122678
AL,01073,658431,Total Kidney (hazard quotient),0.013217520751599
AL,01075,14564,Total Kidney (hazard quotient),0.002943085753856
AL,01077,92709,Total Kidney (hazard quotient),0.005239270975338
AL,01079,34339,Total Kidney (hazard quotient),0.003588314104856
AL,01081,140247,Total Kidney (hazard quotient),0.005971012798769
AL,01083,82782,Total Kidney (hazard quotient),0.006294575409364
AL,01085,11299,Total Kidney (hazard quotient),0.002777456199344
AL,01087,21452,Total Kidney (hazard quotient),0.003427405297309
AL,01089,334811,Total Kidney (hazard quotient),0.014643163615736
AL,01091,21027,Total Kidney (hazard quotient),0.002582770871191
AL,01093,30776,Total Kidney (hazard quotient),0.003474400887059
AL,01095,93019,Total Kidney (hazard quotient),0.005171910623609
AL,01097,412992,Total Kidney (hazard quotient),0.008047679004902
AL,01099,23068,Total Kidney (hazard quotient),0.00237759925459
AL,01101,229363,Total Kidney (hazard quotient),0.010588357125701
AL,01103,119490,Total Kidney (hazard quotient),0.007169307908331
AL,01105,10591,Total Kidney (hazard quotient),0.002772813604277
AL,01107,19746,Total Kidney (hazard quotient),0.00277624223205
AL,01109,32899,Total Kidney (hazard quotient),0.004761172158457
AL,01111,22913,Total Kidney (hazard quotient),0.002631695828593
AL,01113,52947,Total Kidney (hazard quotient),0.006094828976211
AL,01115,83593,Total Kidney (hazard quotient),0.004945090200161
AL,01117,195085,Total Kidney (hazard quotient),0.007566058376327
AL,01119,13763,Total Kidney (hazard quotient),0.003837954204287
AL,01121,82291,Total Kidney (hazard quotient),0.004960300602334
AL,01123,41616,Total Kidney (hazard quotient),0.003476160261628
AL,01125,194656,Total Kidney (hazard quotient),0.013669151976435
AL,01127,67023,Total Kidney (hazard quotient),0.004415896964117
AL,01129,17581,Total Kidney (hazard quotient),0.003169452083513
AL,01131,11667,Total Kidney (hazard quotient),0.002857287610071
AL,01133,24484,Total Kidney (hazard quotient),0.003573351070737
AK,02013,3141,Total Kidney (hazard quotient),0.00015321421167
AK,02016,5561,Total Kidney (hazard quotient),0.000315663183917
AK,02020,291826,Total Kidney (hazard quotient),0.008244881284137
AK,02050,17013,Total Kidney (hazard quotient),0.000134664515445
AK,02060,997,Total Kidney (hazard quotient),1.2289687327e-05
AK,02068,1826,Total Kidney (hazard quotient),1.0447357105e-05
AK,02070,4847,Total Kidney (hazard quotient),0.000164653801731
AK,02090,97567,Total Kidney (hazard quotient),0.008097565692291
AK,02100,2508,Total Kidney (hazard quotient),2.3850877364e-05
AK,02105,2150,Total Kidney (hazard quotient),0.000220871216887
AK,02110,31275,Total Kidney (hazard quotient),0.000952284234186
AK,02122,55397,Total Kidney (hazard quotient),0.000336670077212
AK,02130,13477,Total Kidney (hazard quotient),0.001346622609798
AK,02150,13590,Total Kidney (hazard quotient),0.000563576182019
AK,02164,1630,Total Kidney (hazard quotient),8.879887919e-06
AK,02170,88995,Total Kidney (hazard quotient),0.001367634968266
AK,02180,9492,Total Kidney (hazard quotient),0.000675534472504
AK,02185,9430,Total Kidney (hazard quotient),0.000259897535065
AK,02188,7523,Total Kidney (hazard quotient),0.013068263634209
AK,02195,3815,Total Kidney (hazard quotient),0.000106235786441
AK,02198,5559,Total Kidney (hazard quotient),3.2982687183e-05
AK,02220,8881,Total Kidney (hazard quotient),0.000324479521263
AK,02230,968,Total Kidney (hazard quotient),0.000198271314181
AK,02240,7029,Total Kidney (hazard quotient),5.3719729067e-05
AK,02261,9636,Total Kidney (hazard quotient),0.000276587191882
AK,02158,7459,Total Kidney (hazard quotient),0.00024580808217
AK,02275,2369,Total Kidney (hazard quotient),6.3476256571e-05
AK,02282,662,Total Kidney (hazard quotient),2.926732838e-06
AK,02290,5588,Total Kidney (hazard quotient),0.000285461921754
AZ,04001,71518,Total Kidney (hazard quotient),0.00024181557339
AZ,04003,131346,Total Kidney (hazard quotient),0.000817308207036
AZ,04005,134421,Total Kidney (hazard quotient),0.002488689095613
AZ,04007,53596,Total Kidney (hazard quotient),0.004480235103894
AZ,04009,37220,Total Kidney (hazard quotient),0.001114957144728
AZ,04011,8437,Total Kidney (hazard quotient),0.001391744714142
AZ,04012,20489,Total Kidney (hazard quotient),0.000641279557995
AZ,04013,3817117,Total Kidney (hazard quotient),0.002870257100316
AZ,04015,200186,Total Kidney (hazard quotient),0.001480501738718
AZ,04017,107449,Total Kidney (hazard quotient),0.000569739745311
AZ,04019,980258,Total Kidney (hazard quotient),0.013355959649982
AZ,04021,375770,Total Kidney (hazard quotient),0.002009291444362
AZ,04023,47420,Total Kidney (hazard quotient),0.001567978387902
AZ,04025,211033,Total Kidney (hazard quotient),0.001504444189389
AZ,04027,195751,Total Kidney (hazard quotient),0.002530594668028
AR,05001,19019,Total Kidney (hazard quotient),0.004104636892044
AR,05003,21853,Total Kidney (hazard quotient),0.002785491644965
AR,05005,41513,Total Kidney (hazard quotient),0.003243077847754
AR,05007,221339,Total Kidney (hazard quotient),0.006317472555401
AR,05009,36903,Total Kidney (hazard quotient),0.002355415416608
AR,05011,11508,Total Kidney (hazard quotient),0.001774141618266
AR,05013,5368,Total Kidney (hazard quotient),0.0022930001525
AR,05015,27446,Total Kidney (hazard quotient),0.001855343347359
AR,05017,11800,Total Kidney (hazard quotient),0.001732384113092
AR,05019,22995,Total Kidney (hazard quotient),0.004157775023451
AR,05021,16083,Total Kidney (hazard quotient),0.002657496171683
AR,05023,25970,Total Kidney (hazard quotient),0.002756663930021
AR,05025,8689,Total Kidney (hazard quotient),0.001948660921141
AR,05027,24552,Total Kidney (hazard quotient),0.00314246727801
AR,05029,21273,Total Kidney (hazard quotient),0.003150066132966
AR,05031,96443,Total Kidney (hazard quotient),0.005699800651143
AR,05033,61948,Total Kidney (hazard quotient),0.005324661548543
AR,05035,50902,Total Kidney (hazard quotient),0.005828703382135
AR,05037,17870,Total Kidney (hazard quotient),0.009317937261021
AR,05039,8116,Total Kidney (hazard quotient),0.002153296431793
AR,05041,13008,Total Kidney (hazard quotient),0.002163301944236
AR,05043,18509,Total Kidney (hazard quotient),0.002151325844159
AR,05045,113237,Total Kidney (hazard quotient),0.005209317424289
AR,05047,18125,Total Kidney (hazard quotient),0.00214757368176
AR,05049,12245,Total Kidney (hazard quotient),0.001865041580609
AR,05051,96024,Total Kidney (hazard quotient),0.003756493117771
AR,05053,17853,Total Kidney (hazard quotient),0.00302370137052
AR,05055,42090,Total Kidney (hazard quotient),0.007879893474768
AR,05057,22609,Total Kidney (hazard quotient),0.002851614089535
AR,05059,32923,Total Kidney (hazard quotient),0.003494495742091
AR,05061,13781,Total Kidney (hazard quotient),0.004065523051353
AR,05063,36647,Total Kidney (hazard quotient),0.00286747664383
AR,05065,13696,Total Kidney (hazard quotient),0.001652238286323
AR,05067,17997,Total Kidney (hazard quotient),0.002865288461992
AR,05069,77435,Total Kidney (hazard quotient),0.00394089045435
AR,05071,25540,Total Kidney (hazard quotient),0.002610526807678
AR,05073,7645,Total Kidney (hazard quotient),0.00194327873138
AR,05075,17415,Total Kidney (hazard quotient),0.002373203426804
AR,05077,10424,Total Kidney (hazard quotient),0.002075915865109
AR,05079,14134,Total Kidney (hazard quotient),0.001860915008836
