STUSPS,COUNTYGEOID,Population,riskType,risk
AL,01001,54571,Total Neurological (hazard quotient),0.038197762441627
AL,01003,182265,Total Neurological (hazard quotient),0.027525055283436
AL,01005,27457,Total Neurological (hazard quotient),0.025123352521756
AL,01007,22915,Total Neurological (hazard quotient),0.024480255540369
AL,01009,57322,Total Neurological (hazard quotient),0.030271882383803
AL,01011,10914,Total Neurological (hazard quotient),0.023929498479572
AL,01013,20947,Total Neurological (hazard quotient),0.023997662650046
AL,01015,118572,Total Neurological (hazard quotient),0.034395293770501
AL,01017,34215,Total Neurological (hazard quotient),0.027595369748685
AL,01019,25989,Total Neurological (hazard quotient),0.029446958662721
AL,01021,43643,Total Neurological (hazard quotient),0.028892049528909
AL,01023,13859,Total Neurological (hazard quotient),0.021098033190607
AL,01025,25833,Total Neurological (hazard quotient),0.02986280178928
AL,01027,13932,Total Neurological (hazard quotient),0.024269157773181
AL,01029,14972,Total Neurological (hazard quotient),0.023247080348139
AL,01031,49946,Total Neurological (hazard quotient),0.029749744264349
AL,01033,54428,Total Neurological (hazard quotient),0.034598037657782
AL,01035,13228,Total Neurological (hazard quotient),0.021073614944067
AL,01037,11539,Total Neurological (hazard quotient),0.023232055837044
AL,01039,37765,Total Neurological (hazard quotient),0.022824759530317
AL,01041,13906,Total Neurological (hazard quotient),0.022829329397901
AL,01043,80404,Total Neurological (hazard quotient),0.037273938238558
AL,01045,50251,Total Neurological (hazard quotient),0.030358823176609
AL,01047,43820,Total Neurological (hazard quotient),0.027719993157569
AL,01049,71109,Total Neurological (hazard quotient),0.029175060591833
AL,01051,79299,Total Neurological (hazard quotient),0.032123211774576
AL,01053,38319,Total Neurological (hazard quotient),0.027182418139028
AL,01055,104430,Total Neurological (hazard quotient),0.036607011917146
AL,01057,17241,Total Neurological (hazard quotient),0.026587235346521
AL,01059,31704,Total Neurological (hazard quotient),0.057998793107925
AL,01061,26790,Total Neurological (hazard quotient),0.024812699946792
AL,01063,9045,Total Neurological (hazard quotient),0.023297245036071
AL,01065,15760,Total Neurological (hazard quotient),0.023983679856217
AL,01067,17302,Total Neurological (hazard quotient),0.024289616159682
AL,01069,101547,Total Neurological (hazard quotient),0.030564416724551
AL,01071,53227,Total Neurological (hazard quotient),0.028235577290352
AL,01073,658431,Total Neurological (hazard quotient),0.044057250078603
AL,01075,14564,Total Neurological (hazard quotient),0.023514632399231
AL,01077,92709,Total Neurological (hazard quotient),0.034657806531258
AL,01079,34339,Total Neurological (hazard quotient),0.027652748782671
AL,01081,140247,Total Neurological (hazard quotient),0.033084368367966
AL,01083,82782,Total Neurological (hazard quotient),0.034223444453874
AL,01085,11299,Total Neurological (hazard quotient),0.022218640196143
AL,01087,21452,Total Neurological (hazard quotient),0.025382392466452
AL,01089,334811,Total Neurological (hazard quotient),0.043671467230247
AL,01091,21027,Total Neurological (hazard quotient),0.024584674328708
AL,01093,30776,Total Neurological (hazard quotient),0.025536935505864
AL,01095,93019,Total Neurological (hazard quotient),0.032733417361732
AL,01097,412992,Total Neurological (hazard quotient),0.041420495746923
AL,01099,23068,Total Neurological (hazard quotient),0.022999863242145
AL,01101,229363,Total Neurological (hazard quotient),0.037395769281599
AL,01103,119490,Total Neurological (hazard quotient),0.038532799584185
AL,01105,10591,Total Neurological (hazard quotient),0.022158909129596
AL,01107,19746,Total Neurological (hazard quotient),0.024568622669177
AL,01109,32899,Total Neurological (hazard quotient),0.033256107973341
AL,01111,22913,Total Neurological (hazard quotient),0.022717369749798
AL,01113,52947,Total Neurological (hazard quotient),0.033008230795769
AL,01115,83593,Total Neurological (hazard quotient),0.032936119321984
AL,01117,195085,Total Neurological (hazard quotient),0.034678798732579
AL,01119,13763,Total Neurological (hazard quotient),0.023356779826108
AL,01121,82291,Total Neurological (hazard quotient),0.030842454051866
AL,01123,41616,Total Neurological (hazard quotient),0.02608626402696
AL,01125,194656,Total Neurological (hazard quotient),0.042037263590166
AL,01127,67023,Total Neurological (hazard quotient),0.031675609584106
AL,01129,17581,Total Neurological (hazard quotient),0.02293567701328
AL,01131,11667,Total Neurological (hazard quotient),0.024182366070761
AL,01133,24484,Total Neurological (hazard quotient),0.025397288768075
AK,02013,3141,Total Neurological (hazard quotient),0.013888334357279
AK,02016,5561,Total Neurological (hazard quotient),0.013977482573161
AK,02020,291826,Total Neurological (hazard quotient),0.039396071979485
