STUSPS,COUNTYGEOID,Population,riskType,risk
AL,01001,54571,Total Immunological (hazard quotient),0.017973144099789
AL,01003,182265,Total Immunological (hazard quotient),0.012382123257863
AL,01005,27457,Total Immunological (hazard quotient),0.012558605728367
AL,01007,22915,Total Immunological (hazard quotient),0.013409825016806
AL,01009,57322,Total Immunological (hazard quotient),0.014146163568649
AL,01011,10914,Total Immunological (hazard quotient),0.013131792677035
AL,01013,20947,Total Immunological (hazard quotient),0.011829714094391
AL,01015,118572,Total Immunological (hazard quotient),0.02229402730547
AL,01017,34215,Total Immunological (hazard quotient),0.014373695254792
AL,01019,25989,Total Immunological (hazard quotient),0.014506895035258
AL,01021,43643,Total Immunological (hazard quotient),0.013867453357737
AL,01023,13859,Total Immunological (hazard quotient),0.009160389576438
AL,01025,25833,Total Immunological (hazard quotient),0.010922409525171
AL,01027,13932,Total Immunological (hazard quotient),0.011943315956564
AL,01029,14972,Total Immunological (hazard quotient),0.012260272910663
AL,01031,49946,Total Immunological (hazard quotient),0.012930329918994
AL,01033,54428,Total Immunological (hazard quotient),0.0157234971288
AL,01035,13228,Total Immunological (hazard quotient),0.010798812200262
AL,01037,11539,Total Immunological (hazard quotient),0.01158207661799
AL,01039,37765,Total Immunological (hazard quotient),0.011081014136405
AL,01041,13906,Total Immunological (hazard quotient),0.011298039536412
AL,01043,80404,Total Immunological (hazard quotient),0.017147166919121
AL,01045,50251,Total Immunological (hazard quotient),0.014106705492529
AL,01047,43820,Total Immunological (hazard quotient),0.014253740467495
AL,01049,71109,Total Immunological (hazard quotient),0.013670998996083
AL,01051,79299,Total Immunological (hazard quotient),0.015683561542444
AL,01053,38319,Total Immunological (hazard quotient),0.012327054696594
AL,01055,104430,Total Immunological (hazard quotient),0.018217370743978
AL,01057,17241,Total Immunological (hazard quotient),0.012107093145841
AL,01059,31704,Total Immunological (hazard quotient),0.012184093419111
AL,01061,26790,Total Immunological (hazard quotient),0.010942676054224
AL,01063,9045,Total Immunological (hazard quotient),0.01082135041184
AL,01065,15760,Total Immunological (hazard quotient),0.011693015587406
AL,01067,17302,Total Immunological (hazard quotient),0.011315689608812
AL,01069,101547,Total Immunological (hazard quotient),0.014966672779845
AL,01071,53227,Total Immunological (hazard quotient),0.013212329915219
AL,01073,658431,Total Immunological (hazard quotient),0.027495189872909
AL,01075,14564,Total Immunological (hazard quotient),0.010645126607488
AL,01077,92709,Total Immunological (hazard quotient),0.016249014559734
AL,01079,34339,Total Immunological (hazard quotient),0.012682636709911
AL,01081,140247,Total Immunological (hazard quotient),0.018272495882235
AL,01083,82782,Total Immunological (hazard quotient),0.017570635903945
AL,01085,11299,Total Immunological (hazard quotient),0.010932882433623
AL,01087,21452,Total Immunological (hazard quotient),0.014251827071007
AL,01089,334811,Total Immunological (hazard quotient),0.028660133971262
AL,01091,21027,Total Immunological (hazard quotient),0.011185874324477
