datetimeobject,variable,value
2020-01-22,5d,
2020-01-23,5d,
2020-01-24,5d,
2020-01-25,5d,
2020-01-26,5d,0.0
2020-01-27,5d,0.0
2020-01-28,5d,0.0
2020-01-29,5d,0.0
2020-01-30,5d,0.0
2020-01-31,5d,0.0
2020-02-01,5d,0.0
2020-02-02,5d,0.0
2020-02-03,5d,0.0
2020-02-04,5d,0.0
2020-02-05,5d,0.0
2020-02-06,5d,0.0
2020-02-07,5d,0.0
2020-02-08,5d,0.0
2020-02-09,5d,0.0
2020-02-10,5d,0.0
2020-02-11,5d,0.0
2020-02-12,5d,0.0
2020-02-13,5d,0.0
2020-02-14,5d,0.0
2020-02-15,5d,0.0
2020-02-16,5d,0.0
2020-02-17,5d,0.0
2020-02-18,5d,0.0
2020-02-19,5d,0.0
2020-02-20,5d,0.0
2020-02-21,5d,0.0
2020-02-22,5d,0.0
2020-02-23,5d,0.0
2020-02-24,5d,0.0
2020-02-25,5d,0.0
2020-02-26,5d,0.0
2020-02-27,5d,0.0
2020-02-28,5d,2.0
2020-02-29,5d,2.0
2020-03-01,5d,2.0
2020-03-02,5d,3.0
2020-03-03,5d,3.0
2020-03-04,5d,3.0
2020-03-05,5d,3.0
2020-03-06,5d,4.0
2020-03-07,5d,4.0
2020-03-08,5d,4.0
2020-03-09,5d,4.0
2020-03-10,5d,4.0
2020-03-11,5d,4.0
2020-03-12,5d,6.0
2020-03-13,5d,6.0
2020-03-14,5d,8.0
2020-03-15,5d,9.0
2020-03-16,5d,15.0
2020-03-17,5d,21.0
2020-03-18,5d,22.0
2020-03-19,5d,31.0
2020-03-20,5d,46.0
2020-03-21,5d,61.0
2020-03-22,5d,68.0
2020-03-23,5d,97.0
2020-03-24,5d,143.0
2020-03-25,5d,231.0
2020-03-26,5d,232.0
2020-03-27,5d,311.0
2020-03-28,5d,401.0
2020-03-29,5d,516.0
2020-03-30,5d,519.0
2020-03-31,5d,577.0
2020-04-01,5d,861.0
2020-04-02,5d,988.0
2020-04-03,5d,1149.0
2020-04-04,5d,1259.0
2020-04-05,5d,1285.0
2020-04-06,5d,1285.0
2020-04-07,5d,1440.0
2020-04-08,5d,1944.0
2020-04-09,5d,1956.0
2020-04-10,5d,1972.0
2020-04-11,5d,1982.0
2020-04-12,5d,1982.0
2020-04-13,5d,1982.0
2020-04-14,5d,2055.0
2020-04-15,5d,2287.0
2020-04-16,5d,2287.0
2020-04-17,5d,2287.0
2020-04-18,5d,2287.0
2020-04-19,5d,2141.0
2020-04-20,5d,2077.0
2020-04-21,5d,2077.0
2020-04-22,5d,2065.0
2020-04-23,5d,2065.0
2020-04-24,5d,2065.0
2020-04-25,5d,2065.0
2020-04-26,5d,1865.0
2020-04-27,5d,1764.0
2020-04-28,5d,1865.0
2020-04-29,5d,2042.0
2020-04-30,5d,2117.0
2020-05-01,5d,2117.0
2020-05-02,5d,2117.0
2020-05-03,5d,2117.0
2020-05-04,5d,1753.0
2020-05-05,5d,1753.0
2020-05-06,5d,1932.0
2020-05-07,5d,2445.0
2020-05-08,5d,2445.0
2020-05-09,5d,2445.0
2020-05-10,5d,1932.0
2020-05-11,5d,1779.0
2020-05-12,5d,1472.0
2020-05-13,5d,1472.0
2020-05-14,5d,1696.0
2020-05-15,5d,1696.0
2020-05-16,5d,1696.0
2020-05-17,5d,1696.0
2020-05-18,5d,1502.0
2020-05-19,5d,1325.0
2020-05-20,5d,1325.0
2020-05-21,5d,1388.0
2020-05-22,5d,1388.0
2020-05-23,5d,1388.0
2020-05-24,5d,1388.0
2020-05-25,5d,1335.0
2020-05-26,5d,1060.0
2020-05-27,5d,1060.0
2020-05-28,5d,1226.0
2020-05-29,5d,1226.0
2020-05-30,5d,1226.0
2020-05-31,5d,1226.0
2020-06-01,5d,1179.0
2020-06-02,5d,959.0
2020-06-03,5d,959.0
2020-06-04,5d,959.0
2020-06-05,5d,959.0
2020-06-06,5d,959.0
2020-06-07,5d,888.0
2020-06-08,5d,823.0
2020-06-09,5d,823.0
2020-06-10,5d,885.0
2020-06-11,5d,898.0
2020-06-12,5d,898.0
2020-06-13,5d,898.0
2020-06-14,5d,885.0
2020-06-15,5d,772.0
2020-06-16,5d,729.0
2020-06-17,5d,729.0
2020-06-18,5d,729.0
2020-06-19,5d,729.0
2020-06-20,5d,729.0
2020-06-21,5d,704.0
2020-06-22,5d,655.0
2020-06-23,5d,655.0
2020-06-24,5d,708.0
2020-06-25,5d,724.0
2020-06-26,5d,724.0
2020-06-27,5d,724.0
2020-06-28,5d,724.0
2020-06-29,5d,636.0
2020-06-30,5d,596.0
2020-07-01,5d,596.0
2020-07-02,5d,697.0
2020-07-03,5d,697.0
2020-07-04,5d,697.0
2020-07-05,5d,697.0
2020-07-06,5d,597.0
2020-07-07,5d,597.0
2020-07-08,5d,897.0
2020-07-09,5d,897.0
2020-07-10,5d,897.0
2020-07-11,5d,897.0
